,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Norinj Palau (Rice with orange),2:10 h,"['450 g long grain white rice, preferably basmati', '75 ml vegetable oil', '2 medium onions, chopped', '1 medium chicken or 700–900 g lamb on the bone cut in pieces', '570 ml water, plus 110 ml water', 'peel of 1 large orange', '50 g sugar', '50 g blanched and flaked almonds', '50 g blanched and flaked pistachios', '½ tsp saffron or egg yellow food colour  (optional)', '25 ml rosewater (optional)', '1 tsp ground green or white cardamom seeds  (optional)', 'salt and pepper']","['Measure out the rice and rinse several times until the water remains clear.', 'Add fresh water and leave the rice to soak for at least half an hour.', 'Heat the oil and add the chopped onions.', 'Stir and fry them over a medium to high heat until golden brown and soft. ', 'Add the meat and fry until brown, turning frequently. ', 'Add 570 ml of water, salt and pepper and cook gently until the meat is tender.', 'While the meat is cooking, wash and cut up the zest of a large orange into matchstick-sized pieces, removing as much pith as possible. ', 'To remove any bitter taste, put the orange strips into a strainer and dip first in boiling water and then in cold.', 'Repeat this several times. Set aside.', 'Make a syrup by bringing to the boil 110 ml of water and the 50 g of sugar. Add the orange peel, the flaked almonds and pistachios to the boiling syrup.', 'Boil for about 5 minutes, skimming off the thick froth when necessary. Strain and set aside the peel and nuts.', 'Add the saffron and rosewater to the syrup and boil again gently for another 3 minutes.', 'To cook the rice, strain the chicken stock (setting the meat to one side), and add the syrup.', 'Make the syrup and stock up to 570 ml by adding extra water if necessary.', 'The oil will be on the surface of the stock and this should also be included in the cooking of the rice. ', 'Bring the liquid to the boil in a large casserole. Drain the rice and then add it to the boiling liquid.', 'Add salt, the nuts and the peel, reserving about a third for garnishing.', 'Bring back to the boil, then cover with a tightly fitting lid, turn down the heat to medium and boil for about 10 minutes until the rice is tender and all the liquid is absorbed.', 'Add the meat, the remaining peel and nuts on top of the rice and cover with a tightly fitting lid. Put into a preheated oven – 150°C (300°F, mark 2) – for 20–30 minutes. Or cook over a very low heat for the same length of time.', 'When serving, place the meat in the centre of a large dish, mound the rice over the top and then garnish with the reserved orange peel and nuts.']",4,,10m,2:0 h
1,Kofta Kebab/ Kebab Koobideh (Minced meat kebabs),40m,"['110 g onions', '3 cloves of garlic, peeled and crushed', '900 g best minced beef or lamb', '2 tsp paprika', '½ tsp turmeric', '1 egg', '½ tsp ground black pepper', '¼ cup butter, melted (for brushing over the kababs after grilling)', ' 1 tsp salt ']","['Finely chop the onion in the food processor. Transfer to a sieve and press on it with a spoon to drain all the liquid.', 'Mix the meat and onion pulp with the rest of the ingredients and knead with your fingers', 'Continue mixing well with the hand until the mixture becomes sticky. Divide the meat into 8-10 equal balls.', 'Then wet your hand with water and mould the mixture round kebab skewers to form kebabs about 10 cm long and 2.5 cm in diameter. ', 'Press on to the skewers firmly so that they will hold. Smooth the kebabs carefully with your wet hand. Press the meat between your thumb and index finger to make several indentations about 1 inch apart. ', 'Preheat the grill. Grill the kebabs under a high heat. ', 'When they are brown on both sides, remove carefully from the skewers and serve on one of the breads.', 'Sprinkle with a little salt and black or red pepper.', 'Narrow skewers work better than wide ones for the vegetables. The vegetables take longer to get ready, so if there is enough room on the grill start with the vegetables and halfway through grilling add the kabab skewers. If the space is limited, grill the vegetables first and keep them warm until Kababs are done.']",4,,10m,30m
2,Nan-E-Parata (Sweet fried bread),40m,"['560 g plain white flour, sifted ', '1½ tsp salt ', '1 packet fast-acting yeast', '275 ml lukewarm water', '12 tbs oil, plus more for deep-frying ', '50 g icing sugar']","['Sift the flour with the salt and mix in the yeast. ', 'Add the water a little at a time and mix to form a firm dough. ', 'Knead the dough until it is smooth and elastic, shape it into a ball and leave it, covered, in a bowl for about half an hour.', 'Divide the dough into 4 balls, and again divide each of these into 4, making 16 altogether.', 'On a lightly floured board roll each ball in turn into a disk no thicker than 1.5 mm. Then, using a pastry brush, brush 1 tablespoon of oil over 3 disks and stack them on top of each other topping with a fourth. ', 'Press down lightly with a rolling pin. ', 'Each stack should not be more than 5 mm thick. ', 'Repeat, making 4 breads in all.', 'Heat enough vegetable oil in a large frying-pan and deep-fry the breads over a medium to high heat, one at a time, until light brown. ', 'They should not be too crisp. ', 'Remove and drain. ', 'Sift the icing sugar over the hot breads, on both sides.']",4,,30m,10m
3,Turshi Bonjon-e-Sia (Aubergine pickle),72:0 h,"['450 g baby aubergines', '110 g garlic', '1 heaped tsp turmeric', '2–3 oz fresh green chillies', '1 tbs sia dona (nigella seed)', '1 tbs fenugreek seeds', '1 tsp salt', '½tbs dried mint', '½tsp sugar', '500 ml vinegar', '150 ml boiled water']","['Slit the baby aubergines lengthwise to the stalk, but do not separate.', 'Put one peeled clove of garlic inside each split aubergine.', 'Bring to the boil a pan of water and add the turmeric.  Add the aubergines with the garlic. ', 'The water should cover the aubergines but you will have to press them down into the boiling water from time to time as they will bob up to the surface. ', 'Turn down the heat and boil gently for about 5 minutes or until the aubergines are just cooked.', 'Remove from the water with a slotted spoon and drain. ', 'Next, place the aubergines in a large jar or jars by putting a layer of aubergines, then a layer of chillies – continuing in this way until they are all used up.', 'Now add the sia dona, fenugreek, salt, mint and sugar to the vinegar, followed by about 150 ml boiled water.', 'Mix well and pour over the aubergines in the jars.', 'The ingredients should be well covered with the liquid; if not, top up with more vinegar.', 'Cover and seal with a lid.']",,,20m,10m
4,Kebab-E-Jigar (Liver kebab),30m,"['2–3 tbs oil', '3–4 large onions, finely sliced ', '1–2 tsp ground coriander seeds', 'salt and pepper to taste', '450 g lamb’s liver, cut into strips', '2 cloves of garlic, sliced', '1 bunch fresh parsley, chopped fine ']","['Heat the oil in a large frying-pan and add the sliced onions and garlic.', 'Soften and fry until they are just beginning to brown. ', 'Add the coriander, parsley, salt and pepper and stir. ', 'Now add the liver and fry over a medium heat to seal. ', 'Then continue to fry gently for a further 4–5 minutes stirring from time to time. ', 'Do not overcook the liver or it will become hard and leathery.', 'Serve with warm fresh nan and perhaps a salad.']",3-4,,10m,20m
5,"Roht (Sweet, round flat bread)",1:10 h,"['1000 g  self-raising flour, sifted', '1 level tsp baking powder', '2 sachet fast-acting yeast', '500 g sugar', 'cardamom, ground', '500 g unsalted butter , softened', '5 tbs melk', '4 eggs', 'sia dona (nigella seeds)', 'sesame seeds']","['Preheat the oven to 180ºC/350ºF/gas 4. Grease and line a square cake tin or a round equivalent with greaseproof paper.\r\n', 'In a large bowl, Beat the butter and sugar together by hand or in a food processor until pale and fluffy. Beat in the egg one by one and add baking powder, yeast, melk and cardamom.', 'Stir in the sifted flour and mix together well. The mixture will be fairly soft and almost runny. If not, add more melk.', 'Scoop the mixture into the prepared cake tin. Sprinkle the top with the sia dona and sesame seeds according to your fancy.\r\n\r\nand cook in the preheated oven for about 50 minutes until golden and risen.', 'Bake in the preheated oven for about 50 minutes until golden and risen. ']",8-12,,10m,50m
6,Halwa,20m,"['1 cup wheat flour', '1 cup sugar', '3/4 cup ghee', '1 cup water', 'Cashew nuts and almonds for garnishing', '1 tsp cardomom powder ', '1/2 cup raisins']","['Heat the ghee on medium flam on a pan', 'Add the flour to the heated ghee and stir continuously till it turns golden brown/brown, just make sure it does not burn.', 'Keep all other ingredients ready as they have to be added quickly one after the other.', 'Alongside add the sugar to the water and the cardomom powder and heat it till the sugar dissolves in the water, once done keep it aside.', 'As soon as the flour is brown, add the water mixture to the flour and stir continuously. ', 'Keep stirring till it starts leaving the gheel from the corners, this takes some 15 mins.', 'The halwa is now ready to be served. Garinish with the nuts and serve hot.']",4,,0m,20m
7,Shour Nakhod (Chickpeas With A Mint Sauce),30m,"['2 cups chickpeas', '1.7 litres water', '½ level tsp salt', 'Boiled patatoes', '2 tbs water to dilute (for dressing)', '½ tsp salt (for dressing)', '1 large sprig of mint, chopped finely (for dressing)', '2 pinches red pepper (for dressing)', '4 tbs white wine vinegar (for dressing)']","['Soak the chickpeas in the water for several hours, or overnight. ', 'Put the chickpeas, with their soaking liquid, in a bowl and add salt.', 'Bring to the boil, skimming off any froth which may form.', 'Boil for 10 minutes, then reduce the heat, cover the pan and simmer slowly on a low heat until the chickpeas are soft but still retain their shape and the liquid has reduced, just leaving a  thickened juice in the bottom of the pan', 'Leave the chickpeas to cool in their juices', 'When cooled stir carefully to coat all the chickpeas with the thickened juice', 'Meanwhile, mix all the dressing ingredients together (wine vinegar, water, salt, mint and red pepper) . ', 'Then sprinkle the dressing liberally over the chickpeas, mix it in gently, and sprinkle with more salt, according to taste.', 'Serve it with boiled potatoes.']",4,,10m,20m
8,Lubia Challow (White Rice With Kidney Beans),1:10 h,"['2½ cups of Basmati rice', '¼  cup cooking oil ', '1½ tbsp cumin seeds whole (to taste)', '1 tbsp of salt', '1½ tbsp cardamom (finely ground)', '6 cups of water', 'see ', 'Qorma-e-Lubia (Kidney Beans)']","['About 30 minutes before you want to start cooking place the rice into a large bowl and fill with cold water.', 'Scrub all of the grains of rice and carefully drain the water off. Repeat 3 times or until the cold water is clear. After the last rinse, fill the bowl over the level of the rice with the cold water and let it sit for at least 30 minutes.', 'In a large cooking pot with a tight fitting lid, add the water and sprinkle the water lightly with salt. ', ' Bring the water to a rolling boil, and then drain the water from the rice and add to the boiling water. ', 'Stir all the rice once and then let it come back to a boil or about 7 minutes or until the rice is soft when you bite on a piece.', 'Drain the water from the rice in a strainer and in a separate glass, take ¼ of a cup of hot water and dissolve 1 tbsp of salt into the water. ', 'Add ¼ of  oil to the hot water and salt and mix well. ', 'Add this mix to all of the rice in a back and forth motion until the top of the rice is covered.', 'Next add the cumin to the rice. ', 'With a wide flat spatula mix this into the rice by lifting a section and shaking the rice back into the pan.', 'Repeat until the whole pan of rice is mixed and covered with oil (it will look slightly shiny) and the spices are dispersed throughout the rice.', 'Pile the rice into a mound in the middle and with the back of the spatula, in a circle pattern make 5 ""holes"" for ventilation in the mound (four around the circle and one in the middle of it). ', 'Cover the  cooking pot lid with cotton cloth and let it steam and cook for 20 minutes on very low heat.', 'Make Qorma-e-Lubia. see  ', 'Qorma-e-Lubia (Kidney Beans)', 'Remove the cooking pot from heat.', 'Heat the oil and pour the heated oil all over the rice.', 'Cover the pot again and let it cook for 5 minutes.', 'Serve it  with Qorma-e-Lubia']",4,,30m,40m
9,Mantu (Beef Dumplings),1:15 h,"['2 cups of Onions', '1 pound of Ground Beef/Lamb', '½ tsp. Garlic', '2 tsp. Coriander Powder', '½ tsp. Salt', '½ tsp. Black Pepper Powder (freshly ground)', '1 cup Chana Lentils', '½ pound Ground Beef/Lamb', '1 medium Onion (finely chopped)', '½ tsp. Garlic', '½ tsp. Salt', '½ tsp. Black Pepper Powder (freshly ground)', '2 tsp. Tomato Paste', '30 ml. Cooking Oil', '1 tsp. Dried Mint Leaves', '½ tsp. Garlic', '½ tsp. Salt', '500 ml. Plain Yogurt']","['Heat pan over a medium heat and add garlic, ground beef and salt and coriander. Cook until the meat is half-way cooked for about 15 to 20 minutes.', 'Add black pepper and remove from heat.', '\r\nCombine one cup of raw chopped onions to the meat and let it cool down to room temperature', '\r\nSoak split peas for 2–3 hours or overnight. ', 'Heat oil in a frying pan and cook onion and garlic until lightly browned. \r\n', 'Add tomato and tomato paste. Add split peas and ¾ cup water and cook for 30–45 minutes until soft.', ' Season with salt and pepper and set aside.', '\r\nCombine all of the ingredients for dip in a bowl and mix well. ', '\r\nPlace flour in a large mixing bowl and gradually add water, mixing with hands until it becomes doughy. ', 'Leave the dough to settle for 15–20 minutes or until it becomes firm. \r\n', 'Separate dough into small handfuls and roll into individual ball shapes. ', 'Scatter some flour on the bench surface and using a small rolling pin, roll the balls into circular shapes.', 'Roll the dough ball into a very thin (1/16-inch) strips using a pasta machine. Cut the strips into 2-inch squares. \r\n', 'Place approximately one tablespoon of the cooled ground beef and onion mixture onto each wrap. To make the wraps stick together easily, wet the edges with water (you may use your fingers or a basting brush). ', 'Fold over first two opposite ends of the egg roll wrap and followed by other two ends to enclose dumplings. Press the edges tightly to seal together. Continue with the remaining wraps.', 'Take the racks out of the steamer dish. Add water to the dish, cover and bring to boil. \r\n', '\r\nOil the base of steamer to prevent sticking and place dumplings carefully across oil. \r\n', 'Cover lid and cook for approximately 40 minutes.', 'When the dumplings have cooked, add a thin layer of the yogurt mixture to a large serving plate. Place the steamed dumplings on top. ', 'Pour some more of the yogurt mixture on top of the dumplings and coat everything with the the topping sauce. ', 'Garnish with dried mint and a little bit of cayenne pepper.']",4,,35m,40m
