,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Kulaç,PT50M,"['Flour: 450g', 'Greek Yogurt: 500g', 'Salt: 1/2 Tsp', 'Baking Soda: 1Tsp', 'Olive Oil']","['On a large baking tray or a clean work surface, mix together the dry ingredients - flour, baking soda and salt. \n', 'Make a well in the middle and add the yogurt. Using your hands slowly combined the ingredients together to start to form a dough.\n', 'Kneed the dough on a floured surface, adding extra flour if you find the texture too sticky. The dough is ready when it is of a pizza dough texture and still very slightly sticky, this should only take a few minutes.\n', 'On a baking tray add a little oil and put the dough on top. Shape and flatten the dough into a circle shape ensuring the height of the dough is about 5cm.\n', 'Cover the dough with a little bit of olive oil, ensure it is fully covered.\n', 'You can bake the Kulaç as it is or you can create patterns which also helps with even cooking. The most common patterns are using the back of a fork to slightly press down to create line dents all over or spiking the dough with the fork.\n', 'Place on the bottom shelf of a pre heated oven. Bake for 40 minutes or until the dough is golden and firm to touch.\n', 'Once removed from the oven, stand upright or place on a cooling rack to allow the Kulaç to cool. \n', 'Cut the Kulaç the way you would a cake into 8 slices. If you are serving warm you may want to snap and pull apart the bread with your hands instead.\n']",8 Servings,,PT10M,PT40M
1,Tavë me Presh ska Mish,PT1H15M,"['Leeks: 500g Sliced', 'Roasted Red Peppers: 3 Diced', 'Rice: 200g', 'Garlic: 1 Clove Diced', 'Vegetable Stock: 1.5 Pints', 'Paprika: 1 Tsp', 'Oregano: 1 Tsp', 'Parsley: 1 Tsp', 'Basil: 1 Tsp', 'Salt', 'Pepper', 'Olive Oil']","['Fry the leeks in a small dash of olive oil for a few minutes until they start to brown.\n', 'Add the roasted red peppers, garlic, stock, herbs, salt, pepper and paprika. Give it a good stir, add the rice and stir again.\n', 'Leave it to come to the boil. Leave to simmer for 2 minutes.\n', 'Pour the mixture into a baking tray with a depth of 2 inches or more. Mix thoroughly and ensure equally levelled out.\n', 'Place on the bottom self of a preheated oven at 180 degrees. Leave to bake for 1 hour.\n', 'Once cooked turn off the oven and keeping the door open leave the leek bake to cool for 10 minutes before serving.\n']",4 Servings,,PT15M,PT1H
2,Lakror me Kungull,PT50M,"['Summer Squash: 2 Grated', 'Eggs: 2', 'Flour: 300g', 'Sugar: 3 Tbsp', 'Baking Soda: 1/4 Tsp', 'Olive Oil']","['In a mixing bowl mix together the summer squash, sugar, eggs and baking soda. Add the flour and continue to mix, you are looking for a thick sticky mixture. Add a bit more flour if the mixture is still thin and slightly runny.\n', 'In a large round baking tray (about 2 inches deep) rub some olive oil over the base and edges.\n', 'Scoop the mixture onto the tray and spread out evenly, then pour a small amount of olive oil onto you hand and rub it in circles gently over the top of the mixture. This should flatten it and leave it with a slightly shiny glossing.\n', 'Bake in the oven for 40 minutes on 180 degrees – the top should be a golden brown once cooked.\n', 'Leave to cool before slicing into squares and serving.\n']",12 Servings,,PT10M,PT40M
3,Beetroot Pie,PT1H40M,"['Filo Pastry: 2 Homemade Discs', 'Beetroot: 5 Diced', 'Eggs: 5', 'Parsley: 50g Chopped', 'Basil: 50g Chopped', 'Spinach: 100g Chopped', 'Feta Cheese: 100g Crumbled', 'Onions: 1 Grated / Diced', 'Pepper: 1 Tsp', 'Olive Oil', 'Water: 220ml']","[""Before you make the filo pastry it's best to get the beetroot cooking. Wash the beetroot ensuring to wash off as much dirt as possible and then trim down the stalks. \n"", 'Place the beetroot into a saucepan and cover with water. Bring to the boil until softened. This will take 30 - 40 minutes.\n', 'Once cooked drain the beetroot and leave to cool for 30 minutes. While wearing gloves over you hands (i use plastic bags turned inside out) gentle rub away the skin. \n', 'Dice the beetroot into chunks and place into a large mixing bowl.\n', 'Add to the beetroot the eggs, parsley, basil, spinach, feta cheese, onion and pepper. Mix together thoroughly. \n', 'Place a filo pastry disc in a lightly oiled large baking tray and add the beetroot filling on top.\n', 'Add the second disc on top and seal the edges by tucking them down.\n', 'Put a thin layer of oil over the top\n', 'Layer sheets of filo pastry on top of each other brushing a layer of olive oil after each one before the next one is place down. Once 6/8 sheet are laid add the beetroot filling on top.\n', 'Repeat the layering until a further 6/8 sheets are on top of the filling - olive oil brushed on each one.\n', 'Put a thin layer of oil over the top.\n', 'Bake in the oven at 180 degrees for 1 hour or until golden brown.\n', 'Once removed from the oven, pour half a cup of water over the top and half a cup of water around the edges. Cover the beetroot byrek with two tea towels and leave to stand for 1 hour before serving. You can skip this step if you prefer a crisper pie.\n']",12 Servings,,PT40M,PT1H
4,Dolma Japrak,PT2H,"['Pickled Grape Leaves: 600g', 'Lamb Mince: 400g', 'Onions: 5 Diced', 'Rice: 75g', 'Pepper: 1 Tsp', 'Paprika: 1 Tsp', 'Vegetable Stock: 1 Tsp Dried', 'Parsley: 25g Chopped', 'Basil: 1 Tsp', 'Olive Oil', 'Salt: Optional', 'Boiling Water: 2 Litres']","['Add the onions to a saute pan and fry for 5 minutes in olive oil until the onions start to brown.\n', 'Turn off the heat and add the meat, rice, pepper, paprika, vegetable stock, parsley and basil. Mix all the ingredients together.\n', 'Carefully unwrap the vine leaves. Place one vine leaf on your hand with the base on the bottom of your palm and the point pointing towards the top. Add a second vine leaf with the point pointing downwards and base of the leaf at the top of your fingers. there should be a good overlap. You can do this on a flat surface if preferred.\n', 'Place a spoonful of the meat and rice mixture in the middle of the leaves. Fold the bottom of the leaf over the mixture, fold in both sides and the roll the leaf upwards sealing in the mixture into a parcel shape. \n', 'Layer a layer of vine leaves covering the bottom of a deep saucepan and then add the vine leaf parcel on top.\n', 'Make as many vine leaf parcels as the meat and rice mixture will make adding each one to the saucepan. Pack the parcels side by side util the saucepan is covered, then start another layer on top. \n', 'Pour into the saucepan enough boiling water to just cover the top of the vine leaves and bring to a boil. Leave to simmer with a lid on for 1.5 hours. All water should be absorbed however top up with a little extra boiling water if this happens before the time is up.\n', 'Remove from the saucepan and leave to cool for 10 minutes before serving.\n']",32 Servings,,PT30M,PT1H30M
5,Supë me Mish,PT3H10M,"['Lamb: 200g', 'Soup Pasta: 200g', 'Carrots: 2 Diced', 'Tomato Puree: 2 Tbsp', 'Onions: 1 Diced', 'Vegetable Stock: 2 Tbsp Dried', 'Salt', 'Pepper', 'Parsley: 2 Tsp', 'Boiling Water', 'Olive Oil']","['Place the boned meat into a saucepan of boiling water and bring back to the boil. Cook for 2 hours so that the meat is tender and starting to come away from the bone. (If mince is being used skip this step)\n', 'Once the meat is ready, remove from the heat and remove all the meat from the bone placing it back into the water and disgarding the bone. You will need about 2 litres of boiling water - disgarde some if you have to much.\n', 'In a frying pan fry the onion for a couple of minutes. If you are using mince meat then add the meat and continue to fry until the mince is browned.\n', 'Add the carrots, puree and 100ml of boiling water. Leave to simmer for 10 minutes.\n', 'Add the mixture into the water and meat saucepan, bring back to the boil and leave to simmer for 30 minutes. Season with salt, pepper, parsley and the dried vegetable stock.\n', 'Add the soup pasta and leave to simmer for a further 30 minutes.\n', 'Leave the soup to cool slightly, serving warm.\n']",4 Servings,,PT10M,PT3H
6,Shendetlie,PT45M,"['Sugar: 300g', 'Eggs: 3', 'Butter: 180g Melted', 'Flour: 700g', 'Walnuts: 100g', 'Honey: 4 Tbsp', 'Baking Soda: 1 Tsp', 'Sugar: 220g', 'Water: 440ml']","['In a mixing bowl cream together the eggs, sugar and cooled melted butter then add the honey and soda. \n', 'Add half the flour and the walnuts (you can add the walnuts whole or ground them) and mix well. \n', 'Add the rest of the flour and using your hands kneed the mixture together until a firm dough is formed.\n', 'Coat a large baking tray (traditionally a circle tray is used about 30cm is best with a 2 - 3 inch height) with olive oil. Add the dough and press it down so that it fits the whole tray. Try and get the dough flat and equal in height all over.\n', 'Place on the bottom shelf of a cold oven and turn the temperture up to 180 degrees. Bake for 35 minutes and the dough has turned dark brown and is firm to touch.\n', 'Remove from the oven and leave to cool while making the syrup.\n', 'Add the sugar and water to a saucepan and bring to the boil. Leave boiling for 10 minutes, mixing occasionally. Remove from the heat.\n', 'Cut the Shendetlie into squares of diamond shapes and pour over the hot syrup. Use enough of the syrup to cover the cake plus 1 cm overflowing, sitting on top. This will soak into the cake while you leave it to cool for at least 1 hour before serving.\n']",20 Servings,,PT10M,PT35M
7,Chicken Kebabs,PT30M,"['Chicken Breast: 400g Cubed', 'Albanian Salami: 15cm Sliced', 'Red Peppers: 1 Cubed', 'Salt', 'Pepper', 'Garlic: 2 Cloves Diced', 'Paprika: 1 Tbsp', 'Honey: 1 Tbsp', 'Oregano: 1 Tbsp', 'Olive Oil: 2 Tbsp']","['You will need 5 kebab sticks / skewers. If you are using wooden ones then leave them to soak in cold water for 10 minutes first to prevent them burning.\n', 'Start with a piece of chicken and push it down the skewer leaving about 5cm at the bottom to hold.\n', 'Add a piece of red pepper followed by a piece of Albanian salami then another piece of chicken. Repeat the pattern 5 times and finish with a piece of chicken on top.\n', 'Follow this pattern for the rest of the skewers making 5 in total. If there is any ingredients left, make up an extra skewer or add another layer to each one using them up.\n', 'Place on a tray or board to rest while the marinade is made.\n', 'Mix together the olive oil, garlic, salt, pepper, paprika, oregano and honey in a small bowl.\n', 'Brush the marinade over the kebabs ensuring you cover all sides and leave to rest for 10 minutes before cooking. Alternatively you can cover these with cling film and keep these in the fridge for up to 24 hours.\n', 'Place the kebabs on a grilling machine such as a George Foreman, close the lid and cooking for 10 -12 minutes on a high setting. Turn the kebabs occasionally. You can also cook these kebabs under the grill on a baking tray or on the BBQ.\n', 'Serve as kebabs or great when removed the skewers and mixed into a salad.\n']",5 Servings,,PT15M,PT15M
8,Arra të Mbushura me Fik,PT35M,"['Figs: 4 Fresh', 'Walnuts: 8 Halfs', 'Water: 150ml', 'Sugar: 60g']","['Cut off the hard bits of stalk and then cut the figs in half length ways.\n', 'Place the figs in a small frying pan / saute pan with the cut side face up and add the water around them.\n', 'Leave the figs on a medium heat to cook through, once they become soft remove them from the pan and place onto a serving dish. This will take around 10 - 15 minutes. \n', 'In the pan there will be a red water juice left from the figs. Add the sugar while remaining on a medium heat. Stir continuously for a couple of minutes until the juice has turned to a thick syrup. Remove from the heat.\n', 'Push one half of walnut into every fig and then drizzle the syrup over the top.\n', 'Serve warm or cooled.\n']",8 Servings,,PT5M,PT30M
9,Burani me Spinaq e Vezë,PT25M,"['Spinach: 400g', 'Rice: 75g', 'Onions: 1 Diced', 'Basil: 1Tsp', 'Eggs: 6', 'Butter: 25g', 'Salt', 'Pepper', 'Olive Oil: 2 Tbsp', 'Boiling Water: 1 Litre']","['In a large deep saute pan (or you can use a large saucepan) melt together the butter and olive oil. While these melt, fill the kettle with 1 litre of water and bring to the boil.\n', 'In a saucepan add the butter, olive oil and onion. Fry for 2-3 minutes until the butter is fully melted and the onion is just starting to brown.\n', 'Add the rice and stir continuously for a minute ensuring the rice is mixed with the onion then add the boiling water - be careful as this will spit as you add it to the pan. Cover with a lid, bring to the boil and leave for 10 minutes.\n', 'Add the spinach and stir it in until it has completely wilted. Bring the mixture back up to the boil and leave to boil with the lid off until there is only a small amount of liquid left at the bottom - about 5 minutes.\n', 'Crack the eggs over the top of the Burani and place the lid on. Watch carefully as you do not want to over cook the eggs, they take 3 - 4 minutes to cook. Check the whites are fully cooked through before removing from the heat and leaving to cool for 5 minutes before serving.\n', 'Serve the pot straight to the table or dish out into individual portions.\n']",6 Servings,,,PT25M
