,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Armenian Meatloaf,PT100M,"['⅓ cup fine (#1) bulgur (uncooked)', 'warm tap water (enough to cover bulgur)', '2 lbs. lean ground lamb or ground beef (or a combination of the 2)', '1 small zucchini (shredded)', '1 cup onion (finely chopped)', '1 cup flat-leaf Italian parsley (finely chopped)', '1 clove garlic (minced)', '1 egg (beaten)', '1 tsp. freshly ground coriander', '½ tsp. allspice (or to taste)', '1 tsp. salt (or to taste)', 'ground black pepper (to taste)', 'ground Aleppo pepper (to taste, optional)', '3 Tbsp. pomegranate jelly or apricot preserves (melted)', '2-3 Tbsp. tomato paste (diluted with a little water to make it spreadable)']","['Place the bulgur in a medium-sized bowl. Pour enough warm water to cover the bulgur. Cover with bowl with plastic wrap and let rest until water is absorbed. Once bulgur is soften, strain excess water, if any.', 'Combine ground meat, shredded zucchini, softened bulgur, onions, parsley, garlic, egg and seasonings. Mix well.', 'Preheat oven to 350°F- 375°F (oven temperatures vary). Using a large-enough baking pan with sides, pat mixture into a loaf shape. Bake for 50 minutes. Drain off any accumulated fat.', 'Brush top of meat loaf with either the jelly/preserves, or tomato paste mixture. Return to oven and bake another 5-10 minutes. Remove pan from oven; allow meatloaf to rest 10 minutes before slicing.', 'Serve with your favorite side dishes.']","['6', '6 people']",['Main Course'],PT30M,PT60M
1,Losh Kebab,PT35M,"['1¼ lbs. ground lamb (Ground beef may be substituted or combined with the lamb.)', '¼ cup onion (finely chopped)', '¼ cup fresh parsley (finely chopped)', '¼ cup plain dry bread crumbs', '1 egg (beaten)', '1 Tbsp. red pepper paste (1 Tbsp. tomato paste plus 1/8 tsp. cayenne pepper may be substituted.)', '1 tsp. ground coriander (or to taste)', '½ tsp. ground allspice', '1 tsp. salt', '½ tsp. ground black pepper', '¼ tsp. Aleppo red pepper (optional)']","['In a small mixing bowl, combine the beaten egg, red pepper (or tomato) paste, and seasonings. Blend well. Set aside.', 'Place meat, onions, parsley, and bread crumbs in a large mixing bowl. Using your hands, mix well. Add the egg mixture to the meat, mixing well until all ingredients are well-blended. (NOTE: If you’re squeamish about handling raw meat and egg, you may want to wear non-powdered, sterile, disposable food preparation gloves for this step.)', 'Shape mixture into 4 or 5 good-sized patties.', 'These can be grilled, broiled, or pan-grilled to your preferred degree of doneness.', 'Serve with your choice of bread and your favorite side dishes.', '\xa0Optional toppings: sliced tomato, onion, lettuce,\xa0*\xa0yogurt-garlic sauce - see recipe below in Notes.']",['4'],['Main Course'],PT20M,PT15M
2,Roasted Leg of Lamb,PT205M,"['1 6-7 lb. leg of lamb (bone-in, untrimmed)', '2 Tbsp. coriander seed (freshly ground)', '1 tsp. salt', '½ tsp. ground black pepper', '2 medium onions (roughly cut, skin on)', '4 cloves garlic (whole, unpeeled)', '½ cup water']","['In a small bowl, combine the ground coriander, salt, and pepper. Blend well and set aside.', 'Place the oven rack as close to the center as possible, then preheat to 350° F.', 'Line the bottom of a roasting pan with heavy-duty foil.', 'Spread the cut onions, garlic, and ½ cup of water on top of the foil. This will impart a lively flavor and fragrance to the recipe during roasting.', 'Place a roasting rack over the onion mixture.', 'Place the lamb on the rack, fat-side up. Leaving the fat on will flavor and moisten the meat.', 'Sprinkle the coriander, salt and pepper on the surface of the lamb, gently rubbing them in.', 'Roast the lamb for about 2 1/2 to 3 hours, basting periodically with the juices from the bottom of the pan. (There is no need to turn the meat during roasting.)', 'Remove the roast to a carving board, allowing the meat to rest for about 15 minutes before slicing.', 'Serve with pan juices that have been skimmed of fat.']",['6'],['Main Course'],PT10M,PT180M
3,Kadin Boudi,PT48M,"['1 lb. ground lamb (I used locally sourced lamb from Fox Trot Farm.)', '½ cup plain rice (cooked and cooled)', '1 medium onion (chopped)', '½ cup string cheese, tel banir (chopped - I used Sun-Ni Armenian string cheese)', '¼ cup parsley leaves', '1 tsp. dill weed', '½ tsp. salt', '½ tsp. paprika', '1 tsp. ground coriander, aka kinz', '½ tsp. black pepper (daghdigh) (freshly ground)', '2 large eggs (One for the croquette mixture; the other used as a coating before cooking.)', 'plain flour (for coating)', 'olive oil (for shallow frying)']","['Combine meat, rice, onions and cheese, then pass through a grinder or food processor until ground to a reduced consistency.', 'Add salt, pepper, spices, and 1 lightly beaten egg.', 'Mix and knead thoroughly.', 'Divide the mixture into eight equal portions.', 'Take each portion, one at a time, and roll into a cylindrical shape, uniform in circumference, and place in a large shallow plate.', 'Beat second egg and pour over the croquettes, turning them until fully coated.', 'Transfer the croquettes to another large shallow plate containing flour, turning them until fully coated.', 'Shallow fry the croquettes, turning them until well browned.']","['8', '8 croquettes']",['Main Course'],PT30M,PT18M
4,Khatoon Boodhi,PT48M,"['½ cup uncooked short grain rice (such as Carolina Rice, cooked according to package directions)', '½ lb raw ground lamb', '½ lb raw ground beef', '1 onion, medium (coarsely chopped)', 'salt, pepper, Aleppo pepper, ground coriander (seasonings measured according to your own taste)', '1 beaten egg (for meat mixture)', '1 beaten egg (for dipping)', 'canola oil (for sautéing and pan frying)']","['Cook ½ cup rice according to package directions. Once cooked, allow rice to cool completely.', 'Sauté chopped onions in 1 to 2 Tbsp. canola oil until soft but not brown. Allow onions to cool completely.', 'In a large bowl add the ground lamb and beef, the cooked and cooled rice and onions, 1 beaten egg, and the seasonings measured to your taste. Mix ingredients with your hands until well-combined.', 'Form mixture into small patties of uniform size and thickness.', 'Dip the patties into beaten egg. Coat on both sides.', 'Place enough canola oil to coat the bottom of a large skillet. Turn burner on to medium heat. Add patties to skillet without crowding them. You might have to cook them in smaller batches, Pan fry patties until golden on both sides and meat is cooked through.']","['8', '8 patties']",['Main Course'],PT30M,PT18M
5,Spinach Pie,PT90M,"['½ lb. Phyllo Dough (fillo dough) - thawed in the refrigerator', '¾ cup olive oil', '1 stick (½ cup) unsalted butter (melted)', '3 scallions (green onions) (green and white parts, sliced)', '1 medium onion (chopped)', '¼ cup fresh dill (chopped – or – 2 tsp. dried dill)', '2 Tbsp. fresh Greek oregano (chopped - 1 1/2 tsp. dried oregano can be substituted if fresh Greek oregano is unavailable)', '2 10-oz. pkgs. frozen chopped spinach (thawed, and completely drained of excess liquid )', '1-2 cloves garlic (finely chopped)', '2 large eggs (lightly beaten)', '1 Tbsp. freshly squeezed lemon juice', '1 cup whole milk ricotta cheese (drained)', '8 oz. good quality feta cheese (crumbled)', '1 cup shredded Parmesan cheese', 'black pepper (to taste)']","['Following package directions, thaw phyllo dough. You will only be using 1/2 the package for this recipe - about 16 sheets depending on the brand used.', 'Preheat oven to 350ºF.', 'In a small bowl, whisk together olive oil and melted butter. Heat 2-3 Tbsp. of the oil-butter mixture in a large sauté pan. Add scallions, onions and dill. Cook over medium-high heat until onions are soft and almost transparent. Add thawed, drained spinach and cook about 3 minutes. Mix in garlic and cook for an additional minute. Remove pan from heat and drain off any excess liquid; set aside to cool.', 'In a large bowl, combine eggs, lemon juice, ricotta, feta, Parmesan cheeses, and black pepper. Fold into spinach mixture. (Note: Adding salt is not necessary as the Feta cheese is rather salty.)', 'Unroll and cover phyllo sheets with plastic wrap, then a slightly dampened towel to prevent sheets from drying out.', 'Grease the bottom and sides of a 9”x13” baking pan. Using one sheet of dough at a time, lay it in the pan and lightly brush with oil-butter mixture. Continue covering each sheet with another until you have used half the amount of phyllo sheets. Remember to keep remaining dough covered.', 'Spread all of the spinach-cheese mixture evenly over the bottom stack of phyllo sheets.', 'Follow the same procedure of layering and brushing the oil-butter mixture on each of the remaining sheets of dough. Be sure the spinach-cheese mixture is completely covered with phyllo and that any overhanging phyllo is tucked-in around the edge of the baking pan. Generously brush the top layer with oil-butter mixture.', 'With a sharp knife, cut the spinach pie into 8 or 12 squares.', 'Bake for 45- 50 minutes or until the top is golden brown. Let sit for 10 - 15 minutes before serving.', 'Serve with a tossed salad and a dollop of plain yogurt, if desired']",['8'],"['Appetizer', 'Breakfast', 'Main Course']",PT40M,PT50M
6,Butterflied leg of lamb Armenian style,PT765M,"['4 lb sirloin lamb leg (de-boned and butterflied)', '1 cup Armenian brandy (we used Ararat Brandy)', '1 large yellow onion (peeled and coarse chopped)', '2 tbsp olive oil', 'freshly ground coriander seeds (to taste)', '\xa0Aleppo pepper (to taste)', 'salt (to taste )']","['Open the lamb on a flat surface and trim any silver skin.', 'Place trimmed meat in a large casserole dish. Add brandy, onions and seasonings -\xa0except\xa0salt.', 'Coat meat well, cover and let marinate overnight. Turn once either before bed or in the morning.', 'Before you cook the lamb, remove the onions from the marinade and sauté thoroughly to serve over the lamb.', 'Turn on the grill and wait until it&#039;s fully heated. Add salt to both sides of lamb\xa0 before placing it on the grill.', 'Place lamb on the grill and closing the cover. grill for 8 minutes; turn meat. Cook another eight minutes.\xa0', 'Remove lamb from heat and place on a cutting board. Cover loosely with foil and let rest for about 10 minutes before carving.']","['6', '6 people']",['Main Course'],PT15M,PT30M
7,Shirdov Sini Sarma,PT115M,"['30-40 grape leaves, jarred or fresh', '2 Tbsp. olive oil, (plus more oil for brushing top of grape leaves before baking, and for greasing the baking pan)', '1 large sweet onion, finely diced', '1 cup long grain rice', '2½ cups water', '1 (15 oz.) can no salt-added tomato sauce, divided', '1 cup fresh Italian flat-leaf parsley, chopped', '½ cup fresh mint, chopped (1 Tbsp. dried mint, crushed may be substituted.)', '1 cup pine nuts (walnuts or unsalted pistachios, coarsely chopped, may be substituted)', '½ cup dried currants', '1 tsp. salt, or to taste', '¼ tsp. ground black pepper, or to taste', '¼ tsp. Aleppo pepper, optional', '½ tsp. paprika, or to taste', '¼ cup freshly squeezed lemon juice', '1 large lemon, cut into 8 wedges or circles']","['Count out 30-40 leaves (jarred or fresh) for the recipe. If using jarred grape leaves, carefully remove leaf bundles and unroll them. Give leaves a quick rinse in a colander under cold-running water.', 'Fill a large pot half-way with water; bring to a gentle boil. Carefully dip grape leaves, a few at a time, into the pot of water – one minute for jarred leaves; 2-3 minutes if using fresh leaves. Using a slotted spoon, transfer leaves into one or two colanders in order to drain the excess water. (Note: This process helps to tenderize the jarred grape leaves and removes some of the saltiness from the brine.)', 'Using kitchen shears or a sharp paring knife snip off each leaf’s thick stem and discard. Set leaves on a paper towel-lined plate and set aside until ready to assemble.', 'In large saucepan add the oil and heat over medium heat; add onions. Sauté for 5 to 7 minutes, stirring occasionally, until they begin to turn light brown.', 'Add the rice and water; bring to a boil. Cover, reduce heat to medium-low, and cook for about 20 minutes, or until liquid is absorbed.', 'Remove from heat, and stir in tomato sauce, nuts, parsley, mint, currants, seasonings, and lemon juice. At this point, mixture will be very moist. (See NOTE below regarding the addition of ground meat, if desired.)', 'Preheat oven to 350°F. Brush the bottom and sides of a 8”x11½” - or 2 qt. - baking pan with olive oil.', 'Wipe any moisture off grape leaves. Line the bottom and sides of the baking pan with grape leaves - overlapping them, and allowing leaves to hang over sides.', 'Spread half of rice mixture evenly over grape leaves. Place a layer of grape leaves on top of the rice, then top with remaining rice. Finally, cover the casserole with the remaining grape leaves, making sure rice is completely covered. Seal the sides by folding over grape leaves which hang over the edges. Generously brush olive oil on the top layer of grape leaves, and then spread the top with the reserved 1/2 cup of tomato sauce, if you prefer softer leaves.', 'Cover pan with foil. Bake 35 to 40 minutes; remove foil the last 10 minutes of baking. Baked sarma should look firm and set.', 'Remove pan from oven and allow to rest about 15 minutes before cutting.', 'Dip a sharp knife into a glass of cold water. Using the tip of the knife, carefully cut straight down to create 8 serving pieces for an entree. Cut into smaller pieces for a side dish or appetizer.', 'Carefully remove portions with a spatula and place on individual plates. Garnish each serving with a slice of lemon.', 'To round out the meal, serve with plain yogurt dusted with ground sumac, lavash, and a tossed salad!']","['8', '8 servings']","['Appetizer', 'Main Course', 'Side Dish']",PT50M,PT65M
8,Pumpkin Geragoor,PT80M,"['2 small pie pumpkins', '1 ½ lb ground beef (uncooked)', '½ medium onion (coarsely chopped)', '1 cup fine (#1) bulgur (uncooked)', '2 cups water (beef broth may be substituted)', 'ground cinnamon, salt and pepper (to taste)', '½ cup chopped pecans (walnuts may be substituted)', 'drizzle of honey (optional)', '2 ½ tbsp butter (cut into small pieces)']","['Carefully cut pumpkins in half.\xa0 Place 2 pumpkin halves on a microwave-safe plate and cook on high power for 8 minutes, or until soft-enough to work with. You will have to do this in 2 batches. Allow pumpkin to cool.', 'Remove the seeds and stringy innards. (Note: you can\xa0save the seeds\xa0to roast later.)\xa0', 'Scoop out the pumpkin pulp and place in a large mixing bowl. Add the remaining ingredients –\xa0except\xa0for the butter. Mix until combined.', 'Preheat oven to 350°F. Lightly grease a 9”x13” casserole dish.', 'Place the pumpkin mixture evenly in the casserole dish. Dot the top with little pieces of butter. Cover with foil.', 'Bake in the preheated oven for 45 minutes – 1 hour.']","['6', '6 servings']",,PT20M,PT60M
9,"Zucchini, Fassoulia-style",PT57M,"['1 lb. ground meat (We used 93% lean ground turkey)', '1 medium onion (finely chopped)', '4 Tbsp. olive oil (divided)', '2 medium cloves garlic (minced)', '1 14.5 oz. can diced tomatoes (and its juices)', '1 cup chicken broth', '2 Tbsp. tomato paste', '1-2 Tbsp. red pepper paste', '1 tsp dried oregano', '1 tsp dried basil', 'salt, pepper, paprika and allspice (to taste)', '3 zucchinis (medium, cut in half lengthwise, then cut into ¼&quot; or ½&quot; circles.)']","['Coat the bottom of a large pot with 2 Tbsp. of the olive oil. Add the ground turkey; cook on medium heat. Stir with a wooden spoon to break down the turkey until it is thoroughly cooked, about 5 minutes. Drain any accumulated fat. Remove cooked turkey from the pot and place in a bowl.', 'Using the same pot, heat the other 2 Tbsp. of olive oil over medium heat. Add the onions. Sprinkle with some salt and pepper; sauté until onions begin to soften, about 2-3 minutes. Add the garlic and zucchini and continue to cook until the zucchini cooks down a bit, about 5-7 minutes.', 'Add the tomatoes with its juice, tomato and red pepper pastes, chicken broth, dried herbs, and seasonings. Bring to a boil, then reduce heat to medium. Cook about 5-10 minutes. You want to achieve a saucy, not soupy, consistency. Note: If you don&#039;t have red pepper paste, use additional tomato paste and add a little paprika.', 'Return the cooked ground turkey to the pot. Place a cover on the pot; simmer for 15-20 minutes for flavors to blend and sauce to thicken a bit. Stir from time to time.', 'If sauce seems too thick, add more broth. Adjust seasonings, as needed. **See notes at the bottom.']",['4'],['Main Course'],PT15M,PT45M
