,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,السطل البحري,ساعة ونصف,"['\n        ', '1 كيلو', ' روبيان بالقشر منزوع حبل الظهر\n        \n      ', '\n        ', '1 كيلو', ' قباقب\n        \n      ', '\n        ', '½ كيلو', ' محار\n        \n      ', '\n        ', '2', ' ذره مقسمه إلى نصفين عدد\n        \n      ', '\n        ', '2 راس', ' ثوم مفروم ناعم راس مش فص\n        \n      ', '\n        ', ' صلصة الديك الحاره\n        \n      ', '\n        ', ' هريسة تونسية برفقها فالصور\n        \n      ', '\n        ', ' ملح\n        \n      ', '\n        ', ' مقدر كوبين عصير طماطم فرش\n        \n      ']","['\n        ', 'نغسل الروبيان و القباقب و المحار جيدا و يغلي كل واحد لحاله تقريبا 10 دقايق نحط معاه نص ليمونه عشان الريحه و نسلق الذره لين تستوي', '\n        \n      ', '\n        ', 'ونسوي الصلصه عبارة عن نص قالب زبده او 250 غرام نحطه في جدر و نحط عليه الثوم المفروم و بس يذبل الثوم ما يحمر نظيف ربع كمية صلصة الديك لأنها حاره وايد وربع ملعقة هريسه و صلصة الطماطم و معلقة ونص ملح و نخليها لين تتسبك او تثقل', '\n        \n      ', '\n        ', 'بعدين نحط كل الأشياء في كيس الفرن ونحط عليهم الصلصة و نخليها فالفرن ربع ساعه و بعدين طلعوها و عليكم بألف عافيه لا تنسون الرز الأمريكي الابيض', '\n        \n      ']",4_6 أشخاص,,,
1,مرقه ب بمؤكلات بحرية 😋 بطريقتي الخاصة 😊,ساعة,"['\n        ', '2 كيلو', ' من القباقب والروبيان والمحار مشكل بحري\n        \n      ', '\n        ', '1', ' بصل مقطع صغير\n        \n      ', '\n        ', ' فلفل رومي بارد الكمية حسب رغبتك(نصف فليفله)\n        \n      ', '\n        ', 'حبة', ' بطاطا كبيرة مقطعه\n        \n      ', '\n        ', ' ليمونه جافه وعود قرفه\n        \n      ', '\n        ', ' طماطه مقطعه و3 اعواد فلفل حار\n        \n      ', '\n        ', 'ملعقة كبيرة', ' من معجون الثوم والزنحبيل\n        \n      ', '\n        ', 'ملعقتين', ' معجون طماط\n        \n      ', '\n        ', ' بهارات المستخدمه ملعقة وسط كل من 👩\u200d🍳\n        \n      ', '\n        ', ' كركم وملح وكزبرة وكمون وفلفل اسود وبهاات الكاري حسب حاجتك\n        \n      ', '\n        ', ' ملقعتيين طعام كبار من صلصل الدناميت\n        \n      ', '\n        ', 'لتر', ' حليب طويل الامد\n        \n      ', '\n        ', 'ملعقة كبيرة', ' زبدة لورباك وزيت\n        \n      ']","['\n        ', 'أول شي اغسل الروبيان والحبار والقباقب جيدا وانظفه من الأوساخ بعدين انقله بقدر فيه ماء ساخن وعصره ليمونه وملعقة ملح وفنجان \n', 'خل أبيض وعود قرفة واخليهم يغلوو مع بعض لمدة ١٠ دقايق لازاله الزفرره وبعدها نتخلص من الماء..', '\n        \n      ', '\n        ', 'بالقدر راح استخدم زبده لوبارك أو اي زبده مع شووية زيت واحط البصل والفلفل البارد وليمونه جافة ونحمسسس لين تتطلع ريحته', '\n        \n      ', '\n        ', 'بعدها نضع ملعقة كبيرة مع من معجون الثوم والزنجيل.', '\n        \n      ', '\n        ', 'بعدها انزل ملعقتين كبار من معجون طماط', '\n        \n      ', '\n        ', 'واحمسس الصلصل شووي مع البصل لين تتطلع ريحته 🤩', '\n        \n      ', '\n        ', 'بعدها انززل الطماط والفلفل الحار وملعقة ملح واحمسس لين يذووب الطماط أو اغلق الغطا واتركه يذووب براحته على نار هاديه', '\n        \n      ', '\n        ', 'بعد مرور ١٠ دقايق اتخلص من الماء اللي حطينا فيه السمك البحري واغسل الروبيان تحت صنبوور الماء بمنخال واتخلص من الليمون والخل والملح واصفيه جيدا', '\n        \n      ', '\n        ', 'ونرجع للقدر الثاني و بعد مايذبل الطماط أنززل عليهم بطاطا مقطعه أو جززر حسب رغبتك للخضروات.. أنا حطيت بطاطا', '\n        \n      ', '\n        ', 'بعدها أنززل ملعقة صغيرة فلفل أسود وكركم وكمون بودرة', '\n        \n      ', '\n        ', 'وبهارات الكاري وكزبرة وبهارات عربية مكسس', '\n        \n      ', '\n        ', 'واحمسسس البهارات ويا البطاطا قليلا', '\n        \n      ', '\n        ', 'بعدها انززل صوص دناميت ملعقتيين كباار', '\n        \n      ', '\n        ', 'وانزل عليه لتررر من الحليب واغطيه عليه لمدة ٢٠قيقة..', '\n        \n      ', '\n        ', 'بعدها اضبط الملح وانززل السمك البحري المشكل وازييد كاسة مااء واتركه لحد مايثقل ويستوووي بالكامل..', '\n        \n      ', '\n        ', 'تقدروون تضيفوون عصره ليمونه وكزبررة فرررش (اخر مرحلة) بتعطي نكهة وطعم وريحة..', '\n        \n      ', '\n        ', 'شكلها بعد ١٠ دقايق..', '\n        \n      ', '\n        ', 'وتقدم ويااا أرز أبيض جربوها بطريقتي 😊', '\n        \n      ', '\n        ', 'وصحتين وألف عافية على قلوووبكم..', '\n        \n      ', '\n        ', 'ملحوظه : تقدروون تلغوون اي نووع من السمك البحري الموجود', '\n        \n      ']",٨ أشخاص,,,
2,شوربه بحريه,,"['\n        ', 'لتر واحد', ' كريم طبخ\n        \n      ', '\n        ', ' نغر (على حسب الرغبه)\n        \n      ', '\n        ', ' سلطعون (الكمية حسب العدد)\n        \n      ', '\n        ', ' روبيان (الكمية حسب العدد)\n        \n      ', '\n        ', ' بقدونس\n        \n      ', '\n        ', 'ملعقتين كبار', ' فلفل اسود\n        \n      ', '\n        ', '4 مكعبات', ' ماجي\n        \n      ', '\n        ', 'رشه', ' ملح\n        \n      ', '\n        ', 'فنجان', ' ليمون\n        \n      ', '\n        ', 'معلقه كبيره', ' طحين\n        \n      ', '\n        ', 'كوب', ' ماء دافئ\n        \n      ']","['\n        ', 'وضع النغر والسلطعون والروبيان (القريدس) على النار حتى النضج', '\n        \n      ', '\n        ', 'احضر قدر اخر وضع كريمه الطبخ والطحين والفلفل الأسود وخلطهم جيداً ثم اضف الماء والبقدونس والليمون ثم إشعال النار', '\n        \n      ', '\n        ', 'ضع السلطعون والنغر والروبيان (القريدس) مع كريمه الطبخ وقلبها مع بعضها البعض', '\n        \n      ']",,,,
3,طبق سباغيتي بفواكه البحر,1 ساعة,"['\n        ', '1 باكيت', ' من سباغيتي\n        \n      ', '\n        ', '1/4 كيلو', ' حبار\n        \n      ', '\n        ', '1/4 كيلو', ' بوزروك\n        \n      ', '\n        ', '1/4 كيلو', ' قيمرون\n        \n      ', '\n        ', 'ملعقة كبيرة', ' قزبرة وبقدونس\n        \n      ', '\n        ', 'ملعقة صغيرة', ' فلفل اسود\n        \n      ', '\n        ', 'ملعقة صغيرة', ' كامون\n        \n      ', '\n        ', 'ملعقة كبيرة', ' بابريكا\n        \n      ', '\n        ', '5 فصوص', ' ثوم\n        \n      ', '\n        ', '1', ' بصلة متوسطة\n        \n      ', '\n        ', '1', ' ليمونة معصورة\n        \n      ', '\n        ', ' فلفل احمر حار للتزيين\n        \n      ', '\n        ', ' الملح حسب الذوق\n        \n      ', '\n        ', '½ كوب صغير', ' من زيت الزيتون\n        \n      ', '\n        ', '1 ملعقة كبيرة', ' من طماطم المركزة\n        \n      ']","['\n        ', 'نصلق سباكيتي في ماء مغلي مع قليل من الملح والزيت نتركها حتى تنضج تم نصفيها ونغسلها بماء بارد ونصفيها ونتركها جانبا', '\n        \n      ', '\n        ', 'في مقلاة كبيرة نقطع البصل صغير ونضعه فوق نار ونضيف فوقه الملح والزيت ونتركها تتشحر قليلا ثم نضيف الثوم والثوابل والقزبر مع بقدونس ونحرك جيدا ثم نضيف مركز الطماطم ونضيف الاسماك البحرية نحركهم جيداثم نضيف كوب صغير من الماء ونتركه حت بنضج', '\n        \n      ', '\n        ', 'لما ينضج الكل ناخد طنجرة كبيرة نضع فيها سباكيتي ونضيف فوقها السمك مع الصلصة والفلفل الاحمر الحار ونخلطهم مع بعض تم تقدمهم صحة وعافية', '\n        \n      ']",2 اشخاص,,,
4,السطل البحري المشهور 🦀🦐🦑🐙,ساعة,"['\n        ', '1/2 كيلو', ' روبيان وسط\n        \n      ', '\n        ', '1/2 كيلو', ' حبار\n        \n      ', '\n        ', ' ممكن تحطوو صدف وقباقب اللي تحبوه\n        \n      ', '\n        ', '2', ' بصل مقطع صغير\n        \n      ', '\n        ', ' فلفل بارد مقطع صغير\n        \n      ', '\n        ', '1/2 راس', ' ثوم مقطع\n        \n      ', '\n        ', ' بطاطا مقطع كبير الكمية حسب رغبتك\n        \n      ', '\n        ', 'ملعقتين ', ' صلصة طماطم\n        \n      ', '\n        ', 'ملعقة كبيرة', ' من صلصل الدانميت الروبيان\n        \n      ', '\n        ', 'ملعقة كبيرة', ' من صلصل الصوص الفرنسي\n        \n      ', '\n        ', 'كوب ونص', ' من كريمة طبخ\n        \n      ', '\n        ', '1/4 قالب', ' زبده مملحة\n        \n      ', '\n        ', 'ملعقة كبيرة', ' من بهاراتي للكاري سبق ونزلت مقاديرها\n        \n      ', '\n        ', 'ملعقة صغيرة', ' كركم\n        \n      ', '\n        ', 'ملعقة', ' فلفل أحمر\n        \n      ', '\n        ', ' للمرقة:\n        \n      ', '\n        ', 'ملعقة ', ' من بهارات الروبيان\n        \n      ', '\n        ', 'رشة ', ' فلفل أسود\n        \n      ', '\n        ', ' شرائح ليمون\n        \n      ']","['\n        ', 'غسلت السمك البحري جيدا', '\n        \n      ', '\n        ', 'نحظر قدر كبير ونحط فيه ماء صالح للشرب و شرائح ليمون وملعقة بهارات روبيان ورشة كركم ورشة فلفل أسود ونضع الحبار والروبيان والبطاطا ونخليه لمدة ١٥ دقيقة يغلي فقط..', '\n        \n      ', '\n        ', 'نقطع البصل والثوم والفلفل البارد تقطيع صغير', '\n        \n      ', '\n        ', 'هذي كريمة الطبخ وصلصل الطماطم وصوص الفرنسي وصوص الدانميت اللي استخدمته', '\n        \n      ', '\n        ', 'و بعد مرور ١٥ دقيقه نطلع الروبيان والحبااار من المرقة والمرقة نخليها ما تتخلصو منها راح نستخدمها بالخطوة التاليه', '\n        \n      ', '\n        ', 'نتخلص من الليمون فقط', '\n        \n      ', '\n        ', 'حمست البصل والفلفل البارد والثوم مع الزبدة وحطيت بهارات الكاري والكركم والفلفل الاحمر ونقلب', '\n        \n      ', '\n        ', 'نضع الروبيان والبطاطا والحبار بدون ماء ونحمس', '\n        \n      ', '\n        ', 'نضع من صوص الدانميت تقريباا ملعقة كبيرة', '\n        \n      ', '\n        ', 'ونضع ملعقة كبيرة صلصل الفرنسيه', '\n        \n      ', '\n        ', 'ملعقتين كباار صلصل طمام', '\n        \n      ', '\n        ', 'وكريمة طبخ تقريبا كووب ونصف أو كوبين..', '\n        \n      ', '\n        ', 'ملعقتين ملح صغار أو حسسب الكمية التذوق', '\n        \n      ', '\n        ', 'ونخلط جميع المكونات', '\n        \n      ', '\n        ', 'نسكب فوقه من مرقة الروبياان ألي أن يغطي الروبيان والحبار المرقة', '\n        \n      ', '\n        ', 'ونخليهم مع بعض ألي أن يتسسبكو ويتصير قوامها كريمي وثقيل قليلا.', '\n        \n      ', '\n        ', 'ونقدمه مع رررز وصحتين وعافية 🦀🦐🦑🐙😋😋😋😋', '\n        \n      ', '\n        ', 'هنا مره سوويته وحاطه معاه زيادة ذره وقباقب وصدف ومزوده بهارات وصلصل وكزبرة روعه جربوه🌼', '\n        \n      ', '\n        ', 'وبعدين ممكن تحلو بفواكه مثل كذا ولا أرووع 🌺', '\n        \n      ']",٨,,,
5,عيش المحمر البحريني,,"['\n        ', '1 كوب', ' سكر\n        \n      ', '\n        ', '2 كوب', ' رز\n        \n      ', '\n        ', '4 حبات', ' هيل\n        \n      ', '\n        ', '2 م ك', ' زيت\n        \n      ', '\n        ', ' كمية ماء كافية لعمل الرز\n        \n      ']","['\n        ', 'يحمر السكر على النار الى ان يذوب بالكامل ويصبح لونه احمر', '\n        \n      ', '\n        ', 'بعد ذلك يتم اضافة الماء الى السكر ويخلط السكر جدا حتى يذوب ونضيف الهيل ويترك يغلي قليلا', '\n        \n      ', '\n        ', 'يضاف بعد ذلك الرز الى خليط السكر ويترك على النار ١٥-٢٠ دقيقة الى ان يستوي الرز.', '\n        \n      ', '\n        ', 'وبالهناء والشفاء. يقدم مع السمك المشوي', '\n        \n      ']",,,,
6,بسكويت رمل البحر,٣٠ دقيقة,"['\n        ', 'علبة', ' بسكويت اولكر\n        \n      ', '\n        ', ' قشطة\n        \n      ', '\n        ', 'علبة', ' أناناس مقطعة\n        \n      ', '\n        ', '2 م ك', ' سكر\n        \n      ', '\n        ', 'كوب', ' حليب\n        \n      ', '\n        ', 'ظرفين', ' دريم ويب\n        \n      ', '\n        ', '1/2 كوب', ' جوز الهند\n        \n      ', '\n        ', 'نقطة', ' من صبغة الحلويات لون ازرق\n        \n      ', '\n        ', ' شوكولاته على شكل صدف\n        \n      ']","['\n        ', 'نصفي علبة الاناناس من مياه العصير', '\n        \n      ', '\n        ', 'نخلط الحليب ودريم ويب والقشطة والسكر مع بعض لتصير فلافي كتير', '\n        \n      ', '\n        ', 'نضع القليل من خلطة الكريمة في البايركس', '\n        \n      ', '\n        ', 'نغمس البسكويت بمية الاناناس ونضعة فوق الكريمة لنغطي الكريمة ونضع الاناناس مقطع فوق البسكويت ونكرر العملية لتنتهي الكمية', '\n        \n      ', '\n        ', 'ناخد قليل من الكريمة على جنب ونضع قطرة من صبغة الزرقاء ونخلطها ونضعها على وجه البسكويت', '\n        \n      ', '\n        ', 'نطحن ١٢ حبة بسكويت ناعم لعمل الرمل ونضع جوز الهند بين اللون الازرق والبسكويت ونزيت جهة البسكويت المطحون بالشوكولاته الصدف', '\n        \n      ', '\n        ', 'صحة وهنا', '\n        \n      ']",٦ اشخاص,,,
7,صيادية بحريات,ساعه وربع,"['\n        ', 'كيلو ونصف', ' سمكة شعري مقطعه فيليه\n        \n      ', '\n        ', 'حبه', ' كلماري واحده طازه\n        \n      ', '\n        ', 'كيس', ' روبيان صغير مجمد\n        \n      ', '\n        ', '3 كوب', ' رز طويل الحبه منقوع بسمتي\n        \n      ', '\n        ', '3', ' ليمونات جافات\n        \n      ', '\n        ', '5', ' بصلات هنديات لون بنفسجي مقطع شبر\n        \n      ', '\n        ', '5 فصوص', ' ثوم\n        \n      ', '\n        ', '2', ' فلفل اخضر حار\n        \n      ']","['\n        ', 'يغسل الارز وينفع', '\n        \n      ', '\n        ', 'يغسل السمك ويبهر بالكمون والعصفر والثوم البودره', '\n        \n      ', '\n        ', 'يقلى البصل والثوم والفلفل بزيت ذره حتى يصبح بني غامق يصفى من الزيت', '\n        \n      ', '\n        ', 'يقلى الفيليه في زبده وزيت زيتون ثم الربيان ثم الكلماري', '\n        \n      ', '\n        ', 'بَعَـــدْ ان يصبح البصل بني يصفى من الزيت ويضاف له لتر ماء ويغلى يؤخذ الماء البني ويضاف له مكعبا ماجي ويضاف للأرز يطهى ثلاث ارباع الطهي', '\n        \n      ', '\n        ', 'بعد جفاف الماء عن الارز نسكب الارز على السمك الفيليه والربيان والكلماري', '\n        \n      ', '\n        ', 'نضيف كوب مٓن مرق البصل ونغطي الطنجره ونضع تحتها طاسه ونتركها لنضج الارز', '\n        \n      ', '\n        ', 'يسكب مثل المقلوبه وبجانبه المعبوچ الكويتي', '\n        \n      ']",ست اشخاص,,,
8,مجبوس الدجاج البحريني,ساعة وربع,"['\n        ', ' دجاجتين بحجم 1000g لكل دجاجه\n        \n      ', '\n        ', '4 اكواب', ' رز بسمتي\n        \n      ', '\n        ', 'حبتين', ' بصل كبار مفرومين ناعم\n        \n      ', '\n        ', 'حبة', ' فلفل حلو مقطع\n        \n      ', '\n        ', '3 حبات', ' طماطم مبروشين\n        \n      ', '\n        ', '4 فصوص', ' ثوم مقطعين دوائر\n        \n      ', '\n        ', 'ملعقتين طعام', ' كزبرة وشبت مفرومين\n        \n      ', '\n        ', '1/2 ملعقة', ' معجون الزنجبيل\n          (', 'تصفّح الوصفة', ')\n      ', '\n        ', '1/2 كوب', ' زيت زيتون\n        \n      ', '\n        ', ' البهارات الصحيحة👇\n        \n      ', '\n        ', 'عودين', ' قرفة\n        \n      ', '\n        ', '3', ' ورقات غار\n        \n      ', '\n        ', '4 حبات', ' قرنفل\n        \n      ', '\n        ', '5 حبات', ' هيل\n        \n      ', '\n        ', ' البهارات الباودر👇\n        \n      ', '\n        ', 'ملعقة طعام', ' بهارات بحريبية\n        \n      ', '\n        ', 'ملعقة صغيرة', ' فلفل أسود\n        \n      ', '\n        ', 'ملعقة صغيرة', ' ليمون اسود\n        \n      ', '\n        ', 'ملعقة صغيرة', ' ملح\n        \n      ', '\n        ', '1/2 ملعقة صغيرة', ' فلفل حار\n        \n      ', '\n        ', '1/2 ملعقة صغيرة', ' كركم\n        \n      ', '\n        ', ' بهارات ان ننقع الرز👇\n        \n      ', '\n        ', 'عود', ' قرفة\n        \n      ', '\n        ', '3', ' ورقات غار\n        \n      ', '\n        ', '5 حبات', ' هيل\n        \n      ', '\n        ', '3 حبات', ' قرنفل\n        \n      ', '\n        ', ' الخضار المشوية للزينه👇\n        \n      ', '\n        ', 'حبتين', ' باذنجان\n        \n      ', '\n        ', ' قرنين فلفل أخضر حلو\n        \n      ', '\n        ', '10 حبات', ' طماطم كرزية\n        \n      ', '\n        ', ' قرنين فلفل حار\n        \n      ', '\n        ', ' تتبيلة الخضار المشوية👇\n        \n      ', '\n        ', '10 ملاعق طعام', ' زيت زيتون\n        \n      ', '\n        ', '1/2 ملعقة صغيرة', ' فلفل أسود\n        \n      ', '\n        ', '1/2 ملعقة صغيرة', ' ملح\n        \n      ', '\n        ', '1/2 ملعقة صغيرة', ' بالريكا\n        \n      ', '\n        ', ' للزينة👇\n        \n      ', '\n        ', 'كوب', ' كاجو محمص\n        \n      ']","['\n        ', 'بنظف الدجاج بالملح والخل وبقطعها انا قطعت كل دجاجة 4 قطع وبجهز الخضار وبقطعهم', '\n        \n      ', '\n        ', 'بحط ربع كمية الزيت مع البصل بطنجرة على النار وبحركهم ليصير لونهم بني غامق برجع حط الثوم والفلفل الحلو وبحركهن وبرجع ضيف الطماطم ومعجون الزنجبيل', '\n        \n      ', '\n        ', 'بضيف البهارات الصحيحة وبرص الدجاج ويضيف الليمون الأسود والبهارات البحرينية والكركم والفلفل الحار والملح', '\n        \n      ', '\n        ', 'بضيف ماء بقدر اصبعين فوق الدجاج وبحط الكزبرة والشبت بهذا الوقت بغسل الرز وبنقعه البهارات صحيحة', '\n        \n      ', '\n        ', 'بترك الدجاج مع الخلطة يغلي 45 دقيقة على نار خفيفة وبرجع شيل الدجاج الخطة بصينية فرن لاشويه من اعلى مدة 10 دقائق', '\n        \n      ', '\n        ', 'بضيف الرز المنقوع ببهارات الرز بعد ما صفية على الطمجرة وبحطها على نار خفيفة لتنشف مية الرز تقريبا نص ساعة', '\n        \n      ', '\n        ', 'بهذا الوقت بجهز الخضار بتتبيلتها ووضعها بصينية بالفرن لمدة 10 دقائق من كل جهة', '\n        \n      ', '\n        ', 'بقلي الكاجو وبرجع اسمي الرز بطبق التقديم وبرجع حط الدجاج والخضار اللي شويتها', '\n        \n      ', '\n        ', 'يقدم مع سلطة اللبن وسلطة الخضار والشطة والعافية على الجميع يا رب', '\n          (', 'تصفّح الوصفة', ')\n      ']",6 أشخاص,,,
9,بحريات بطريقه مبسطه وسهله,45 -30 دقيقة بالطهي,"['\n        ', '2 كيلو', ' بحريات مشكله (جمبري \\كابوريا\\سبيط (حبار)\\كاليماري)\n        \n      ', '\n        ', '2', ' جزره شرائح\n        \n      ', '\n        ', 'قرن', ' فلفل اخضر حامي\n        \n      ', '\n        ', ' ملح حسب الرغبه\n        \n      ', '\n        ', '3 ملاعق كبيره', ' زيت نباتي\n        \n      ', '\n        ', 'ملعقه كبيره', ' خل\n        \n      ', '\n        ', '½ ملعقه ', ' كمون\n        \n      ', '\n        ', '½ ملعقه ', ' كزبره\n        \n      ', '\n        ', '½ ملعقه', ' بهارات عربي\n        \n      ', '\n        ', '½ ملعقه', ' بابريكا\n        \n      ', '\n        ', '½ ملعقه', ' كركم\n        \n      ', '\n        ', '½ ملعقه', ' شطه\n        \n      ', '\n        ', ' عصير ليمونه\n        \n      ', '\n        ', '2 ملعقه كبيره', ' معجون ثوم وزنجبيل (يمكن هرسهم في الهون)\n        \n      ']","['\n        ', 'بتم غسل وتنضيف البحريات جيداً', '\n        \n      ', '\n        ', 'تضاف جميع المكونات على البحريات وتخلط جيداً', '\n        \n      ', '\n        ', 'في طاسه على النار يوضع الزيت وتوضع البحريات وتغطي', '\n        \n      ', '\n        ', 'تقلب جيداً في منتصف مده الطهي', '\n        \n      ', '\n        ', 'تطهى 20-15 دقيقه على نار متوسطه', '\n        \n      ']",4-5 أشخاص,,,
