,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Belgian Celery Sauce Meatballs,PT90M,"['13 oz meat mince ((375 g))', '1 tbsp breadcrumbs or panko', '2 medium garlic cloves', '2 tbsp onion (chopped)', '1 tbsp parmesan cheese (grated)', '½ cup cream ((120 ml))', '1 egg yolk', '1 small shallot', '2 stalks fresh celery (chopped)', '1 glass dry white wine', '4 bay leaves', '2 sprigs thyme', '2 tbsp unsalted butter', '3 tbsp fresh parsley (chopped)', 'pepper', 'salt']","['Peel the garlic and shallot. Chop both very finely. Add the shallot and half of the garlic to a medium saucepan together with 2 bay leaves and a teaspoon of butter. Place this over medium heat and gently cook the shallot and garlic for a few minutes until soft and a little golden. Season with a little pepper and salt.', 'Then take the pan off the heat and let this shallot mixture cool down fully. Transfer the meat mince to a large mixing bowl and add the cooled onion and garlic together with the egg yolk (remove the bay leaves).', 'Stir and add the breadcrumbs (or panko) and grated parmesan cheese. Season with a little pinch of pepper and salt.', 'Stir well again. Check the seasoning and add extra pepper or salt to taste if necessary. Then roll even balls from the mixture. Mine were 1 1/2 oz (45 g) and I had 10 of them in the end.', 'Melt half of the remaining butter in a large pan and add the meatballs. Place the pan over medium-high heat and brown the meatballs on all sides for a couple of minutes until a little golden.', 'Then remove them from the pan to a clean plate and cover with some tinfoil. Don’t wipe the pan clean! The browned bits will add extra flavor to out celery sauce. Add the remaining butter, chopped onion, remaining chopped garlic, 2 remaining bay leaves and thyme sprigs.', 'Gently brown the onion and herbs for 2 to 3 minutes. Then add the chopped celery.', 'Stir the celery well and season with a pinch of salt. Let the celery braise for about 3 minutes. Pour in the white wine and the cream.', 'Then add the browned meatballs back to the pan.', 'Stir well and cover the pan with a lid. Let the meatballs and celery braise in the cream sauce for another 6 to 7 minutes. Then check the seasoning and add extra pepper or salt to taste if necessary. Scoop the meatballs and the creamy celery sauce onto warm deep plates, sprinkle with some freshly chopped parsley and serve.']",['2'],['Main Course'],PT45M,PT45M
1,Mussels with Celery & Onion,PT40M,"['4 lbs fresh mussels ((1,8 kg), cleaned)', '1 small onion (chopped)', '3 stalks fresh celery ( with leaves)', '2 large garlic cloves (chopped)', '1 large glass dry white wine', '4 sprigs thyme', '2 bay leaves', '2 tbsp olive oil', 'pepper', 'salt']","['Pour the olive oil in a large and high pan and place it over medium-high heat until hot. Then add the chopped onion and garlic.', 'Quickly stir fry the onion and garlic for 4 to 5 minutes. Chop the fresh celery and leaves up. Then also add them to the pan together with the fresh thyme and bay leaves. Season with a dash of pepper and salt.', 'Stir well. Let the vegetables cook for 3 more minutes. Then add the rinsed and drained fresh mussels to the pan.', 'Cover the pan. Cook the mussels for 6 minutes. Shake the pan a couple of times to make sure the mussels and the vegetables are mixed well. Then add the white wine.', 'Stir the mussels well using a slotted spoon. Then cover the pan again and let the mussels cook for 5 more minutes until the mussels are open. Check the seasoning and add extra pepper or salt to taste. Then scoop the cooked mussels into large bowls and top with the remaining onion, celery and wine. Serve with golden fries.']","['2', '2 people']",['Main Course'],PT20M,PT20M
2,Classic Steak Tartare Recipe,PT30M,"['5,5 oz ground beef ((155 g))', '1 tbsp shallots (chopped)', '1 tbsp capers in brine (chopped)', '1 tbsp pickled gherkins (chopped)', '1 tsp worcester sauce', '1 tbsp fresh parsley (chopped)', '½ tsp lemon juice', '½ tsp mayonnaise', '½ tsp olive oil', '1 small egg yolk', 'tabasco', 'pepper', 'salt']","['Transfer the ground beef to a large mixing bowl. Also add the chopped gherkins, the salted capers the freshly chopped parsley.', 'Stir well. Then add the worcester sauce, lemon juice, mayo, olive oil, the chopped shallots and 2 drops of tabasco. You can also add the egg yolk or keep it aside for garnish later. Season the beef mince with a pinch of pepper and salt.', 'Stir the beef mince well again. Then taste the beef and add extra pepper, salt, worcester sauce, lemon juice or tabasco to taste if necessary.', 'Divide the seasoned beef tartare over 2 plates. Then put them in the fridge for about 5 minutes before serving. Garnish with a little sprinkle of freshly ground black pepper and a tiny pinch of salt. Serve the beef tartare cold.']","['1', '1 person']","['Main Course', 'Starter']",PT30M,
3,Delicious Frog Legs Recipe in Garlic Butter,PT25M,"['10,5 oz frog legs ((300 g), fresh or thawed)', '3 cups milk (or water (optional))', '1 tbsp olive oil', '2 tbsp garlic butter', '1 tbsp fresh parsley (chopped)', 'pepper', 'salt']","['1. Let the frog legs soak in the milk in the fridge for an hour (optional).', '2. Rinse the legs and pat them dry with kitchen paper.', '3. Add the olive oil and half of the garlic butter to a large wok or frying pan. Place it over high heat until the butter starts to foam. Don&#039;t let it burn.', '4. Add the frog legs to the pan. Pan fry them for about 10 minutes until they are golden brown on both sides. Turn the over regularly.', '5. Add the rest of the garlic butter right in the end together with the freshly chopped parsley. Season with a pinch of pepper and salt to taste.', '6. Divide the frog legs over plates. Serve with grilled bread and a green salad.']","['2', '2 people']","['Main Course', 'Starter']",PT70M,PT15M
4,Belgian Tomato Meatball Soup,PT90M,"['1 lb canned chopped tomatoes ((450 g))', '4 cups chicken stock ((960 ml), warm)', '2 large fresh tomatoes', '1 medium fresh carrot', '1 small onion (chopped)', '3 medium garlic cloves (chopped)', '2 tbsp unsalted butter', '1 tsp tomato paste', '24 tiny meatballs ((raw))', '2 sprigs fresh rosemary', '3 tbsp fresh parsley (chopped)', 'pepper', 'salt']","['Add the butter to a large and high pan. Place it over medium heat until melted. Then add the chopped garlic and onion together with the fresh rosemary.', 'Gently fry the garlic and onion for 4 minutes. Then pour in the canned chopped tomatoes and warm chicken stock.', 'Stir and then add the tomato paste. Season with a little pepper and salt.', 'Stir the soup again and then cover the pan. Cook the tomato soup for 8 minutes or until the onion is super soft. In the meantime chop the fresh ripe tomatoes up. Once the onion is soft, add the tomatoes.', 'Peel and slice the carrot. Also add this to the tomato soup.', 'Stir and cook for 8 more minutes until the carrot is soft. Remove the rosemary. Then blend or mix the warm tomato soup until it is very smooth.&nbsp;Check the seasoning and add extra pepper or salt to taste. Add the small meatballs to the soup.&nbsp;Cover the pan again and let them poach in the hot soup for 6 minutes until cooked through. Then add the chopped parsley.', 'Stir and take the pan off the heat. Scoop the tomato meatball soup into bowls and serve hot.']","['4', '4 people']","['Lunch', 'Soup', 'Starter']",PT30M,PT60M
5,Stuffed Tomatoes Recipe,PT120M,"['4 medium fresh tomatoes', '12 ½ oz ground beef ((350 g))', '½ small onion', '2 large garlic cloves', '2 tbsp fresh parsley', '3 tbsp breadcrumbs or panko', '1 tsp tomato paste', 'tsp dried herbs', '3 tbsp olive oil', '2 bay leaves', 'pepper', 'salt']","['Peel and chop the onion and garlic. Add them together with the olive oil and bay leaves to a large saucepan. Season with some pepper and salt.', 'Place the pan over medium-high heat until hot. Then fry the onion and garlic for 8 minutes until soft. Stir regularly. Then let the fried onion and garlic cool down fully. In the meantime slice the top off the tomatoes and empty them using a tablespoon.', 'You can keep the seeds and tomato meat for another recipe. Remove the bay leaves. Then add the minced meat, dried herbs, tomato paste, fresh parsley and breadcrumbs. Season with some pepper and salt.', 'Then knead the mince well for 3 minutes.', 'Remove the mince from the bowl and divide it into 4 pieces. Roll them into large meatballs and then stuff them in the emptied tomatoes.', 'Place the tomatoes in a baking dish and then top with the tomato hats.', 'Place the dish in a preheated oven at 356°F (180°C) for 30 minutes. Then turn the oven off, place some tinfoil on top and let the tomatoes in the cooling oven for another 30 minutes. Serve hot.']","['4', '4 people']",['Main Course'],PT60M,PT60M
6,Veau en Tortue (Veal Head & Tomato Stew),PT40M,"['1 lb tortue veal head cheese ((450 g))', '¼ cup water ((60 ml))', '¼ cup madeira wine ((60 ml), or dry white wine)', 'a handful pickled gherkins', 'a handful white mushrooms', '1 large hard-boiled egg (peeled)', '3 tbsp fresh parsley (chopped)', 'dried herbs', '1 bay leaf', 'pepper', 'salt']","['1. Add the veal head cheese to a large pan and pour in the cold water and madeira wine (or white wine).', '2. Place the pan over medium-high heat until hot and let the head cheese melt slowly in the water. Stir it regularly. Once melted, add a pinch of the dried herbs and the bay leaf.', '3. Stir again and put a lid on the pan. Turn the heat a little lower and simmer the stew for 5 more minutes. In the meantime slice the pickled gherkins finely. Clean and trim the white mushrooms and slice them into bite-size bits. Slice the boiled egg in half as well. Add both the sliced mushrooms and pickled gherkins to the veal stew together with the freshly chopped parsley.', '4. Stir the veal stew well and let it simmer for another 10 minutes until the mushrooms are cooked through. Check the seasoning and add extra pepper or salt to taste if necessary.', '5. Scoop the veal stew onto deep plates, drizzle with the remaining tomato sauce and garnish with half a boiled egg. Serve hot.']","['2', '2 people']",['Main Course'],PT10M,PT30M
7,Belgian Beer Braised Pork Cheeks Stew,PT210M,"['6 pork cheeks ((about 10,5 oz or 350 g))', '2 small bottles Rodenbach beer ((2 ¾ cups or 660 ml))', '1 large shallot (chopped)', '1 large garlic clove (chopped)', '4 sprigs fresh thyme', '1 bay leaf', '1 clove', '1 tsp juniper berries', '3 cardamom pods ((optional))', '1 slice gingerbread (diced)', '2 tsp strong mustard', '1 tbsp (sauce thickener)', '2 tbsp butter (or lard)', 'pepper', 'salt']","['1) Add the butter or lard together with the chopped shallot and garlic to a non-stick pan and place it over medium heat.', '2) Lightly fry the shallot and garlic for 3 minutes. Then add the bay leaf, thyme, clove, juniper berries and cardamom pods (optional).', '3) Cook for another 2 minutes. Then place the pork cheeks on top of the shallot and herbs. Pour in the beer. The pork cheeks should be fully submerged.', '4) Also add the diced gingerbread and half of the mustard. Season with pepper and salt.', '5) Turn the heat low and put a lid on the pan. Let the pork cheeks simmer and braised extremely gently for 3 hours. Don’t let them boil, keep it low and slow. Check regularly. In the end the pork cheeks should fall apart easily. when you touch them.', '6) Remove the pork cheeks from the stew and bring the remaining braising liquid to a good boil. Add the sauce thickener. Let the sauce reduce until you get a much thicker consistency. Turn off the heat.', '7) Check the seasoning and add extra pepper, salt or mustard to taste if necessary.', '8) Add the pork cheeks back to the pan. Drizzle with the sauce. Let them sit there for another 5 minutes. Then scoop the cheeks and sauce onto plates and serve hot.']","['2', '2 people']",['Main Course'],PT30M,PT180M
8,Carpaccio of White Asparagus,PT30M,"['2 fresh white asparagus', '1 tsp sesame seeds', '2 tbsp fresh tarragon (chopped)', '1 tbsp toasted sesame oil', '1 tbsp good quality olive oil', '2 tbsp white wine vinegar', 'a handful grey North Sea shrimp (peeled (optional))', 'pepper', 'salt']","['First peel the asparagus. Place them horizontally on a clean chopping board and hold them with one hand by their heads. Then with your free hand carefully run a vegetable peeler from the heads towards the cut end. Turn the asparagus as you go until you have removed every inch of the tough skin.', 'Trim the bottom parts.', ""Once peeled, slice the asparagus lengthwise into thin strips while holding the head steady. Don't push too hard because the asparagus breaks easily."", 'In a small cup or glass combine the sesame oil, the olive oil and the white wine vinegar. Season with a little pepper and salt. Stir these ingredients into a light dressing.', 'Check the seasoning of the dressing and add extra salt, pepper or white wine vinegar to taste if necessary. Place the curly strips of shaved white asparagus onto plates and drizzle with the dressing. Finish with a little pinch of salt, the chopped tarragon and the sesame seeds. Serve the carpaccio chilled.']","['2', '2 people']","['Appetizer', 'Starter']",PT30M,
9,Creamy Salmon & Sorrel Recipe,PT50M,"['10,5 oz fresh salmon ((300 g))', '½ cup cream ((120 ml))', '1 small shallot (chopped)', '1 cup dry white wine ((240 ml), or vermouth)', 'a handful fresh sorrel (leaves)', '1 tbsp mustard seeds', '1 tbsp unsalted butter', '1 tbsp olive oil', '2 tsp strong mustard', 'pepper', 'salt']","['Rinse and drain the sorrel. Chop it up and put it aside until later.', 'Add the chopped shallot, mustard seeds and the butter to a medium saucepan. Place this over medium heat and gently cook the shallots in the melting butter for 3 minutes.', 'Add the dry white wine (or vermouth).', 'Let this reduce by at least half over low heat. This will take about 8 to 10 minutes. Then pour in the cream. Season with a pinch of pepper and salt.', 'Bring the sauce to a simmer and cook for 10 minutes over very low heat. Stir regularly. In the meantime cut the salmon in half. Season both pieces on all sides with pepper and salt. Pour the olive oil in non-stick pan and place it over medium-high heat until hot. Then add the seasoned salmon.', 'Brown the salmon on all sides until cooked the way you like it.', 'Remove the salmon from the pan and cover with a piece of tinfoil for now. Add the mustard to the cream sauce.', 'Stir well and check the seasoning. Add extra pepper, salt or mustard to taste if necessary.&nbsp;Now take the cream sauce off the heat and stir in the drained and chopped sorrel.', 'Place the cooked salmon onto plates. Drizzle with the creamy sorrel sauce. Serve immediately.']","['2', '2 people']",['Main Course'],PT20M,PT30M
