,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Tilapia à la mangue,PT34M,"['1 petit oignon rouge', '1 tomate', '1 citron jaune', '1 avocat', '1 mangue', '1 orange', 'piment (doux ou fort selon vos goûts)', '4 filets de tilapia', '5 cl de jus d’orange', '2 c. à soupe d’huile d’olive', '1 c. à soupe de gingembre râpé', 'coriandre', 'sel fin, poivre noir du moulin']","['Préchauffez votre four à th.7 (210°C).', 'Rincez les filets de tilapia sous l’eau froide puis séchez-les avec du papier absorbant.', 'Lavez et séchez l’orange avant d’en prélever les zestes.', 'Dans un grand plat allant au four, déposez les filets de tilapia. Arrosez-les avec l’huile d’olive, le jus d’orange et les zestes d’orange. Ajoutez 1 pincée de piment puis salez et poivrez à votre convenance.', 'Tournez vos filets de tilapia pour que chaque côté soit bien imbibé de la préparation.', 'Enfournez vos filets de tilapia marinés pendant 10 à 12 min à th.7 (210°C).', 'Pendant ce temps, pelez, dénoyautez et coupez la mangue en dés. Déposez les dés de mangue dans un saladier.', 'Pelez, dénoyautez puis hachez l’avocat. Epluchez l’oignon et coupez-le en fines lamelles. Lavez, séchez et coupez la tomate en cubes. Hachez la coriandre. Prélevez le zeste du citron puis pressez-le pour recueillir le jus.', 'Ajoutez l’avocat haché, les lamelles d’oignon, les cubes de tomate, la coriandre hachée, le gingembre râpé, le jus de citron et ses zestes aux dés de mangue.', 'Mélangez énergiquement pour avoir une sauce homogène et colorée.', 'Dressez vos filets de tilapia dans vos assiettes puis nappez-les de sauce à la mangue.', 'Dégustez vos filets de tilapia à la mangue bien chauds, accompagnés de riz blanc par exemple.']",4 Pers.,Plats,PT30M,PT4M
1,Coktail bouye-bissap,PT1H15M,"[""3 poignes de feuilles d'oseilles rouge (bissap)"", '1/2 kg de pain de singe (bouye)', '1 pot moyen de lait demi-crm non sucr', ""1 pot d'ananas (jus)"", '10 sachet de sucre vanille', 'sucre']","[""Faites infuser les feuilles d'oseilles 1 heure de temps, dans 1/2 l d'eau."", 'Filtrez et rservez.', ""Laissez reposer le pain de singe dans 1/2 l d'eau, malaxez bien, filtrez et rservez."", 'Mettez dans un saladier, les jus obtenus.', ""Ajoutez le pot d'ananas, le lait, le sucre vanille."", 'Remuez et sucrez volont.', ""Ajoutez un peu d'eau si c'est trop concentr."", 'Buvez-le trs frais.']",10 Pers.,Plats,PT1H15M,PT
2,Gombo terre et mère,PT1H30M,"['1/2 kg de viande bovine (type bourguignon)', '300 g de crevettes cuites', '6 pinces de crabes cuits (ou crabes entiers)', '250 à 300 g de gombos frais', '1 oignon', ""4 gousses d'ail"", '2 grosses tomates pelées', '2 piments antillais (facultatif)', 'Poudre de crevettes fumées', 'Poudre de poisson fumé (ou poisson fumé)', 'Epices moulus (poivre, gingembre)', '2 cubes de bouillon', 'Sel', 'Huile végétale', 'Huile rouge de palme']","[""Assaisonnez les morceaux de viande avec du sel et une cuillère à café d' épices. Mettez les à cuire dans une marmite faitout avec un peu d 'eau. "", ""Laissez la viande cuire jusqu'à évaporation de toute l eau."", 'Rajoutez 2 cuillères d huile et faites rôtir les morceaux de viande.', ""Lorsque les morceaux sont dorés, rajoutez la tomate coupée en morceau,1/4 des oignons, l ail haché , 2 cuillères à café de poudre de poisson fumé, 1 cuillère à café de poudre de crevettes fumées, 1 cuillère à café de mélange d'épices. Mélangez. "", ""Laissez cuire. Couvrez avec de l' eau 1 .5 l. Rajoutez les 2 cubes de bouillon. Laisser mijoter la sauce à feu doux pendant 20 à 30 minutes."", ""Découpez les gombos en tronçons d'au moins 1 cm. Faites les sautez dans une poêle avec 1 cuillère à soupe d'huile et le reste des oignons 3 à 4 minutes. Salez poivrez."", 'Décortiquez les crevettes. ', ""Rajoutez les à la sauce, avec les pinces de crabe. Mélangez gouttez l'assaisonnement."", 'Incorporez les gombos sautés dans la sauce. ', ""Ajoutez les piments frais. Arrosez d'un filet d'huile de palme. Laisser mijoter 10 minutes. Le temps que les piments libèrent leur parfum. Et c'est prêt !"", ""Servez avec du riz blanc, du Tô, du foufou ou un autre accompagnement de votre choix. J'ai choisi cette fois du Tô, la pâte de farine de maïs blanc cuite à l'eau.""]",6 Pers.,Crevettes,PT30M,PT1H
3,Talé talé,PT15M,"['4 bananes bien mûres', '200 g de farine', '50 g de sucre', '1 sachet de levure', '1 sachet de sucre vanillé', ""1 c. à soupe d'huile""]","['Écrasez les bananes épluchées. ', 'Dans un saladier, mélangez la purée de bananes, la farine, le sucre et la levure. Mélangez jusqu’à obtenir une une belle pâte. Si le mélange est trop épais, ajoutez un peu d’eau. ', 'Placez cette boule dans un saladier, couvrez et laisser reposer au moins 2 h. ', 'Faire des petites boules avec la pâte. Faites chauffer beaucoup d’huile, et faites frire les beignets jusqu’à ce qu’ils soient bien dorés.']",8 Pers.,Desserts,PT10M,PT5M
4,Lakhou bissap de thiara,PT3H,"['2 kg de viande de veau', '125 cl d’huile de soja ou d’arachide', '250 g de tomate concentrée', '500 g d’arachide moulu', '250 g de patte d’arachide', 'poisson sec', '500 g de tomates farcies', '50 g de nététou', 'cube bouillon', 'poivron', 'oignon', 'piment sec et frais', 'ail', '1 kg de sankhal (à base de mil)', 'citron', 'diw gnior', 'sel, poivre']","['Mettez la marmite à feu vif. Mettez de l’huile et plongez-y la viande bien lavée et coupée en dés. ', 'Ajoutez l’oignon coupé en dés et la tomate concentrée. Une fois dorée, versez une grande quantité d’eau. ', 'Ajoutez-y la patte d’arachide, l’arachide moulu et le poisson sec. Tranchez en dés les tomates farcies et mettez-les dedans.', 'Puis, prenez un mortier, mettez poivre, piment sec, ail, oignon, poivron, nététou, cube bouillon. Pilez bien. ', 'Versez le tout dans la marmite et salez. Mettez le piment frais tout entier et diminuez le feu. Laissez mijoter pendant 1 h 30 min.', 'Lavez le sankhal et mettez-le dedans. Laissez cuire pendant 30 min, en remuant de temps en temps. ', 'Ensuite, servez à chaud, accompagné de citron, diw ngior et le piment frais. Bon appétit.']",10 Pers.,Veau,PT1H,PT2H
5,Aloko bananes et thon,PT30M,"['1 oignon (rouge de préférence)', '8 œufs entiers', '1 grosse boîte de thon au naturel', '4 bananes plantains bien mûres', '1.5 l d’huile de friture', '1 c. à soupe d’huile d’olive', 'sel fin et poivre noir du moulin']","['Dans une casserole à fond épais, versez l’huile de friture puis faites-la chauffer.', 'Epluchez et découpez vos bananes plantain en rondelles. Assaisonnez-les avec du sel et du poivre.', 'Lorsque l’huile de friture est bien chaude, plongez-y les rondelles de bananes plantain. Faites-les frire jusqu’à ce qu’elles soient légèrement dorées. Déposez-les sur du papier absorbant pour retirer l’excédent d’huile.', 'Déposez vos œufs entiers dans une casserole. Recouvrez-les d’eau et portez le tout à ébullition. A ébullition, comptez 9 min de cuisson. A la fin de la cuisson, égouttez les œufs durs et laissez-les refroidir. Ecalez-les puis coupez-les en rondelles.', 'Pelez et coupez l’oignon en dés.', 'Dans une poêle, faites chauffer l’huile d’olive puis faites-y dorer l’oignon.', 'Egouttez soigneusement le thon puis émiettez-le à l’aide d’une fourchette.', 'Ajoutez-le dans la poêle avec les dés d’oignon. Mélangez et laissez cuire quelques minutes.', 'Mélangez ensemble les rondelles d’aloko, le thon aux oignons et les rondelles d’œufs. Rectifiez l’assaisonnement si nécessaire.', 'Servez votre aloko bananes et thon et dégustez-le tiède ou chaud.']",4 Pers.,Thon,PT15M,PT15M
6,Aloko aux bananes,PT25M,"['5 bananes plantain bien mûres', '500 ml huile d’olive', 'sel fin et poivre noir du moulin']","['Faites chauffer l’huile d’olive dans une casserole à fond épais.', 'Epluchez les bananes plantain.', 'Tranchez ensuite les bananes plantain en rondelles ou en tranches.', 'Salez et poivrez vos rondelles de bananes plantain sur les deux faces.', 'Plongez les rondelles de bananes plantain dans l’huile chaude. Faites-les cuire quelques minutes jusqu’à ce que chaque tranche soit bien dorée.', 'Déposez les aloko aux bananes sur du papier absorbant pour retirer l’excédent de gras. Rectifiez l’assaisonnement si nécessaire.', 'Servez vos aloko aux bananes bien chauds, avec du riz blanc, un poulet braisé et une sauce piquante pour un plat complet et savoureux.']",4 Pers.,Fruits Cuisines,PT10M,PT15M
7,Tilapia et pommes de terre au four façon méditéranéenne,PT30M,"['1 gousse d’ail', '2 courgettes', '3 pommes de terre', '1 boîte de tomates pelées (environ 80 cl)', '3 filets de tilapia', 'herbes de Provence', 'piment d’Espelette', 'piment de Cayenne', '2 c. à soupe d’huile d’olive', 'sel fin et poivre noir du moulin']","['Préchauffez votre four à th.7 (210°C).', 'Epluchez puis coupez les pommes de terre en dés.', 'Dans une casserole d’eau bouillante salée, faites cuire les dés de pommes de terre pendant 5 min environ. Egouttez-les.', 'Epluchez puis hachez finement la gousse d’ail. Lavez puis coupez les courgettes en rondelles.', 'Dans une poêle, versez l’huile d’olive puis faites-y revenir l’ail haché et les rondelles de courgettes à feu vif. Assaisonnez à votre convenance avec les herbes de Provence, les piments de Cayenne et d’Espelette, le sel et le poivre.', 'Laissez mijoter quelques minutes puis ajoutez la moitié de la boîte de tomates pelées.', 'Baissez à feu doux, couvrez puis laissez mijoter 5 min. Incorporez ensuite les dés de pommes de terre précuits. Mélangez puis laissez mijoter 2 à 3 min supplémentaires, toujours à feu doux.', 'Dans un plat allant au four, versez le mélange de légumes.', 'Disposez les filets de tilapia par-dessus.', 'Enfournez votre plat de tilapia et pommes de terre au four façon méditerranéenne pendant 20 min à th.7 (210°C).', 'A la fin de la cuisson, servez votre tilapia et pommes de terre au four façon méditerranéenne aussitôt et dégustez-le bien chaud.']",3 Pers.,Au Four,PT,PT30M
8,Boulettes d'ignames sauce tomate,PT40M,"['1 kg igname', 'persil', 'oignon pour les boulettes', 'beurre', '*Pour la sauce tomate:', 'purée de tomate', 'viande hachée', 'oignon', 'bouillon', 'poivron']","[""Faites bouillir les ignames, égouttez et mixez avec le beurre. Hors du mixeur, ajoutez l'oignon haché finement et le persil avec un oeuf. "", ""Formez des boules que vous faites paner et frire. Pour la sauce tomate, faites revenir la viande hachée dans un peu d'huile. Ajoutez la tomate et les oignons, couvrez avec le bouillon, laissez réduire et c'est prêt. Servez avec les boulettes.""]",4 Pers.,Amuse Bouche,PT15M,PT25M
9,Tilapia sauce à l'échalote,PT35M,"['1 c. à soupe de sucre en poudre', '50 g de beurre doux', '25 cl de crème liquide', '8 à 10 échalotes', '1 verre de vin blanc', '1 verre de bouillon de poisson', '4 filets de tilapia', '2c. à soupe d’huile d’olive', 'sel fin et poivre noir du moulin']","['Epluchez et émincez finement les échalotes.', 'Dans une poêle, faites chauffer l’huile d’olive. Lorsque l’huile est bien chaude, faites-y revenir les échalotes émincées à feu doux.', 'Ajoutez ensuite le vin blanc et le bouillon de poisson. Laissez mijoter toujours à feu pendant 10 min.', 'Lorsque la sauce à l’échalote a bien réduit, ajoutez la crème liquide et portez à ébullition.', 'A ébullition, retirez la poêle du feu puis ajoutez-y le beurre coupé en morceaux et le sucre (cela permettra de faire ressortir le goût de l’échalote dans votre sauce).', 'Assaisonnez avec le sel et le poivre à votre convenance. Mélangez et réservez votre sauce à l’échalote au chaud.', 'Cuisez vos filets de tilapia selon vos goûts\xa0: à la poêle avec un filet d’huile d’olive ou à la vapeur.', 'Servez ensuite votre tilapia sauce à l’échalote bien chaud, accompagné de pommes de terre vapeur ou frites ou d’une poêlée de légumes rôtis.']",4 Pers.,Plats,PT15M,PT20M
