,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Cape Verde Salad,PT10M,"['1 romaine lettuce cleaned well and chopped', '1 cucumbers Cucumber -, sliced', '2 tomatoes cut to wedges', '1/3 cup white vinegar ', '1 cup olive oil ', 'salt to taste']",[],4,['Salads'],,
1,Cape Verde Sausage Stew (Cachupa),PT1H45M,"['1 tablespoon oil 15 mL', '1 onion finely chopped', '4 cloves garlic minced', '2 bay leaves ', '14 ounces tomatoes with juice ', '2 cups chicken stock 500 mL', '1 pound pork belly fresh, cut into 6 pieces', '1 green cabbage small, about 1 lb/500 g, cored and quartered', '1 sweet potato peeled and cut into chunks, about 1 inch/2.5 cm', '15 ounces hominy drained', '1 cup red kidney beans drained cooked, 250 mL', '8 ounces chorizo sausage dry-cured, thinly sliced 250 g']",[],8,['Main Dishes'],,
2,Cape Verde Jagacida (Portuguese Rice),,"['1 1/4 cups long grain white rice ', '2 1/2 cups water ', '1 bay leaf large', '1 pound sausage Linguica, or turkey sausage equivalent', '1 tablespoon tomato paste ', '1 cup frozen lima beans ', '1 onion medium, chopped', '2 cloves garlic minced', '1/4 teaspoon white pepper ', '1 tablespoon olive oil ', 'oil ', 'salt ', 'pepper ', 'onions ', 'garlic ', 'water ', 'tomato paste ', 'bay leaf ', 'lima beans ', 'rice ', '30 liquid minutes until, is absorbed and rice is tender.', 'bay leaf Remove the, and serve.']",[],4,,,
3,Cape Verde Gufong (Fried Pastry),PT30M,"['2 cups water ', '1 cup sugar ', '1 cup cornmeal ', '1 cup flour ', '1 dash salt ', '1 dash baking powder ', 'vegetable oil for frying']",[],4,,,
4,Big Batch Salsa Verde,PT1H,"['2 pounds tomatillos ', '4 jalapeño chilies ', '2 poblano chilies ', '4 Anaheim chilies ', '2 onions medium', '6 garlic cloves ', '1/4 cup extra virgin olive oil ', '2 teaspoons salt for roasted vegetables', '1 cup cilantro leaves and tender stems; 1 cup is 1/2 cup chopped', '2 tablespoons fresh lime juice for blending', '1/4 cup water for blending', '1/2 teaspoon ground cumin for blending', 'salt optional, for serving', 'lime juice optional, for serving', 'cumin optional, for serving', 'water optional, for serving', 'tortilla chips or raw vegetables, plus additional foods for serving as you like\ufeff']","['Preheat oven to 425°F.', 'Pull husks from tomatillos and cut tomatillos in half. Core and seed jalapeño, poblano, and Anaheim chilies. Cut onions into thick slices, and smash garlic.', 'Spread tomatillos on one sheet pan and jalapeños, poblanos, Anaheims, onion slices, and garlic on another sheet pan. Drizzle evenly with olive oil and toss everything to coat lightly. Sprinkle with salt.', 'Roast vegetables on racks in upper third and lower third of preheated oven for 15 minutes. Turn once or twice with a spatula, and roast until vegetables have collapsed and are starting to brown around edges, 10-20 minutes more.', 'Check to see that vegetables are done. Remove from oven or add time as needed. Let cool.', 'Roughly chop cilantro. Juice the lime. Scrape vegetables and juices into blender. Add cilantro, lime juice, water, and cumin and pulse to create a slightly chunky puree.', 'Taste and add more salt, lime juice, or cumin if you like. If salsa seems thick, add a bit more water.', 'Serve salsa in a bowl with tortilla chips or raw vegetables; on quesadillas, tacos, or enchiladas; with grilled shrimp; on cream cheese served with crackers…everything! To store salsa for later, divide into 4 zip-top freezer bags, squeeze out any air, and seal; freeze up to 4 months.\ufeff']",24,['Appetizers'],,
5,Pork Pozole Verde,PT2H30M,"['2 pounds boneless pork shoulder cut into 1- to 1 1/2-inch pieces', '1 pound tomatillos husked and halved', '2 poblano chiles or pasilla chiles, stemmed, quartered, seeds and veins removed', '2 jalapeno chiles stemmed, halved, seeds and veins removed', '1/2 cup cilantro leaves coarsely chopped', '6 cloves garlic ', '2 small onions 1 cut into 6 or 8 chunks and 1 cut into 1/2-inch dice', '6 cups chicken stock divided', 'salt ', 'pepper ', '2 tablespoons canola oil or other neutral-flavored oil, divided', '50 ounces hominy drained', '1 1/2 teaspoons dried oregano ']","['In a blender, combine tomatillos, poblanos, jalapenos, cilantro, garlic and chunked out onion and pulse to coarsely chop. Add 1 cup of chicken stock and puree. ', 'In a large skillet over medium-high heat, warm 1 tablespoon of oil. Add tomatillo mixture and bring to a boil. Reduce to medium and cook, stirring occasionally, until the sauce thickens and becomes medium green, about 20 minutes. Remove from heat, add salt and pepper to taste, and set aside. ', 'While the tomatillo mixture is cooking, in a small stockpot or Dutch oven over medium-high heat, warm remaining 1 tablespoon of oil. Add half the pork and cook until browned on all sides, about 5 minutes. Use a slotted spoon to remove browned pork to a plate and set aside. Repeat with remaining pork. ', 'Add diced onion to the pot and cook, stirring occasionally, until crisp-tender, 2 to 3 minutes. Add remaining 5 cups of chicken broth, scraping up any browned bits. Add pork, hominy and oregano and bring to a boil over high heat. Reduce to a simmer and cook, stirring occasionally, for 15 minutes. ', 'Stir in tomatillo mixture and continue cooking, stirring occasionally, until the pork is very tender, 1 to 1 1/2 hours. Add salt and pepper to taste. Serve pozole topped with suggested garnishes. ']",8,['Main Dishes'],,
6,Salsa Verde Chicken Nachos,PT35M,"['14 ounces tortilla chips ', '3 cups cooked chicken breasts shredded', '1 teaspoon ground cumin optional, divided', '1 teaspoon ground coriander optional, divided', ""8 ounces monterey jack cheese shredded; or pepper jack if you'd like it spicier"", ""16 ounces salsa verde use hot salsa if you'd like it more spicy"", '1/2 cup cilantro leaves ', '1 jalapeño chili sliced, optional', '2 avocados pitted, peeled, and diced']","['Preheat oven to 350°. Coat a sheet pan with cooking spray or oil.', 'Arrange half of the tortilla chips in an even layer in the prepared sheet pan. Top with half of the chicken and sprinkle with half of the cumin and coriander, if using, then half of the cheese. Repeat the layers.', 'Bake nachos until the cheese melts, 15 minutes. Top evenly with salsa verde, cilantro, jalapeño (if using), and avocados. Serve immediately.']",6,['Appetizers'],,
7,Chile Verde de Puerco,PT2H45M,"['3 pounds boneless pork shoulder OR country-style ribs, cut into 1 1/2-inch pieces', '1 teaspoon salt ', '1 teaspoon black pepper ', '6 tablespoons flour ', '5 tablespoons vegetable oil divided', '2 onions large, diced', '8 cloves garlic crushed', '2 pounds tomatillos husked, cored and quartered', '1 tablespoon ground cumin ', '1 tablespoon dried oregano ', '1 cinnamon stick ', '12 ounces beer ', '14 1/2 ounces chicken broth ', '6 poblano chiles halved, seeded, sliced into 1/2-inch thick strips', '2 yellow bell peppers seeded and cut into 1-inch squares', '3/4 cup cilantro chopped', '2 teaspoons orange zest grated']","['Season pork with salt and pepper; dust with flour. Heat 4 tablespoons oil in Dutch oven, brown pork in batches, transferring pork to bowl when browned. Heat remaining tablespoon oil in pot. Add onion, sauté 3-4 minutes, until soft, stir in garlic and sauté one minute more. Add tomatillos, cumin, oregano, cinnamon and pork. Add beer and broth; bring to a boil, lower heat and simmer, partially covered, 2 hours, stirring occasionally. Add chiles and yellow pepper, simmer partially covered for 30-45 minutes more, until chiles are tender. Discard cinnamon stick. Stir in cilantro and orange zest.']",8,,,
8,Tortilla Chips with Salsa Verde,PT40M,"['10 corn tortillas yellow', '1 1/2 tablespoons olive oil ', '1 teaspoon chili powder ', '1 teaspoon salt ', '1 tablespoon fresh lime juice ', '8 tomatillos husked', '1 small onion cut into quarters', '2 jalapeno peppers ', '1 head garlic cut in half horizontally', '1/4 cup cilantro ', '1 teaspoon salt ']","['Place the Smart Oven+ Baking Stone Attachment in oven. Select STONE BAKE mode and preheat to 375°F.', 'Combine olive oil, chili powder and lime juice in small bowl. Brush tortillas on both sides. Cut tortillas in half then into 8 wedges. Arrange tortillas on parchment-lined Baking Stone in single layer. Sprinkle with salt and bake 8-10 minutes until golden brown. Transfer to cooling rack.', 'Increase heat to 450°F. Arrange tomatillos, onion, peppers and garlic on parchment-lined Baking Stone. Drizzle with olive oil. Roast for 10-12 minutes until browned and softened. Remove from Baking Stone and let cool.', 'Transfer roasted veggies to food processor, along with cilantro, and process until smooth. Season with salt and serve immediately. Can be prepared 2 days ahead and stored in refrigerator.']",12,,,
9,Pork Tamales with Salsa Verde,PT6H10M,"['8 ounces dry corn husks ', '2 1/2 pounds boneless pork shoulder ', '1 white onion sliced', '1 bay leaf ', '2 tablespoons kosher salt ', '1 teaspoon whole black peppercorns ', '3 sprigs fresh Mexican oregano or Italian oregano or 2 tsp dried oregano', '1 1/2 pounds tomatillos husks removed and washed', '1 white onion small, quartered', '2 cloves garlic peeled', '1 jalapeño stem removed cut in half', '1 serrano pepper stem removed and cut in half, or 2 jalapeños', '1 bunch cilantro washed, dried, and 1 inch of bottom stems removed', '2 teaspoons kosher salt ', '2 1/2 cups fresh pork lard ', '2 tablespoons baking powder ', '1 tablespoon kosher salt ', '4 pounds fresh masa quebrada para tamales NOT masa preparada para tamales', '1 1/4 cups pork stock from cooking the pork shoulder']","['Soak the corn husks. Bring a large pot of water to a boil. Remove from heat and add corn husks. Place a bowl on top and press down to completely submerge husks underwater. Let soak for at least 1 hour or until very pliable. Drain completely.', 'Cook the pork. Combine pork shoulder, 1 sliced white onion, bay leaf, 2 Tbsp salt, 1 tsp peppercorns, and 3 sprigs oregano in a separate large pot and fill with water. Water should cover ingredients by at least 2 inches.', 'Bring to a boil, then reduce heat to medium-low and cook until pork is very tender and can easily be shredded with a fork, about 2 hours.', 'Remove pork to a baking sheet or large plate. Strain broth through a fine mesh strainer into a heatproof container. Discard solids and save liquid for later use. Shred pork with two forks or your hands (if cool enough to handle).', 'Make salsa verde. Combine tomatillos, 1 quartered white onion, 2 cloves garlic, and jalapeno and serrano chiles in a large saucepan. Fill with water covering vegetables by at least 2 inches. Bring to a boil, then reduce heat to a simmer and cook, stirring occasionally, until tomatillos are starting to get soft, but not bursting, about 5 minutes.', 'Drain vegetables and place in blender, let cool. Add 1 small bunch cilantro and 1 teaspoon salt and blend until smooth. Taste and add more salt if needed.', 'Mix pork and salsa. In a large bowl mix together shredded pork and 2/3 of the salsa. Save the other third of the salsa for serving the tamales.', 'Make the masa. Place lard in the bowl of a 6-quart stand mixer fitted with the paddle attachment. If your mixer is smaller than 6 quarts, make the masa in two batches.', 'Add 2 Tbsp baking powder and 1 Tbsp salt and beat on high for 2 minutes. Add 2 tablespoons of cold water and continue beating until whipped and light, about another 3 minutes.', ""With the machine still beating, add hunks of masa, a couple tablespoons at a time and continue beating until all masa has been added and it's very fluffy, about another 5 minutes."", 'Turn machine off, scrape down the sides with a rubber spatula, add 1 1/4 cups pork broth from cooked pork that was set aside and turn machine on low to combine. Once completely combined, return mixer to high and keep beating another minute or so.', 'Prepare the steamer pot. Fill the pot about a third of the way full with water. Place the steamer insert on top and line the insert with corn husks that are too small or torn to use for tamales. Cover with the lid and bring to a boil over medium-high heat.', 'Assemble the tamales.', 'Take one corn husk that is about as wide as your hand on the bottom, dry both sides with a kitchen towel', 'Spoon about 1/3 cup of masa on the wide end of the corn husk. Spread in an even layer on the bottom half of the corn husk, leaving about 1/2 inch border on the right, left, and bottom sides.', 'Place about 2-3 tablespoons of the pork filling in a line down the middle.', 'Fold the right side of the corn husk over the left side and pull as tight as you can without the filling spilling out the top. Roll up.', 'Fold the triangle tip over the wide bottom. Tie with corn husk strips if you’d like.', 'Repeat with remaining masa and filling.', 'Cook the tamales. Place tamales, vertically, open-side up in the tamales steamer. Lean the tamales against the side of the pot to keep from falling until you have enough in the pot that they support each other.', 'Place over medium high heat so there’s lots of steam. Cover with a clean kitchen towel and then the lid.', 'Steam until masa is cooked through, about 40-50 minutes. Check occasionally to add more water to the steamer if needed.', 'To see if the tamales are ready, remove one from the pot and let cool for a few minutes. Unwrap and see if the masa is cooked in the middle. It should be firm, fluffy, and spring back when you press on it.', 'If they are ready, unwrap, top with remaining salsa verde and enjoy!']",20,['Main Dishes'],,
