,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Pumpkin Soup with Fish,PT45M,"['1 lb (450 gram) of pieces basa or catfish fillets,cut chunks', '2 tablespoons of fish sauce', '1 tablespoon of sugar', '1/4 teaspoon of black pepper', '3 stalks of green onion, chopped', '4 cups of water', '2 lbs (900 gram) of pumpkin, peeled,seeded and cut small chunks', '1 cup of chopped cilantro']","['In a large bowl, marinated fish with fish sauce, sugar, black pepper and green onion , set a side.', 'Cook water in a soup pot till water bubbling, a pumpkin and marinated fish to boiling water, stirs and cook till pumpkin tender.', 'Top with cilantro.']",1,['Soup'],PT30M,PT15M
1,Shrimp with Yu Choy Soup,PT45M,"['1/2 lb (225 gram) of shrimp, peeled and chopped', '2 stalks of green onion, chopped', '1 tablespoon of sugar', '2 tablespoons of fish sauce ( if use with pickle or fermented fish add only 1 tablespoon fish sauce)', '1/4 teaspoon of black pepper', '4 cups of water', '2 tablespoons of minced fresh or frozen lemon grass', '1 lb (450 gram) of yu choy, cut 3 inches in length,washed, rinsed', '1 tablespoon of pickle fish (pahok) or fermented fish (mam) ( option)', '2 tablespoons of roasted rice powder']","['In a small bowl, mix shrimp with green onion, sugar, fish sauce and black pepper together, set it a side.', 'Put water and lemon grass in a soup pot, cook till water boiling.', 'Put yu choy to boiling water, cook till yu choy tender.', 'Add marinated shrimp and cook till shrimp turns darker pink color.', 'Add *pahok* or *mam* and roasted rice powder. (option)']",1,['Soup'],PT30M,PT15M
2,Deep Fried Coconut Chicken Recipe,PT30M,"['2 chicken breasts bone-in cut in half', '4 chicken thighs', '6 drumsticks', '1 can of coconut milk', '1 teaspoon of Cayenne pepper', '1 teaspoon of garlic salt', 'Black pepper and salt to taste', 'You can use any seasoning you like']","['Flour seasoned with salt and pepper or any seasoning you have on hand', 'Take out the batter chicken and coat it with flour', 'Deep fry the chicken on medium heat until golden brown', 'Take out and drain on basket.', 'Take out the coconut batter chicken from the marinate then coat it with Italian bread crumb on both sides', 'Lay on a baking rack with baking tray under the rack.', 'Preheat oven to 425 degree bake for 25 minutes or until your chicken is done with golden color on the outside.']",2,"['Deep Fried', 'Baking']",PT15M,PT15M
3,Khmer Beef Spring Roll,PT30M,"['1 lb (450 gram) of lean grounded beef', '2 cloves of garlic, minced', '1 cup of diced yellow onion', '1 cup of diced jicima', '1 tablespoon of sugar', '1 tablespoon of soy sauce', '1 tablespoon of oyster sauce', '1 tablespoon of fish sauce', '1 teaspoon of cornstarch', '1/4 teaspoon of black pepper', '1 package, 50 pieces of spring roll pastry shells', '1 Egg, egg white only', '6 cups of vegetable oil for deep fry']","['In a large bowl , mixed grounded beef with garlic, onion and jicima together, add sugar, soy sauce, oyster sauce, fish sauce, corn starch and black pepper, mix well and set it a side.', 'Gentle pulls out each spring roll shell to separate from other shells.', 'Lay one sheet flat on a cutting board or plate, spoons some meat filling and put on 1/3 of the shell.', 'Wrap meat filling in spring roll shell, roll it tight and seal the end with egg white. Continue to make spring roll till filling gone.']",2,['Spring Roll'],PT15M,PT15M
4,Peanut Sesame Noodle Salad,PT30M,"['1 small box of spaghetti', '1 cup of Napa Cabbage', '1/2 cup of red bell pepper', '1/2 cup of red onion', '1/2 cup of cilantro', '1/2 cup of mints', '3 tablespoon of rice vinegar', '2 tablespoon of brown sugar', '3 tablespoon of soy sauce', '3 tablespoon of hoisin sauce', '5 tablespoon of olive oil', '1 teaspoon of sesame oil', '1 teaspoon of minced ginger', '1 teaspoon of garlic', '1 to 2 tablespoon of smooth peanut butter', 'Mix everything together half an hour ahead of time for flavor']","['Small box of spaghetti cooked according to package direction', 'Mix spaghetti with the dressing (add and taste as you mix) and vegetables', 'Toss with herbs mix well and Serve.']",2,"['Noodle', 'Salad']",PT15M,PT15M
5,Bamboo Shoots Soup with Pork,PT60M,"['4 cups of water', '1/2 lb (225 gram) of country ribs pork meat, sliced thin', '1 lb (450 gram) of bamboo shoot, rinsed and sliced thin', '2 tablespoons of fish sauce', '1 tablespoon of sugar', '1/4 teaspoon of black pepper', '3 stalks green onion, chopped']","['Boil water in a soup pot.', 'When water bubbling add pork meat and bamboo shoot, and cook till meat tender.', 'Seasoning with fish sauce, sugar and black pepper.', 'Top with green onion.']",1,['Soup'],PT30M,PT30M
6,Bamboo Shoot and Slirk Ngup Soup,PT60M,"['1 lb (450 gram) of boneless pork shanks,cut chunks bite sizes', '1 stalk of lemon grass, cut stalk to 4 inches in length', '6 cups of water', '1 medium size fresh bamboo shoot, sliced thin or 1-package, 16 oz sliced bamboo shoot, rinsed well and drained', '1 lb (450 gram) of *Slirk ngup*, removed leaves from stems, rinsed and drained', '2 tablespoons of roasted rice powder', '2 tablespoons of fish sauce', '1 tablespoon of sugar', '1/2 teaspoon of salt', '1/4 teaspoon of black pepper', '3 stalks of green onion, chopped']","['Put meat,lemon grass and water in a large soup pot, cook till meat tender, removed lemon grass stalks from the broth.', 'Add bamboo shoot to boiling broth, cook till bamboo shoot tender.', 'Add green leaves *slirk ngup* and roasted rice powder.', 'Seasoning with fish sauce, sugar, salt and black pepper.', 'Top with green onion.']",2,['Soup'],PT30M,PT30M
7,Cambodian Grill Tomato Salsa with Fried Fish,PT30M,"['2 big tomatoes (red or green tomato will work)', '1 onion cut in half', '1/2 red bell pepper', '1/2 yellow bell pepper', '1 Jalapeño (more or less up to you)', '2 to 3 big shallots', '4 garlic cloves']","['Grill or roast the above ingredients until soft, then minced it to small pieces set aside in a bowl.', 'To garnish the salsa you can add lime juice, sugar, chopped cilantro, green onion and fish sauce or salt if you like you can add msg to it. Adjust the flavor to your taste.']",2,"['Grilling', 'Fried']",PT15M,PT15M
8,Red Bean Coconut Dessert Recipe,PT90M,"['1 box of red bean jelly mix the direction is on the box', '1/2 can of coconut milk', '1/4 cup or less of sugar up to you', '1 tablespoon of cornstarch', 'Dash of salt']","['Chill your jelly for an hour', 'While you wait for the jelly, do the coconut cream for topping', 'Mix everything together on low heat till the sauce is thicken let cool down, then poor over the red bean pudding and put it back in the refrigerator for 1 more hour.']",1,['Dessert'],PT60M,PT30M
9,Grilled Ginger Chicken Wings,PT45M,"['2 lbs (900 gram) of chicken wings', '1/4 cup of soy sauce', '1/2 teaspoon of salt', '2 teaspoons of light brown sugar (I usually add a bit more.)', '3 tablespoons of fresh ginger root, grated', '6 garlic cloves, minced', '1 teaspoon of paprika']","['Put chicken wings in a large bowl or ziplock bag with soy sauce, salt, brown sugar, ginger, garlic and paprika, mix well.', 'Cover wings and refrigerate for at least 4 hours or over night.', 'Cook chicken wings on low heat grill until golden brown & skin is crispy. (About 15 minutes).']",4,['Grilling'],PT30M,PT15M
10,Homemade Pickle Green Mustard Recipe,PT30M,"['3 lbs of Chinese mustard', '8 cups of water', '3 tablespoon of salt', '1 tablespoon of sugar (you can put between 1 to 2 tablespoon)', '3 tablespoon of raw rice']","['Wash Chinese mustard and let air dry over night if you live in a cold state, or if you live in a hot state just put it outside for few hours.', 'Put the mustard in prepare clean jar, cut or fold anyway you like.', 'Boil water with salt, sugar, and rice until tender but not cook all the way.\xa0 Turn the heat off', 'Pour hot boiling salt water into the mustard jar cover and let it sit for 3 to 4 days then it will be ready to serve. (discard the rice)', 'Serve pickle mustard with any grill fish or chicken with minced chilies and rice.']",2,['Pickle'],PT15M,PT15M
11,Pumpkin Soup with Beef Shank,PT60M,"['1 lb (450 gram) of beef shanks, approx 2 pieces', '1 small yellow onion, chopped', '1 stalk of celery, chopped', '1/2 teaspoon of salt', '6 cups of water', '1 pumpkin, peeled and cut bite sizes cubes', '2 tablespoons of fish sauce', '1 teaspoon of sugar', '1/4 teaspoon of black pepper', '3 stalks of green onion, chopped']","['Put beef shanks with yellow onion, celery, salt and water in a large soup pot, cook till meat tender.', 'Add pumpkin, cook till pumpkin tender.', 'Seasoning soup with fish sauce, sugar and black pepper.', 'Top with green onion.']",2,['Soup'],PT30M,PT30M
12,Red Curry Shrimp and Tofu,PT60M,"['2 tablespoons of vegetable oil', '2 cloves of garlic, minced', '1 yellow onion, chopped', '2 tablespoons of fresh or frozen minced lemon grass (option)', '1 canned 4 oz (113 gram) of red curry paste', '1 cup of coconut milk', '2 cups of water', '1 tablespoon of fish sauce', '1 tablespoon of sugar', '1/2 teaspoon of salt', '1/4 teaspoon of black pepper', '1 lb (450 gram) of large or medium size shrimp, peeled and de-veined', '4 pieces firm tofu, cut into small cubes']","['Heat up a wok or soup pot.', 'When soup pot is hot, add oil, garlic, onion and lemon grass, stirs well.', 'Add red curry paste, coconut milk and water, stirs well.', 'Seasoning with fish sauce, sugar, salt and black pepper.', 'Add shrimp and tofu, stirs well, cook till shrimp turns darker pink color.']",2,['Curry'],PT30M,PT30M
13,Shrimp and Taro Root Soup,PT45M,"['5 cups of water', '2 lbs (900 gram) of taro root, peeled and cut to chunks bite sizes', '1/2 lb (225 gram) of shrimp,peeled and de-veined', '2 tablespoons of fish sauce', '1 tablespoon of sugar', '1/2 teaspoon of salt', '1/4 teaspoon of black pepper', '2 stalks of green onion, chopped']","['Put taro root and water in a soup pot, cook till taro root tender.', 'Add shrimp and cook till shrimp turns to darker pink color.', 'Seasoning with fish sauce, sugar, salt and black pepper.', 'Top with green onion.']",2,['Soup'],PT30M,PT15M
14,White Asparagus with Crab Meat Soup,PT45M,"['2 cloves of garlic, minced', '1 tablespoon of vegetable oil', '2 canned or 4 cups (900 ml) of Swanson Chicken-broth or any brand', '1 small yellow onions, minced', '1 large canned white asparagus', '2 tablespoons of cornstarch', '1 tablespoon of fish sauce', '1 tablespoon of sugar', '1/4 teaspoon of salt', '1/4 teaspoon of black pepper', '6 oz (170 gram) of Imitation crab meat (option)', '1 beaten egg (option)', '3 stalks of green onion, chopped', '1/2 cup of chopped cilantro', '1 Canned (6 oz or 170 gram) of Bumble Bee Fancy white crab meat']","['Heat up a small saucepan. Add oil and garlic when it hot. Sauté garlic till light brown. Set a side.', 'Put yellow onion and chicken broth in a soup pot and cook in medium temperature.', 'While soup stock cooking, open jar of white asparagus, pour liquid in to a small bowl. Add cornstarch with liquid and mix well. Set a side.', 'Removes asparagus stems from jar and put it in a plate. Shredded asparagus stems to long,thin strips.', 'Add white asparagus in to boiling soup stock.', 'Seasoning with fish sauce, sugar, salt and black pepper.', 'Pour cornstarch liquid in to boiling soup stock with one hand, and other hand to stirs soup well.', 'Add crab meat, imitation crab meat and garlic oil. Stirs well.', 'Pour beaten egg in to boiling soup and stir well.', 'Top with green onion and cilantro before serve.']",1,['Soup'],PT30M,PT15M
15,Preserved Lime Chicken Soup,PT45M,"['1 preserved lime cut to small pieces', '2 cloves of garlic smash in mortar pestle', '3 to 4 chicken drumsticks cut in half (you can use any kind of chicken or duck meat)', '4 to 5 cups of water', '1 green onion for garnish', '1 sliced of fresh ginger', '3 tablespoon of fish sauce', '1 teaspoon of sugar', '1 teaspoon of Knorr chicken powder', '1/4 teaspoon of black pepper']","['In a soup pot boil the water then add chicken when the water is boiling, cook the chicken, ginger until it is tender add preserved lime, garlic, fish sauce, sugar, Knorr chicken powder and black pepper.', 'Taste and adjust the flavor turn the heat off garnish with green onion.']",2,['Soup'],PT15M,PT30M
16,Green Mango Relish,PT45M,"['2 tablespoons of lime juice', '1 tablespoon of sugar', '4 cloves of garlic, minced', '6 fresh hot chili pepper or to your taste (option)', '1 large green mango, peeled and julienne', '1 Roman tomato, sliced thin', '1 tablespoon of fish sauce', '1 tablespoon of shrimp paste', '1 salty crab little crab (kdam pait)']","['In a small bowl, mix limejuice and sugar together, mix well and set a side.', 'Using mortar and pestle to pounded garlic and chili pepper together, add ½ amount mango and tomato, pounded and stirs it lightly.', 'In a large bowl, mix remaining green mango with pounded green mango, pour prepared lime sauce on top, mix well before serve.', 'In a small bowl, mix limejuice, sugar and fish sauce (tirk trey) together, mix well and set a side.', 'Using mortar and pestle to pounded garlic and chili pepper together, add ½ amount mango and tomato, pounded and stirs it lightly.', 'In a large bowl, mix remaining green mango with pounded green mango, and pour prepared fish lime sauce on top, mix well before serve.', 'In a small bowl, mix lime juice with sugar, mix well and set it a side.', 'Using mortar and pestle to pounded garlic, chili pepper and salty crab (kdam pait) together, add ½ amount mango and tomato, pounded and stirs it lightly.', 'In a large bowl, mix remaining green mango with pounded green mango, and pour prepared lime sauce on top, mix well before serve.', 'NOTE: Some people prefers put prepared salty crab(already marinated with lime and sugar)on top salad just before serve.', 'In a small bowl, mix limejuice, sugar and shrimp paste sauce (kapik) together, mix well and set a side.', 'Using mortar and pestle to pounded garlic and chili pepper together, add ½ amount mango and tomato, pounded and stirs it lightly.', 'In a large bowl, mix remaining green mango with pounded green mango, and pour prepared shrimp paste sauce on top, mix well before serve.']",2,['Pickle'],PT30M,PT15M
