,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Cameroon Ndole,1hr:15mns,"['\n        ', '3 cups', ' washed bitter or non bitter leaves (ndole)\n        \n      ', '\n        ', '3 cups', ' ground peanuts\n        \n      ', '\n        ', '5 cloves', ' garlic\n        \n      ', '\n        ', '1 piece', ' ginger\n        \n      ', '\n        ', '2', ' medium sized onions\n        \n      ', '\n        ', '1', ' Leek/ spring onion\n        \n      ', '\n        ', ' White pepper\n        \n      ', '\n        ', '1/2 cup', ' ground crayfish (optional)\n        \n      ', '\n        ', '1 cup', ' oil\n        \n      ', '\n        ', '1/2 kg', ' beef or chicken\n        \n      ', '\n        ', ' Salt and cube to season\n        \n      ', '\n        ', ' Hot pepper (optional)\n        \n      ', '\n        ', ' Fresh shrimps/prawns to garnish\n        \n      ', '\n        ', ' Sweet potatoes or ripe plantain\n        \n      ']","['\n        ', 'Soak the peanuts in water for about 1 hour and blend afterwards. Alternatively you can parboil the peanuts for about 5 mins.', '\n        \n      ', '\n        ', 'Blend the ginger, garlic, 1 onion, leeks, white pepper', '\n        \n      ', '\n        ', 'Boil the meat with half onion, 3 cups of water, pinch of salt and a cube (maggi) for about 20 mins until tender', '\n        \n      ', '\n        ', 'Warm 1/4 cup of oil in a pot. Put in 1/4 chopped onions and fry for about 30 secs.', '\n        \n      ', '\n        ', 'Pour in the peanuts and add 3 cups of water. Cook for about 15 mins. stir from time to time.', '\n        \n      ', '\n        ', 'Add to it the ginger, garlic, white pepper and leek mixture. stir properly', '\n        \n      ', '\n        ', 'Add the ndole (vegetables) in small quantities while stiring. Add the meat with stock, crayfish, hot pepper, cube and salt. Allow to simmer for 10-15 mins till thick.', '\n        \n      ', '\n        ', 'Warm the rest of the oil in a pan. Add to it the prawns and then the rest of the onion. Fry these for about 5 mins. Pour it into the pot of ndole while it is still simmering.', '\n        \n      ', '\n        ', 'Peel your sweet potatoes or ripe plantain and boil for 20 mins. You can boil with the peelings and peel afterwards.', '\n        \n      ', '\n        ', 'Serve your ndole hot with red wine. Bonne appetite.', '\n        \n      ']",,,,
1,Cameroon: suja,,"['\n        ', '500 g', ' thin cut steak\n        \n      ', '\n        ', '1 tbsp', ' paprika\n        \n      ', '\n        ', '1 tbsp', ' garlic powder\n        \n      ', '\n        ', '1 tbsp', ' onion powder\n        \n      ', '\n        ', '1 tsp', ' cayenne or chilli powder\n        \n      ', '\n        ', '1', ' stock cube\n        \n      ', '\n        ', '1', ' good grind of black pepper\n        \n      ', '\n        ', '1', ' good grind of salt\n        \n      ', '\n        ', '1 tbsp', ' vegetable oil\n        \n      ', '\n        ', '50 g', ' ground nuts of your choice (I used cashews)\n        \n      ']","['\n        ', 'Mix all the dry ingredients together and place in a zip lock bag. Give it a good shake to mix it up then pour in the oil.', '\n        \n      ', '\n        ', 'Slice the steak into thin strips and pierce them onto bamboo sticks or metal kebab skewers', '\n        \n      ', '\n        ', 'Insert the skewers into the bag and give everything a good squish so the beef is covered in the spices. Leave to marinate for about 30 mins to 1 hour', '\n        \n      ', '\n        ', 'Heat your grill and arrange the beef skewers on the grill pan and grill for about 10 mins or until you think it looks cooked. They should be a little crispy around the edge but still tender in the middle.', '\n        \n      ']",,,,
2,Afang Soup,1hr 20 mins,"['\n        ', '1 kg', ' beef\n        \n      ', '\n        ', '1 kg', ' cow leg\n        \n      ', '\n        ', '1/2 kg', ' offal\n        \n      ', '\n        ', '1', ' big head of Stockfish\n        \n      ', '\n        ', ' to taste Salt\n        \n      ', '\n        ', '10', ' fresh pepper blended\n        \n      ', '\n        ', '4', ' Seasoning cubes\n        \n      ', '\n        ', '1/2 cup', ' blended crayfish\n        \n      ', '\n        ', '3 cups', ' blended okazi leaf\n        \n      ', '\n        ', '8', ' large bunches of Waterleaf\n        \n      ', '\n        ', '4 cup', ' diced kpomo\n        \n      ', '\n        ', '2', ' dried catfish\n        \n      ', '\n        ', ' waterleaf cooking\n        \n      ', '\n        ', '1/2', ' medium onion\n        \n      ', '\n        ', '1 tbsp', ' Cameroon pepper\n        \n      ', '\n        ', '2 cups', ' palm oil\n        \n      ', '\n        ', ' little blended crayfish\n        \n      ', '\n        ', ' I cup periwinkle\n        \n      ', '\n        ', ' Washed waterleaf\n        \n      ']","['\n        ', 'Wash and boil your beef, soft cow leg and offal with stock fish and spice with salt, knorr cube and pepper till the protein is very soft and tender. While those cook, wash and chop the water leaf and set aside. blend the dry diced okazi leaf with a little crayfish and set aside. Wash and debone dry fish with warm salted water and set aside too.', '\n        \n      ', '\n        ', 'Add your washed dried fish, kpomo, and 1/2 of your crayfish, cook for another 5 to 10 minutes, and once the protein is tender and the meat stock almost dried up turn off the heat and set it aside.\u2028', '\n        \n      ', '\n        ', 'Cut and wash periwinkle thoroughly using salt, par boil for 7 to 10 mins, then rinse with clean water drain and set aside', '\n        \n      ', '\n        ', 'In a large pot, add washed waterleaf, pour in palm oil, dice little onion, add Cameroon pepper, and remaining crayfish, stir then allow it cook till the water is almost during out; add the periwinkle and stir continuously till the water dries out.', '\n        \n      ', '\n        ', 'Pour your vegetable into your meat stock and stir till your vegetable and meat stock is mixed together. taste to adjust seasoning if necessary.', '\n        \n      ', '\n        ', 'Finally add blended okazi leaf, stir properly and remove from heat after 3 to 5 minutes.\n', '* Tip: I was told you have to turn off the heat before adding your okazi leaf.', '\n        \n      ', '\n        ', 'Serve with your favourite swallow, mine is hot yellow eba\u2028\u2028', '\n        \n      ']",10 servings,,,
3,White soup special,1 hour,"['\n        ', ' Cow Kanda (with goat meat kanda)\n        \n      ', '\n        ', 'leaf', ' Uziza\n        \n      ', '\n        ', ' Yam\n        \n      ', '\n        ', ' Snail\n        \n      ', '\n        ', ' Fresh fish\n        \n      ', '\n        ', ' Prewinkle\n        \n      ', '\n        ', ' Uyayak\n        \n      ', '\n        ', ' Maggi\n        \n      ', '\n        ', ' Crayfish\n        \n      ', '\n        ', ' Salt to taste\n        \n      ', '\n        ', ' Stockfish\n        \n      ', '\n        ', ' Meat\n        \n      ', '\n        ', ' Onion\n        \n      ', '\n        ', ' Cameroon pepper\n        \n      ']","['\n        ', 'Cut, peel and boil the yam🍠 and when it is done, pound it and set aside. Dont throw away the yam water. Will be useful for cooking.', '\n        \n      ', '\n        ', 'Wash and steam the condiments most preferable with salt I.e, meat, kanda, fish, stockfish, snail, and the Prewinkle aside in a bowl', '\n        \n      ', '\n        ', 'Add uyayak to the condiments and allow to steam well,(with maggi, salt, onion and pepper),', '\n        \n      ', '\n        ', 'Then add in enough water you would want for the quantify of the soup and let it boil.', '\n        \n      ', '\n        ', 'Afterwards, add in the pounded yam, stir and cover to cook evenly', '\n        \n      ', '\n        ', 'Food is ready¦¦¦¦¦!!!', '\n        \n      ', '\n        ', 'When it gets tick, add in Crayfish, pepper, salt to taste and the sliced uziza leaf and allow to cook for 5 minutes.(reduce the fire)', '\n        \n      ']",5 people,,,
4,Best okra soup,,"['\n        ', '2', ' Onion\n        \n      ', '\n        ', '6', ' Tomato\n        \n      ', '\n        ', '4', ' Tatashe\n        \n      ', '\n        ', '3', ' Shombo\n        \n      ', '\n        ', '4', ' Yellow ata rodo\n        \n      ', '\n        ', '5', ' Red ata rodo\n        \n      ', '\n        ', ' Crayfish\n        \n      ', '\n        ', ' Crayfish Maggi\n        \n      ', '\n        ', ' Knorr chicken\n        \n      ', '\n        ', ' Turkey\n        \n      ', '\n        ', ' Palm oil\n        \n      ', '\n        ', ' Okra\n        \n      ', '\n        ', ' Ugu\n        \n      ', '\n        ', ' Stock fish\n        \n      ', '\n        ', ' Kpomo\n        \n      ', '\n        ', ' Salt\n        \n      ', '\n        ', ' Cameroon pepper\n        \n      ']","['\n        ', 'Blend half onion, crayfish, 2 yellow ata rodo and 2 red ata rodo with little quantity of water then add it in the pot that contains your meat. Add salt and knorr Maggi with a little quantity of water and cook \n', 'Add stockfish into the meat stock and cook', '\n        \n      ', '\n        ', 'Chop your okra and blend half of it with little quantity of water and keep the chopped one aside', '\n        \n      ', '\n        ', 'WaSh your ugu and set aside', '\n        \n      ', '\n        ', 'Blend 6 tomatoes, 4 tatashe, 3 shombo, 2 yellow ata rodo, 3 red ata rodo with no water and keep aside', '\n        \n      ', '\n        ', 'In a different pot add palm oil, then add onions and fry \n', 'Add blended crayfish next and crayfish Maggi..if you have iru/ locust beans you can add and let it fry from some mins \n', 'Don’t forget to mix it all together.', '\n        \n      ', '\n        ', 'Once it has fried add your blended tomato mix in the pot and let it cook until oil floats ontop', '\n        \n      ', '\n        ', 'Once that is done add your blended okra and mix it until it combines in the sauce and let it cook for a little', '\n        \n      ', '\n        ', 'Once. It has cooked add your meat stock, meat, crayfish, stockfish, kpomo,Cameroon pepper \n', 'Taste for salt and seasoning if there’s any need to add but I normally add salt and knorr chicken \n', 'Leave it to cook for a few minutes', '\n        \n      ', '\n        ', 'Then add your chopped okra and mix then let it cook also', '\n        \n      ', '\n        ', 'Once the soup is almost done add your ugu and stir', '\n        \n      ']",5 or 6 servings,,,
5,Cameroon Pasta,20mins,"['\n        ', '4 cups', ' perboiled pasta\n        \n      ', '\n        ', '1/2 cup', ' sliced onion\n        \n      ', '\n        ', '2', ' Maggi cubes\n        \n      ', '\n        ', '1/8 tsp', ' nutmeg\n        \n      ', '\n        ', '2 cups', ' boneless fish\n        \n      ', '\n        ', '1/8 cup', ' veg oil\n        \n      ', '\n        ', ' Salt\n        \n      ', '\n        ', ' Crayfish seasoning\n        \n      ', '\n        ', 'Pinch', ' soy sauce\n        \n      ', '\n        ', ' Cameroon sauce\n        \n      ', '\n        ', ' Cameroon cooking wine\n        \n      ', '\n        ', ' Shredded green&red bell pepper\n        \n      ', '\n        ', ' Garlic\n        \n      ', '\n        ', ' Ginger\n        \n      ']","['\n        ', 'In a pot/pan of veg oil,stir fry the green&red pepper,onion,garlic,ginger together till half done,add in boneless fish,maggi,salt,Cameroon seasoning, nutmeg,stir together till done', '\n        \n      ', '\n        ', 'Add the pasta,Cameroon wine,soysauce, stir it together, reduce the flame of the heat,cover the meal for 1min steaming.', '\n        \n      ', '\n        ', 'Then serve', '\n        \n      ']",2servings,,,
6,Egusi soup,40- 45 minutes,"['\n        ', ' Beef\n        \n      ', '\n        ', ' Pomo\n        \n      ', '\n        ', ' Dried fish\n        \n      ', '\n        ', ' Stockfish\n        \n      ', '\n        ', ' Crayfish\n        \n      ', '\n        ', ' Palm oil\n        \n      ', '\n        ', ' Egusi\n        \n      ', '\n        ', ' Ugu leaves (pumpkin leaves)\n        \n      ', '\n        ', ' Salt\n        \n      ', '\n        ', 'cube', ' Maggi\n        \n      ', '\n        ', ' Onion\n        \n      ', '\n        ', ' Cameroon pepper\n        \n      ']","['\n        ', 'Wash your beef and Pomo. Wash stockfish and dried fish. Add in a pot with water and put on fire. Add your Cameroon pepper. Season with salt and maggi cube. Allow to cook for about 20 minutes. Till all proteins are tender', '\n        \n      ', '\n        ', 'Blend onions with water to get smooth paste. Mix egusi with onion paste to get smooth batter. Add batter to your pot of proteins and allow to cook for about 10 to 12minutes.', '\n        \n      ', '\n        ', 'Wash your ugu leaves and add to your pot of soup. Sprinkle crayfish. Stir thoroughly and allow to simmer', '\n        \n      ', '\n        ', 'Serve and enjoy with swallow of choice. I ate mine with tuwon shinkafa', '\n        \n      ']",,,,
7,Sweet potatoes pottage,,"['\n        ', ' Sweet potatoes\n        \n      ', '\n        ', ' Curry powder, thyme\n        \n      ', '\n        ', 'leaves', ' Uziza or ugu\n        \n      ', '\n        ', ' Cameroon pepper or black pepper\n        \n      ', '\n        ', ' Beef seasoning\n        \n      ', '\n        ', ' Onions\n        \n      ', '\n        ', ' Red bell pepper(tattasai)&onions blend & boil to reduce water\n        \n      ', '\n        ', ' Goat meat/beef/fish iuse goat meat for mine\n        \n      ', '\n        ', ' Seasoning cube,salt\n        \n      ', '\n        ', ' Palm oil\n        \n      ']","['\n        ', 'Ina a clean pot add your goat meat allow it to boil for 3min without adding water,after 3min add your diced onions,curry powder,thyme,cameroon pepper/ black pepper,salt& beef seasoning stir cover & allow to boil until softens.', '\n        \n      ', '\n        ', 'Take the meat out of the stock and cut into smaller pieces& transfer it to your grill pan& bake it for 15 min in 180 heat.', '\n        \n      ', '\n        ', 'Start preparing your sauce,ina clean pot add your palm oil allow to heat up slightly then add your slice onions fry a bit to release the flavor', '\n        \n      ', '\n        ', 'Then add your blended peppers add your salt& seasoning cubes allow to fry a bit then add your grilled goat meat & the stock from your meat & allow it to fry for more 2min then add your diced potatoes', '\n        \n      ', '\n        ', 'Add enough amount of water to cover & cook your potatoes,c cover and allow to cook for 20min.ater 20min open up your pot and add your sliced vegetable leave stir it a bit,& cover it to tender for 1 more minutes😋hmmmm,yummmy!enjoy', '\n        \n      ']",,,,
8,Yamrita,,"['\n        ', ' Yam\n        \n      ', '\n        ', ' Flour\n        \n      ', '\n        ', ' Eggs\n        \n      ', '\n        ', ' Cameroon pepper\n        \n      ', '\n        ', ' Paparika\n        \n      ', '\n        ', ' Oregano\n        \n      ', '\n        ', 'cubes', ' Seasoning\n        \n      ', '\n        ', ' Oil\n        \n      ']","['\n        ', 'Peel and cut your yams into strips, parboil it and set aside.', '\n        \n      ', '\n        ', 'In a bowl mix flour, paprika, seasoning cubes and Cameroon pepper, in another bowl mix egg, seasoning cubes, paprika and cameroon pepper.', '\n        \n      ', '\n        ', 'Heat up your oil take one yam put inside flour mix then your egg mixand back to flour mix, repeat the process until your yams have finish.', '\n        \n      ', '\n        ', 'Fry till golden brown and enjoy with any sauce of choice', '\n        \n      ']",,,,
9,EwaAgoyinSauce and Boiled Yam,7mins,"['\n        ', '4 Cups', ' Boiled /CookedBeans(seasoned/salted)\n        \n      ', '\n        ', ' Cooked Yam(salted)\n        \n      ', '\n        ', ' Diced Onions\n        \n      ', '\n        ', ' Palm Oil 3cksp\n        \n      ', '\n        ', '2 tbs', ' Grated Fresh Ginger\n        \n      ', '\n        ', '2 tbs', ' Chilli Pepper Powder\n        \n      ', '\n        ', '1 tsp', ' Cameroon Pepper Powder\n        \n      ']","['\n        ', 'Heat up oil,bleach lightly,add all ingredients on low heat,stir', '\n        \n      ', '\n        ', 'Fry till onions become crispy', '\n        \n      ', '\n        ', 'Plate and enjoy💃', '\n        \n      ']",3 servings,,,
