,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Shepherd's Pie,PT1H25M,"['1 1/2 lb. potatoes, peeled', 'Kosher salt', '4 tbsp. melted butter', '1/4 c. milk', '1/4 c. sour cream', 'Freshly ground black pepper', '1 tbsp. extra-virgin olive oil', '1 large onion, chopped', '2 carrots, peeled and chopped', '2 cloves garlic, minced', '1 tsp. fresh thyme', '1 1/2 lb. ground beef', '1 c. frozen peas', '1 c. frozen corn', '2 tbsp. all-purpose flour', '2/3 c. low-sodium chicken broth', 'freshly chopped parsley, for garnish']","['Preheat oven to 400°. Make mashed potatoes:&nbsp;In a large pot, cover potatoes with water and add a generous pinch of salt. Bring to a boil and cook until totally soft, 16 to 18 minutes. Drain and return to pot.', 'Use a potato masher to mash potatoes until smooth. Add melted butter, milk, and sour cream. Mash together until fully incorporated, then season to taste with salt and pepper. Set aside.', 'Make beef mixture: In a large, ovenproof skillet over medium heat, heat oil. Add onion, carrots, garlic, and thyme&nbsp;and cook until fragrant and softened, 5 minutes. Add ground beef, season generously with salt and pepper,&nbsp;and cook until no longer pink, 5 minutes more. Drain fat.', 'Stir in frozen peas and corn and cook until warmed through, 3 minutes more.', 'Sprinkle meat with flour and stir to evenly distribute. Cook 1 minute more and add chicken broth. Bring to a simmer and let mixture thicken slightly, 5 minutes.', 'Top beef mixture with an even layer of mashed potatoes and bake until there is very little liquid visible and mashed potatoes are golden, about&nbsp;20 minutes. Broil if desired.', 'Garnish with parsley before serving.']",6-8 servings,"['low sugar', 'nut-free', 'weeknight meals', 'winter', 'baking', 'dinner', 'main dish', 'meat']",PT20M,PT0S
1,Barbecue Pulled Pork Shepherd's Pie,PT35M,"['2 lb. red potatoes', '1/2 packet ranch seasoning mix', '2/3 c. sour cream', '1 lb. pulled pork', '1 bottle barbecue sauce', '1 can corn, juices drained', '1 c. shredded Cheddar cheese', '1 bunch scallions, diced']","['Preheat oven to 400°.', 'Make the ranch mashed potatoes: Peel potatoes and cut into 1"" pieces, then place pieces in a large saucepan and cover with water. Bring water to boil and cook until potatoes are tender when pierced with a fork, about 10 minutes. Drain and place in a large bowl.', 'Add ranch seasoning and sour cream and mash potatoes until the mixture is thoroughly combined and most of the lumps are gone. Set aside.', ""Make the rest of the dish: Toss pulled pork with barbecue sauce (as much or as little as you'd like to use). Add it to a large casserole dish, smoothing it to create one even layer. Top with corn, then add a layer of mashed potatoes. Cover with shredded cheese and scallions."", 'Bake in the oven for 14 to 16 minutes, or until cheese has melted.']",8-10,"['low-cost', ""St. Patrick's Day"", 'weeknight meals', 'main dish']",PT20M,PT0S
2,Best Mashed Potatoes,PT30M,"['3 lb. mixed potatoes, such as russets & Yukon Golds', 'Kosher salt', '1/2 c. (1 stick) butter, plus 2 tablespoons for garnish', '1/2 c. whole milk', '1/2 c. sour cream', 'Freshly ground black pepper']","['In a large pot, cover potatoes with water and add a generous pinch of salt. Bring to a boil and cook until totally soft, 16 to 18 minutes. Drain and return potatoes to pot.', 'Use a potato masher to mash potatoes until smooth.', 'Meanwhile, in a small saucepan, melt butter with milk until warm.', 'Pour over warm milk-butter mixture and stir until completely combined and creamy. Add sour cream and stir until combined.', 'Season mashed potatoes&nbsp;generously with salt and pepper.', 'Transfer potatoes to a serving bowl and top with remaining two tablespoons&nbsp;butter. Season with more pepper before serving.']",6-8 servings,"['vegetarian', 'Christmas', 'Thanksgiving', 'side dish']",PT25M,PT0S
3,Vegetarian Mushroom Gravy,PT15M,"['2 tbsp. extra-virgin olive oil', '1/2 Onion, finely chopped', '4 oz. mushrooms, finely chopped', 'kosher salt', 'Freshly ground black pepper', '1 tsp. chopped thyme', '1 tsp. chopped sage', '1 tsp. chopped rosemary', '3 tbsp. all-purpose flour', '3 c. vegetable stock']","['Heat olive oil in a small saucepan over medium heat. Add onion and sauté until soft, 6 minutes. Stir in mushrooms and herbs and season with salt and pepper. Cook until soft, about 5 minutes more. Add flour and cook for 1 minute.', 'Pour in 2 cups of vegetable stock and whisk to combine. Bring to simmer and cook for 5-10 minutes, until the flavors have melded and the mixture has thickened slightly. If the mixture is too thick, gradually add more vegetable stock.&nbsp;', 'Taste and season with more salt and pepper if needed, then serve warm.&nbsp;']",8,"['vegetarian', 'Thanksgiving', 'side dish']",PT0S,PT10M
4,Cauli Shepherd's Pie,PT1H15M,"['1 medium head cauliflower, cut into florets', '3 oz. cream cheese, softened', '1/4 c. whole milk', 'Kosher salt', 'Freshly ground black pepper', '1 tbsp. extra-virgin olive oil', '1 large onion, chopped', '2 carrots, peeled and chopped', '2 cloves garlic, minced', '1 lb. ground beef', '1 c. frozen peas', '1 c. frozen corn', '2 tbsp. all-purpose flour', '2/3 c. low-sodium chicken broth', '1 tbsp. freshly chopped parsley, for garnish']","['Preheat oven to 400°. Bring a large pot of water to a boil. Add cauliflower florets and cook until tender, 10 minutes. Drain well, pressing with paper towels or a clean dish towel to remove as much excess water as possible.', 'Return to pot and mash cauliflower with a potato masher until smooth and no large chunks remain.', 'Stir in cream cheese and milk and season with salt and pepper and mash until completely combined and creamy. Set aside.', 'Make beef mixture: In a large skillet over medium heat, heat oil. Add onion, carrots, and garlic and cook until softened, 5 minutes. Add ground beef and cook until no longer pink, 5 minutes more. Drain fat.', 'Return skillet over medium heat and stir in frozen peas and corn and cook until warmed through, 3 minutes more. Season with salt and pepper.', 'Sprinkle meat with flour and stir to evenly distribute. Cook one minute more, add broth, and stir mixture until slightly&nbsp;thickened, 5 minutes.', 'Top beef mixture with an even layer of mashed cauliflower and bake 20 minutes or until there is very little liquid visible and the cauliflower is golden. Broil if desired.', 'Garnish with parsley before serving.']",6-8 servings,"['low sugar', 'nut-free', 'autumn', 'weeknight meals', 'winter', 'baking', 'dinner', 'main dish', 'meat']",PT15M,PT0S
5,Skillet Beer Cheese,PT20M,"['3 c. shredded cheddar', '1 (8-oz. block) cream cheese, softened', '2 cloves garlic, minced', '1 tbsp. freshly chopped chives, plus more for garnish', '1 c. lager beer', 'Kosher salt', 'Pinch of cayenne pepper', 'Toasted baguette slices, for serving']","['Place a grate over a campfire. In a large cast-iron skillet, add&nbsp;cheddar, cream cheese, garlic, chives, and beer and season with salt and cayenne. Cover with foil.', 'Cook over campfire until melty, about 15 minutes. Serve with baguette slices.&nbsp;']",8,"['side dish', 'snack']",PT10M,PT0S
6,Bacon Cheddar Beer Bread,PT1H25M,"['3 c. flour', '3 tsp. baking powder', '1 tsp. kosher salt', '1 tbsp. granulated sugar', '1 tsp. garlic powder', '1/2 tsp. paprika', '1 c. beer', '1 large egg', '6 oz. cream cheese, softened', '8 slices bacon, cooked and crumbled, some reserved for topping', '3 jalapeños, chopped, seeds removed if desired, some rounds reserved for topping', '1 c. shredded cheddar, plus more for top', 'kosher salt', 'Freshly cracked black pepper']","['Preheat oven to 375° and line a loaf pan with parchment paper.', 'In a large bowl, combine flour, baking powder, salt, sugar, garlic powder, paprika, beer and egg.', 'In a medium bowl, combine cream cheese, bacon, jalapeños, and cheddar. Season with salt and pepper and stir together until completely combined.', 'Fold cream cheese mixture into dough until just combined. Do not over mix.', 'Pour dough into prepared loaf pan. Sprinkle the top with reserved cheddar, bacon and jalapeños. Bake 1 hour. Let cool 10 minutes before serving.&nbsp;']",6-8 servings,"['appetizers', 'side dish']",PT15M,PT0S
7,Potatoes Au Gratin,PT1H30M,"['6 russet potatoes, cleaned and peeled', '2 tbsp. butter, plus more for pan', '2 cloves garlic, minced', '1 1/2 c. heavy cream', '1/4 c. milk', '1 tbsp. freshly chopped thyme', 'Pinch of nutmeg', 'Kosher salt', 'red pepper flakes', '1 1/2 c. shredded Gruyère', '1/2 c. freshly grated Parmesan']","['Preheat oven to 375° and butter a large 3 qt baking dish.&nbsp;Slice potatoes 1/4"" thick and place in water to keep from browning.', 'In a large skillet over medium heat, melt butter. Add garlic and cook&nbsp;until fragrant, about 1 minute. Add cream, milk, thyme, nutmeg, salt, and red pepper flakes. Bring to a boil and reduce heat to low. Let simmer 10 minutes. Remove from heat.', 'Layer a third&nbsp;of potatoes, slightly overlapping, in prepared dish then pour a third&nbsp;of cream mixture over potatoes. Repeat with remaining potatoes and cream to make two more layers. Sprinkle Gruyère over top.', 'Cover with foil and bake for 45 minutes. Uncover, sprinkle with Parmesan and continue baking until potatoes are tender and top is golden, 15 to 20 minutes. Let sit for 10 minutes before serving.&nbsp;']",8 servings,['side dish'],PT15M,PT0S
8,Slow-Cooker Creamed Corn,PT2H10M,"['8 slices bacon', '5 (15-oz.) cans corn kernels, drained', '1 c. milk', '1 tbsp. sugar', 'Kosher salt', 'Freshly ground black pepper', '1 oz. (8-oz.) block cream cheese, quartered', '1/2 c. (1 stick)&nbsp;butter, cut into tablespoons', 'Thinly sliced green onions, for garnish']","['In a nonstick skillet over medium heat, cook bacon until crispy, 8 minutes. Drain on a paper towel-lined plate, then crumble.&nbsp;', 'In a&nbsp;slow cooker, add corn, 3/4 of the cooked bacon, milk, and sugar and season with salt and pepper. Stir until combined, then&nbsp;top with cream cheese and butter.', 'Cover and cook on high for 2 hours or low for 6 hours, stirring well after 1 hour.', 'Garnish with remaining 1/4 of cooked bacon and green onions before serving.']",6-8,"['Christmas', 'Thanksgiving', 'side dish']",PT10M,PT2H
9,Nachos Supreme,PT50M,"['1 tbsp. extra-virgin olive oil', '1 large onion, chopped', '1 lb. ground beef', '2 garlic cloves, minced', '1 tbsp. taco seasoning', 'kosher salt', '1 (15-oz.) can refried beans', '1/4 c. water', '1 large bag tortilla chips', '2 c. shredded cheddar', '2 c. Shredded Monterey jack', '1 (15-oz.) can black beans, drained', '1/2 c. pickled jalapeños', '1 large tomato, diced', '1 avocado, diced', '1/4 c. thinly sliced green onions', '1/4 c. fresh cilantro leaves (optional)', 'Sour cream, for drizzling', 'Hot sauce, for drizzling']","['Preheat oven to 425º and line a large baking sheet with foil. In a large skillet over medium heat, heat oil. Add onion and cook until soft, 5 minutes, then add ground beef and cook until no longer pink, 6 minutes more. Drain fat.', 'Add garlic and taco seasoning and season with salt. Cook until meat is well browned and slightly crispy, 5 minutes more. Add refried beans and water to skillet and stir until combined.&nbsp;', 'Add half the tortilla chips and top with beef-bean mixture, half the cheese, half the black beans, and half the pickled jalapeños. Repeat one more layer.', 'Bake until cheese is melty, 15 minutes.', 'Scatter with tomato, avocado, green onions, and cilantro. Drizzle with sour cream and hot sauce and serve immediately.']",6-8,"['feed a crowd', 'Super Bowl', 'appetizers', 'dinner', 'lunch', 'side dish', 'snack']",PT15M,PT0S
