,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,רוגלך פריכים עם שוקולד ושקדים ,PT60M,"[' 3 כוסות קמח', ' 1 כפית אבקת אפייה', ' 2 כפות סוכר', ' 1 כפית תמצית וניל', ' 180 גרם חמאה', ' 2 כפות שמן קנולה', ' 0.5 כוס חלב קר ', 'ממרח שוקולד שאוהבים ', ' 150 גרם שקדים מולבנים גרוסים', 'אבקת סוכר']","['בקערה רחבה לשים יחד את כל מרכיבי הבצק, רצוי בעזרת מיקסר עם וו גיטרה או במעבד מזון רק עד לקבלת בצק דביק מעט. * שימו לב - אין ללוש את הבצק יותר מידי על מנת לא לאבד את הפריכות שלו באפייה.', 'מניחים את הבצק בצד למנוחה של 10 דקות .', 'מקמחים קלות את משטח העבודה ומחלקים את הבצק לשלושה חלקים. מכדררים כל חלק ומרדדים לעלה עגול בעובי של כחצי סמ.', 'מורחים ממרח שוקולד על כל עלה בצק ומפזרים שקדים גרוסים.', 'בעזרת גלגלת פיצה חותכים כל עלה בצק עגול ל-12 משולשים קטנים (כמו שחותכים פיצה). מגלגלים כל משולש קטן לרוגלך (סהכ יתקבלו 36 עוגיות).', 'מניחים את הרוגלך על תבנית מרופדת נייר אפייה כשקצה הסגירה של כל עוגיה פונה כלפי מטה.', 'אופים בתנור שחומם מראש ל- 180 מעלות כ- 25 דקות עד הזהבה.מוציאים ומצננים לחלוטין .', 'מפדרים באבקת סוכר מעל ושומרים בקופסא אטומה. טיפ: ניתן להקפיא בקופסא סגורה הרמטית ולהפשיר שעתיים לפני ההגשה']",,"['ישראלי', 'צמחוני', 'חלבי', 'עוגיות', 'עוגות ועוגיות', 'כשר']",PT30M,
1,מאפה פילו עם תרד וגבינות ,PT60M,"[' 400 גרם תרד טרי שטוף (חבילה) ', ' 3 כפות שמן זית', ' 2 גביעים שמנת חמוצה', ' 1 חבילה גבינה לאפייה (טוב טעם/ כנען/ טבורוג) ', ' 4 שיני שום כתושות ', ' 100 גרם גבינה מלוחה (פטה/ בולגרית/ ברינזה) ', 'מלח', 'פלפל לבן או שחור ', 'בצק פילו (7-8 עלים) ', 'שמן זית להברשה או בתרסיס ']","['במחבת או סיר רחב מחממים שמן זית וצורבים את עלי התרד עד לריכוך מלא. מעבירים למסננת לצינון. סוחטים היטב את התרד בעזרת הידיים וקוצצים גס.', 'מניחים בקערה את התרד וכל שאר מרכיבי המלית, מערבבים היטב, טועמים ומתקנים תיבול (תלוי ברמת המליחות של גבינות וטעם אישי).', 'מחממים תנור ל-200 מעלות במצב טורבו ומרפדים תבנית בגודל 25*25 סמ בנייר אפייה.', 'מברישים דף פילו ראשון בשמן זית, מניחים מן המלית לאורך הדף, מגלגלים לרולדה וחותכים לריבועים.', 'מסדרים את הריבועים בתבנית אחד ליד השני בצמידות וממשיכים כך עם שאר הבצק והמילוי. מסדרים שכבה ראשונה של ריבועים ממולאים ומעליה עוד שכבה - סהכ שתי שכבות.', 'מברישים את פני הבצק בשמן זית לסיום ומכניסים לתנור עד להזהבה, כ-30-40 דקות.', 'אופן מילוי והרכבת המאפה בתמונות:']",,"['ישראלי', 'צמחוני', 'חלבי', 'מאפים', 'ארוחת בוקר', 'בורקס', 'ארוחת ערב']",PT30M,
2,תבשיל אורז ופרגיות בסיר אחד ,PT60M,"[' 5 כפות שמן זית', ' 1 בצל קצוץ ', ' 2 גזרים מגוררים בפומפייה ', ' 500 גרם פרגיות חתוכות לקוביות גדולות ', ' 1 כף פפריקה מתוקה', ' 1 כפית פפריקה חריפה', ' 1 כפית כמון', ' 1 כף רסק עגבניות (גדושה) ', ' 2 כוסות אורז בסמטי', ' 0.53 כוסות מים רותחים ', ' 1 כפית מלח']","['בסיר עמוק ורחב מחממים את שמן הזית. מטגנים את הבצל והגזר 4-5 דקות עד שמתחילים להזהיב קלות.', 'מוסיפים את קוביות הפרגית ומטגנים במשך 5 דקות עד להזהבה.', 'מתבלים עם הפפריקה והכמון. מוסיפים את רסק העגבניות והאורז ומטגנים דקה נוספת תוך כדי ערבוב.', 'יוצקים את המים, מוסיפים את המלח ומערבבים. מכסים, מנמיכים ללהבה הנמוכה ביותר ומבשלים במשך 25 דקות.', 'מסירים מהאש ומשאירים את הסיר מכוסה למשך 10 דקות נוספות.']",6,"['ישראלי', 'בשרי', 'עוף', 'אורז', 'מתכוני ילדים', 'בשר', 'כשר']",PT20M,
3,עוגיות שושנים קלאסיות ,PT150M,"[' 0.52 כוסות קמח (350 גרם) ', ' 1 שקית אבקת אפייה', ' 200 גרם חמאה רכה, בטמפ החדר ', ' 1 גביע שמנת חמוצה', ' 3 חלבונים', ' 0.6 כוס סוכר (130 גרם) ', ' 2 כפות אינסטנט פודינג וניל']","['הכנת הבצק: במעבד מזון או במיקסר עם וו גיטרה מעבדים את כל חומרי הבצק עד שנוצר בצק אחיד. עוטפים את הבצק בניילון נצמד ונותנים לו לנוח כשעתיים במקרר.', 'הכנת המרנג: מקציפים את החלבונים עם הסוכר כ-5 דקות עד שנוצר קצף מרנג מבריק, במרקם דביק וסמיך, שמזכיר מרשמלו. מוסיפים את האינטסנט פודינג וממשיכים להקציף עד לאיחוד.', 'מחממים תנור ל-180 מעלות ומכינים שתי תבניות אפייה גדולות (מגשים) מרופדות בנייר אפייה.', 'מילוי והרכבת העוגיות: מוציאים את הבצק מהמקרר ומחלקים אותו ל-4 חלקים שווים. מרדדים כל חלק למלבן בגודל של כ- 30*20 סמ, דק-דק (שימו לב שמדובר בצק שמאוד נוח לעבוד איתו, כיוון שהוא לא נדבק ואין בעיה לרדד אותו דק).', 'מורחים על כל מלבן שכבה של קצף ומגלגלים בעדינות, כמו ברפרוף (לא לדחוס), לאחר שנוצר גליל, חותכים ממנו עוגיות ברוחב 2 סמ. טיפ: לפרוסות יפות יותר וחיתוך נוח ניתן להקפיא את הרולדות לחצי שעה עד להתקשות, ואז פורסים לעוגיות.', 'מסדרים את העוגיות על נייר אפייה במרווחים כשצד השושנה כלפי מעלה כמובן ומכניסים לתנור החם ל-30-35 דקות או עד שהעוגיות מזהיבות (הזמן יכול להשתנות מתנור לתנור לכן כדאי לעקוב לפי הצבע).']",,"['ישראלי', 'צמחוני', 'חלבי', 'עוגיות', 'עוגות ועוגיות', 'כשר']",PT20M,
4,"סלט כרובית עם טחינה, עמבה וסלסלה ",PT30M,"[' 1 כרובית גדולה, מפורקת לפרחים ', ' 5 כפות שמן זית', ' 1 כפית מלח גס', ' 2 עגבניות קצוצות ', ' 0.5 פלפל חריף ירוק קצוץ (לא חובה) ', ' 4 שיני שום קצוצות ', ' 0.5 כוס כוסברה קצוצה ', ' 0.5 לימון סחוט למיץ ', ' 2 כפות שמן זית', 'מלח לפי הטעם ', ' 1 כוס טחינה מוכנה, דלילה ', ' 1 כף עמבה']","['מחממים תנור ל-200 מעלות. מערבבים את פרחי הכרובית עם שמן הזית והמלח מסדרים בתבנית מרופדת נייר אפייה. מכניסים לתנור לצלייה של 25 דקות או עד השחמה.', 'בינתיים מכינים כמות של כוס טחינה, דלילה יחסית (מומלץ לתבל במיץ לימון ומעט שום כתוש) ואת הסלסה - קוצצים את העגבניות, השום, הכוסברה והפלפל החריף אם אוהבים ומערבבים עם מיץ הלימון, שמן הזית והמלח. טועמים ומתקנים תיבול.', 'ההרכבה: מורחים את הטחינה על כל צלחת ההגשה, מפזרים מעליה את פרחי הכרובית, בין לבין מניחים נגיעות של העמבה ומפזרים מעל את סלסת העגבניות הטריייה.']",4,"['ישראלי', 'טבעוני', 'פרווה', 'סלטים', 'ירקות', 'מתכונים לשבת', 'כשר']",PT20M,
5,קדירת בשר וגרגירי חומוס ביין לבן ,PT180M,"[' 500 גרם גרגרי חומוס', ' 1 כפית סודה לשתייה', ' 1 ק״ג נתח כתף בקר חתוך לקוביות גדולות ', ' 5 כפות שמן זית', ' 1 בצל חתוך לרבעים ', '7-8תפוחי אדמה קטנים, קלופים ', ' 2 גזרים קלופים, חתוכים גס ', ' 1 שורש פטרוזיליה קלוף, חתוך גס ', '4-5שיני שום קלופות שלמות ', ' 1 כף רסק עגבניות', ' 1 בקבוק יין לבן יבש', ' 2 עלי דפנה', 'מלח', 'פלפל שחור גרוס', ' חופן פטרוזיליה קצוצה, להגשה ']","['בקערה גדולה משרים את גרגירי החומס בהרבה במים למשך לילה ועד 24 שעות.', 'מסננים את הגרגרים ממי השרייה ומניחים בסיר. מכסים במים ומביאים לרתיחה. מוסיפים את אבקת הסודה לשתייה, מנמיכים להבה ומכסים חלקית. מבשלים במשך שעה וחצי בערך, עד שהגרגירים רכים אך לא מתפרקים, ושומרים על צורתם.', 'מחממים תנור ל-150 מעלות.', 'מתבלים את קוביות הבשר היטב במלח ופלפל מכל הצדדים. בסיר שיכול להכנס לתנור מחממים את שמן הזית על להבה גבוהה וצורבים את קוביות הבשר עד להשחמה יפה.', 'מוסיפים את הירקות ומטגנים 2-3 דקות נוספות תוך ערבוב. מוסיפים את רסק העגבניות ומערבבים.', 'יוצקים את בקבוק היין ומוסיפים את עלי הדפנה ומביאים לרתיחה. ממשיכים לבשל ברתיחה למשך 10 דקות עד שהיין מצטמצם בחצי בערך. מוסיפים מים עד לכיסוי מלא של הבשר והירקות ומביאים שוב לרתיחה.', 'מכסים את הסיר ומכניסים לתנור למשך 2.5-3 שעות, עד שהבשר רך לחלוטין. לפני ההגשה מפזרים פטרוזליה קצוצה.']",,"['ישראלי', 'בשרי', 'בשר', 'תבשילי קדרה', 'מתכונים לשבת', 'כשר']",PT20M,
6,שקשוקת סלקים וגרגירי חומוס ,,"[' 3 כפות שמן זית', ' 3 שיני שום פרוסות ', ' חופן גבעול כוסברה קצוצים ', ' 550 גרם קוביות סלק בשימורים (יכין), מסונן ', ' 200 גרם חומוס בשימורים (יכין), מסונן ושטוף ', ' 1 כף דבש', ' 1 כף סויה', ' 1 יחידה לימון אפשר גם ליים, מיץ וקליפה מגוררת ', ' 250 גרם קרם קוקוס', ' 1 כפית מלח', ' 1 כפית פלפל שחור גרוס', ' 6 יחידות ביצים', ' חופן עלי כוסברה', ' 0.5 כוס בוטנים קצוצים ']","['מחממים שמן זית בסיר רחב ומטגנים את השום וגבעולי הכוסברה 2-3 דקות על חום נמוך.', 'מוסיפים את קוביות הסלק וגרגירי החומוס ומעלים לעוצמה בינונית. מטגנים כ-2 דקות.', 'מוסיפים את הדבש, הסויה, הלימון (אפשר גם ליים, מיץ וקליפה) וקרם הקוקוס.', 'מביאים לרתיחה ושוברים פנימה את הביצים. מבשלים 5-6 דקות עד שהחלבון מתגבש אבל החלמון נשאר נוזלי. מפזרים בוטנים וכוסברה ומגישים.']",,"['ישראלי', 'צמחוני', 'פרווה', 'ארוחת בוקר', 'ביצים', 'כשר']",,
7,תבשיל עוף ושעועית שילדים אוהבים ,PT150M,"[' 0.5 ק״ג חזה עוף שלם ', ' 1 כוס שעועית לבנה יבשה ', ' 1 כפית סודה לשתייה', ' 1 ליטר מים', ' 3 כפות שמן', ' 1 בצל קצוץ ', ' 3 שיני שום כתושות ', '4-5עגבניות קלופות וחתוכות לקוביות (או 1 קופסת עגבניות מרוסקות 400 גרם) ', ' 1 קופסא רסק עגבניות (100 גרם) ', ' 1 כף פפריקה מתוקה', ' 0.5 כפית כמון', ' 0.5 כפית כורכום', ' 1 כפית מלח', ' 0.25 כפית מלח', 'מים לפי הצורך ']","['השעועית (לילה לפני): מניחים את השעועית בקערה גדולה, מוסיפים אבקת סודה לשתייה ומכסים במים קרים. משרים 12 שעות.', 'מסננים את השעועית מהמים ושוטפים היטב. מעבירים לסיר עם שפע מים ומביאים לרתיחה. מסירים את כל הקצף שנוצר ומבשלים ברתיחה עדינה כחצי שעה. מסננים.', 'מכינים את התבשיל: מחממים שמן בסיר ומטגנים את הבצל עם מעט מלח מעל חום בינונית עד שהבצל מזהיב. מוסיפים שום כתוש ומטגנים כמה שניות.', 'מתבלים בפפריקה, כמון, כורכום, מלח ופלפל, מערבבים ומטגנים כמה שניות נוספות.', 'מוסיפים את העגבניות והרסק, מערבבים ומאפשרים להם גם טיגון גם קצר.', 'מוסיפים את השעועית ומים עד לכיסויה. מביאים לרתיחה,מכסים ומבשלים בחום נמוך כשעה עד שעה וחצי, עד שהשעועית רכה.', 'מוסיפים את חזה העוף לסיר ועם כף יוצקים מעליו את הרוטב של התבשיל (אם חסרים נוזלים, מוסיפים עוד קצת מים). מכסים את הסיר ומבשלים כ-20 דקות עד שחזה העוף מוכן.', 'מוציאים את חזה העוף לקרש חיתוך ובעזרת 2 מזלגות מפרקים אותו לחוטים (שערות).', 'מחזירים את העוף המפורק לרוטב ומערבבים היטב. ממשיכים לבשל ללא מכסה על אש גבוהה עוד 10 דקות או עד שהרוטב מסמיך.', 'מגישים עם אורז לבן או מלא.']",5,"['ישראלי', 'בשרי', 'עוף', 'ארוחת צהריים', 'מתכוני ילדים', 'תבשילים', 'בשר', 'כשר']",PT30M,
8,כולל טוויסט מפתיע: המתכון המנצח של עומר מילר לקבבים על האש ,,"[' 500 גרם בשר טחון בקר', ' 1 יחידה בצל לבן', ' 3 יחידות פלפל חריף ירוק קלוי על האש וקלוף ', ' 10 שיני שום קונפי', ' 0.5 כוס טחינה לימונית']","['קוצצים בצל דק מאוד.', 'מערבבים בקערה בצל, פלפל חריף קצוץ ובשר טחון. מתבלים במלח ופלפל. צרים 10 כדורים. לכל כדור מכניסים שן שום קונפי אחת ועוטפים בעדינות לצורת כדור.', 'צולים על הגריל כשלוש דקות מכל צד.', 'מגישים על טחינה או לצידה.']",,"['ישראלי', 'בשרי', 'בשר', 'כשר']",,
9,מקלובה פתיתים ,PT70M,"[' 1 חציל דק יחסית - חתוך לפרוסות בעובי חצי סמ ', ' 1 בצל סגול - פרוס לפרוסות בעובי 1 סמ ', ' 1 עגבניה מוצקה- פרוסה לפרוסות בעובי 1 סמ ', ' 1 גזר - פרוס לפרוסות בעובי חצי סמ ', 'שמן זית להברשת הירקות ', ' מעט מלח גס', ' 1 חבילה פתיתים בצורת אורז ', ' 500 גרם פרגיות - חתוכות לקוביות ', ' 4 שיני שום פרוסות ', ' 6 כפות שמן זית', ' 1 כף בהרט (שטוחה) ', ' 0.25 כפית קינמון', ' 0.5 כף פפריקה מתוקה', ' 1 כפית מלח', ' 1 כפית פלפל שחור', ' 0.52 כוסות מים חמים ', 'נייר אפייה גזור בקוטר הסיר ']","['מחממים תנור ל-200 מעלות. פורסים את הירקות ומניחים על תבנית מרופדת נייר אפייה. מברישים בשמן זית, או בתרסיס שמן, מפזרים מעט מלח גס ומכניסים לתנור ל-25 דקות.', 'במחבת רחבה מניחים 3 כפות שמן זית ואת קוביות הפרגית, מטגנים תוך כדי ערבוב ומוסיפים את התבלינים היבשים. מסירים את קוביות הפרגית לכלי או קערה.', 'מוסיפים לאותה מחבת עוד 3 כפות שמן זית נוספות את שיני השום ואת שקית הפתיתים ומוסיפים לה חצי כפית מלח. מטגנים תוך כדי ערבוב כ- 5 דקות ומסירים מהאש.', 'מסדרים את הסיר- משמנים את הסיר ואת הדפנות שלו בשמן זית.מניחים נייר אפייה גזור בקוטר הסיר בתחתית. מסדרים חצי מכמות הירקות וקוביות הפרגית בתחתית. מסדרים ירקות סביב דפנות הסיר.', 'מוסיפים חצי מכמות הפתיתים ומסדרים עוד קוביות פרגית. מוסיפים את יתרת הפתיתים ומהדקים.', 'יוצקים בזהירות את המים לסיר ומכסים בנייר אלומיניום. מכניסים לתנור בחום של 180 מעלות ל-40 דקות. הופכים את הסיר על צלחת הגשה בעודו חם ומגישים.']",,"['ישראלי', 'בשרי', 'עוף', 'ירקות', 'אורז', 'מתכונים לשבת', 'מתכוני ילדים', 'בשר', 'כשר']",PT40M,
