,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,とろ〜り絶品！ 基本の親子丼,900,"['ごはん どんぶり2杯(400g)', '鶏もも肉 1枚(200g)', '卵 3個', '玉ねぎ 1/2個(100g)', '三つ葉 1/4束', '水 120cc', 'しょうゆ 大さじ2', 'みりん 大さじ1', '砂糖 大さじ1/2', '和風顆粒だし 小さじ1/3']","['玉ねぎは幅5mmの薄切りにする。三つ葉は根元を切り落とし、3cm幅に切る。', '鶏肉は小さめの一口大に切る。', 'ボウルに卵を割り入れて混ぜる。', 'フライパンに水を入れて中火で熱し、沸騰したら鶏肉を加えて、再び沸騰したら火を弱めてアクを取り除く。', '玉ねぎ、☆を加えて肉に火が通るまで2分程煮る。', '卵液の半量をまわし入れて、ふたをして固まるまで40秒ほど煮る。', '残りの卵液をまわし入れて、ふたをせずに様子を見ながら、白身が白っぽくなるまで1分ほど煮る。', '器にごはんを盛り、7、三つ葉をのせる。']",2人分,丼親子丼,,
1,知っておきたい！ 基本のだし巻き卵,900,"['卵 3個', 'サラダ油 適量', '和風顆粒だし 小さじ1/3', '水 100cc', 'しょうゆ 小さじ1', 'みりん 大さじ1/2']","['耐熱容器に水、和風顆粒だしを入れて混ぜ、600Wのレンジで30秒加熱して混ぜる。しょうゆ、みりんを加えて混ぜる。', 'ボウルに卵を割りほぐし、白身を切るように混ぜ、1.を加えてさらに混ぜる。', '卵焼き器にサラダ油を入れてやや弱めの中火〜中火で熱し、キッチンペーパーで薄くのばし、卵液の1/4を流し入れて広げ、半熟状になったら向こう側から手前に向かって巻き、巻いた卵を端に寄せる。卵液がなくなるまで同様に繰り返す。', '熱いうちにキッチンペーパーの上にのせて包み、形をととのえる。']",2人前,卵焼き・だし巻き卵だし巻き卵,,
2,ごはんがすすむ味♪ 鶏もも肉の甘酢炒め,900,"['鶏もも肉 1枚(250g)', '片栗粉 大さじ3', 'サラダ油 大さじ3', '白いりごま 適量', '酒 大さじ1', 'おろしにんにく 小さじ1/3', 'おろししょうが 小さじ1/3', '塩こしょう 少々', '酒 大さじ1', '砂糖 大さじ1', 'しょうゆ 大さじ1/2', '酢 大さじ1', 'ケチャップ 大さじ1', '水 大さじ2']","['鶏肉は一口大に切る。', 'ポリ袋に鶏肉、☆を入れてもみこむ。片栗粉を加えてまぶす。', 'ボウルに★を入れて混ぜる(甘酢だれ)。', 'フライパンにサラダ油を入れて中火で熱し、鶏肉を皮目を下にして入れる。焼き色がつくまで2分ほど揚げ焼きにし、裏返して肉に火が通るまで2〜3分揚げ焼きにする。', '火を止めてフライパンの油をキッチンペーパーでふきとる。甘酢だれを加えて中火で炒め合わせる。', '器に盛り、白いりごまをちらす。']",2人分,炒め物(肉)鶏肉鶏もも肉,,
3,パリッとジューシー♪ ねぎ塩チキン,1200,"['鶏もも肉 1枚(300g)', '長ねぎ 1/2本(80g)', '塩こしょう 少々', '薄力粉 適量', 'サラダ油 大さじ1', '塩 小さじ1/3', '鶏ガラスープの素 小さじ1/3', '酢 大さじ1と1/2', 'ごま油 大さじ1/2', 'こしょう 少々']","['ねぎは斜めに切り込みを入れてみじん切りにする。ボウルにねぎ、☆を入れて混ぜる(ねぎ塩だれ)。', '鶏肉は余分な脂を取り除き、4箇所ほど切り込みを入れる。塩こしょうをふって薄力粉を薄くまぶす。', 'フライパンにサラダ油を入れて中火で熱し、鶏肉の皮目を下にして入れて焼き色がしっかりつくまで焼く。上下を返し、ふたをして7分ほど弱火で蒸し焼きにする。', 'ふたを取り、水分をとばす。取り出して食べやすい大きさに切る。', '器に鶏肉を盛り、ねぎ塩だれをかける。']",2人分,その他の肉料理鶏肉鶏もも肉,,
4,10分でパパッと副菜！ 無限キャベツ,600,"['ツナ 1缶(70g)', 'キャベツ 1/4個', '鶏がらスープの素 小さじ1', 'マヨネーズ 小さじ1', 'ごま油 小さじ1', 'こしょう 少々']","['キャベツは千切りにして耐熱容器に入れる。', '1にツナ、鶏ガラスープの素、マヨネーズ、ごま油を加えてよく混ぜる。', 'ふんわりとラップをし、600Wのレンジで2分加熱する。', '全体をなじませるように混ぜ合わせる。器に盛り、こしょうをふる。']",2人分,その他の野菜料理ツナ缶よく使う野菜キャベツ,,
5,揉むだけ簡単！ 焼肉のたれでやみつききゅうり,600,"['きゅうり 2本(200g)', '焼肉のたれ 大さじ3', '白いりごま 大さじ2', '塩 少々']","['きゅうりはへタを切り落とし、端から斜めに包丁を入れて、回しながら食べやすい大きさに切る(乱切り)。', '保存袋にきゅうり、塩、焼肉のたれ、白いりごまを加えて揉み込み、冷蔵庫で10分おく。']",2人分,その他の野菜料理夏の旬野菜きゅうり,,
6,さっぱりいただく♪ うずめ飯,1200,"['ごはん お茶碗2杯(300g)', '鶏もも肉 50g', '厚揚げ 50g', 'しいたけ 2個', 'にんじん 1/4本(30g)', 'ごぼう 1/4本(30g)', '水 200cc', 'みりん 大さじ1', 'しょうゆ 大さじ1/2', '和風顆粒だし 小さじ1/3', '片栗粉 大さじ1', '水 大さじ1', 'わさび 適量']","['しいたけは根元の先を切り落とし、かさと軸に切り分ける。かさは薄切りにし、軸は手でさく。にんじんは縦半分に切り、切り口を下にして横薄切りにする(半月切り)。ごぼうは斜め薄切りにし、切り口を下にして千切りにする。水にさらして水気を切る。', '厚揚げは余分な油をキッチンペーパーでふきとり、1cm角に切る。', '鶏肉は1cm角に切る。', '鍋に☆を入れて中火で熱し、煮立ったら鶏肉、厚揚げ、しいたけ、にんじん、ごぼうを加えて混ぜる。再び煮立ったらふたをして火が通るまで5分ほど弱火で煮る。ふたを取り、水溶き片栗粉を加えて混ぜる(あんかけ汁)。', 'ごはん1/4量を器に盛り、あんかけ汁1/2量をかける。ごはん1/4量をのせ、わさびを添える。同様に計2個作る。']",2人分,その他のごはんもの豆類大豆加工品厚揚げ,,
7,さっぱり食べられる！ 鶏むね肉と大葉の塩唐揚げ,1800,"['鶏むね肉 1枚(250g)', '大葉 8枚', '片栗粉 大さじ4', 'サラダ油 大さじ4', '酒 大さじ1', 'おろしにんにく 小さじ1/2', '塩 小さじ1/2', 'こしょう 少々']","['鶏肉は縦半分に切り、斜めに包丁をあててそぐように1.5cm幅に切る(そぎ切り)。', 'ポリ袋に鶏肉、☆を入れてもみ込む。大葉の軸を取り除いてちぎりながら加え、軽くもんでなじませる。空気を抜いて袋の口を閉じ、冷蔵庫で15分ほどおく。', '片栗粉を加えて全体にまぶす。', 'フライパンにサラダ油を入れて中火で熱し、あたためる。3の鶏肉を入れて肉に火が通り、カリッとするまで上下を返しながら6〜7分揚げ焼きにする。']",2人分,揚げ物(肉)唐揚げ夏の旬野菜大葉,,
8,定番の一品！ ほうれん草のごま和え,300,"['ほうれん草 1袋(200g)', '白すりごま 大さじ3', '砂糖 小さじ2', 'しょうゆ 小さじ2', '和風顆粒だし 小さじ1']","['ほうれん草は洗い、ラップにしっかりと包んで600Wのレンジで1分30秒〜40秒程加熱し、水にさらしておく。', '水気を切ったほうれん草の根元を切り落とし、食べやすい大きさに切る。', 'ボウルに白すりごま、☆を入れて混ぜ、ほうれん草を加えてあえる。']",2人前,蒸し物・お浸し(野菜)お浸し秋冬の旬野菜ほうれん草,,
9,さっと炒めて簡単！ にらと豚肉の味噌炒め,600,"['豚バラ薄切り肉 100g', 'ニラ 6本(30g)', '玉ねぎ 1/2個(100g)', 'ごま油 大さじ1', '酒 大さじ1', '砂糖 小さじ1', 'みそ 大さじ1', 'おろしにんにく 少々']","['豚肉は3cm幅に切る。', 'ニラは根元を切り落とし、4cm幅に切る。玉ねぎは薄切りにする。', 'ボウルに☆を入れて混ぜる。', 'フライパンにごま油を入れて熱し、豚肉、玉ねぎを入れて肉の色が変わるまで中火で炒める。', 'ニラ、☆を加えてさっと炒め合わせる。']",1人分,その他の野菜料理豚肉豚バラ薄切り肉,,
