,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Рецепт: Шашлык из баранины по-казахски на RussianFood.com,,"['баранина\xa0без костей', '1', 'кг', 'луковицы\xa0', '10', 'шт.', 'уксус 3%\xa0', '6', 'ст. ложек', 'сахар\xa0', '1', 'ст. ложка', 'зелень кинзы\xa0', '1', 'пучок', 'зелень петрушки\xa0', '1', 'пучок', 'соль\xa0', '\xa0', 'по вкусу', 'перец\xa0', '\xa0', 'по вкусу']",[],,,,
1,Рецепт: Шельпеки на RussianFood.com, 50 мин (ваши 30 мин),"['Молоко - 1 стакан', 'Мука пшеничная - 3-3,5 стакана', 'Масло сливочное - 30 г', 'Масло подсолнечное - 100 мл', 'Соль - 1/3 ч. л.', 'Сода пищевая - 1/3 ч. л.', 'Уксус столовый - 1/2 ч. л.']","['Подготовьте продукты для лепешек на сковороде.', 'В миску просейте муку, добавьте гашенную уксусом соду и соль.', 'Перемешайте, влейте растопленное сливочное масло, соединённое с молоком.', 'Теперь замесите тесто.', 'Готовое тесто переложите в пакет и оставьте на 15-20 минут полежать.', 'Отдохнувшее тесто разделите на 8-10 частей - у меня получилось 10 лепёшек.', 'Каждый кусочек теста раскатайте на присыпанном мукой столе или доске в тонкий круг. Все раскатанные лепёшки сложите друг на друга, прослаивая листами пергамента для выпечки - жарятся они быстро, поэтому перед жаркой лучше будет, если все лепёшки уже будут подготовлены.', 'В сковороду налейте масло и как следует разогрейте его. Жарьте казахские лепёшки с двух сторон на сильном огне по 5 секунд с каждой стороны.', 'Таким образом обжарьте все шельпеки. Сладкие лепёшки подайте к чаю, несладкие - к первым и вторым блюдам.', '\r\nПриятного аппетита!']", 3 порции,,,
2,Рецепт: Лагман на RussianFood.com, 1 час 30 мин (ваши 1 час),"['Для лапши:', 'Мука - 400 г', 'Вода - 200 мл', 'Соль - 1 ч. ложка', 'Масло растительное - 1 ст. ложка', '*', 'Для подливы:', 'Мясо (мякоть) - 400 г', 'Картофель - 2-3шт.', 'Редька - 1 шт.', 'Капуста белокочанная - 100 г', 'Свекла - 1 шт.', 'Перец болгарский зелёный - 1 шт.', 'Помидоры - 3-4шт.', 'Морковь - 2 шт.', 'Лук репчатый - 3-4 шт.', 'Чеснок - 6-7 зубчиков (по вкусу)', 'Соль - 1 ст. ложка (по вкусу)', 'Перец чёрный молотый - 1 ч. ложка (по вкусу)', 'или перец красный острый молотый - 0,25 ч. ложки (по вкусу)', 'Масло растительное - 150 г']","['Подготовить продукты.', 'Муку просеять. В воду добавить соль и очень хорошо перемешать. Влить воду с солью в миску с мукой.', 'Тщательно перемешать ложкой.', 'Замесить мягкое тесто. В конце замеса добавить в тесто растительное масло и вымешивать еще пару минут. Накрыть тесто полотенцем, оставить на 15-20 минут.', 'Тесто тонко раскатать, посыпать мукой. Оставить на 5-10 минут, чтобы тесто подсохло.', 'Свернуть пласт теста в рулет, острым ножом нарезать лапшу.', 'Лапша для лагмана готова.', 'Вскипятить 3 л воды, добавить 1,5 ч. ложки соли. В кипящую соленую воду выложить лапшу. Помешивая, довести до кипения, и варить лапшу до готовности, 2-3 минуты на сильном огне.', 'Готовую лапшу откинуть на дуршлаг, сохранив при этом немного отвара - он еще пригодится. Промыть лапшу два-три раза в холодной воде, дать воде стечь.', 'В отдельной посуде приготовить подливу (ваджу). Для этого мясо нарезать кубиками среднего размера.', 'Картофель очистить, вымыть, нарезать небольшими кубиками.', 'Редьку очистить, вымыть, нарезать мелкими кубиками.', 'Морковь очистить, вымыть, нарезать соломкой.', 'Капусту также нарезать соломкой.', 'Свеклу очистить, вымыть, нарезать соломкой.', 'Лук очистить, вымыть, нарезать кольцами.', 'Вымыть болгарский перец, нарезать кольцами.', 'Помидоры вымыть и нарезать небольшими кусочками. ', '\r\nЧеснок очистить и нарезать очень мелко.', 'В сковороде раскалить масло, выложить мясо.', 'Обжарить мясо на среднем огне, помешивая, 8-10 минут, до образования румяной корочки.', 'Затем выложить в сковороду с мясом помидоры и чеснок и продолжать жарить 2 минуты.', 'Затем добавить лук, капусту, морковь, редьку, сладкий перец, свеклу и картофель.', 'Все перемешать несколько раз, посолить, приправить черным или красным перцем, налить немного отвара, в котором была сварена лапша.', 'Тушить мясо с овощами на слабом огне 30-40 минут.', 'Когда будет готова подлива, лапшу окунуть в кипяток. Переложить половину лапши на тарелку, залить половиной подливы. Сверху еще выложить слой лапши и подливы.', '\r\nПриятного аппетита!']", 4 порции,,,
3,Рецепт: Куырдак по-казахски на RussianFood.com, 1 час (ваши 30 мин),"['Картофель - 600г', 'Субпродукты мясные (лёгкое, сердце или печень) - 400 г', 'Сало курдючное - 400 г', 'Лук репчатый - 160 г', 'Вода (или бульон) - 200 мл', 'Перец чёрный молотый - 1 щепотка (по вкусу)', 'Соль - 0,5 ст. ложки (по вкусу)']","['Продукты для приготовления куырдака из потрохов перед вами.', 'Как приготовить куырдак по-казахски:', '\r\n', '\r\nЛук репчатый очистить, помыть, нашинковать полукольцами или кубиками.', 'Курдючное сало нарезать мелкими кубиками.', 'Субпродукты (лёгкое, печень или сердце) помыть, нарезать соломкой или мелкими кусочками.', 'Картофель очистить, помыть, нарезать мелкими дольками.', 'Нашинкованный репчатый лук и субпродукты (лёгкое, печень или сердце), нарезанные мелкими кусочками, обжарить с курдючным салом. Жарить на среднем огне, периодически помешивая, около 15-20 минут.', 'После этого положить нарезанный мелкими дольками картофель.', 'Добавить немного бульона или воды (около 200 мл), соль, перец и тушить куырдак с картофелем на слабом огне под крышкой до готовности (около 30 минут).', 'Куырдак по-казахски готов.', '\r\nПриятного аппетита!']", 4 порции,,,
4,Рецепт: Сомса по-казахски на RussianFood.com,,"['мука пшеничная\xa0', '1', 'стакан', 'масло сливочное\xa0', '2', 'ст. ложки', 'вода\xa0для теста', '5', 'ст. ложек', 'яйца\xa0', '2', 'шт.', 'фарш мясной\xa0или ливерный', '8', 'ст. ложек', 'лук репчатый\xa0', '1', 'головка', 'перец чёрный молотый\xa0', '\xa0', 'по вкусу', 'соль\xa0', '\xa0', 'по вкусу']",[],,,,
5,Рецепт: Шелпеки (казахские лепешки без дрожжей) на RussianFood.com,,"['Мука - 500 г', 'Вода - 200-220 мл', 'Соль - 1 ч. л.', 'Масло растительное - для жарки']","['Как приготовить шелпеки (казахские лепешки без дрожжей):', '\r\n', '\r\nДобавить соль в теплую воду, перемешать до растворения соли.', 'Влить воду в просеянную муку.', 'Замесить тесто, оставить в тепле на 30 минут.', 'Скатать из кусочков шарики.', 'Накрыть и оставить еще на 10-20 минут.', 'Раскатать тонко все кусочки теста, прикрыть полотенцем.', 'Жарить лепешки на сковороде в разогретом масле с двух сторон, поворачивая 5-7 раз вилочками в одном направлении. Если хотите хрустящие шелпеки, то жарьте дольше.', 'Прослоить готовые лепешки бумажными полотенцами, чтобы убрать масло сверху (оно не впитывается).', '\r\nВкусные лепешки-шелпеки отлично подойдут вместо хлеба или к чаю. ', '\r\nПриятного аппетита!']",,,,
6,Рецепт: Айран на RussianFood.com,,"['молоко\xa0цельное', '880', 'г', 'простокваша\xa0', '160', 'г', 'или ', 'кефир\xa0', '160', 'г', 'или ', 'сметана\xa0', '160', 'г']",[],,,,
7,Рецепт: Лапша дунганская (шо-банжем) на RussianFood.com,,"['говядина\xa0', '161', 'г', 'масло топлёное\xa0', '15', 'г', 'лук репчатый\xa0', '24', 'г', 'томат-пюре\xa0', '10', 'г', 'редька\xa0', '80', 'г', 'чеснок\xa0', '2', 'г', 'уксус 3%\xa0', '15', 'г', 'перец красный\xa0', '1', 'г', 'зелень\xa0', '5', 'г', 'для лапши:', 'мука пшеничная\xa0', '105', 'г', 'мука пшеничная\xa0', '10', 'г', 'поташ\xa0озерный', '2', 'г', 'соль\xa0', '6', 'г', 'масло растительное\xa0', '2', 'г']",[],,,,
8,Рецепт: Пирог чак-чак на RussianFood.com,,"['*Для теста:', 'Яйца - 4-5 шт.', 'Сахар - 2 ч. ложки', 'Молоко - 3 ст. ложки', 'Масло растительное - 2 ч. ложки', 'Водка - 1 ст. ложка', 'Соль - 1 щепотка', 'Мука - 3 стакана', '*Для жарки:', 'Масло растительное - 250 г', 'или Масло топленое - 250 г', '*Для сиропа:', 'Мед - 7 ст. ложек', 'Сахар - 7 ст. ложек']","['Подготовить продукты по рецепту пирога чак-чак.', 'Как приготовить чак-чак:', '\r\n', '\r\nПриготовить тесто. Взбить яйца с сахаром и солью.', 'Добавить молоко и водку, перемешать.', 'Всыпать муку, замесить тесто.', 'Разделить тесто на куски весом в 100 г, раскатать их жгутиками толщиной в 1 см.', 'Нарезать жгутики на шарики величиной с кедровый орешек.', 'Разогреть масло. Порциями жарить их, перемешивая, во фритюре. Готовые шарики принимают желтоватый оттенок. Затем вынуть в дуршлаг, чтобы удалить лишнее масло и жарить следующую порцию.', 'Всыпать в мед сахар и вскипятить в отдельной посуде. Готовность меда можно узнать следующим образом: взять на спичку каплю меда, и если стекающая со спички струйка после остывания делается ломкой, кипячение следует прекратить.', 'Прожаренные шарики положить в широкую посуду, полить медом и хорошо перемешать.', 'Поднос или тарелку смочить холодной водой.', '\r\nПосле этого переложить чак-чак на поднос или тарелку и смоченными в холодной воде руками придать ему желаемую форму (пирамиды, конуса, звезды и т.п.). Пирог чак-чак можно украсить мелкими леденцами (монпансье) или разноцветными драже.']", 1 час 30 мин (ваши 1 час 30 мин),,,
9,Рецепт: Чебуреки по-казахски на RussianFood.com,,"['мука\xa0', '2', 'стакана', 'вода\xa0', '0.5', 'стакана', 'филе рыбы\xa0', '500', 'г', 'лук\xa0', '2', 'шт.', 'соль\xa0', '\xa0', 'по вкусу', 'перец\xa0', '\xa0', 'по вкусу', 'зелень\xa0', '\xa0', 'по вкусу', 'масло растительное\xa0', '\xa0', 'по вкусу']",[], 2 порции,,,
10,Рецепт: Баурсаки традиционные на RussianFood.com,,"['Кефир - 1 стакан', 'Яйцо - 1 шт.', 'Дрожжи сухие - 10 г', 'Мука - 3 стакана', 'Сахар - 1 ч. ложка', 'Масло растительное (оливковое) - 1 ст. л. (для теста)', 'Вода - 1/2 стакана', 'Соль - 1 ч. л.', 'Масло растительное - для фритюра']","['Подготовим необходимые ингредиенты для приготовления баурсаков.', 'Как приготовить баурсаки традиционные:', '\r\n', '\r\nПодогреваем кефир до теплого состояния (около 40 градусов), примерно 40-50 секунд в микроволновке. Если вы будете подогревать кефир на плите, то обязательно следите, чтобы он не закипел и не подгорел.', 'Добавляем к теплому кефиру сухие дрожжи и тщательно перемешиваем. Затем добавляем сахар к кефиру и дрожжам. Перемешиваем и оставляем тесто «бродить» на 20 минут.', 'В емкость с просеянной мукой добавляем яйцо. (Муку лучше просеять, так баурсаки будут более мягкими и нежными.) Сюда же добавляем массу из кефира, дрожжей и сахара.', 'Замешиваем тесто. К нему добавляем соль, растворенную в воде, и одну столовую ложку масла.', 'Тщательно вымешиваем тесто, накрываем его, лучше не крышкой, а полотенцем, чтобы тесто «дышало», и оставляем в стороне на 30 минут. ', '\r\nПо истечении 30 минут обминаем тесто и оставляем его еще на 1 час.', 'Разделяем тесто на одинаковые по размеру шарики, их оставляем еще на 20 минут.', 'Хорошо нагреваем растительное масло на сковороде с высокими бортами или в сотейнике и обжариваем баурсаки в масле до образования легкой золотистой корочки.', 'Вынимаем готовые баурсаки, перекладываем их на бумажное полотенце, чтобы убрать излишки масла.', 'Баурсаки традиционные готовы. Приятного аппетита!']",,,,
11,Рецепт: Баурсаки на RussianFood.com,,"['Сметана – 100 г', 'Майонез – 1 ст. ложка', 'Мука пшеничная – 1-1,5 стакана', 'Сода – 0,5 ч. ложки', 'Сахар – 1 ч. ложка', 'Соль – 1 щепотка', 'Масло растительное (для жарки) – 200 мл']","['Подготавливаем продукты.', 'В подходящую миску выкладываем сметану.', 'Добавляем майонез.', 'Всыпаем соду, сахар и соль. Можно подлить немножко воды или молока (не более 30 мл).', 'Перемешиваем.', 'Муку подсыпаем частями. Вмешиваем ее в сметанную массу сначала ложкой. Затем замешиваем тесто для баурсаков руками.', 'Тесто мягкое, слегка липнущее к ладоням. ', '\r\nОставляем тесто отдыхать на 15-20 минут.', 'После этого раскатываем тесто в пласт толщиной около 0,5 см.', 'Разрезаем на ромбики (квадратиками тоже можно).', 'В сотейнике хорошо разогреваем побольше растительного масла. Жарим баурсаки до аппетитной румяности. Для удаления ненужного жира выкладываем готовые баурсаки на бумажное полотенце.', 'Приятного семейного чаепития!']",,,,
12,Рецепт: Салат по-казахски на RussianFood.com,,"['говядина\xa0', '260', 'г', 'или ', 'баранина\xa0', '260', 'г', 'яйца\xa0', '2', 'шт.', 'молоко\xa0', '2', 'ст. ложки', 'масло сливочное\xa0', '20', 'г', 'картофель\xa0', '1', 'шт.', 'огурцы маринованные\xa0', '2', 'шт.', 'морковь\xa0', '1', 'шт.', 'горошек зелёный\xa0', '32', 'г', 'яблоко\xa0', '1', 'шт.', 'майонез\xa0', '90', 'г', 'сметана\xa0', '2.5', 'ст. ложки', 'зелень\xa0', '\xa0', 'по вкусу', 'перец чёрный\xa0', '\xa0', 'по вкусу', 'соль\xa0', '\xa0', 'по вкусу']",[], 4 порции,,,
13,Рецепт: Пышные баурсаки по-казахски на RussianFood.com,,"['Мука – 350 г', 'Дрожжи сухие – 5 г', 'Сахар – 1 ч. л.', 'Соль – 0,5 ч. л.', 'Молоко – 200 мл', 'Масло растительное – 25 мл + для фритюра']","['Как приготовить баурсаки:', '\r\n', '\r\nСмешиваем дрожжи, сахар и теплое молоко. Оставляем на 10 минут.', 'Добавляем к опаре соль и масло.', 'Просеиваем муку и замешиваем тесто.', 'Тесто должно быть мягким и не липким.', 'Оставляем дрожжевое тесто в тепле на 60 минут.', 'После обминаем.', 'Накрыв чашей, оставляем на 5 минут.', 'Раскатываем тесто в пласт толщиной около 1 см. Вырезаем кружки, ромбики или квадраты.', 'Накрываем и оставляем для подъема на 10 минут.', 'Разогреваем достаточное количество растительного масла, чтобы баурсаки плавали в нем. В разогретом (но не до дыма) масле обжариваем баурсаки со всех сторон до румянца.', 'Готовые баурсаки выкладываем на бумажные полотенца, чтобы убрать излишки масла.', 'Приятного аппетита!']", 10 порций,,,
14,Рецепт: Казахский пирог чак-чак на RussianFood.com, 1 час (ваши 45 мин),"['*Для теста:', 'Яйца - 4-5 шт.', 'Сахар - 2 ч. ложки', 'Молоко - 3 ст. ложки', 'Масло растительное - 2 ч. ложки', 'Водка - 1 ст. ложка', 'Соль - на кончике ножа', 'Мука - 3 стакана', '*Для фритюра:', 'Масло сливочное - 200 г', 'Масло растительное - 200 г', '*Для медово-сахарного сиропа:', 'Мед - 500 г', 'Сахар - 0,5 стакана']","['Продукты для казахского пирога чак-чак.', 'Как приготовить пирог чак- чак по-казахски:', '\r\n', '\r\nВ миске размешать яйца с сахаром.', 'Добавить молоко, масло, водку, соль.', 'Всыпать муку и замесить мягкое тесто (оно не должно быть очень крутым).', 'Тесто хорошо промять, чтобы не прилипало к рукам и столу, положить под миску или завернуть в слегка влажную салфетку и дать полежать 15 мин.', 'Стол посыпать мукой.', '\r\n', '\r\nПодготовленное вылежавшееся тесто разделить на несколько небольших кусков. Каждый кусок раскатать в пласт толщиной 2—2,5 мм', 'Нарезать длинными полосками шириной 3—3,5 см, а затем нарезать их, как для лапши.', 'В кастрюле прокалить растительное и растопить сливочное масло.', 'Измельченное тесто-лапшу небольшими порциями класть в кастрюлю с прокаленным маслом и, перемешивая, жарить до золотистого цвета (5 минут на среднем огне).', 'Вынуть шумовкой на большое сито (решето) и дать остыть. ', '\r\n', '\r\nЖарить лапшинки можно в металлической сетке или дуршлаге, опустив его в прокаленное масло; это позволит вынимать одновременно всю порцию равномерно обжаренного чак-чака.', 'Приготовить сироп. В отдельной эмалированной или алюминиевой посуде растопить мед.', 'Добавить сахар и довести до закипания, снять пену, уменьшить огонь и продолжать варить, помешивая и не давая кипеть, до готовности (примерно 10 минут).', 'Для проверки взять ложечкой немного сиропа и опустить его в холодную воду: если масса не расходится, а свертывается в шарик, значит, сироп готов. Нельзя допускать переваривания сиропа, иначе он карамелизуется.', 'Массу обжаренных лапшинок переложить в неглубокую, но широкую посуду, облить горячим сиропом (при желании можно  тотчас же посыпать рублеными орехами). Перемешать.', 'Руки смочить водой. ', '\r\nГотовый чак-чак влажными руками переложить на блюдо, формируя горку или плоский корж. Казахский чак-чак готов.']", 8 порций,,,
15,Рецепт: Тушпара (пельмени по-казахски) на RussianFood.com, 1 час,"['Для теста:', 'Мука пшеничная - до 500 г', 'Вода - 150 мл', 'Яйцо куриное - 1 шт.', 'Соль - 1 щепотка', '*', 'Для фарша:', 'Баранина - 500 г', 'Сало - 150 г', 'Лук репчатый - 1-2 шт.', 'Перец черный молотый - по вкусу', 'Соль - 0,5 ч. ложки (по вкусу)', '*', 'Для подачи (на 1 порцию):', 'Бульон мясной или вода - 1 стакан', 'Овощи ассорти (например, смесь замороженных овощей) - от 150 г', 'Масло растительное (для жарки)', 'Соль - по вкусу']","['Подготовьте ингредиенты для теста, фарша и подачи тушпары.', '\r\nОвощи подходят любые, свежие и/или замороженные. Например, очень удобно использовать замороженное овощное ассорти (стручковая фасоль, лук, морковь, сладкий перец, кукуруза).', 'Тесто - простое пельменное. Перемешайте ингредиенты для теста между собой и замесите крутое тесто.', 'Для фарша нарежьте на куски мякоть баранины, сало и лук.', 'Пропустите мясо, сало и лук через мясорубку. Добавьте соль, перец (например, черный молотый) и тщательно вымесите фарш.', 'Порции теста тонко раскатайте скалкой и нарежьте небольшими квадратами, по размеру такими же, примерно, как если бы нарезали тесто кружочками для пельменей.', 'На каждый квадратик теста выложите примерно 1,5 ч.л. мясного фарша. ', '\r\nСначала защипните края квадратика так, чтобы получился треугольник, а затем соедините острые углы треугольника и слепите между собой.', 'Для подачи обжарьте овощи (на растительном масле), залейте овощи водой или мясным бульоном и потушите.', 'Тушпару можно заморозить ""на потом"" на разделочных досках, присыпанных мукой, а затем хранить в морозилке в пакетах.', 'Тушпару варите так же, как пельмени, т.е. закиньте в кипящую воду и варите около пяти минут после всплывания.', 'Готовую тушпару выложите в бульон с овощами и подавайте.', '\r\nПриятного аппетита!']", 5 порций,,,
16,Рецепт: Шелпек на RussianFood.com,,"['мука пшеничная\xa0', '2', 'стакана', 'яйца\xa0', '2', 'шт.', 'молоко\xa0', '250', 'г', 'или ', 'сливки\xa0', '250', 'г', 'или ', 'сметана\xa0', '250', 'г', 'сахар\xa0', '25', 'г', 'сода\xa0', '5', 'г', 'соль\xa0', '5', 'г', 'масло топлёное\xa0для обжарки', '50', 'г']",[],,,,
17,Рецепт: Лагман на RussianFood.com,,"['мясо\xa0', '1', 'кг', 'редька\xa0', '400', 'г', 'томат-пюре\xa0', '150', 'г', 'чеснок\xa0', '2', 'зубчика', 'лук\xa0', '4-5', 'шт.', 'масло растительное\xa0', '200', 'г', 'перец болгарский\xa0', '2', 'шт.', 'помидоры\xa0', '3', 'шт.', 'зелень\xa0', '\xa0', 'по вкусу', 'соль\xa0', '\xa0', 'по вкусу', 'перец\xa0', '\xa0', 'по вкусу']",[], 10 порций,,,
18,Рецепт: Курыш сорпа (казахская кухня) на RussianFood.com,,"['рис\xa0', '1', 'стакан', 'лук репчатый\xa0', '100', 'г', 'морковь\xa0', '150', 'г', 'помидоры\xa0свежие', '200', 'г', 'или ', 'томат-пюре\xa0', '2', 'ст. ложки', 'масло растительное\xa0', '40', 'г', 'картофель\xa0', '500', 'г', 'зелень\xa0', '0.5', 'пучка', 'соль\xa0', '\xa0', 'по вкусу', 'перец\xa0', '\xa0', 'по вкусу', 'лавровый лист\xa0', '\xa0', 'по вкусу', 'специи\xa0', '\xa0', 'по вкусу']",[],,,,
19,Рецепт: Манты из кислого теста на RussianFood.com,,"['мука пшеничная\xa0', '100', 'г', 'дрожжи\xa0', '2', 'г', 'баранина\xa0', '168', 'г', 'лук репчатый\xa0', '77', 'г', 'перец\xa0', '0.5', 'г', 'масло растительное\xa0', '5', 'г', 'для сантана:', 'бульон\xa0мясокостный', '20', 'г', 'уксус 3%\xa0', '10', 'г', 'масло\xa0', '3', 'г']",[],,,,
20,Рецепт: Шужук (колбаса ) на RussianFood.com,,"['конина\xa0', '250', 'г', 'кишки\xa0конская (тонкая)', '20', 'см', 'сахар\xa0', '5', 'г', 'чеснок\xa0', '\xa0', 'по вкусу', 'соль\xa0', '\xa0', 'по вкусу']",[],,,,
21,Рецепт: Кунрдак-поджарка на RussianFood.com,,"['легкое\xa0', '500', 'г', 'печень\xa0', '300', 'г', 'сердце\xa0', '200', 'г', 'сало курдючное\xa0', '240', 'г', 'лук репчатый\xa0', '150', 'г', 'зелень\xa0', '\xa0', 'по вкусу', 'перец\xa0', '\xa0', 'по вкусу', 'соль\xa0', '\xa0', 'по вкусу']",[],,,,
22,Рецепт: Салат овощной с курятиной по-казахски на RussianFood.com,,"['курица отварная\xa0', '200', 'г', 'картофель\xa0', '2-3', 'шт.', 'огурцы маринованные\xa0', '1-2', 'шт.', 'морковь\xa0', '1', 'шт.', 'яблоко\xa0', '1', 'шт.', 'горошек зелёный консервированный\xa0', '1', 'ст. ложка', 'майонез\xa0', '2-3', 'ст. ложки', 'сметана\xa0', '1-2', 'ст. ложки', 'яйца\xa0', '2', 'шт.', 'молоко\xa0', '2', 'ст. ложки', 'маргарин\xa0', '1', 'ч. ложка', 'или ', 'масло растительное\xa0', '1', 'ч. ложка', 'зелень петрушки\xa0', '1', 'ст. ложка', 'перец чёрный молотый\xa0', '1', 'г', 'соль\xa0', '1', 'г']",[], 4 порции,,,
23,Рецепт: Балиш (пирог) на RussianFood.com,,"['мука пшеничная\xa0', '2', 'стакана', 'масло сливочное\xa0', '3', 'ст. ложки', 'сметана\xa0', '4', 'ст. ложки', 'сахар\xa0', '1', 'ст. ложка', 'яйца\xa0', '1', 'шт.', 'баранина\xa0или курица', '440', 'г', 'рис\xa0', '2', 'ст. ложки', 'лук репчатый\xa0', '2', 'головки', 'перец чёрный молотый\xa0', '\xa0', 'по вкусу', 'соль\xa0', '\xa0', 'по вкусу']",[],,,,
