,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Овощи в соусе терияки,PT2H,"['Кабачки - 1 шт.', 'Морковь - 1 шт.', 'Фасоль стручковая зеленая - 200 гр', 'Болгарский перец - 1 шт.', 'Чеснок - 2 зубч.', 'Имбирь - 25 гр', 'Соус Терияки - 70 мл', 'Кунжутное масло - 3 стол.л.', 'Перец острый молотый -  по вкусу', 'Соль -  по вкусу']","['Как сделать овощи в соусе терияки? Подготовьте овощи. Морковь вымойте и очистите. Острым ножом нашинкуйте морковь средней соломкой.', 'Вымойте кабачок. Если у вас не молодой кабачок, то очистите его от плотной кожуры с помощью овощечистки.', 'А также удалите жёсткие семечки. Мне удобно это делать столовой ложкой.', 'Нашинкуйте кабачок такой же средней соломкой, как и морковь.', 'Перец вымойте, отрежьте хвостик и освободите от семян. Нарежьте перец так же некрупной соломкой.', 'Корень имбиря вымойте и срежьте кожицу. Чеснок очистите. Натрите оба ингредиента на мелкой тёрке.', 'Сложите все нарезанные овощи в одну миску. К овощам добавьте соус терияки, чеснок и имбирь. Посолите по вкусу. Перемешайте. Затяните миску пищевой плёнкой и отправьте в холодильник на час-полтора для того, чтобы овощи хорошо промариновались.', 'Сковороду с бортами (в идеале вок) разогрейте на сильном огне. Добавьте кунжутное масло. Как только оно раскалится, выложите овощи в сковороду. Обжаривайте их, помешивая, около семи минут. Огонь не уменьшайте, он должен быть сильным, чтобы овощи именно жарились, а не тушились.', 'Как только овощи размягчатся, добавьте зелёную фасоль. Не размораживайте ее предварительно. Перемешайте овощи и жарьте их ещё около десяти минут. Подавайте блюдо горячим, можно посыпать овощи сверху кунжутом. Приятного аппетита!']",4,,,
1,Заправка для риса для роллов в домашних условиях,PT10M,"['Яблочный уксус - 4 стол.л.', 'Вода - 6 стол.л.', 'Сахар - 1 стол.л.', 'Морская соль - 1 чайн.л.']","['Для того, чтобы приготовить заправку для риса для роллов нам понадобится яблочный уксус, вода, соль и сахар.', 'Сначала наливаем воду в ковшик и доводим ее до кипения и уменьшаем огонь до минимума.', 'Вливаем в воду уксус.', 'Затем сразу добавляем соль.', 'И тут же добавляем сахар.', 'Все перемешиваем хорошенько и держим на огне до полного растворения. Только тогда снимаем заправку с огня. Оставляем ее остывать.']",1,,,
2,"Роллы Калифорния с авокадо, креветками и красной икрой",PT30M,"['Сахар - 1 стол.л.', 'Соевый соус - 1 стол.л.', 'Авокадо - 1 шт.', 'Соус Васаби - 100 гр', 'Рис - 1 стак.', 'Нори - 2 гр', 'Креветки - 100 гр', 'Икра красная - 50 гр', 'Майонез - 100 гр', 'Соль -  по вкусу', 'Уксус - 4 стол.л.', 'Вода - 1 чайн.л.']",[],2,,,
3,Баурсаки настоящие казахские на дрожжах,PT1H30M,"['Мука - 3 стак.', 'Дрожжи - 15 гр', 'Вода - 0.5 стак.', 'Молоко - 0.5 стак.', 'Яйца - 2 шт.', 'Маргарин - 40 гр', 'Соль - 1 чайн.л.', 'Сахар - 1 стол.л.', 'Растительное масло - 2 стак.']","['Для рецепта берем продукты, указанные в списке.', 'Тесто будем готовить опарным способом. Вливаем в железную посуду воду и молоко в равных пропорциях (как указано в рецепте) и подогреваем на огне или в микроволновке до температуры 35-40 градусов. Переливаем жидкость в удобную миску для замеса теста, всыпаем дрожжи и добавляем столовую ложку сахара.', 'Всыпаем третью часть подготовленной и заранее просеянной муки и все хорошо перемешиваем. Получается основа для теста, которая по густоте напоминает тесто для оладьев. Накрываем миску пищевой пленкой и даем опаре побродить в теплом месте в течение 20-ти минут.', 'Далее добавляем в тесто соль, взбитое яйцо и растопленный маргарин или сливочное масло. Всыпаем в два приема оставшуюся муку - ее можно просеять заранее или добавлять в тесто через ситечко.', 'Сначала замешиваем тесто ложкой, а затем, когда оно загустеет и соберется в комок, перекладываем его на стол (можно посыпать на стол немного муки) и продолжаем делать замес руками. Вымешиваем тесто в течение 10-ти минут, так как дрожжевое тесто любит долгий замес. Формируем колобок, накрываем пищевой пленкой и даем подойти в тепле в течение часа.', 'Тесто готово - и теперь мы можем определиться с тем, как пожарить баурсаки казахские? Для этого подошедшее тесто обминаем, делим его ножом на несколько частей и каждую раскатываем в жгутик.', 'Получившиеся жгуткии нарезаем на кусочки длиною по 3-3,5 сантиметра.', 'Формируем из них шарики, накрываем кухонным полотенцем и оставляем на 15-20 минут, чтобы они подошли.', 'Разогреваем в глубокой сковороде растительное масло и закладываем первую порцию наших шариков.', 'Жарим со всех сторон на среднем огне до румяности и готовности.', 'Готовые баурсаки вынимаем шумовкой и откидываем на дуршлаг, чтобы стек лишний жир. Подобным образом жарим все заготовки.', 'Пока они еще горячие, их можно посыпать сахарной пудрой - но это по желанию.']",12,,,
4,Тесто на позы бурятские,PT45M,"['Вода - 150 мл', 'Мука - 500 гр', 'Яйца - 1 шт.', 'Соль -  по вкусу']","['Как сделать тесто на бурятские позы? Приготовьте все необходимые ингредиенты. Рекомендую всегда начинать приготовление поз именно с теста, поскольку после замеса ему будет необходимо отдохнуть в течение получаса. Как раз в это время можно будет заняться начинкой. Возьмите глубокую емкость, просейте в нее муку через сито.', 'Теперь в центре муки сделайте углубление. Влейте в него воду.', 'Туда же вбейте куриное яйцо и всыпьте соль по вкусу. Замесите тесто, сначала размешивая продукты ложкой, а затем руками. Имейте ввиду, что муки может уйти другое количество от заявленного в рецепте. Ориентируйтесь на состояние теста. Если оно очень липкое, то добавьте еще муки, слишком крутое и не лепится — воды. Тесто должно стать гладким, однородным и перестать липнуть к рукам.', 'Месите тесто достаточно долго, не меньше 5 минут, затем сформируйте из него шар.', 'Только что вымешанное тесто заверните в пищевую пленку или уберите в полиэтиленовый пакет. Дайте ему ""отдохнуть"" 30 минут. За это время мука впитает в себя всю воду и разовьет клейковину, которая отвечает за эластичность и податливость теста. Как раз сейчас можете приготовить мясную начинку, порубив мясо и добавив в него лук, воду или бульон, зелень (например, кинзу или петрушку), чеснок и другие приправы.', 'По окончании получаса, достаньте тесто из пакета и немного вымесите его. Тесто готово к работе.', 'Можете приступать к формированию самих бурятских поз. Данное количество теста рассчитано ориентировочно на 12 поз, количество которых зависит в большей степени от размера самих поз и тонкости раскатанного теста.']",10,,,
5,Салат из соленого папоротника,PT4H,"['Папоротник Орляк - 300 гр', 'Лук репчатый - 1 шт.', 'Морковь - 1 шт.', 'Болгарский перец - 1 шт.', 'Соевая спаржа - 200 гр', 'Чеснок - 3 зубч.', 'Специи сухие - 1 чайн.л.', 'Зелень кинзы -  по вкусу', 'Кунжут - 1 чайн.л.', 'Растительное масло - 5 стол.л.', 'Соевый соус - 3 стол.л.', 'Соль -  по вкусу']","['Как сделать салат из соленого папоротника? Подготовьте продукты. Салат готовится достаточно быстро, но предварительной подготовки потребует главный ингредиент, это сам папоротник Орляк. Не имеет значения, солили вы его сами или купили солёный, его надо вымочить. Без такой подготовки готовить даже не пытайтесь, уровень соли зашкаливает аж до горечи. Сухую соевую спаржу также готовят заранее, как, опишу в шаге 4.', 'Положите солёный папоротник в просторную посуду и залейте холодной водой из-под крана. Вода должна покрыть зелень полностью. Вымачивать 4-6 часов, периодически папоротник промывайте и заливайте свежей водой. Конечно пробуйте на вкус. Мне хватило 4 часов, чтобы концентрация соли пришлась по вкусу. Вымачивала я вечером, а готовила утром. Поэтому слила воду, промыла, дала стечь воде. Затем накрыла чашку плёнкой и убрала в холодильник.', 'Начните готовку с нарезки овощей, которые предварительно вымойте. Морковь натрите на корейской тёрке. Лук нарежьте на четвертинки не очень тонко, чтобы не подгорел. Болгарский перец брусочками, папоротник нарезайте около 4-5 см. Чеснок очистите промойте и пока оставьте целым, но приготовьте пресс, чтобы был под рукой. Зелень промойте и мелко нарежьте.', 'Готовиться всё будет быстро, поэтому все ингредиенты заранее разложите по отдельным чашечкам. Я в салат буду добавлять соевую спаржу, она не попала на общий снимок ингредиентов, так как готовилась. Сухую спаржу также замочите на 2-3 часа, промойте и нарежьте как папоротник. Затем отварите на слабом огне, бросив в кипящую воду на 5-6 минут. Промойте холодной водой, дайте воде стечь, так как всё будет обжариваться.', 'Только после подготовки всех ингредиентов приступайте к обжарке. Накалите сковороду, влейте 3 ст.л. рафинированное растительное масло. На умеренно среднем огне обжарьте лук до прозрачности. Не забывайте помешивать.', 'Как только лук начал золотиться пора добавить морковь, ей дайте слегка обжариться.', 'Следом добавьте болгарский перец, перемешайте и всыпьте приправу для корейской моркови. Если надо, подлейте ещё масло, овощи не должны быть сухими.', 'Добавьте папоротник. Выдавите через пресс чеснок, перемешайте.', 'Последним добавьте соевую спаржу. Помешивая, прогрейте всё ещё пару минут. Попробуйте на вкус, по желанию можете добавить острый перчик и если надо, добавить соль. Я угадала с вымачиванием папоротника и соли добавлять не пришлось.', 'Переложите всё из горячей сковороды в глубокий салатник. Остывающие овощи посыпьте свежей зеленью, перемешайте.', 'Заправьте соевым соусом, по желанию посыпьте кунжутом. Подавайте остывшим, чем дольше постоит в холодильнике, тем вкуснее станет. Разумный предел до 2 суток, это если готовить на какое-то мероприятие заранее. В семье обычно съедается сразу, даю настояться всего 2-3 часа.', 'Подают как самостоятельное блюдо или как дополнение к блюдам из картошки, макарон, мяса, рыбы...']",4,,,
6,Японский омлет тамаго,PT20M,"['Куриные яйца - 5 шт.', 'Растительное масло - 1 стол.л.', 'Соевый соус - 1 стол.л.', 'Рисовый уксус - 1 стол.л.', 'Сахар - 1 чайн.л.']","['Как сделать японский омлет? Подготовьте самые просты ингредиенты. Если у вас есть рисовое вино - мирин - это идеальный вариант. Если нет, берите рисовый уксус.', 'Яйца разбейте в глубокую миску.', 'Теперь все взбейте венчиком. Если хотите, можете воспользоваться миксером, только на низких оборотах. Нам не нужна пышная масса и пена, нужно только разбить структуру яйца и соединить все)', 'Теперь важно - не пропустите этот момент и не поленитесь) Нужно взбитые яйца процедить через сито. Чтобы избавиться от неоднородных частиц.', 'В процеженные взбитые яйца добавьте специи: соевый соус, рисовый уксус и сахар. Количество сахара регулируйте. Если хотите не очень сладкий омлет, насыпьте неполную чайную ложку. Сахар можете заменить сахарозаменителем.', 'Теперь все снова хорошенько взбейте, чтобы сахар растворился.', 'Приступаем к жарке нашего японского омлета) \r\nВ оригинале он жарится на прямоугольной сковороде. К сожалению, таковой у меня нет)) Будем жарить на круглой) \r\nРазогретую сковороду смажьте слегка маслом, вылейте на нее половничек яичной смеси и распределите по сковороде круговыми движениями. Огонь ставьте ниже среднего, нам нужно чтобы омлетная масса схватилась, но не подгорела!', 'Когда омлет схватился, сверните его прямо на сковороде в рулетик. Японцы это делают палочками)) Я делала при помощи лопатки)) Аккуратно только, не обожгитесь. Рулетик оставьте под бортиком сковороды.', 'Сковороду снова слегка смажьте маслом, налейте половник омлетной массы, круговыми движениями распределите по сковороде. Нужно чтобы масса попала и под рулетик. И снова готовьте до момента, когда омлет схватится. Затем аккуратно сверните рулет в обратную сторону, то есть  наверните его на ранее жареный рулетик) И так делайте, пока не закончится яичная смесь. У меня всегда получается 5 таких половничков.', 'Вот так выглядит готовый омлет.', 'Пока он горячий, придайте ему аккуратную прямоугольную форму. Коврик для сворачивания роллов оберните пленкой, выложите на нее рулет и, подворачивая коврик, придайте омлету прямоугольную форму.', 'Готовый омлет Тамаго нарежьте острым тонким ножом на кусочки.', 'Очень вкусно такой омлет кушать с соевым соусом, васаби, маринованным имбирем. Приготовьте его на завтрак своей семье - и утро у вас начнется с похвалы в ваш адрес! Это очень вкусно!\r\nГотовьте на здоровье и приятного аппетита!']",2,,,
7,Суп из маша по узбекски,PT1H25M,"['Говядина - 400 гр', 'Подсолнечное масло - 2 стол.л.', 'Лук репчатый - 1 шт.', 'Морковь - 1 шт.', 'Болгарский перец - 0.5 шт.', 'Томатная паста - 1 чайн.л.', 'Чеснок - 2 зубч.', 'Вода - 2 л', 'Картошка - 2 шт.', 'Маш (мунг) - 100 гр', 'Круглый рис - 2 стол.л.', 'Молотый кориандр - 1 чайн.л.', 'Паприка - 1 чайн.л.', 'Соль -  по вкусу', 'Перец острый молотый -  по вкусу', 'Зелень -  по вкусу']","['Первым делом промойте маш под краном и залейте холодной водой. Так он приготовится быстрее. Оставьте его до того момента, когда нужно будет добавлять его в суп.', 'Для машхурды используют говядину или баранину, можно на кости, если вы любите такое мясо. Выбранный кусочек мяса промойте под проточной водой и нарежьте на небольшие порционные кусочки. Обжарьте мясо до золотистого цвета на подсолнечном масле. Дальше я переложила мясо в отдельную посуду, а сковороду вымыла.', 'В сковороде обжарьте до мягкости лук, нарезанный полукольцами, и морковь соломкой. Можно обжаривать овощи прямо с мясом. Но мне больше нравится делать это отдельно, потому что говядина в дальнейшем сможет дольше вариться (и, соответственно, стать более мягкой), а заправку добавим в бульон позже, что позволит ей остаться ""читаемой"" в супе, а не разваренной до неузнаваемости.', 'Добавьте в зажарку красный болгарский перец, нарезанный средним кубиком.', 'Добавьте мелко нарезанный чеснок, томатную пасту и специи: сушеный кориандр и паприку. Перемешайте и прогрейте заправку в течение пары минут, после чего снимайте ее с огня и отставьте на время.', 'В кастрюлю налейте фильтрованную воду и на среднем огне доведите ее до кипения. В кипящую воду переложите обжаренное мясо. Воду пока не солим.', 'Следом добавьте нарезанный средним кубиком картофель. Огонь уменьшите до минимального и, поддерживая кипение, варите около двадцати минут. Я люблю, чтобы картофель в супе был разваренным, поэтому варила его даже дольше. Я называю это состояние готовности картофеля ""до мягких граней"".', 'Только после этого добавляем в суп заправку, чтобы кислая среда не мешала картофелю развариваться.', 'Маш откиньте на дуршлаг и переложите в кастрюлю. Варите до тех пор, пока зернышки маша не начнут лопаться.', 'Время варки маша может значительно отличаться. Мне понадобилось около 25 минут. Попробуйте зернышко, если его оболочка достаточно мягкая для вас, приступаем к следующему шагу.', 'Промытый до прозрачной воды рис добавьте в кастрюлю. И варите суп до мягкости риса еще примерно 10 минут. После чего посолите и поперчите суп по вкусу. Машхурда готова!']",5,,,
8,Фунчоза с креветками и овощами,PT30M,"['Фунчоза - 200 гр', 'Морковь - 1 шт.', 'Цукини - 1 шт.', 'Болгарский перец - 1 шт.', 'Растительное масло - 2.5 стол.л.', 'Креветки - 100 гр', 'Чеснок - 1 зубч.', 'Перец чили -  по вкусу', 'Соль -  по вкусу', 'Соевый соус - 50 мл', 'Рисовый уксус - 1 стол.л.', 'Кунжут - 1 стол.л.']","['Как сделать фунчозу с креветками и овощами? Для начала крупную морковь вымойте, очистите и нашинкуйте мелкой соломкой. Чтобы соломка была максимально одинаковой по размеру, можете использовать специальную тёрку для овощей. Так блюдо будет выглядеть аккуратнее. Разогрейте масло на сковороде с высокими бортами. И выложите морковь обжариваться.', 'Тем временем вымойте болгарский перец, освободите его от семян и перегородок. Нашинкуйте мелкой соломкой. И отправьте в сковороду к моркови обжариваться. Перемешайте.', 'Молодой кабачок цукини вымойте и, используя тёрку или нож, нашинкуйте и его так же, как шинковали морковь. Переложите к овощам в сковороду. Влейте рисовый уксус и соевый соус. Перемешайте. Обжаривайте овощи в течение примерно 5-7 минут, периодически перемешивая. Ориентируйтесь на свою плиту.', 'Тем временем подготовьте фунчозу согласно инструкции на упаковке. Свою я просто залила кипятком и после семи минут заваривания промыла большим количеством холодной воды, чтобы остановить процесс её приготовления и смыть ненужный крахмал.', 'Как только овощи будут готовы, посыпьте их кунжутом. Выложите лапшу в сковороду и перемешайте с овощами. Она как раз успеет прогреться для подачи.', 'В чистой сковороде разогрейте растительное масло. Чеснок очистите и нашинкуйте кольцами. Добавьте чеснок в сковороду обжариваться. Добавьте к нему кусочки перца чили.', 'Как только чеснок зарумянится, удалите и его, и перец из сковороды. Они больше не понадобятся, так как уже сделали свою работу - ароматизировали масло. Выложите в сковороду размороженные очищенные креветки. И обжаривайте их пару минут. На порционные тарелки выложите лапшу с овощами. Сверху украсьте креветками.']",5,,,
9,Жумшак-эт,PT3H30M,"['Баранина - 800 гр', 'Сало - 2 стол.л.', 'Болгарский перец - 2 шт.', 'Редька белая - 2 шт.', 'Лук репчатый - 3 шт.', 'Томатная паста - 2 стол.л.', 'Растительное масло - 3 стол.л.', 'Пшеничная мука - 2 стол.л.', 'Чеснок - 8 зубч.', 'Сахар - 1 чайн.л.', 'Уксус - 1 чайн.л.', 'Зелёный горошек - 6 стол.л.', 'Соль -  по вкусу', 'Перец черный молотый -  по вкусу', 'Сало - 40 гр', 'Лук репчатый - 1 шт.', 'Чеснок - 4 зубч.', 'Уксус - 1 чайн.л.', 'Рис - 1 стол.л.', 'Зелёный лук - 1 гр']",[],10,,,
