,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Рецепт: Закуска «чуйская» на RussianFood.com,,"['лук репчатый\xa0', '1-2', 'шт.', 'помидоры\xa0', '1', 'шт.', 'редька\xa0', '1.5', 'шт.', 'перец болгарский\xa0', '3', 'шт.', 'томат-паста\xa0', '1.5', 'ст. ложки', 'баранина\xa0', '300', 'г', 'чеснок\xa0', '0.5', 'шт.', 'крахмал\xa0сушеный (фунчоза)', '200', 'г', 'соль\xa0', '\xa0', 'по вкусу', 'уксус\xa0', '\xa0', 'по вкусу', 'специи\xa0', '\xa0', 'по вкусу']",[],,,,
1,Рецепт: Батта (густой суп) на RussianFood.com,,"['мясо\xa0', '80', 'г', 'рис\xa0', '100', 'г', 'редька\xa0', '40', 'г', 'перец\xa0овощной', '30', 'г', 'комбижир особый\xa0животный', '10', 'г', 'томат-пюре\xa0', '15', 'г', 'лук репчатый\xa0', '15', 'г', 'уксус 3%\xa0', '5', 'г', 'перец\xa0', '1', 'г', 'соль\xa0', '\xa0', 'по вкусу']",[],,,,
2,Рецепт: Чай по-киргизски на RussianFood.com,,"['чай\xa0', '150', 'г', 'сливки\xa0', '50', 'г', 'соль\xa0', '2', 'г']",[],,,,
3,Рецепт: Шелпек на RussianFood.com,,"['мука пшеничная\xa0', '2', 'стакана', 'яйца\xa0', '2', 'шт.', 'молоко\xa0', '250', 'г', 'или ', 'сливки\xa0', '250', 'г', 'или ', 'сметана\xa0', '250', 'г', 'сахар\xa0', '25', 'г', 'сода\xa0', '5', 'г', 'соль\xa0', '5', 'г', 'масло топлёное\xa0для обжарки', '50', 'г']",[],,,,
4,Рецепт: Оромо (мясной рулет на пару) на RussianFood.com, 1 час,"['Для фарша:', 'Баранина - 500 г', 'Сало - до 150 г', 'Картофель - 1-2 шт.', 'Лук репчатый - 0,5-1 шт.', 'Соль - 2 щепотки', 'Перец молотый, смесь - по вкусу', '*', 'Для теста:', 'Мука пшеничная - около 500 г', 'Вода - 200 мл', 'Яйцо куриное - 1 шт.', 'Соль - 1 щепотка']","['Подготовьте ингредиенты для оромо - мясного рулета на пару.', 'Как приготовить мясной рулет на пару:', '\r\n', '\r\nУдобнее мясо для фарша порубить в мясорубке через насадку с крупными ячейками. ', '\r\nНарежьте мясо, сало, лук и картофель кусочками, подходящими по размеру для загрузки в мясорубку.', 'Прокрутите ингредиенты в мясорубке.', 'Добавьте соль, смесь молотых перцев или специи ""Для баранины"". Перемешайте рубленое мясо, сало лук и картофель между собой и со специями.', 'Для приготовления теста соедините муку, яйцо, воду и соль и замесите крутое тесто. Количество муки может варьироваться.', 'Отрежьте половину теста и раскатайте его в тонкий прямоугольный пласт.', 'На поверхность теста уложите ровным слоем начинку из половины мясного фарша с овощами.', 'Скрутите тесто с начинкой в рулет. Готовьте оромо на пару в пароварке или мультиварке на соответствующем режиме в течение 40 минут.', '\r\nИз указанных ингредиентов получается два таких рулета.', 'Оромо подают нарезанным на куски к мясному бульону в пиале. В качестве соуса к мясному рулету подходит сметана, а также очень вкусно запивать это блюдо из баранины ароматным зеленым или травяным чаем.']", 4 порции,,,
5,Рецепт: Салат «Ала-Арча» на RussianFood.com,,"['говядина отварная\xa0', '50', 'г', 'редька\xa0', '60', 'г', 'чеснок\xa0', '18', 'г', 'морковь\xa0', '48', 'г', 'уксус\xa0', '20', 'г', 'яйца\xa0', '16', 'г', 'молоко\xa0', '6', 'г', 'маргарин\xa0', '1', 'г', 'специи\xa0', '20', 'г']",[],,,,
6,Рецепт: Салат «Кюз» (Мясной) на RussianFood.com,,"['говядина отварная\xa0', '30', 'г', 'или ', 'баранина\xa0отварная', '30', 'г', 'морковка корейская\xa0', '32', 'г', 'лук репчатый\xa0', '20', 'г', 'капуста\xa0', '10', 'г', 'уксус 3%\xa0', '3', 'г', 'яблоко\xa0', '50', 'г', 'сахар\xa0', '5', 'г', 'горошек зелёный\xa0', '30', 'г', 'соль\xa0', '1', 'г', 'зелень\xa0', '5', 'г', 'сметана\xa0', '10', 'г', 'или ', 'майонез\xa0', '10', 'г']",[],,,,
7,Рецепт: Бал (киргизский сладкий напиток) на RussianFood.com,,"['мёд\xa0', '125', 'г', 'корица\xa0', '25', 'г', 'гвоздика\xa0', '4', 'г', 'имбирь\xa0', '4', 'г', 'перец чёрный горошком\xa0', '0.05', 'г', 'лавровый лист\xa0', '0.05', 'г', 'вода\xa0', '1', 'л']",[],,,,
8,Рецепт: Суп кесме (суп по-киргизски) на RussianFood.com,,"['баранина\xa0', '110', 'г', 'томат-пюре\xa0', '5', 'г', 'редька\xa0', '36', 'г', 'джусай\xa0', '10', 'г', 'лук репчатый\xa0', '24', 'г', 'сало курдючное\xa0', '12', 'г', 'чеснок\xa0', '6', 'г', 'кости\xa0', '100', 'г', 'для  лапши:', 'мука\xa0', '30', 'г', 'яйца\xa0', '0.25', 'шт.', 'соль\xa0', '1', 'г', 'специи\xa0', '\xa0', 'по вкусу']",[],,,,
9,"Рецепт: Котлеты ""Ала-тоо"" на RussianFood.com", 1 час (ваши 30 мин),"['Фарш говяжий или бараний - 600 г', 'Яйца куриные - 7 шт.', 'Масло сливочное - 100 г', 'Зелень петрушки - 0,3 пучка', 'Лук репчатый - 1 шт.', 'Чеснок - 3 зубчика', 'Сухари панировочные - 100 г', 'Масло подсолнечное - 80 мл', 'Соль - по вкусу', 'Перец чёрный молотый - по вкусу']","['Подготовьте продукты для киргизских котлет ""Ала-тоо"".', 'Приготовление котлет начните с зелёного масла. В миске соедините мягкое сливочное масло, измельчённую зелень петрушки, соль и чёрный молотый перец.', 'Перемешайте масло с зеленью, солью и перцем.', 'Теперь нам нужно придать маслу форму шариков. Есть два варианта: можно масло поставить в морозильную камеру минут на 10-15, а когда оно подморозится, достать и скатать шарики, снова отправить их в морозилку; а можно использовать силиконовые формочки для конфет в форме полусферы. У меня была такая формочка, поэтому я воспользовалась последним вариантом (просто нужно разложить зелёное масло после перемешивания чайной ложечкой в ячейки и поставить в морозилку для застывания).', 'Для приготовления мясного фарша в миске соедините бараний или говяжий фарш, измельчённый лук, пропущенный через пресс чеснок, соль и чёрный молотый перец.', 'Перемешайте фарш и обязательно отбейте его, чтобы он стал пластичным. Для этого берите фарш в руку и с силой бросайте в миску раз 20.', 'Отварите 6 яиц вкрутую (10 минут), остудите их, очистите. Достаньте из морозилки масло с зеленью. Разрежьте яйца на половинки и извлеките желтки - нам они не понадобятся. Вместо желтков вложите в яичные белки масло.', 'Соедините яичные белки с маслом в одно яйцо. Фарш разделите на 6 равных частей. Возьмите часть фарша и придайте ему форму лепёшки размером с ладонь. В центр этой лепёшки вложите яйцо с масляной начинкой. Заверните яйцо в фарш, чтобы получилась котлета.', 'Также подготовьте остальные котлеты.', 'В миске разболтайте яйцо со щепоткой соли. В другую миску насыпьте панировочные сухари. ', '\r\nПоочерёдно опустите котлеты сначала в яичную смесь, затем запанируйте в сухарях.', 'По мере панировки котлеты выкладывайте в сковороду с уже разогретым маслом. Обжарьте котлеты со всех сторон до золотистой корочки.', 'Обжаренные котлеты переложите в форму и запекайте в духовке при 200 градусах минут 15.', 'Мясные котлеты ""Ала-тоо"" с начинкой из вареных яиц с зеленым маслом готовы, подавайте их в горячем виде с гарниром. Приятного аппетита!']", 6 порций,,,
