,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Masroshi,PT0H45M,"['2 cups smoked tuna – diced/sliced (substitute: 3 cans Light meat tuna chunks)\r', '1 cup coconut – scraped/grated\r', '1 Scotch Bonnet chilies (githeyo mirus) – finely chopped\r', '⅓ cup curry leaves – finely chopped\r', '1 cup onion – finely sliced\r', '5 cloves garlic – pressed/grated/very finely chopped\r', '1 tbsp ginger – grated\r', '½ cup lemon juice\r', 'Salt to taste\r', '3 cups flour – sifted\r', '1 tsp salt\r', '⅓ cup vegetable oil\r', 'Warm water ']","['Directions:\r', 'Using your hand, squash together the onions, garlic, ginger, curry leaves, chilies, lemon juice, and salt.\n', 'Add the tuna and coconut, and mix until it becomes a sticky mixture.\n', 'Shape the mixture into small balls (about 1 inch in diameter).\n', 'For the dough\r', 'Add the oil and salt into the flour.\n', 'Add warm water and knead until you have a dry, smooth dough. (Add the water gradually to make sure the dough does not turn out too sticky.\n', 'Shape the pieces of dough into cups and place filling inside; then close the cups and smooth into balls.\n', 'Cooking\r', 'Warm a shallow, non-stick skillet over the stove.\n', 'Using a rolling pin, gently flatten out the filled balls into small round circles (about 3 inch in diameter)\n', 'When the skillet is warm enough, place the masroshi on them. Keep flipping every few minutes so both sides cook evenly.\n', 'Tip\r', 'If you would like the masroshi to be crispier, then add a cup of grated/shredded coconut to flour when making the dough.\n']",,Snacks,PT0H30M,PT0H15M
1,Kandu Kukulhu Riha,PT1H30M,"['30 grams fish curry powder\r', '30 grams chicken curry powder\r', '1 Medium onion chopped\r', '½ tsp whole black pepper\r', '3 cloves garlic (chopped)\r', '½ of a Scotch bonnet (or any other hot pepper)\r', '8 – 10 curry leaves\r', '4 cardamom pods\r', '1 cinnamon stick (about 2 inches)\r', '3tbs grated coconut\r', '1/3 tsp salt\r', '1 cup water\r', '2 big tuna loins \r', '2 big onions finely sliced (length-wise)\r', '10 – 12 curry leaves\r', '2 pieces Pandan leaf (about 2 inches a piece)\r', '½ of a Scotch bonnet (or any other hot pepper)\r', '3 cloves garlic\r', '½ tsp ginger\r', '4 cardamom pods\r', '2 stick cinnamon (about 1 inch a piece)\r', 'Vegetable oil\r', '1 cup thin coconut milk\r', '½ cup coconut cream (thick milk)']","['Process all curry paste ingredients in a food processor and take half of the paste, keep rest for later. \n', 'Cut each tuna loin in to chunks that are about 2 inches long. Then cut each chunk like a Swiss-roll so each piece opens into a strip.\n', 'On each strip of tuna apply generous amount of curry paste on the inside and roll the tuna piece back like a Swiss-roll locking as much curry paste inside and tie the rolled tuna piece with a Pandan leaf strip or secure with a tooth pick.\n', 'Set aside to marinade while you make the curry.\n', 'Heat oil in a wok or pot. Add the onions, curry leaves, chilly, ginger, garlic cinnamon, cardamom and Pandan leaves. Sauté until onions turn golden and crispy. Take a spoon full of the sautéed mixture and put in the coconut cream. \n', 'Over medium heat, add the thin coconut milk, rest of the curry paste into the wok with the sautéed mixture and stir until it dissolves into a curry.\n', 'Add the tuna rolls and cook over medium heat (stirring occasionally) until tuna is cooked and the curry thickens. Season with salt (according to taste).\n', 'Reduce flame to low heat, gently stir in the coconut cream (with the sautéed onion mixture).\n', 'Simmer for a few minutes.\n', 'Serve with rice or roshi\n']",,Curries,PT1H0M,PT0H30M
2,Chocolate Smoothie,PT0H10M,"['1 banana\r', '¾ up chocolate ice cream\r', '¾ cup chocolate milk\r', '2 tbsp chocolate sauce\r', '6 ice cubes\r', 'cocoa powder']","['Crush the ice and blend with ice cream, banana, chocolate milk in the blender until smooth. \n', 'Decorate the inside of a tall glass with chocolate sauce streaks. \n', 'Pour the smoothie into the glass. \n', 'Dust top with cocoa powder.\n']",,Drinks,PT0H10M,PT0H0M
3,Theluli Banbukeyo,PT1H10M,"['1 Bread fruit ', 'Oil']","['Cut the breadfruit 6 long pieces (First cut into half, then make 3 long pieces from each halves)\n', 'Peel the skin and remove the inner core from the pieces\n', 'Cut the breadfruit pieces into slices. (approximately ½ cm)\nIf slices are too thin it will burn easily.\n', 'Or cut into squares as in the picture\n', 'Heat up the oil and gently put the breadfruit slices in oil. Fry to a light brown colour\n', 'The bread fruit will become crunchy when cooled.\n']",,Snacks,PT0H25M,PT0H45M
4,Kavaabu,PT0H20M,"['3 cups smoked tuna – diced/sliced (substitute: 3 cans Light meat tuna chunks)\r', '1 cup coconut – scraped/grated\r', '1 Scotch Bonnet (githeyo mirus) – finely chopped\r', '⅓ cup curry leaves – finely chopped\r', '1½ cups yellow split-lentils (mugu) – boiled and mashed\r', '1 cup onion – finely sliced\r', '5 cloves garlic – pressed/grated/very finely chopped\r', '1 tbsp ginger – grated\r', '½ cup lemon juice\r', '½ tsp turmeric powder\r', '½ cups water\r', '1 cup all-purpose flour\r', 'Salt to taste\r', 'Vegetable oil – for frying']","['20 Minutes\r', 'Squash the onions, garlic, ginger, curry leaves, chilies, lemon juice, turmeric powder and salt. \n', 'Add the lentils and tuna and finally the coconut and mix into a thick paste-like mixture. \n', 'Add flour and knead well\n', ""Gradually add water, while kneading the mixture; process until the mixture forms a big ball. Once done, the mixture is sticky enough to hold its shape when they are squeezed into 'kavaabu' shaped pieces. \n"", 'Take a tablespoon of mix and gently squeeze and shape into small oval pieces. \n', 'Heat the oil and deep fry (in batches) over a medium flame until brown.\n']",,Snacks,PT0H10M,PT0H10M
5,Banbukeylu kanney dhelonu (breadfruit curry),PT1H30M,"['3 breadfruits – cored and diced into about 1 inch cubes\r', '5 pieces of Pandan (rampe/raambaa) leaves – cut into about ½ inch pieces\r', '1 cup curry leaves\r', '3 onions – finely sliced\r', '3 cups coconut milk\r', '1 Scotch Bonnet (githeyo mirus) – chopped\r', '2½ cups smoked tuna – diced/sliced (substitute: 2 cans Light meat tuna chunks)\r', '1 Tb ginger – finely grated\r', '5 cloves garlic – pressed/grated/very finely chopped\r', '1 green mango – diced\r', '5 Bilimbis – sliced\r', '2 tsp turmeric powder\r', 'Salt to taste\r', 'Water (enough to rise about 1 inch over the diced breadfruit in the pan)']","['Bring water to the boil. Add breadfruit. Let boil for about 5 minutes, take out any froth that forms. \n', 'Add everything else EXCEPT the coconut milk and boil on low heat. \n', 'Once all the breadfruit are well cooked (soft enough to mash with the spatula), add the coconut milk and simmer for 2-3 minutes.\n', 'Serve hot with rice\n']",,Curries,PT0H30M,PT1H0M
6,Sausage Rolls,PT0H35M,"['5 sausages\r', '3 cups flour\r', '2 tbsp vegetable oil\r', '1 tsp salt\r', 'Warm water\r', 'Vegetable oil for frying']","['Stand the sausages in hot water for about 10 minutes. \n', 'Sift the flour and salt together. Add the vegetable oil, then add the warm water gradually while kneading until you have a dry, smooth dough. \n', 'Break the dough into golf-ball sized pieces. \n', 'Using a rolling pin, spread the dough ball into a rectangle big enough to roll the sausage in. \n', 'Wrap the sausage in the dough and cut into 5 equal pieces. \n', 'Deep fry, drain and serve.\n']",,Snacks,PT0H20M,PT0H15M
7,Chocolate Fudge Pudding,PT0H50M,"['1 ½ cups self-raising flour\r', '¼ cup cocoa powder\r', '1 cup caster sugar\r', '1 ½ cups milk\r', '1 ½ cups boiling water\r', '2 tps butter, softened\r', 'pure icing sugar and ice-cream, to serve']","['Preheat oven to 180°C (350 ˚F / Gas mark 4). \n', 'Lightly grease an 8-cup capacity ovenproof bowl or pudding bowl. \n', 'Sift flour and 2 tablespoons cocoa into prepared bowl. Stir in ½ cup sugar with milk. Stir until well combined. \n', 'Combine remaining ½ cup sugar and 1 tablespoon cocoa in a small bowl. Sprinkle over surface of pudding. \n', 'Gently pour boiling water over the back of a large metal spoon to cover surface of pudding. Dot with butter. \n', 'Bake for 35 to 45 minutes or until a skewer inserted into the center comes out clean. \n', 'Dust with icing sugar and serve with ice-cream.\n']",,Desserts,PT0H10M,PT0H40M
8,Tuna Sandwich,PT0H10M,"['1 can tuna chunks\r', '½ Scotch Bonnet (githeyo mirus) – finely chopped\r', '⅓ cup onion – finely chopped\r', '1 tsp pepper powder\r', '2 tbsp lemon juice\r', '½ tsp salt\r', '2 tbsp mayonnaise\r', 'Sandwich Bread\r', 'Butter']","['Squash, onions, chilies, lemon juice, salt together. \n', 'Add the tuna into the mixture and then the pepper and finally the mayonnaise and mix well. \n', 'Lightly butter the bread slices, spread about 1 tablespoon of the tuna mixture on one slice, and cover with another.\n', 'Tip\r', 'If you would like to toast the sandwich, it would be better to leave out the mayonnaise.\n']",,Snacks,PT0H5M,PT0H5M
9,Faratta,PT1H20M,"['3 cups plain / all-purpose flour\r', '1 egg – beaten\r', '½ tsp baking powder\r', '¼ tsp baking soda\r', '½ tsp salt\r', '2 tbsp ghee\r', '5 tbsp vegetable oil']","['Add the baking powder, baking soda, salt, eggs and ghee to the flour and mix well. \n', 'Pour water gradually and knead to form a soft dough. \n', 'Add 2 tbsp oil and knead for about 20 minutes. \n', 'Add the remaining 3 tbsp oil and knead, then let stand for about 2 hours. \n', 'Again beat and knead the dough for another 10 minutes. Divide the dough into big lime-sized balls. \n', 'Dust each ball with dry flour and using a rolling pin, roll it into as thin a circle as you can. \n', 'Spread 1 tsp of oil on it. Fold one from one side, first in, then out, until the circle becomes a strip. Beat slowly and stretch it gently. \n', 'Brush some oil in your hands, hold one end and roll the other end making a spiral. \n', 'Brush a little oil on and keep aside for about 30 minutes. Do the same with all the dough balls. \n', 'Heat a shallow frying pan. \n', 'Using the rolling pin, roll out each spiral into thick, flat circles. \n', 'Spread ½ teaspoon oil in the pan and place one farata dough. \n', 'Cooking over a medium heat, when one side turns a light golden brown, turn over and cook other side with another ½ teaspoon oil. \n', 'Stacked the cooked ones on a plate. Serve warm.\n']",,Breads,PT1H0M,PT0H20M
