,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Вертута с грибами,PT1H10M,"['Пшеничная мука - 0.5 кг', 'Соль - 0.5 чайн.л.', 'Куриные яйца - 1 шт.', 'Растительное масло - 1 стол.л.', 'Вода - 1 стак.', 'Соль -  по вкусу', 'Картошка - 8 шт.', 'Шампиньоны - 400 гр', 'Лук - 1 шт.', 'Специи сухие -  по вкусу']",[],8,,,
1,Американские классические панкейки,PT30M,"['Мука - 2 стак.', 'Молоко - 300 мл', 'Яйца - 2 шт.', 'Сахар - 3 стол.л.', 'Соль -  по вкусу', 'Разрыхлитель - 1 чайн.л.', 'Ванильный сахар - 1 чайн.л.', 'Растительное масло - 100 мл']","['Как сделать американские панкейки? Подготовьте все необходимые продукты. Молоко средней жирности 2,5-3,2%. Мука пшеничная, лучше всего 1-2 сорта. Мука высшего сорта как правило имеет белоснежный цвет, т.к. выбелена на производстве хлором, поэтому не рекомендую такую муку к использованию.\r\nЯйца крупные, желательно домашние, в крайнем случае СО - такие яйца не только крупные, н и имеют яркий желток, что придаст готовому блюду приятный золотистый цвет.', 'Яйцо помойте, вбейте в миску вместе с сахаром и ванильным сахаром.', 'Взбейте с помощью венчика или миксера.', 'Молоко немного подогрейте и влейте в яичную массу.', 'Влейте растительное масло. Для добавок в тесто я советую масла любого растительного происхождения без явного запаха и вкуса - как правило, это все виды рафинированных масел.', 'Перемешайте до однородного состояния.', 'Просейте муку вместе с солью и разрыхлителем.', 'Перемешайте до однородного состояния, чтобы не было комочков. Тесто должно быть по консистенции, как густая сметана.', 'Панкейки жарят на сковороде без масла, но для первой порции сковороду можно смазать кисточкой с капелькой растительного масла.\r\nСковороду хорошо разогрейте.\r\nВыливайте ложкой немного теста, жарьте 2-3 минуты, пока панкейк не будет весь в дырочку.', 'Затем аккуратно переверните и обжарьте с другой стороны 1-2 минуты.', 'Подавайте классические панкейки с медом, джемом, сметаной и любыми другими топингами.\r\nПриятного аппетита!']",6,,,
2,Французское тесто домашнее,PT50M,"['Пшеничная мука - 3 стак.', 'Молоко - 1 стак.', 'Яичные желтки - 2 шт.', 'Сахар - 2 стол.л.', 'Сливочное масло - 200 гр', 'Сухие дрожжи - 11 гр']","['Приготовим ингредиенты по списку. Все продукты, хранящиеся в холодильнике, нужно заранее вынуть, чтобы они были комнатной температуры. Размягченное несоленое сливочное масло кладем в глубокую миску, рубим его ножом. Вместо сливочного масла можно использовать маргарин, получится бюджетнее, но на качество выпечки такая замена не влияет.', 'От куриных яиц для теста нам нужны только желтки, отделяем их от белков. Желтки отправляем в миску с маслом.', 'Добавляем сахар, перемешиваем до получения однородной массы и растворения сахара.', 'В стакане с теплым молоком (молоко нужно подогреть до температуры 36 градусов, это можно сделать в микроволновой печи или на плите, главное, не перегреть молоко, чтобы не испортить действие дрожжей) разводим сухие дрожжи, перемешиваем, чтобы они полностью разошлись в смеси.', 'Получившуюся молочно-дрожжевую смесь вливаем в миску с масляно-яичной. Снова перемешиваем.', 'Всыпаем просеянную пшеничную муку в миску с жидкостью, муку подсыпаем частями, каждый раз промешивая тесто. Когда тесто станет сложно перемешивать руками, выкладываем его на присыпанную мукой рабочую поверхность и продолжаем замес рукам. Муки может потребоваться чуть больше или меньше в отличие от указанного в составе количества, так как качество и плотность продукта у производителей отличается.', 'Тесто должно получиться по консистенции гладким и эластичным, слегка прилипающим к рукам, но не остающимся на ладонях.\r\nТесто кладем в полиэтиленовый пакет, завязываем его и оставляем на 20 минут при комнатной температуре. Тесто должно значительно увеличиться в объеме.', 'Тесто готово, переходим к формовке изделий из него: булочек, пирожков и даже знаменитые французские круассаны. Очень вкусные, мягкие и воздушные получаются из такого теста батоны и багеты, весьма популярные во Франции не только как сдоба к чаю или кофе, но и отличная основа для бутербродов с пикантной начинкой.\r\nПриятного аппетита!']",12,,,
3,Пицца сырная на медовом тесте,PT1H30M,"['Вода - 120 мл', 'Соль - 0.33 чайн.л.', 'Мёд - 1 стол.л.', 'Оливковое масло - 1 стол.л.', 'Сухие дрожжи - 0.5 чайн.л.', 'Пшеничная мука - 200 гр', 'Петрушка - 4 гр', 'Базилик - 4 гр', 'Кетчуп - 3 стол.л.', 'Пармезан - 60 гр', 'Рассольный сыр - 60 гр', 'Твёрдый сыр - 60 гр', 'Моцарелла - 60 гр', 'Растительное масло - 1 чайн.л.']","['Как делать пиццу 4 сыра? Подготовьте требуемые продукты. Все они должны быть комнатной температуры. Воду берите теплую, муку - высшего сорта.', 'Муку просейте в миску подходящих размеров. Просеивание нужно, чтобы насытить муку кислородом. После тесто будет проще и легче подниматься при выпечке, получится более нежным.\r\nМуку смешайте с сухими дрожжами и солью.', 'Добавьте мед в теплую воду, перемешайте. Это позволит меду лучше раствориться и ускорит процесс поднятия теста.', 'В просеянной муке сделайте углубление, влейте оливковое масло.', 'Добавьте медовую воду.', 'Перемешайте сначала ложкой, затем замесите тесто руками. Чтобы оно не липло к рукам, руки должны быть сухими и холодными. Или можете слегка смазать их растительным маслом.', 'Тесто должно получиться мягким и немного пружинить. Для этого его нужно хорошо вымесить, чтобы выделилась клейковина. Она поможет тесту создать растяжимый каркас, благодаря которому получается упругий и плотный мякиш. Тесто переложите в чашу, смазанную растительным маслом, накройте полотенцем. Уберите в теплое место для поднятия на 40 минут.', 'За это время тесто заметно поднимется. Я разделила тесто на 2 части, соответственно ингредиенты для начинки тоже. Но вы можете сделать одну большую пиццу.', 'На столе, присыпанном мукой, раскатайте тесто в круглую лепешку толщиной 0,3-0,5 см.', 'С помощью скалки перенесите раскатанное тесто на смазанный растительным маслом лист. Я просто застелила противень пергаментом. Вы можете сделать так же. Края теста сделайте чуть толще, чтобы начинка не вытекала.', 'Смажьте лепешку из теста кетчупом или любым подходящим для этого случая томатным соусом.', 'Петрушку и базилик вымойте, обсушите, мелко порежьте.', 'Слой кетчупа присыпьте нарезанной зеленью.', 'Натрите выбранные сыры на крупной терке - все, кроме моцареллы. Сначала равномерно распределите по поверхности теста сулугуни или любой другой рассольный сыр на ваш выбор.', 'Поверх сулугуни насыпьте тертый пармезан (можно заменить другим твердым сыром).', 'Поверх пармезана распределяйте любой полутвердый сыр. Я взяла гауду.', 'Моцареллу нарежьте на произвольные кусочки и выложите на пиццу сверху.', 'Выпекайте пиццу в разогретой до 200С духовке 15 минут (учитывайте особенности своей духовки).\r\nГотовой пицце дайте немного остыть. Нарежьте пиццу на порционные кусочки и подавайте слегка горячей. Если сыр застынет, пицца будет уже не такой вкусной, имейте это в виду.\r\nПриятного аппетита!']",8,,,
4,Роллы Филадельфия с лососем в домашних условиях,PT30M,"['Нори - 10 гр', 'Лосось - 200 гр', 'Творожный сыр - 200 гр', 'Огурцы - 150 гр', 'Круглый рис - 1 стак.', 'Вода - 250 мл', 'Рисовый уксус - 3 чайн.л.', 'Сахар - 0.5 стол.л.', 'Соль - 0.5 чайн.л.', 'Кунжут - 5 гр', 'Соевый соус - 10 мл']","['Как сделать роллы Филадельфия с лососем? Подготовьте для них требуемые ингредиенты. Рис берите круглый, специально для роллов. Огурцы старайтесь брать свежие, хрустящие, с нежной шкуркой. Лосось или другую красную рыбу - слабосоленую или, если вы к этому готовы, сырую.', 'Для суши нужно правильно отварить рис - нам подойдет любой круглый рис. Его тщательно промойте, протирая крупинки между пальцами, меняйте воду 5 раз - она должна стать прозрачной. Это очень важный момент!', 'Промытый рис залейте чистой водой и поставьте на сильный огонь, доведя до кипения. Соотношение воды и риса здесь 1:1,25.', 'После закипания убавьте огонь до минимума и варите рис на самом слабом огне 15 минут, крышку не открывайте и не перемешивайте.', 'Тем временем подготовьте заправку для риса: в рисовый уксус добавьте соль и сахар и хорошо перемешайте.', 'Заправка готова!', 'Можете сразу же очистить и нарезать и огурец полосками. Если у огурца нежная кожица, можете ее оставить. Чем более хрустящий огурчик, тем лучше.', 'Снимите рис с огня и дайте ему постоять еще 10 минут под закрытой крышкой.', 'Рис полейте подготовленной заправкой и перемешайте, в идеале деревянной лопаткой.', 'Дайте рису немного остыть, и наш идеальный рис для суши готов!', 'Лист нори разрежьте на 2 половинки. Циновку для сворачивания роллов оберните пищевой пленкой или же просто постелите сверху чистый пакет.', 'Руки смочите в воде и на шершавую сторону листа нори уложите вареный рис тонким слоем.', 'При помощи циновки аккуратно переверните лист нори рисом вниз.', 'На середину листа положите мягкий сыр, в идеале, конечно, сыр филадельфия, но можно другой, более бюджетный сливочный.', 'Положите поверх сыра дольки огурца. По желанию можете добавить еще и авокадо.', 'При помощи циновки аккуратно сверните ролл.', 'Лосось тоненько нарежьте и уложите на циновку перед роллом. Это, должна вам сказать, оказалось достаточно сложным моментом. Для этого рыба должна быть очень хорошего качества, лучше будет, если вы ее посолите самостоятельно - так вы точно будете знать, из какого сырья она сделана. А тонко нарезать будет легче, если рыба будет слегка подморожена.', 'При помощи той же циновки сверните ролл таким образом, чтобы его покрывал слой красной рыбы. Ножом, смоченным в воде, аккуратно нарежьте ролл Филадельфия на 6-8 частей.', 'Подавайте роллы с соевым соусом, посыпав их сверху кунжутом. Приятного аппетита!']",4,,,
5,Хачапури по мегрельски настоящий,PT2H,"['Мука - 350 гр', 'Мацони - 250 гр', 'Яйца - 1 шт.', 'Растительное масло - 1 стол.л.', 'Сода пищевая - 0.5 чайн.л.', 'Соль - 0.5 чайн.л.', 'Сулугуни - 400 гр', 'Яйца - 1 шт.', 'Сулугуни - 100 гр', 'Яичные желтки - 1 шт.', 'Мацони - 2 стол.л.', 'Сливочное масло - 20 гр']","['Как сделать хачапури по-мегрельски? Для начала приготовьте тесто. \r\nОтличительная черта мегрельских хачапури в том, что делаются они в основном на мацони. Это грузинский кисломолочный продукт, похожий по вкусу на нашу простоквашу. Поэтому если у вас ну никак не получилось раздобыть мацони, замените его на  простоквашу или густую нежирную  сметану.', 'Мацони смешайте с яйцом, растительным маслом, содой солью.', 'Муку просейте. Замесите мягкое эластичное тесто, понемногу подсыпая муку. Всю муку сразу всыпать не стоит, иначе рискуете забить тесто мукой.', 'Готовое тесто должно получиться эластичным, мягким, послушным и слегка липким.', 'Готовое тесто накройте пленкой и положите на 30 минут в холодильник.', 'Пока тесто охлаждается приготовьте начинку.', 'Сыр натрите на крупной терке.', 'Соедините сыр с яйцом и перемешайте. \r\nЕсли начинка получается очень соленой, то можете разбавить ее творогом.', 'Тесто раскатайте на присыпанном мукой столе в круглый пласт толщиной 1 см и диаметром 35-45 см.', 'В центр выложите сырную начинку и пальцами распределите ее по тесту, не доходя до краев 3 см.', 'Края теста соберите  над начинкой в пучок. Переверните тесто и аккуратно раскатайте, стараясь не повредить тесто.', 'Диаметр лепешки должен стать примерно такой же, какой был без начинки – 35-45 см.', 'Переложите заготовку на застеленный пергаментом противень и поставьте хачапури в разогретую до 170-180°С на 15-20 минут. Верхняя часть теста может сильно подняться, ничего страшного, она опустится, стоит только вынуть хачапури из духовки.', 'Пока выпекается хачапури, приготовьте намазку.', 'Сыр натрите на крупной терке и соедините с желтком и мацони.', 'Все тщательно перемешайте.', 'Выньте хачапури из духовки и равномерно распределите намазку по поверхности лепешки. Затем верните хачапури в духовку еще примерно на 10-15 минут, пока верх не зарумянится. Если у вас есть режим ""верхний гриль"", включите его.', 'Готовый хачапури выньте из духовки. Вот такой он должен получиться - румяный снаружи и пропеченный внутри.', 'Сразу  же смажьте поверхность хачапури сливочным маслом. \r\nНарежьте на кусочки и подайте к столу.\r\nПриятного аппетита!']",8,,,
6,Удон с курицей и овощами,PT45M,"['Лапша Удон - 200 гр', 'Вода - 1.5 л', 'Куриное филе - 250 гр', 'Болгарский перец - 1 шт.', 'Морковь - 1 шт.', 'Кабачки - 1 шт.', 'Соевый соус - 3 стол.л.', 'Соль - 1 чайн.л.', 'Кунжут - 20 гр', 'Растительное масло - 40 гр']","['Подготовить все ингредиенты для приготовления классического удона с курицей и овощами.', 'Куриное филе промыть, обсушить бумажными полотенцами и нарезать нетолстыми длинными брусочками.', 'Морковь вымыть, очистить от кожуры и нашинковать мелкой соломкой.', 'Кабачок вымыть, очистить от кожуры и нашинковать брусочками, но уже немного толще, чем морковь.', 'Красный болгарский перец вымыть, удалить стручок и семена, нарезать соломкой.', 'В кастрюлю налить воду, довести до кипения и добавить соль. В кипящую воду забросить лапшу и варить примерно 5-7 минут, иногда помешивая ее, чтобы лапша не слиплась.', 'Готовую лапшу откинуть на дуршлаг и промыть ее под холодной кипяченой водой.', 'На сильном огне в сковороде вок или в сковороде с толстым дном быстро обжарить брусочки куриного филе.', 'Следом в сковороду добавить нашинкованные овощи и также быстро обжарить на сильном огне.', 'На последнем этапе добавить в сковороду готовую лапшу, влить соус и, перемешивая, в течение 3-4 минут довести удон до готовности.', 'Горячий удон разложить по чашам, посыпать обжаренным кунжутом и подавать к столу. Лапшу можно потреблять и в холодном виде, так японцы чаще всего подают к столу лапшу летом, сдабривая ее нарезанным зеленым луком.']",4,,,
7,Домашняя пицца в духовке с колбасой классическая,PT2H,"['Пшеничная мука - 200 гр', 'Вода - 125 мл', 'Сухие дрожжи - 1 чайн.л.', 'Сахар - 1 чайн.л.', 'Соль - 1 чайн.л.', 'Растительное масло - 1 стол.л.', 'Вареная колбаса - 200 гр', 'Твёрдый сыр - 200 гр', 'Лук репчатый - 1 шт.', 'Растительное масло - 1 стол.л.', 'Помидоры - 1 шт.', 'Маслины - 10 шт.']","['Начните приготовление пиццы с теста. Подготовьте все необходимые ингредиенты. Оливковое масло используется в классическом рецепте теста для пиццы. Но его можно заменить на любое другое рафинированное растительное масло. Муку используйте высшего сорта. Ее необходимо просеивать, чтобы убрать мелкий мусор и насытить тесто кислородом и оно хорошо поднялось и было воздушным.', 'В теплую воду (37-40°С) добавьте сахар и дрожжи. Перемешайте ложкой до полного растворения сахара. При отсутствии специального кулинарного термометра необходимую температуру можно определить следующим способом: нужно капнуть на внутреннюю сторону запястья каплю воды. Если ощущение нейтральное - не холодно и не горячо, значит температура правильная.', 'При слишком низкой температуре дрожжи будут работать медленнее и для приготовления нужно будет больше времени. При повышенной температуре дрожжи погибнут и тесто не поднимется. Добавьте 2 ложки муки, перемешайте и оставьте на 10 минут.', 'Если на поверхности появилась пышная шапочка, значит дрожжи активизировались и можно продолжать готовить.', 'Для вымешивания теста возьмите глубокую миску, в которой будет удобно смешивать сухие и жидкие ингредиенты. Пересыпьте в нее половину муки. Добавьте соль и перемешайте ее с мукой, чтобы тесто равномерно просолилось. Сделайте посередине муки углубление.', 'Вылейте в муку растительное масло и небольшими порциями разведенные в воде дрожжи. Обязательно жидкую составляющую добавлять в сухую, а не наоборот. Так тесто получится наиболее удачным. Так как свойства муки одного сорта, но разных производителей могут отличаться, чтобы получить нужную консистенцию, муку добавляйте небольшими порциями.', 'Когда станет затруднительно вымешивать ложкой, начните это делать руками. Тщательно вымесите тесто. Оно должно получиться мягким и нежным, но не липнуть к рукам. Смажьте дно и стенки миски растительным маслом, чтобы тесто не прилипало к посуде. Готовое тесто также обомните руками с маслом. Миску накройте салфеткой или полотенцем, чтобы оно не сохло и хорошо поднималось. Оставьте в теплом месте примерно на 1-1,5 часа.', 'Пока поднимается тесто, приготовьте начинку. Сыр выбирайте любой, который хорошо плавится. Колбасу берите ту, которая вам больше нравится. Лук вкуснее синий - у него не такой резкий луковый аромат и вкус слаще.', 'Колбасу нарежьте соломкой - это стандартная нарезка для домашней пиццы. Сыр натрите на крупной терке.', 'Помидор помойте, высушите, удалите плодоножку и нарежьте на тонкие дольки. Маслины нарежьте колечками - хвостики лучше убрать, с ними пицца будет выглядеть не очень аккуратно.', 'Лук очистите, помойте и нарежьте полукольцами. Разогрейте сковороду с маслом. Обжарьте на ней лук в течение 3 минут, постоянно помешивая. Он не должен стать слишком мягким, а лишь слегка припущенным. Полностью остудите.', 'За это время тесто должно увеличиться в несколько раз. Из такого количества теста можно сделать или одну большую пиццу или две маленькие. Я буду делать две пиццы диаметром около 20 см каждая. Разомните тесто руками в круглый пласт. Края оставьте потолще, чтобы образовался бортик.', 'Начинку разделите на 2 пиццы. Равномерно распределите половину сыра, сверху равномерно распределите лук.', 'Следующим слоем выложите нарезанную колбасу, сверху - помидор.', 'Присыпьте все оставшимся сыром и равномерно разложите маслины.  Выпекайте 15-20 минут на средней полке предварительно разогретой до 200 градусов духовки при режиме ""верх-низ"". Время приготовления зависит от характеристик вашей духовки, поэтому проверяйте готовность. В готовой пицце тесто поднимется и слегка зарумянится. При аккуратном нажатии ладонью, тесто не должно ""гулять"".']",4,,,
8,Пышная творожная запеканка в духовке,PT1H30M,"['Творог - 600 гр', 'Сметана - 150 гр', 'Яйца - 3 шт.', 'Сахар - 4 стол.л.', 'Манка - 4 стол.л.', 'Сода пищевая - 1 чайн.л.', 'Ванилин - 0.25 чайн.л.', 'Соль -  по вкусу', 'Сливочное масло - 1 чайн.л.', 'Манка - 1 чайн.л.']","['Как сделать пышную творожную запеканку в духовке? Подготовьте продукты. Творог возьмите пожирнее, минимум 5%. Тогда запеканка получится действительно вкусной, не сухой. Сметану также выбирайте пожирнее. Если у вас густая сметана, то положите ее поменьше, жидкую - побольше. Количество сахара можете менять по своему вкусу - 4 ложки - среднее количество.', 'Возьмите миску, положите в нее творог. В этом рецепте все ингредиенты пробиваются погружным блендером. Если у вас его нет, то протрите творог через сито - он станет однородным. Добавьте сахар. Всыпьте соду. Она необходима для пышности запеканки. И соль, для усиления вкуса. Положите ванилин для аромата.', 'Разбейте к творогу яйца. Их возьмите крупные, отборной категории. Если яйца мельче, увеличьте их количество. Они также отвечают за пышность запеканки, не уменьшайте их количество. Если у вас нет блендера, то яйца взбейте с сахаром отдельно, и только затем добавьте к основной массе. Положите сметану. Учитывайте, какой у вас творог - сухой или влажный - и регулируйте количество сметаны.', 'Пробейте все ингредиенты погружным блендером - масса станет однородной и кремовой.', 'Добавьте манную крупу. Ее количество также может быть разной. Если изначально масса была густой - положите меньше, если слишком жидкой - больше на одну ложку. Учитывайте, что она еще набухнет при выпечке. Не переборщите.', 'Хорошо перемешайте массу. Оставьте ее постоять на 20 минут, за это время манка набухнет.', 'Подготовьте форму для выпечки. Смажьте ее кусочком мягкого сливочного масла, а затем присыпьте манкой. Манка прилипнет к маслу и и при выпечке станет корочкой. Это поможет легко вынуть запеканку из формы.', 'Вылейте в форму тесто, разровняйте верх лопаткой. Моя форма размером см, запеканка получилась не очень высокой. В меньшей форме она получится выше.', 'Запекайте запеканку в духовке при температуре 180°С, режим верх-низ, в течении 30-40 минут, до румяной верхушки. Как проверить, готова ли запеканка? Как только на поверхности образуется легкая золотистая корочка, возьмите шпажку и проткните запеканку в нескольких местах. Если шпажка сухая, то запеканка готова. Готовую запеканку полностью остудите и только потом вынимайте из формы.']",6,,,
9,Квас из ржаной муки домашний,P2D,"['Вода - 3 л', 'Ржаная мука - 300 гр', 'Черный хлеб - 100 гр', 'Сахар - 100 гр', 'Изюм - 50 гр']","['Как сделать квас из ржаной муки? Подготовьте продукты. Постарайтесь найти изюм, не подвергшийся обработке для долгого хранения — пусть он будет неказистый, зато полезный. Хлеб подойдет любой, и свежий, и черствый. Воду вскипятите и остудите до 70 градусов. Сахар можно заменить на мед, так квас станет ещё полезнее. Муку лучше брать ржаную обдирную она натуральнее и полезнее. Насыпьте ее в глубокую кастрюлю.', 'Постепенно, постоянно помешивая, чтобы не было комочков, влейте воду в кастрюлю к муке. Добавьте сахар, перемешайте. Оставьте смесь до полного остывания.', 'Отмерьте необходимое количество изюма. Промывать его не нужно, так как на поверхности находятся бактерии, которые будут участвовать в процессе брожения.', 'Хлеб нарежьте, удалите мякиш, нужны будут только корочки.', 'Добавьте корочки хлеба и изюм к полностью остывшей смеси воды с ржаной мукой. Прикройте кастрюлю марлей, чтобы смесь ""дышала"" и поставьте в прохладное место на двое суток. Не ставьте ее в холодильник, там слишком низкая температура, процесс брожения не начнется.', 'Как только на поверхности появится пена - квас будет готов, процедите его и разлейте по банкам и бутылкам, храните в холодильнике. Можно по вкусу добавить мяту. Вкусный и полезный квас на ржаной муке готов, приятного аппетита!']",10,,,
