,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Big Fruit Salad,PT30M,"['1 medium cantaloupe', '1 medium honeydew melon', '2 mangoes', '1 lb strawberry', '1 pint blueberries', '6 kiwi fruits', '4 limes', '2 tablespoons sugar or 2 tablespoons sugar substitute']","['Cut the 2 melons in half, then scrap out the innards.', ""Cut into 1/4's then 1/8's."", 'Fillet from the skin and chop into 1/2-inch chunks.', 'Toss into a BIG mixing bowl.', 'Peel the mangoes and cut from the core then cut the two bigger pieces in half and chop into 1/2-inch chunks.', 'Toss into the BIG mixing bowl.', 'Wash the berries, and cut the tops off the strawberries and cut the big ones into halves of quarters.', 'Toss into the BIG mixing bowl, then toss all the ingredients together.', 'Peel and slice the kiwis into 1/4-inch rounds and place around the edges of the bowl for presentation.', 'On the small holed side of your cheese grater (or with a micro plane), zest 2 of the limes and then place the zest in a small bowl.', 'Juice all 4 of the limes into the bowl with the zest and then whisk in the sugar.', 'Pour over the fruit salad and let sit for at least 4 hours before serving.']",8 serving(s),Lunch/Snacks,PT30M,
1,Edmonds Scones,PT20M,"['3 cups plain flour', '6 teaspoons baking powder', '1/4 teaspoon salt', '75 g butter', '1 -1 1/2 cup milk', ' extra milk']","['Sift flour, baking powder and salt into a bowl.', 'Cut butter in until it resembles fine breadcrumbs.', 'Add milk and mix quickly with a knife to a soft dough.', 'Knead a few times.', 'Lightly dust an oven tray with flour.', 'Press scone dough out onto this.', 'Cut into 12 even-sized pieces.', 'Leave a 2 cm space between scones.', 'Brush tops with milk.', 'Bake at 220C for 10 minutes or until golden brown.']",12 serving(s),Scones,PT10M,PT10M
2,Settler's Pie,PT1H10M,"['1 cup flour', '4 ounces butter', '2 teaspoons vinegar', '1 tablespoon milk', '1 carrot, grated ', '1 onion, grated ', '1 apple, grated ', '1 potato, grated ', '1 1/2 lbs sausage meat', '2 teaspoons curry powder', '1 teaspoon mixed herbs', '1 tablespoon sugar', ' cheese, grated ', ' breadcrumbs']","['Mix the flour and butter to a sandy texture.', 'Add the liquids and mix.', 'Roll out.', 'Work around into a flan tin.', 'Combine all of the filling ingredients well.', 'Turn into flan tin.', 'Bake at 200 C for 40 minutes.']","1 pie, 16-20 serving(s)",Savory Pies,PT30M,PT40M
3,Coconut Cream Truffles,PT2H25M,"['375 g white chocolate', '150 g butter', '1/2 cup coconut milk', '2 teaspoons coconut essence (optional)', '1 cup desiccated coconut (shredded coconut)', '3 cups icing sugar (powder sugar)', '375 g dark chocolate or 375 g milk chocolate, for coating truffles ', '2 -3 tablespoons Tia Maria (optional) or 2 -3 tablespoons Baileys Irish Cream, etc (optional)']","['Gently melt butter and white chocolate in large bowl in microwave.', ""For best results don't over melt, if just a few chocolate pieces appear solid, stir them in with what has already melted until it's all smooth."", 'Add coconut milk, coconut essence (optional), desiccated coconut and icing sugar.', 'Stir until well mixed.', 'Recipe says chill so you can roll it into balls, freeze etc, but personally I spooned my mixture into two small plastic bags so that it formed slabs about 2cm thick, then threw it into the freezer for at least 2 hours.', 'Remove slabs from freezer, peel away plastic bags and&quot;dice&quot; your mixture so that you have a plate full of little cubes.', ""Microwave your dark or milk chocolate mixture until half of it is melted, stir until all is smooth (doing it like this meant that the mixture started to set quickly and evenly around the cubes and didn't just make puddles at their bases)."", 'Dip the cubes one by one into the darker chocolate mixture, turning over with a teaspoon until evenly coated.', 'Place coated cubes onto a tray lined with foil.', 'Leave at room temperature to set, and store in a cool place (not the fridge).', ""Edited to add: making the filling into round balls does look more professional and less &quot;home made&quot; -- mind you, once your family and friends have tasted these they honestly won't care how they look, they'll be too busy diving back in for another one :)."", 'I loved the suggestion about the other flavours and played around with it -- some of my guests preferred 2T Tia Maria etc for a softer more mellow taste, other preferred theirs with 3T for a stronger taste.', 'The mixtures with the Baileys/Tia Maria were softer and a little more sticky than the original, so *slightly* more messy rolling them, but your guests will love you for the 10 minutes extra work.']",50 chocolates,Candy,PT25M,PT2H
4,Pavlova,PT1H50M,"['4 egg whites', '1 teaspoon vanilla essence', '2 teaspoons vinegar', '1 cup sugar', '2 teaspoons cornflour']","['Beat egg whites and cornflour well with electric mixer.', 'Add vinegar and vanilla beat 1-2 minutes.', 'Add sugar gradually while beating continue beating until sugar is dissolved and mixture forms stiff peaks. This takes about 10-15 minutes, your mixture should look smooth and very glossy.', 'Moisten baking paper with a little water.', 'Spread mixture on paper about 2-3 inches deep in a circle.', 'Place in preheated oven 180 C and bake 1.1/2 hours - turn off the oven and allow to come to room temperature. Do not open the oven during the cooling as it may cause the pavlova to collapse.', 'Cover with whipped cream and decorate with either chocolate, nuts or fruit, serve either on its own or with fruit.']",8 serving(s),Dessert,PT20M,PT1H30M
5,Pork Chops and Apple,PT1H15M,"['4 pork loin chops, trimmed ', '1 onion, sliced ', '3 apples, sliced ', '2 tablespoons honey', '1 lemon, juice ', '1/2 teaspoon ground cayenne pepper', '1/2 teaspoon allspice (I use 1 t)', '1/2 teaspoon cinnamon (I use 1 t)', '1/2 teaspoon salt', '1/4 cup water']","['Preheat oven to 180 C (350 F).', 'Place pork chops in single layer in large baking dish.', 'Saute onions and place on top of chops.', 'Place apple on top.', 'Drizzle with honey and lemon juice.', 'Sprinkle cayenne, allspice, cinnamon and salt on top.', 'Pour water around the edges.', 'Cook covered for 1 hour or until chops are cooked through.']",4 serving(s),Pork,PT15M,PT1H
6,Anzac Biscuits,PT30M,"['1 cup quick-cooking rolled oats', '3/4 cup coconut', '1 cup flour', '1 teaspoon bicarbonate of soda', '1 cup sugar', '1/2 cup butter', '1 tablespoon golden syrup', '2 tablespoons boiling water']","['Mix oats, flour, sugar and coconut together.', 'Mix soda with boiling water and add to melted butter and syrup.', 'Add to dry ingredients.', 'Place 1 tablespoon of mixture on a greased tray.', 'Bake in slow oven for 20 minutes at 160&deg;C.']","28-30 cookies, 10 serving(s)",Drop Cookies,PT10M,PT20M
7,Afghan Biscuits,PT25M,"['200 g butter', '1/2 cup sugar', '1 1/2 cups plain flour', '2 tablespoons cocoa powder', '1 cup corn flakes, slightly crushed ', '1/2 cup desiccated coconut', '1 cup icing sugar', '1 tablespoon cocoa powder', '3 tablespoons water', ' walnuts (to decorate)']","['BISCUITS-----------.', 'Cream butter and sugar until light and fluffy, sift together flour and cocoa and mix into butter mix, then fold in corn flakes and coconut.', 'Put teaspoonful balls onto lightly greased or baking paper covered trays.', 'Bakes at 180&deg;C for 15-20 minutes.', 'Makes about 30 biscuits.', 'ICING------------.', 'Sift icing sugar and cocoa together, add enough water to get a spreading consistency, ice biscuits, decorate with walnuts.']",30 biscuits,Dessert,PT10M,PT15M
8,Apple Crumble,PT45M,"['2 cups sliced apples', '1/4 cup water', '1 (100 g) packet blackberry jelly', '1 cup flour', '1/2 teaspoon baking powder', '1/2 cup brown sugar', '50 g butter']","['Cook apples in water until just tender.', 'Mix in jelly crystals.', 'Put in an oven dish.', 'Sift flour and baking powder, add sugar, rub in butter.', 'Spread over apples.', 'Bake about 30 min at 190C (375F).']",4 serving(s),Dessert,PT15M,PT30M
9,White Christmas,PT10M,"['1 cup desiccated coconut', '1 cup rice bubbles', '1/3 cup sultana', '1/3 cup currants', '1/3 cup raisins', '1 cup icing sugar', '1 cup whole powdered milk', '6 -7 ounces kremelta', '1 teaspoon vanilla essence']","['Mix dry ingredients in a bowl.', 'Melt kremelta and pour over dry mix; mix well.', 'Press into a flat, lightly greased, baking tin and cut before too hard.', 'Refrigerate.']",1 batch,Bar Cookie,PT10M,
