,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,"Desert clatite fragede, cu mere in aluat, umplute cu dulceata",PT90M,"
    3 mere"," Se spală merele, se curăță de coajă și se taie felii și se pun într-un castron. Se adaugă ouăle cu sarea și se mixează cu un blender vertical. Se adaugă zahărul măcinat, laptele și uleiul și se omogenizează, apoi se adaugă făina și se omogenizează cu un tel. Se lasă să se odihnească 10 minute, apoi se încinge tigaia. Se pune o picătură de ulei, se toarnă câte un polonic din compoziție și se întinde bine. Se lasă compoziția să se rumenească pe ambele părți și apoi se răstoarnă pe o farfurie întinsă. La fel se procedează cu toate clătitele. 
 Se servesc umplute cu dulceață, unt de arahide sau cremă de ciocolată sua după preferință. 
 Se decorează cu sos de ciocolată. ",9 portii,Prajituri,,
1,"Desert rulada cu portocale, frisca si crema de branza",PT60M,"
    Pentru blat:
    
        6 oua"," Blatul: Separati ouale. Albusurile le bateti spuma cu un praf de sare. Adaugati indulcitorul si mixati pana obtineti o bezea ferma. Incorporati galbenusurile si mixati usor. Radeti coaja de portocala si stoarceti sucul. Sucul de portocala il amestecati cu uleiul si praful de copt, le incorporati peste oua. Cerneti faina. O adaugati treptat, amestecati cu o paleta de silicon. Puneti si coaja de portocala.  Tapetati cu hartie de copt o tava de 34/36 cm. Turnati compozitia de blat, o nivelati si o bateti usor de masa, de doua ori. O introduceti in cuptorul incins, la 170 de grade, pentru 20 de minute. Cand este copt blatul, il scoateti din cuptor.  Il lasati 1 minut sa se racoreasca, il desprindeti de pe hartia de copt si il rulati. Il inveliti tot in hartie de copt si lasati blatul sa se raceasca. 
 Crema: Smantana pentru frisca, rece, o mixati pana prinde putin volum. Adaugati crema de branza, indulcitorul pudra, coaja rasa de portocala si mixati pana obtineti o crema spumoasa.  Curatati portocalele de coaja, le taiati putin la capete. Desfaceti blatul rece, intindeti mai mult de jumatate din crema. Puneti pe o margine portocalele una langa alta, incepeti si rulati cat mai strans.  Puneti rulada in folie si o strangeti bine. O dati la rece 3-4 ore sau peste noapte. Crema ramasa o puneti intr-un pos. Scoateti rulada de la rece si o feliati cu grija. O ornati cu crema din pos si puneti cateva decoratiuni. Este gata sa fie savurata! 
 Pofta buna!  ",12 portii,Prajituri,,
2,Desert jeleuri de lamaie,PT15M,"
    3 - 4 lamai","   
    Se pune intr-o cana gelatina cu 50 ml apa rece la hidratare. 
    Se curata lamaile de coaja si se taie in bucatele, pe urma se paseaza cu ajutorul blenderului . 
    Se pune intr-o craticioara zaharul, lamaile si 150 ml apa si se fierbe aceasta compozitie timp de 10 minute si pe urma se strecoara. 
    Se combina gelatina hidratata cu compozitia de lamaie si se mai incalzeste totul timp de 5 minute, fara sa clocoteasca. 
    Se toarna compozitia rezultata intr- o forma. 
    Dupa ce se va raci compozitia din forma se va pune preparatul in frigider pentru doua ore . 
    Se scoate incet jeleul din forma si se da prin zahar. 
    Se aseaza pe o farfurie. 
   ",10 portii,Dulciuri,,
3,"Desert tort magic cu mere, de post",PT90M,"
    Pentru blat, forma de 23 cm:
    
        220 gr faina"," Blatul: 
Intr-un bol amestecati faina cernuta, grisul, indulcitorul, vanilia, praful de copt, coaja rasa de lamaie si un praf de sare. 
 Aceasta compozitie o impartiti in 5 boluri mici, in mod egal. 
 Lasati deoparte. 
 Umplutura de mere: Spalati merele si le curati de coaja. Le dati pe razatoarea mare intr-un bol. Adaugati zeama de lamaie si amestecati. Puneti indulcitorul, uleiul, scortisoara si amestecati bine. Impariti compozitia in 4 parti egale.  Tapetati pe fund cu hartie de copt, o tava rotunda de 23 cm (nu este obligatoriu, dar eu am o tava cu o mica bordura si ca sa scot usor tortul, am optat pentru a pune hartie). Turnati prima parte de blat, o nivelati, apoi asezati prima parte de mere, dar o puneti cu lingurita din loc in loc si nivelati usor, ca sa nu amestece umplutura cu compozitia uscata. Puneti iar compozitie de blat, iar mere si tot asa, ultima parte fiind de blat.  Introduceti tortul in cuptorul incins, la 180 de grade, pentru 50 de minute. Faceti testul cu o scobitoare, sa vedeti daca este copt. Il scoateti din cuptor, il lasati sa se raceasca.  Il pudrati cu indulcitor pudra, apoi taiati si serviti. 
 Se va topi in gura, o sa vedeti! Pofta buna! ",14 portii,Dulciuri,,
4,"Musaca de cartofi, cu carne tocata, de porc",PT90M,"
    1 kg cartofi"," Mai întâi punem cartofii la fiert, deoarece durează ceva timp. Spălăm foarte bine cartofii și îi punem la fiert, în apă clocotită, cu puțină sare, așa întregi și cu coajă. Apa trebuie să fie doar cât să-i acopere. Îi fierbem cam 30-35 de minute. Verificăm dacă sunt fierți, înțepându-i cu o furculiță. Chiar dacă nu sunt fierți de tot, nu este nici o nenorocire deoarece se vor găti la cuptor! Oprim focul, scurgem apa și lăsăm cartofii să se răcorească. 
 În timp ce fierb cartofii, ne ocupăm de celelalte ingrediente și de carne. 
 Curățăm ceapa, o spălăm și o tocăm cât de mărunt ne place. La fel procedăm și cu roșiile și usturoiul. 
 Punem uleiul într-o cratiță și îl încingem bine. Călim ceapa, doar până ce se înmoaie și devine ca sticla (avem grijă să nu o ardem deoarece devine amară!). Adaugăm acum roșiile și usturoiul și le călim până ce scade zeama lăsată de roșii. 
 Adaugă carnea tocată, omogenizăm compoziția și lăsăm la călit, la foc moderat, până ce scade și apa lăsată de carne. Când este gata, oprim focul și adăugăm condimentele dorite. Eu am folosit un amestec de ierburi de grădină, cimbru mărunțit și verdeață de pătrunjel, tocată. Dacă doriți, puteți să mai adăugați și suc de roșii. 
  
 Pentru a coace musacaua, eu am folosit un vas termorezistent pe care l-am uns cu ulei (puteți folosi unt, dacă doriți). 
 Când s-au răcit cartofii, îi curățăm de coajă și îi tăiem în felii de grosimea unui deget (cam 1 cm). Punem un strat de cartofi, apoi un strat de carne, smântână și condimentele care ne plac, un nou strat de cartofi, apoi unul de carne, smântână și condimente și tot așa până ce terminăm ingredientele. Avem grijă ca ultimul strat să fie neapărat de cartofi! Deasupra punem smântână din belșug, condimente după gust și cașcavalul răzuit. 
 Dăm vasul la cuptor la foc mediu cam 30-40 de minute, cu capacul pus. Îndepărtăm capacul și mai lăsăm musacaua în cuptor, până aceasta se rumenește pe deasupra (se gratinează). 
  
 Servim musacaua, rece sau caldă, după plac, cu murături sau salată de varză, sfeclă roșie sau de crudități (roșii, castraveți, ceapă, ridichi). 
  
 Poftă bună! 
   
   ",6 portii,Porc,,
5,Desert tort aniversar cu crema de mascarpone si fructe - reteta cu nr. 1100,PT120M,"   Pt. blat:  

    6 oua","  Blatul:  In bolul robotului se pun ouale impreuna cu zaharul si praful de sare. Se porneste si se mixeaza timp de 20 de minute pana isi tripleaza volumul. Se adauga esenta de vanilie si se mai mixeaza putin. 
 Faina cernuta impreuna cu praful de copt si amidonul se toarna in 2-3 reprize, amestecand cu grija cu telul. Se imaprte cantitatea in doua si se coc 2 blaturi intr-o tava rotunda cu diametrul de 25 cm. Se lasa blaturile sa se raceasca apoi se taie fiecare in doua. 
  Crema:  Intr-un bol se pune mascarponele impreuna cu zaharul pudra si se mixeaza. Se toarna smantana pt frisca treptat si se mixeaza pana se omogenizeaza bine. Se adauga esenta de migdale si se mai mixeaza putin. Se da la rece crema pana in momentul folosirii. 
 Pentru sirop, se pune apa impreuna cu zaharul la fiert pt 5 minute. Dupa ce se raceste se adauga esenta de migdale. 
 Pe un platou se asaza o parte de blat, se insiropeaza apoi se unge cu o parte din crema. Deasupra se asaza fructele (congelate am avut eu): zmeura, afine si visine. Se asaza al doilea blat, se insiropeaza, se intinde crema apoi fructele. Se continua pana la ultimul blat. 
 Cu restul de crema se unge tortul pe exterior (daca mai ajunge, daca nu, batem frisca). Ciocolata se topeste impreuna cu smantana pt frisca, se adauga colorantul si se amesteca bine. Se lasa sa se raceasca bine apoi se orneaza tortul dupa imaginatie. Se asaza fructele, sticksurile de ciocolata si macaronsii sau dupa imaginatia fiecaruia. ",12 portii,Torturi,,
6,Ciorba cu afumatura si pastai de fasole,PT60M,"
    500 gr fasole fideluta , verde si galbena"," 
      Afumatura se spala cu apa fierbinte si se pune la fiert in apa clocotita . 
     Morcovii se curata , se spala si se taie intai in patru , apoi sferturi de rondele . 
     Ceapa se toaca marunt .Telina se feliaza. 
      Dupa o jumatate de ora  se adauga legumele la fiert . 
      Condimentati cu pasta iute de ardei .  
      Adugati fasolea verd efideluta [ a mea era de la congelator , usor prefiarta ]. 
      Se mai fierbe pana cand  toate legumele sunt patrunse  si afumatura este bine fiarta de consistenta moale . 
      La sfarsit se pune sucul de rosii si se mai da un clocot . 
     Gustati de sare . Sarati doar daca este nevoie , pentru ca afumatura este sarata . 
     Afumatura se scoate de pe os , se portioneaza si se distribuie in fiecare farfurie in momentul servirii . 
      Alaturat puneti ceapa verde , rosie , ardei iuti sau ridichi , dupa pofta . 
 
   ",4 portii,Supe/Ciorbe,,
7,Ciorba de praz cu afumaturi,PT60M,"
    o bucata os afumat,eu am avut griban"," Carnea o punem la fiert, dupa ce a dat cateva clocote, schimbam apa si o punem din nou la fiert. 
 Lasam sa fiarba 20 minute apoi adaugam morcovul, mai lasam sa fiarba 15 minute si adaugam restul pastarnacul,telina, ardeiul gras si lingurile de zarzavat. 
 Mai fierbem 10 minute, la sfarsit adaugam prazul si orezul, lasam sa fiarba 8 minute, adaugam zeama de varza sau borsul, lasam 2 minute, potrivim de sare si piper dupa gust. 
  Se serveste cu verdeata si dupa gust ardei iute. 
 Pofta buna! 
   ",8 portii,Ciorbe,,
8,"Paste cu carne de pui, la cuptor",PT90M,"
    250 g paste penne"," Se spală pieptul de pui, se taie cubulețe și se sotează în puțin ulei. Eu am avut un piept de pui de țară și am adăugat apă și sare l-am lăsat să fiarbă bine.   
 Se pune la fiert puțină apă cu sare și când apa a început să fiarbă se adaugă pastele si se lasă să clocotească cu un minut mai puțin decât scrie în instrucțiunile de pe ambalaj. 
 După ce pieptul de pui a fiert se pune la călit într-o lingură de ulei, se adaugă vinul alb și se lasă să se reducă. 
 Se scurg pastele de apă și se adaugă peste pieptul de pui. Se adaugă smântâna și se condimentează dacă mai este necesar. Se adaugă mozzarella și parmezanul date pe răzătoare, roșiile tăiate în jumătate și pătrunjelul tocat. 
 Se amestecă bine, se mai presară cașcavalul ras și se pune vasul la cuptor pentru 10 minute. ",4 portii,Penne,,
9,Aperitiv rulada cu sunca si branzeturi,PT90M,"
    Pentru aluat:
    
        350 gr faina","  Aluatul:  Intr-un bol cerneti faina, adaugati praful de copt, sarea si amestecati. Bateti oul spuma, il adaugati peste faina. Turnati laptele si uleiul, framantati pana obtineti un aluat omogen. 
  Umplutura:  Intr-un vas puneti crema de branza, sare, piper si busuiocul uscat. Amestecati bine. Cascavalul si mozzarella le dati pe razatoarea mare. Ardeiul kapia, il curatati de cotor si seminte, il taiati fasii pe lung. Puneti aluatul pe o bucata de hartie de copt. Il intindeti cu sucitorul, intr-o foaie dreptunghiulara, nu foarte groasa. Ungeti foaia cu crema de branza. Asezati feliile de sunca una langa alta, lasati marginea din fata, din partea de sus, putin libera. Presarati amestecul de cascaval cu mozzarella, apoi asezati fasiile de ardei.  Rulati din partea de jos cat mai strans, pana obtineti rulada. O inchideti bine la capete, sa nu curga din ea. Bateti oul spuma, iar cu un penson ungeti rulada cu ou. Deasupra presarati susan.  Introduceti rulada in cuptorul incins, la 180 de grade, pentru 45 de minute. Cand este gata, inchideti cuptorul, intredeschideti usa si o mai lasati 5 minute, apoi o scoateti din cuptor.  Se portioneaza si se serveste calda, restul se pastreaza in caserola acoperita, in frigider. Pofta buna!  Sursa de inspiratie       ",1 portii,Aperitive / Garnituri,,
