,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Ciorbă de miel a la grec &#8211; rețeta grecească de ciorbă de miel pentru Paști &#8211; magiritsa,PT02H25M,"['1,2 - 1,5 carne de miel cu os (cap, gât, coadă) sau o combinație de carne cu os și organe de miel (eu am folosit doar carne)', '1 ceapă mare (120-150 de grame)', '3 litri de apă', '2 foi de dafin', '10 boabe de piper negru', '30 de mililitri de ulei de măsline extravirgin', '4-5 legături de ceapă verde', '1 căpățână bună de salată (opțional)', '2 linguri (40 de grame) de orez cu bobul mare', '2 legături de mărar', '3 ouă mari', 'zeama de la 2 lămâi mari', 'sare și piper măcinat după gust', 'sare și piper măcinat după gust']",['Advertising Ciorbă de miel a la grec &#8211; rețeta grecească de ciorbă de miel făcută special pentru Sărbătoarea de Paști &hellip;'],8 portii,['supe si ciorbe'],PT00H25M,PT02H00M
1,Supă cremă de cartofi cu praz &#8211; rețeta de supă Vichyssoise,PT00H30M,"['250 grame praz, doar partea albă și cea verde deschis, cântărit după ce s-a curățat', '1 ceapă obișnuită, cam 70-80 de grame', '300 grame cartofi curățați de coajă și tăiați cubulețe', '200 ml. smântână pentru gătit', '1 litru de supă de pui\xa0', '1 foaie de dafin', '30 grame unt', '1 linguriță de ulei de măsline', 'sare și piper alb', 'verdeața preferată pentru presărat (recomand cepșoara)', 'verdeața preferată pentru presărat (recomand cepșoara)']",['Advertising Supă cremă de cartofi cu praz &#8211; rețeta franțuzească de supă Vichyssoise. Rețetă simplă de supă cremă de praz &hellip;'],4 portii,['supe si ciorbe'],PT00H05M,PT00H25M
2,Ciorbă de cartofi cu tarhon &#8211; rețetă de post,PT00H30M,"['1 kg de cartofi recomandați pentru salată și prăjit (nu din cei făinoși)', '100 de grame de ceapă', '1 ardei gras (opțional)', '100 de grame de morcovi', '50 de grame de țelină (și/sau pătrunjel rădăcină, păstârnac)', '30 de ml de ulei', '300 de grame de roșii fără pieliță, în suc propriu (din conservă) sau bulion sau passata', '2 foi de dafin', '1 lingură de paprika dulce, aromată', 'sare și piper', '1 legătură de pătrunjel proaspăt', '2-3 crenguțe de tarhon proaspăt', '2 linguri de oțet aromatizat cu tarhon', '2 linguri de oțet aromatizat cu tarhon']","['Advertising Cea mai simplă și rapidă ciorbă de cartofi cu tarhon de post, rețeta video cu lista ingredientelor, mod și &hellip;']",8 portii,['supe si ciorbe'],PT00H05M,PT00H28M
3,Supă cremă de spanac cu crutoane de casă cu parmezan,PT00H35M,"['500 de grame de spanac proaspăt sau 200 de grame de spanac congelat', '300 de grame de cartofi, făinoși, cântăriți după ce au fost curățați de coajă, tăiați cuburi', '1 l. de supă de pui', '1 lingură de ulei', '20 de grame de unt', '2 căței mari de usturoi', '1 ceapă de mărime medie', '150 de grame de smântână lichidă pentru gătit', 'sare, piper, nucșoară rasă', 'Crutoane cu parmezan - opțional: 200 de grame de pâine, preferabil mai veche, tăiată cubulețe', '60 de grame de parmezan ras', '40 ml. ulei de măsline', 'sare și piper după gust', 'sare și piper după gust']",['Advertising Aproape de necrezut că din ingrediente atât de simple cum sunt cele de pe lista de ingrediente de mai &hellip;'],4 portii,['supe si ciorbe'],PT00H10M,PT00H25M
4,Supă de gulii cu găluște de făină,PT00H35M,"['2 gulii mărișoare (cam de 180-200 de grame/bucată)', '2 morcovi de mărime medie', '1 bucată de țelină cât 1 ou', '1 ceapă mijlocie (cam de 150 de grame)', '2 linguri de ulei', '1 roșie mare, bine coaptă, decojită și tăiată cubulețe', '1 legătură de pătrunjel verde (opțional, puteți folosi mărar sau un amestec de pătrunjel și mărar)', '1 foaie de dafin', '150 de grame de smântână', '1 gălbenuș proaspăt', 'sare și piper alb', 'opțional: un pic de oțet sau zeamă de lămâie', '1 ou\xa0', '80 de grame de făină', '1 praf de sare', '1 praf de sare']","['Advertising Supă de gulii cu găluște de făină csipetke, o rețetă ardelenească de ciorbă de gulii, foarte rapidă și ușor &hellip;']",10 portii,['supe si ciorbe'],PT00H10M,PT00H25M
5,"Ciorbă de salată cu afumătură, rețetă ardelenească",PT00H45M,"['2 căpățâni mari și îndesate de salată verde (le-am cântărit, au avut cu ceva peste 500 de grame, deci 1 kg împreună)', '1 ceapă medie - cam 150 de grame - tocată', '250 de grame de costiță sau kaizer afumat, în cubulețe', '1 lingură rasă de paprika dulce', '\xa03 căței mari de usturoi, zdrobiți', '3 gălbenușuri', '250 de grame de smântână acră, cu 25% grăsime', 'sare și piper', 'oțet pentru înăcrit', '1 legătură de mărar verde, tocat', '1 legătură de mărar verde, tocat']","['Advertising Rețetă de ciorbă de salată cu afumătură, zamă ardelenească de salată verde. Ciorbă de salată verde cu kaizer afumat, &hellip;']",10 portii,['supe si ciorbe'],PT00H20M,PT00H25M
6,"Supă de bază, stock, bază concentrată pentru mâncăruri și sosuri făcută în casă",PT06H20M,"['1,5 kilograme de carne cu mult os (sau mai mult os decât carne); baza poate fi vită, pasăre, porc, oaie sau pește', '1 ceapă mare, curățată', '1 fir de praz', '3 morcovi de mărime medie', '100 de grame de țelină rădăcină, curățată', '1 fir de rădăcină de pătrunjel', '1 fir de păstârnac', '3-4 căței de usturoi, întregi', '1 lingură de pastă de roșii', 'sare și piper', 'opțional: 1 buchețel în care am pus dafin, 1 fir de cimbru și 1 fir de tarhon - folosiți ierburile aromatice care vă plac', 'pe lângă legumele de mai sus, care nu ar avea voie să lipsească, puteți adăuga ardei, câteva buchețele de conopidă, ¼ de varză mică, 1-2 tomate, ciuperci etc.', 'pe lângă legumele de mai sus, care nu ar avea voie să lipsească, puteți adăuga ardei, câteva buchețele de conopidă, ¼ de varză mică, 1-2 tomate, ciuperci etc.']","['Advertising Supă de bază, stock, bază concentrată pentru mâncăruri și sosuri făcută în casă, rețetă pas cu pas. Stock din &hellip;']",350 ml. portii,['retete diverse'],PT00H20M,PT06H00M
7,Tarator &#8211; supa rece cu castraveți și usturoi,PT00H10M,"['2 castraveți lungi sau de oricare, până la urmă, să cântărească în jurul a 500 de grame în total', '500 de grame de iaurt gras (ideal e cel grecesc cu 10% grăsime dar merge și cu 3,5%)', '4-5 căței de usturoi', '100 de grame de miez de nucă', '2 felii de pâine albă (cam 50-60 de grame), fără coajă', '1 legătură bună de mărar proaspăt, tocat fin', 'sare și piper', '30 de ml. de ulei de floarea soarelui/ de măsline extravirgin', 'opțional, apă rece pentru ajustat consistența supei', 'cuburi de gheață pentru servire', 'cuburi de gheață pentru servire']","['Advertising Supa rece Tarator (таратор în bugărește), este unul dintre preparatele cele mai cunoscute, chiar emblematice, ale bucătăriei din țara &hellip;']",4 portii,['supe si ciorbe'],PT00H10M,PT00H00M
8,"Gazpacho rețetă de supă rece, ideală în vremuri fierbinți",PT00H10M,"['700 de grame de roșii cărnoase, bine coapte (pot fi din soiuri amestecate, eu am adăugat și roșii cherry pentru dulceață)', '100 de grame de castravete proaspăt, cântărit după ce a fost curățat de coajă și de semințe', '60 de grame de ceapă, curățată', '150 de grame de ardei roșu, cântărit după ce a fost curățat de cotor și de semințe', '1 cățel de usturoi', '1 ardei chili', '75 de grame de pâine de casă, fără coajă', '1 lingură de oțet de vin roșu', '1 legătură de pătrunjel', '2-3 ramuri de busuioc proaspăt', '100 de ml. de ulei de măsline extravirgin de bună calitate', '1 linguriță sos tabasco', 'sare și piper după gust', 'pentru garnisit: ardei roșu brunoise (cubulețe mici), castravete brunoise, măsline negre fără sâmburi tocate, ulei de măsline extravirgin, frunze proaspete de busuioc sau pătrunjel', 'pentru garnisit: ardei roșu brunoise (cubulețe mici), castravete brunoise, măsline negre fără sâmburi tocate, ulei de măsline extravirgin, frunze proaspete de busuioc sau pătrunjel']","['Advertising Gazpacho &#8211; rețetă de supă rece, ideală în vremuri fierbinți. Unde își are originea rețeta? Lista de ingrediente la &hellip;']",4 portii,['supe si ciorbe'],PT00H10M,PT00H00M
9,Supa-cremă de usturoi cu cartofi,PT01H10M,"['1,3 kg. cartofi', '1 ceapă', '1-2 căpățâni de usturoi plus încă trei căței de usturoi', '100 ml smântână', '1 litru și jumătate supă', '2 foi de dafin', '\xa02- 3 rămurele cimbru proaspăt sau 2 linguri cimbru uscat', '20 gr. chives (opțional)', 'sare', 'piper', 'piper']","['Advertising Supa-cremă de usturoi cu cartofi, rețeta simplă și economică, cu o textură cremoasă și fină. Cum să pregătești o &hellip;']",6 porții portii,['supe si ciorbe'],PT00H20M,PT00H50M
