,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Рецепт: Мясо по-французски на RussianFood.com,,"['Свинина (ошеек) - 1,2 кг', 'Картофель - 1 кг', 'Лук репчатый - 2 шт.', 'Сыр российский - 250 г', 'Майонез - 50 г', 'Соль - по вкусу', 'Перец - по вкусу', 'Масло растительное - для смазывания формы']","['Как приготовить мясо по-французски:', '\r\n', '\r\nБерем свиную шею, нарезаем её стейками толщиной примерно 1 см. Раскладываем на рабочей поверхности и приправляем солью и перцем с обеих сторон.', 'Картофель очищаем и нарезаем ломтиками толщиной примерно полсантиметра.', 'Лук нарезаем кольцами.', 'Сыр натираем на терке.', 'Слегка смазываем форму для запекания растительным маслом и выкладываем в нее слоями подготовленные ингредиенты. Слои идут в следующей последовательности: мясо, картошка (не забудьте её подсолить), майонез, лук. ', '\r\nОтправляем мясо по-французски в заранее разогретую до 200 градусов духовку. Запекаем мясо с картофелем в духовке 40 минут.', 'Самое время покрыть мясо по-французски сыром и поместить мясо с картошкой, луком и сыром в духовку ещё минут 10, чтобы сыр как следует расплавился. ', '\r\nПосле этого мясо по-французски можно подавать на стол. Приятного аппетита !']",,,,
1,Рецепт: Пирожки из кефирного теста на RussianFood.com,,"['Кефир - 200 мл', 'Яйца - 2 шт.', 'Маргарин - 50 г', 'Мука - 2-3 стакана', 'Сахар - 1 ст. л.', 'Соль - 0,5 ч. л.', 'Сода - 1/3 ч. л.']",[], 1 час 30 мин,,,
2,Рецепт: Сельдь домашнего соления на RussianFood.com,,"['Сельдь — 2 шт.', 'Вода — 1 литр', 'Соль — 4 ст. ложки', 'Сахар — 1 ст. ложка', 'Лавровый лист — 1 шт.', 'Перец душистый горошком — 3 шт.']","['Перед засолкой сельди размораживаем ее и хорошо промываем.', 'Готовим рассол, для чего кипятим 1 литр воды с солью, сахаром, лавровым листом и душистым перцем.', 'Остуженным рассолом заливаем сельдь, поместив ее в пластиковую бутыль, таким образом, чтобы сельдь полностью была покрыта рассолом.', 'Первые сутки выдерживаем рыбу при комнатной температуре, а затем на трое суток отправляем сельдь домашнего соления в холодильник. ', '\r\nПриятного аппетита!']", 8 порций,,,
3,Рецепт: Картофельные драники с чесноком (без яиц и муки) на RussianFood.com, 30 мин (ваши 30 мин),"['Картофель - 800 г', 'Лук репчатый - 150 г', 'Сметана - 1 ст. ложка', 'Соль - 0,5 ч. ложки', 'Перец молотый (смесь перцев) - 1 щепотка', 'Масло растительное - 4 ст. ложки']","['Подготовьте все для драников - картофель, лук, чеснок, сметану, специи и растительное масло для жарки.', 'Картофель очистите от кожуры. Репчатый лук и чеснок очистите от шелухи.', 'Репчатый лук и чеснок натрите на мелкой терке в глубокую миску.', 'Туда же натрите на мелкой тёрке картофель, периодически перемешивая его с луком. Добавьте соль, перемешайте.', 'Картофельно-луковую массу откиньте на дуршлаг или мелкое сито, сливая жидкость в миску. Оставьте на 2-3 минуты, слегка придавливая массу лопаткой. Сильно выжимать не нужно, чтобы драники получились сочными.', 'У меня получилось примерно 120-130 мл жидкости. Аккуратно слейте верхний желтый слой.', 'На дне остается примерно 1 столовая ложка белого крахмала. Он необходим в тесте, поэтому сливать его не нужно. Если картофель не крахмалистый, добавьте чайную ложку картофельного крахмала в натертый картофель.', 'В миску с крахмалом переложите картофельную массу. Добавьте сметану и смесь перцев, перемешайте.', 'Из картофельного теста руками слепите круглый и плоский драник (толщина - около 1-1,5 см).', 'Разогрейте в сковороде растительное масло. Выложите в горячее масло сформированные драники.', 'Обжаривайте на среднем огне примерно по 1-2 минуты с каждой стороны, до золотистой корочки.', 'Обжаренные драники переложите на бумажное полотенце, чтобы оно впитало лишнее масло. Обжарьте следующую порцию.', 'Идеальным соусом к драникам из картофеля является сметана. Подавайте драники к столу, пока они теплые, именно тогда их нежная сочная серединка отлично контрастирует с хрустящей корочкой.', 'Яркое, вкуснейшее, простое и очень вкусное блюдо из картофеля, которое не нуждается ни в мясном, ни в рыбном дополнении!', 'Вкусно и экономно - это картофельные драники с чесноком.']", 4 порции,,,
4,Рецепт: Картофельная запеканка с фаршем на RussianFood.com, 1 час 10 мин (ваши 30 мин),"['Картофель - 2 кг', 'Фарш мясной - 500 г', 'Молоко - 50 мл', 'Лук репчатый - 150 г', 'Петрушка свежая - 5 г', 'Кинза свежая - 5 г', 'Масло сливочное - 80 г + для смазывания', 'Масло растительное - 1 ст.л.', 'Перец черный молотый - 1/3 ч.л.', 'Перец красный чили крупного помола - 1/3 ч.л.', 'Кориандр молотый - 1/2 ч.л.', 'Яйцо куриное - 1 шт.', 'Соль - по вкусу']","['Как приготовить картофельную запеканку с фаршем:', '\r\n', '\r\nКартофель залить водой, посолить по вкусу и отварить до готовности.', 'Разогреть сковороду, налить 1 ст. л. растительного масла, добавить мелко нарезанный репчатый лук и обжарить в течение 3 минут.', 'Добавить фарш и хорошо перемешать. Закрыть крышкой и готовить 5 минут.', 'Всыпать черный и красный перец, кориандр и соль по вкусу. Тушить под крышкой на слабом огне 10 минут, периодически помешивая.', 'Добавить мелко нарезанную зелень петрушки и кинзы. Выключить огонь.', 'Слить воду с картофеля и приготовить пюре: размять горячий картофель, добавить 50 мл теплого молока, 80 г сливочного масла и 1 яйцо. Хорошо все перемешать до однородного состояния.', 'Форму для запеканки смазать сливочным маслом.', 'Выложить в форму половину картофельного пюре.', 'Затем выложить весь фарш.', 'Закрыть сверху второй половиной картофельного пюре.', 'Верхний слой картофеля смазать сливочным маслом.', 'Разогреть духовку до 180°С и готовить картофельную запеканку до румяной корочки, 30 минут.', 'Картофельная запеканка с фаршем готова.', '\r\nПриятного аппетита!']", 6 порций,,,
5,Рецепт: Калья на RussianFood.com,,"['Лососевый суповой набор – 1,2 кг', 'Картофель – 5 шт.', 'Соленые огурцы – 4-5 шт.', 'Рассол огуречный – 1 стакан', 'Лук репчатый – 2 шт.', 'Корень сельдерея – 50 г', '(Можно взять также корень петрушки)', 'Масло растительное – 2 ст. ложки', 'Икра красная – 2 ст. ложки', 'Лимонный сок – 1 ст. ложка', 'Соль', 'Перец черный молотый', 'Лавровый лист', 'Перец черный горошком – 6 шт.', 'Перец белый горошком – 6 шт.', 'Специи для ухи без соли – 1 ст. ложка', 'Зелень петрушки и укропа']","['Как приготовить суп калья:', '\r\n', '\r\nУ меня 4 замечательных среза с верхней части тушки лосося с плавниками. Как  раз то, что надо для супа. И для навара, и мяса достаточно, и по цене приемлемо. ', '\r\nРыбу помыть, залить 2,5 л воды, довести до кипения и варить на маленьком огне 30 минут. В бульон вкинуть лавровый лист и перцы горошком.', 'Вымыть и очистить овощи. Брусочками порезать картофель. Мелко нарезать лук. Мелкой соломкой нарезать или натереть сельдерей. Огурцы нарезать четвертинками кружочков.', '\r\nНа растительном масле пассировать лук с сельдереем до мягкости.', '\r\nГотовую рыбу вынуть из бульона. Бульон можно процедить и снова поставить на огонь. Положить в бульон пассированные овощи и картофель. Варить 10 минут.', 'Рыбу освободить от кожицы и костей.  Вкинуть в суп рыбное филе, порезанные огурцы. Варить 20 минут. Влить огуречный рассол, лимонный сок. Посолить по вкусу, добавить специи. Довести до кипения и поварить суп калья 3 минуты.', 'Добавить зелень и  икру. Дать калье настояться 15 минут. Подавать горячей.', 'В тарелку с супом калья, при желании, можно добавить ломтик лимона, свежемолотый перец, немного красной икры.', '\r\nПриятного аппетита!']",,,,
6,Рецепт: Картофельники по-московски на RussianFood.com, 1 час (ваши 30 мин),"['Картофель - 8-10 шт.', 'Яйцо куриное - 2 шт.', 'Мука - 3 ст. л. муки', 'Лук репчатый - 1 шт.', 'Сливочное масло - 3 ст. л.', 'Сметана - 4 ст. л.', 'Соль - по вкусу', 'Молотый черный перец – по вкусу', 'Зелень - по вкусу', 'Растительное масло для жарки - сколько уйдет', 'Сметана (для подачи) - по вкусу']",[], 4 порции,,,
7,"Рецепт: Капуста маринованная ""Объедение"" на RussianFood.com",,"['Капуста - 1 вилок (небольшой)', 'Морковь - 2 шт.', 'Чеснок - 3 зуб.', 'Перец острый - 1 стручок', 'Лавровый лист - 5 шт.', 'Гвоздика - 7 шт.', 'Перец горошком черный и душистый - 15 шт.', 'Семена укропа - 1 ст.л.', 'Для маринада:', 'Вода - 1,5 л', 'Уксус 6% - 1 стакан', 'Масло растительное - 1 стакан', 'соль 4-5 ст.л', 'сахар 9 ст.л']","['Как приготовить капусту маринованную:', '\r\n', '\r\nКапусту нарезать произвольно и не мелко.', 'Морковь очистить и нарезать кружочками. Дольки чеснока очистить и раздавить лезвием ножа. Острый перчик нарезать кружочками.', 'Добавить лавровый лист, семена укропа, гвоздику и перец горошком. Перемешать', 'Для приготовления рассола в воду вливаем масло и уксус, добавляем соль и сахар. Доводим до кипения.', 'Заливаем капусу. Закрываем крышкой и даем настояться 3 дня при комнатной температуре. Затем перекладываем в чистые банки, доливаем маринадом, закрываем любыми крышками и храним в холодильнике.', 'Маринованная капуста быстрого приготовления готова. Приятного аппетита!']",,,,
8,Рецепт: Скумбрия малосольная на RussianFood.com,,"['Скумбрия (среднего размера) - 3 шт.', 'Лук репчатый красный (средний) - 2 шт.', 'Зелень укропа', 'Базилик свежий', 'Семена укропа (желательно)', 'Для маринада:', 'Вода - 1 л', 'Соль - 4 ст. ложки', 'Сахар - 2 ст. ложки', 'Гвоздика - 6 шт.', 'Перец душистый горошком', 'Перец чёрный горошком', 'Горчица, семена', 'Кориандр, семена', 'Лавровый лист']",[],,,,
9,"Рецепт: Быстрые лепешки на кефире, с начинкой на RussianFood.com",,"['Кефир - 500 мл', 'Яйцо - 1 шт.', 'Масло растительное - 2 ст. ложки', 'Мука - 600-650 г', 'Соль - 1 ч. ложка', 'Сода - 1 ч. ложка', '*', 'Для начинки:', 'Яйца - 7-8 шт.', 'Лук зеленый - 1-2 пучка', 'Масло сливочное - 50 г', 'Соль - по вкусу', 'Перец чёрный молотый - по вкусу', 'Масло растительное - для жарки']","['Подготовим продукты для лепешек с зеленью и яйцами.', 'Приготовим начинку. Мелко порежем зеленый лук.', 'Обжарим на сковороде до мягкости на сливочном масле, добавив немного растительного.', 'В лук потрем яйца на крупной терке.', 'Посолим, поперчим по вкусу.', 'Приготовим тесто. В кефир добавим соду, смешаем - кефир начнет пузыриться.', 'Добавим растительное масло, яйцо, соль, смешаем.', 'Добавляем муку.', 'Замешиваем мягкое тесто, не липнущее к рукам. Если тесто липнет, то не спешите добавлять много муки, присыпьте стол и руки, продолжайте вымешивать. Тесто не должно получиться тугим, иначе лепешки не будут пышными и воздушными.', 'Готовое тесто скатываем в колбаску, делим на 8-10 частей.', 'Раскатываем каждую в лепешку толщиной 5-7 мм. В центр выкладываем по 1 ст.л. начинки.', 'Защипываем края в центре и разминаем снова в лепешку.', 'Обжариваем лепешки с двух сторон на сковороде с растительным маслом. Жарим на небольшом огне до золотистого цвета, под закрытой крышкой.', 'Готовые лепешки складываем стопочкой, смазываем сливочным маслом и при желании присыпаем солью.', '\r\n', '\r\nПриятного аппетита!']", 30 мин,,,
