,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,"Hokkien ""Chiu Kang"" Mee - My Singapore Food",,"['500g ', 'Hokkien', ' flat yellow noodles', '300g lean pork, thinly sliced', '1 packet ', 'cai xin', ', cut and wash (separate the stems from leaves)', '200g sweet potato flour (may need more as required)', '4-5 shallots, thinly sliced', '4 cloves garlic, minced', '3-4 tbsp dark soy sauce', '1 tbs chicken powder (optional)', '1-2 tsp light soy sauce (if not using chicken powder)', '1/2 tsp white pepper', '2-3 cups water', 'Lard/Vegetable oil', '1 tbs light soy sauce', '1 tbs oyster sauce', '1/2 tbs dark soy sauce', '1 tsp sesame oil', '1/2 tsp white pepper']","['Marinate pork for at least 4 hours.', 'Coat pork with sweet potato flour. The flour will be absorbed in the beginning. Keep adding flour until the pork slices feel dry and have visibly been coated with the flour.', 'Add the pork slices (in batches) one piece a time into hot oil and deep fry until cooked through. Drain on kitchen towels and set aside.', 'In a hot wok, saute the shallot and garlic in hot lard or vegetable oil until soft. ', 'Add the cai xin stems and cook for one minute. ', 'Add the noodles. ', 'Drizzle dark soy sauce and water. Stir to combine. ', 'Add the cai xin leaves and pork to the noodles. ', 'Stir until mixed. ', 'Cover the wok and braise the noodles until the liquid has almost completely evaporated. Remember to stir once in a while.', 'Add white pepper, chicken powder, give the noodles a final mix.', 'Sprinkle fried shallots and lard over the noodles. Serve immediately.']",Serves 4-6,,Prep : 15 mins (exclude marination time),Cook : 15 mins
1,Lauk Singgang Fish - My Singapore Food,,"['2 ikan selar (mackerel)', '3 cloves garlic, thinly sliced', '5cm blue ginger, sliced', '2 stalks lemongrass, lightly bashed', '3 pcs chilli padi, sliced half', '2 pcs green chilli, sliced half', '5cm fresh turmeric, sliced', '1 tsp turmeric powder', '50g assam paste, mixed with 600ml water', '5cm ginger, sliced', '1 pcs red onion, sliced', '2 stalks coriander leaves', '50ml water', 'Salt to taste']","['Chop all ingredients and prepare assam juice.', 'Heat up pan.', 'Add fish and all ingredients, except turmeric powder and salt. ', 'Add 200ml assam juice.', 'Simmer for 15mins.', 'Add a spoonful of assam juice to prevent fish from drying as it simmers.', 'Add the remaining assam juice, turmeric powder and salt.', 'Bring to boil.', 'Simmer for another 5 mins.', 'Ready to serve.']",Serves 2-4,,Prep : 10 mins,Cook : 25 mins
2,Singapore's Best Chicken Wings - My Singapore Food,,"['2 kg chicken Wings', '\xa0', '5\xa0tbsp oyster Sauce', '1.5\xa0tbsp dark soya sauce', '2\xa0tbsp light soya sauce', '1.5\xa0tbsp honey', '4\xa0tbsp sesame Oil', '3 tbsp salt']","['Add all marinates into chicken wings.', 'Marinate overnight or at least one hour.', 'Heat up oven at 150 degree celsius ', 'Grill for 15 minutes and turn chicken wings and grill for 10 minutes till golden brown. ', 'Ready to serve. ']",Serves 2-3,,"Prep : 15 mins, 1 hour marinate",Cook : 20 mins
3,Soya Sauce Chicken Glazed With Sesame Oil - My Singapore Food,,"['1.3-1.5kg whole chicken', '1 litre water', '3 bottles light soya sauce (623ml per bottle)', '15-30 pcs peppercorns, bashed', '3 pcs dried grass fruit', '2 pcs cinnamon sticks, snapped into half', '50g ginger, lightly bashed', '20g liquorice', '4 pcs star anise', '1kg rock sugar, or to taste', '2-4 tbsp chinese wine (Rose Wine, Hua Tiao brand)', '6 stalks spring onions', 'Sesame oil for glazing (Chee Seng brand)']","['Add all ingredients, except the chicken and scallions, into a pot.', 'Bring the mixture to boil. ', 'Add the spring onions, followed by the chicken.', 'Turn chicken every 5 minutes for the next 20 minutes at medium heat. ', 'Remove chicken from the pot.', 'Let the chicken cool.', 'Glaze sesame oil on the chicken skin as taste enhancer and to maintain shine on the chicken.', 'Cut the chicken into desired size and serve.']",Serves 4 - 6,,Prep : 10 minutes,Cook : 40 minutes
4,Hakka Abacus Seeds 算盘子 - My Singapore Food,,"['500g yam (about ½ a yam), cut into ¼-inch thick slices', '300g tapioca flour', '200g minced pork', '100g dried mushroom, soaked & diced', '200g prawns, diced', '1 small dried cuttlefish (about 15cm body length), cut into thin strips', '40-50g black fungus, soaked & cut into thin strips', '6 cloves medium-size garlic, peeled & chopped', '3 tbs oil for cooking', 'Spring onion & Chinese parsley, for garnishing', 'Light soya sauce, to taste', 'Pepper', '2 tsp Maggi concentrated chicken stock', '1 tsp salt, or to taste', '½ tsp sugar']","['Add boiling water to cover yam in a pot. Cook for about 20 minutes or till yam is soft.', 'Drain the water and add ¾ of the flour to the cooked yam while it is still hot.  Mash and combine thoroughly till dough is formed.', 'Transfer the dough to a chopping board. Knead until dough is smooth and of a nice soft consistency.', 'Roll dough into long strip of about 1-inch thick and cut into ½-inch cubes. Roll the cubes into balls then flatten to a thick disc.', 'Press the centre on both sides of the ‘disc’ with thumb & another finger to make a depression on both sides.  This should already look like the abacus seeds of an abacus.', 'Cook the abacus seeds in boiling water.  Once the seeds float, they are cooked.', 'Scoop all the seeds into a pot of tap water. This will prevent the seeds from sticking to each other. Set aside.', 'Saute garlic in a heated wok.', 'Add dried cuttlefish and fry for a short while.', 'Add mushroom strips, minced pork and black fungus.', 'Add the abacus seeds and mix well.', 'Fry for about 5 minutes before adding water to cover ¾ of the abacus seeds.', 'Add seasoning.', 'Add prawns last as they cook fast.', 'Add spring onion and parsley.', 'Garnish with fresh spring onion and parsley.', 'Ready to serve.']",Serves 6 - 8,,Prep : 1 hour,Cook : 30 mins
5,Mama's Ayam Buah Keluak - My Singapore Food,,"['50 pcs buah keluak seeds', '2kg chicken thigh, with bone in', '50g fresh leng kuas', '4 stalks lemongrass', '250g candlenuts', '250g shallots peeled', '60g ginger, peeled', '80g garlic, peeled', '2 pkts assam (tamarind paste)', 'Half a lemon', '2 tsp brown sugar', '4 cups chicken stock', '3 tbs salt']","['Scrub the seeds in water.', 'Change the water and soak.', 'For best results, repeat over 3 days.', 'Crack open the buah keluak shells at the top. Set the shells aside for use later.', 'Scrape the meat out of the buah keluak.', 'Marinate the buah keluak meat with juice of half a lemon and brown sugar for a few minutes.', 'Pound the buah keluak meat in pestle & mortar till it becomes a smooth paste.', 'Stuff the paste back into the buah keluak shells.', 'Blend ginger, shallots and garlic separately.', 'Remove the skin from the leng kuas and cut into smaller pieces, then blend.', 'Remove the tough outer layers from the lemon grass, leaving only the tender middle and cut to about one-inch in length, then blend.', 'Soak the candlenuts in water for about 10 minutes. Discard water and blend the candlenuts to a paste.', 'Heat oil in wok.', 'Add the garlic, followed by ginger. Saute till fragrant.', 'Add in the leng kuas and lemongrass, and continue frying.', 'Add in the shallots till fragrant, then add the candlenut paste.', 'Saute for a few more minutes and add the chicken pieces, making sure the chicken is coated well with the rempah.', 'Add half of the juice of assam to the chicken, followed by the buah keluak.', 'Pour in the other half of the juice of assam and simmer.', 'Serve with steamed rice.']",Serves 8-10,,Prep : 1-2 hours,Cook : 20 mins
6,Hakka Pancake Roll - My Singapore Food,,"['170g tapioca flour', '2 eggs, beaten', '3 tbs fried shallots', '50g dried shrimps', '250ml water', 'A pinch of salt', '2 tbs fried shallots oil', '1-2 pcs chilli padi, sliced and deseeded', 'A handful of spring onions (green stalks only), thinly sliced']","['Mix tapioca flour with water in a mixing bowl.', 'Add beaten eggs to the mixture and combine well. Set aside batter. ', 'Heat up 1 tbs of fried shallots oil in a wok.', 'Add dried shrimps. Fry till fragrant.', 'Dish out the dried shrimps and add to the batter.', 'Add fried shallots and salt to the batter.', 'Heat up 1 tbs of fried shallots oil in a wok again.', 'Add a soup-ladle full of batter and slowly pour into the centre of the wok.', 'Turn heat to low. When the sides of pancake turn brown, use the ladle to flip and roll it up carefully.', 'Gently push the pancake roll on the side of the wok, allowing it to rest and crisp. ', 'Remove from wok. Cut into serving size. Serve immediately.']",Serves 4,,Prep : 10 mins,Cook : 15 mins
7,Mustard Green Pork Rice - My Singapore Food,,"['2 cups uncooked rice', '2 bunch mustard greens, washed and cut into bite-size', '8 cloves garlic, minced', '¼ pc ginger, thinly sliced', '30g dried shrimps, soaked in hot water to soften and drained', '1 slab pork belly, marinated with 2 tsp light soya sauce and 1 tsp sesame oil, sliced into bite-size', '30g dried mushrooms, soak in hot water to soften, drained and sliced', '2 tbs soya sauce', '1 tbs oil', '1 tbs soya sauce', '2 tbs sesame oil']","['Wash the rice twice and drain well.', 'Heat up wok. Add sesame oil.', 'Saute ginger till fragrant. ', 'Add garlic and saute.', 'Add dried shrimps and saute.', 'Add mushrooms and saute till fragrant.', 'Add pork belly and stir-fry till pork belly is half cooked.', 'Add in rice. ', 'Add in soya sauce and stir well.', 'Add in mustard greens. Stir well.', 'Scoop mixture into rice cooker and cover with sufficient water.', 'Cook as per instructions on rice cooker.', 'Ready and serve.']",Serves 6-8,,Prep : 15 mins,Cook : 30 mins
8,Gado Gado - My Singapore Food,,"['Part A', '680g peanuts, roasted and pounded', '1 litre water', '10 tbs sugar', '1 ½ tbs salt', '\xa0', 'Part B', '15 pcs shallots', '6 cloves garlic', '20-30 pcs dried chillies (use more if you prefer the heat)', '1 tbs shrimp paste (belacan/ terasi) – omit if making vegetarian sauce', '2 pcs potatoes, cut into quarters & boiled', '2 eggs, boiled and cut into quarters', 'Bean sprouts, blanched', 'Long beans, cut into 2-inch long, blanched', 'Firm ', 'tau hu', ', pan fried/baked & cut into cubes', 'Tempeh, cut into slices & pan fried/baked', 'French beans, cut into 2-inch long, blanched', 'Spinach, blanched & roughly chopped', 'Cabbage, blanched and thinly sliced', 'Cucumber, cut into cubes', 'Chayote (Indonesian: labu siam), boiled', 'Melinjo Crackers (Emping)']","['Boil A for 10 minutes.', 'Grind B to a paste.', 'Heat oil in pan and fry B till fragrant and oil separates from the paste.', 'Add fried paste to the boiled groundnut sauce. ', 'Stir, lower the heat and simmer for 10 to 15 minutes. ', 'Set aside to cool. When it is cool, mix in half cup of crispy fried shallots. ', 'Boil potatoes and eggs separately. ', 'Blanch bean sprouts, cabbage, long beans, and rest of the vegetables for 2 to 3 minutes.', 'Drain the water from the vegetables.', 'Fry tau hu and tempeh for 1 minute on each side.', 'To serve, place a portion of each salad ingredient onto a serving plate/bowl. ', 'Pour over the peanut sauce and mix well. ', 'This dish can be eaten warm or cold.']",Serves 4-6,,Prep : 20 mins,Cook : 20 mins
9,"Hokkien ""Chiu Kang"" Mee - My Singapore Food",,"['500g ', 'Hokkien', ' flat yellow noodles', '300g lean pork, thinly sliced', '1 packet ', 'cai xin', ', cut and wash (separate the stems from leaves)', '200g sweet potato flour (may need more as required)', '4-5 shallots, thinly sliced', '4 cloves garlic, minced', '3-4 tbsp dark soy sauce', '1 tbs chicken powder (optional)', '1-2 tsp light soy sauce (if not using chicken powder)', '1/2 tsp white pepper', '2-3 cups water', 'Lard/Vegetable oil', '1 tbs light soy sauce', '1 tbs oyster sauce', '1/2 tbs dark soy sauce', '1 tsp sesame oil', '1/2 tsp white pepper']","['Marinate pork for at least 4 hours.', 'Coat pork with sweet potato flour. The flour will be absorbed in the beginning. Keep adding flour until the pork slices feel dry and have visibly been coated with the flour.', 'Add the pork slices (in batches) one piece a time into hot oil and deep fry until cooked through. Drain on kitchen towels and set aside.', 'In a hot wok, saute the shallot and garlic in hot lard or vegetable oil until soft. ', 'Add the cai xin stems and cook for one minute. ', 'Add the noodles. ', 'Drizzle dark soy sauce and water. Stir to combine. ', 'Add the cai xin leaves and pork to the noodles. ', 'Stir until mixed. ', 'Cover the wok and braise the noodles until the liquid has almost completely evaporated. Remember to stir once in a while.', 'Add white pepper, chicken powder, give the noodles a final mix.', 'Sprinkle fried shallots and lard over the noodles. Serve immediately.']",Serves 4-6,,Prep : 15 mins (exclude marination time),Cook : 15 mins
10,Durian Apom Balik - My Singapore Food,,"['90g sugar', '1 egg', '¼ & 1/8 tsp baking powder ', '(double action) ', '100g plain flour', '170g thick coconut milk', '1/8 tsp salt', '80g durian flesh', 'Extra fresh durian flesh as filling']","['Mix all the ingredients evenly and set aside for at least 15 mins.', 'Heat up a round pan. Grease the surface lightly with oil.', 'Pour a spoonful of the batter onto pan and cook on both sides.', 'When the pancakes are cool, spoon some durian flesh on pancake. ', 'Fold and serve. ']",Serves 4 - 6,,Prep : 10 mins,Cook : 20 mins
11,Fish Masala - My Singapore Food,,"['1kg firm-flesh fish, cut into bite-size', '½ cup oil', '1 sprig curry leaves', '1 grated coconut (500g)', '3 tbs black peppercorns', '1 ½ tbs cumin seeds', '3 tbs fennel seeds', '4 ½ tbs chilli powder', '½ tsp turmeric powder', '2 cloves garlic', '1-inch ginger', '2 ½ tsp salt or to taste', '3 cups water']","['Blend the ingredients for Masala Paste in a grinder till smooth.', 'Marinate the fish with the masala paste, making sure that all the pieces are well coated. Set aside for half an hour.', 'Heat oil in a flat pan. ', 'Add curry leaves. This is to fragrant the oil. ', 'Take out the fish from the masala paste. Set aside the masala paste. ', 'Fry the fish in the pan for about 5 minutes on each side till golden brown. ', 'Transfer the fish to a serving tray.', 'Sieve the oil in the pan through a strainer to remove the charred coconut bits.', 'Add the oil back to the pan, adding more if needed. ', 'Add the masala paste and fry until it changes colour and is fragrant, stirring continuously. This would take around 30 minutes.', 'Spoon the masala paste over the fried fish. ', 'Serve with rice.']",Serves 4 - 6,,Prep : 20 minutes,Cook : 15 minutes
12,Crispy Roast Pork Belly - My Singapore Food,,"['1.5 – 2 kg Pork Belly', '\nSalt and ground black peppercorn', '\n2 onions, sliced', '\n2 carrots, peeled, halved length way and cut into finger long', '\n2 sticks of celery, cut into finger long', '\n1 bulb of garlic, broken into cloves and peeled']","['Clean and remove excess hair form the belly. Using a shape knife (utility/pen knife works wonder), make scores about centimeter apart through the skin into the fat in a criss-cross pattern, throughout the whole skin surface. Do not cut into the meat.', 'This is optional but if you are really into roast belly, I suggest that you get one of these traditional nail-bed tools to make multiple holes evenly on the skin (in addition to the score).', 'Rub salt right into the scores. Brush off any excess salt from the skin and flip the meat over. Season evenly the underside of the belly with salt and black pepper.', 'Leave the piece of marinated meat in the open, preferably some where windy. My trick is to place a blowing fan directly in front of the belly for hours. Scoring and drying the skin will reward you with the crispy crackling of a good belly roast.', 'Preheat the oven at 220 °C.', 'Place the pork belly, skin side-up, in a roasting tray (big enough to hold the belly and all the vegetable) and place in the hot oven for half an hour until the skin of the pork starts to puff up, turning into crackling.', 'Lower the temperature to 180 °C and roast for another hour.', 'Remove the belly from the oven. Carefully lift the belly up and transfer to a chopping board. Pour the oil from the belly into a container.', 'Add all the vegetable to the tray. Place the pork belly on top of the vegetable and return the tray to the oven and roast at the same temperature for another hour. By this time, the meat should be meltingly soft and tender and the skin crispy.', 'Serve immediately.']",Serves 6 - 8,,Prep : 20 Mins,Cook : 1 Hr 20 Mins
13,Pork Belly With Fermented Beancurd - My Singapore Food,,"['1 jar of Tau Ju (fermented beancurd)', '500g Pork belly', 'Tau Kee (beancurd skin), soaked in water', '3 stalks lemongrass', 'A head of garlic, peeled', '1 Red chilli, sliced for garnish', 'Lime, sliced for garnish', '1 stalk Coriander, for garnish', 'A dash of salt', 'White pepper, to taste', 'Water']","['Pound garlic, 2 stalks of lemongrass and salt in pestle and mortar.', 'Heat up oil in frying pan.', 'Saute the garlic-lemongrass blend on medium to low heat.', 'Slice pork belly into 1-cm strips.', 'Add pork into pan and saute till brown.', 'Add white pepper and salt to taste.', 'Cover and simmer for 30 minutes.', 'Add half a bottle of Tau Ju into the pan of simmered pork.', 'Use the back of spatula to mash the Tau Ju into the stew.', 'Add soaked Tau Kee and combine.', 'Simmer for 5 minutes.', 'Plate the pork stew and garnish with coriander, chilli and a slice of lime.', 'Serve.']",Serves 2 - 4,,Prep : 15 minutes,Cook : 15 minutes
14,Fish Pulau with Sai Bhaji and Carrot & Cucumber Raita - My Singapore Food,,"['4 fillets tengiri fish', '2 cups rice, washed', '2 onions, sliced lengthwise', '1 tomato, chopped', '2 full cardamoms', '1 cinnamon stick', '2 tsp coriander powder', '2 tsp garam masala', '½ tsp cumin seeds', '½ tsp ginger-garlic paste', '3-4 pcs bay leaves', '4-5 cups water', 'Oil for cooking', 'Salt, to taste', '1 bunch spinach', '½ cup gram dhal (channa dhal)', '1 medium onion', '1 medium potato', '1 medium carrot', '4 medium tomatoes', '4-5 french beans', '½ inch ginger, cut finely', '½ tsp cumin seeds', '½ tsp turmeric powder', '1 tsp garlic, cut finely for tempering', 'Oil for cooking', 'Green chillies, to taste', 'Salt, to taste', '1 bowl yoghurt', '1 carrot, grated', '½ cucumber, grated', '¼ tsp cumin powder', '¼ tsp red chilli powder', 'Coriander leaves, cut finely', 'Green chillies, cut finely, to taste', 'Salt and pepper, to taste', '\n']","['Heat oil in a pan.', 'Add the sliced onions and fry till golden brown. Make sure they do not burn.', 'Once the onions start browning, add in all the cumin seeds, cardamoms and ginger-garlic paste, along with half a cinnamon stick and 2 bay leaves.', 'Continue to fry until fragrant and the onions are golden brown.', 'Add the chopped tomatoes.', 'Season with salt, coriander powder and 1 tsp garam masala.', 'Cover and cook till the tomatoes are soft.', 'Add the fish fillets and coat them well with the gravy.', 'Cover the pan and let the fish simmer for 10 minutes until cooked.', 'Remove the fish from the gravy and place in a separate dish.', 'Add the remaining 1 tsp garam masala, half cinnamon stick and 2 bay leaves to the gravy. Mix well.', 'Add the rice and adequate water for the rice to cook.', 'Cover and let cook till the water is absorbed and the rice is ready.', 'To serve, put the hot rice on a plate. Top with a fillet of fish and serve with Sai Bhaji and Raita.', 'Soak the gram dhal for an hour.', 'Wash and cut all the spinach and vegetables finely.', 'Heat oil in a pot and add the cumin seeds.', 'Fry till the seeds splatter.', 'Add all the ingredients, except garlic.', 'Season to taste and mix well.', 'Cover and leave to cook until the gram dhal and vegetables are cooked.', 'Mash the vegetables roughly to blend them together.', 'Heat 2 tsp oil in a smaller frying pan.', 'Add the garlic and fry till fragrant.', 'Pour the hot garlic oil over the spinach and vegetable mixture.', 'Mix well and serve hot.', 'Mix the yoghurt well to remove any lumps.', 'Season the yoghurt to taste with salt and pepper and add in the cumin powder.', 'Add the carrots, cucumber, green chillies and coriander leaves.', 'Mix all the ingredients well.', 'Serve cold in a bowl and sprinkle red chilli powder on the top for garnish.']",Serves 4 - 6,,Prep : 20 minutes,Cook : 30 minutes
15,Pumpkin Tang Yuan - My Singapore Food,,"['150g pumpkin', '150g glutinous rice flour', '300 grams of readymade red bean paste', '5pcs thick ginger slices', '10 leaves of Pandan leaves, bundled', '50g rock sugar', '1 litre water']","['Slice the pumpkin in thick pieces.', 'Steam the pumpkin until soft.', 'Transfer the hot pumpkin to the food processor. Mash until puree form.', 'Add glutinous rice flour. Blend until it forms a pliable dough. If the dough is too dry, you can add in tablespoons of water to assist the binding. Take about 8 grams of red bean paste fillings, shape round and set aside. Prepare the same for all the remaining.', 'Pinch about 8-10 grams of the dough, shape it round, and lightly press using the thumb to form a cavity.', 'Place a red bean paste ball on the dough. Wrap the dough around the filling. ', 'Seal and shape it round.', 'Bring a pot of water to boil. Meanwhile, get ready another pot of icy cold water. ', 'Cook the Tang Yuan in boiling water until the they float to the top (about 5 minutes). ', 'Drain and transfer Tang Yuan to the icy water for 2 minutes. Drain and set aside. ', 'In a smaller pot, add about 1 litre of water. Add the pandan leaves and sliced ginger and bring boil. ', 'Once it boils, let it simmer for about 5 minutes to bring out the flavour of ginger and pandan. ', 'Add rock sugar, stir until it dissolves and turn off the heat.', 'To serve, place Tang Yuan in a bowl and serve with hot ginger syrup.']",Serves 4-6,,Prep : 30 mins,Cook : 1 hour
16,Udang Goreng Assam - My Singapore Food,,"['500 gm prawns', '1 tbsp assam paste', '1 tbsp thick dark soya sauce', '2 tbsp sugar']","['Mix the marinade and add the prawns.  Set aside for 15-30 mins.', 'Heat the oil and fry the prawns till dry and fragrant.']",Serves 2 - 4,,Prep : 10 mins,Cook : 10 mins
17,Soya Sauce Chicken Glazed With Sesame Oil - My Singapore Food,,"['1.3-1.5kg whole chicken', '1 litre water', '3 bottles light soya sauce (623ml per bottle)', '15-30 pcs peppercorns, bashed', '3 pcs dried grass fruit', '2 pcs cinnamon sticks, snapped into half', '50g ginger, lightly bashed', '20g liquorice', '4 pcs star anise', '1kg rock sugar, or to taste', '2-4 tbsp chinese wine (Rose Wine, Hua Tiao brand)', '6 stalks spring onions', 'Sesame oil for glazing (Chee Seng brand)']","['Add all ingredients, except the chicken and scallions, into a pot.', 'Bring the mixture to boil. ', 'Add the spring onions, followed by the chicken.', 'Turn chicken every 5 minutes for the next 20 minutes at medium heat. ', 'Remove chicken from the pot.', 'Let the chicken cool.', 'Glaze sesame oil on the chicken skin as taste enhancer and to maintain shine on the chicken.', 'Cut the chicken into desired size and serve.']",Serves 4 - 6,,Prep : 10 minutes,Cook : 40 minutes
18,Art Buah Hainanese Kueh - My Singapore Food,,"['400g old ginger', '500g grated fresh coconut', '250g granulated palm sugar', '1200g glutinous rice flour', '50g plain or rice flour', '20g salt', 'Water', 'Pandan leaves']","['Shred old ginger finely (cut diagonally along the grain/fibre of the ginger).', 'Air dry shredded ginger in a colander overnight (or up to one to two days).', 'Fry ginger in a non-stick pan (without any oil) over medium high heat till almost dry (a little brown & crinkly) for about 15-20 mins. ', 'Add palm sugar and grated coconut. Stir thoroughly. ', 'Fry till palm sugar dissolves and ginger and grated coconut thoroughly coated. The mixture should be dry. Takes about 15 to 20 mins. Remove from heat and set aside to cool.', 'Dissolve salt in a jug of room temperature water.', 'Combine the two types of flour in a big mixing bowl. Make an indentation in the centre of the flour mixture and add some water. Knead the flour into dough and add water a little by little throughout the kneading process. The dough is ready when it no longer sticks to your hands.', 'Boil a pot of water with a few knotted pandan leaves.', 'Divide the big dough into 50-60g balls (makes about 40-50 balls). ', 'Roll the ball of dough in your palm, then flatten it to look like a patty, ensuring about 1cm thickness for each dough patty.', 'Slide the dough patty into hot water to cook. Cook a further 3 to 5 mins after they float to the surface. ', 'Scoop up the buah and drain. While it is still hot, coat the buah thoroughly with the ginger/coconut mixture.', 'Ready to serve! ']",Serves 4 - 6,,Prep : 20 minutes,Cook : 15 minutes
19,Fried Chicken Wings with Kicap Manis - My Singapore Food,,"['8 large chicken wings', 'Tamarind pulp – ½ cup', 'Fish sauce – 1 tea spoon', 'Cumin powder – 1 tea spoon', 'Tumeric powder – 1 tea spoon', 'Chilli powder -1 tea spoon', 'Salt – 1 tea spoon', 'Fish curry powder – 1 tea spoon', 'Oil for frying', 'Kecap manis – ½ cup', 'Chopped chili padi – 1 whole', 'Sliced shallots – 3 whole', 'Calamansi juice – 3-4 whole', 'Chopped coriander leaves']","['Wash and clean- wipe dry the chicken wings. ', 'In a large mixing bowl add in the spice blend.', 'Add in the chicken wings and gently give it a good rub.', 'Add in tamarid pulp – mixed well and marinate for 2-3 hours .', 'In a large pot heat up oil enough for deep frying.', 'Deep fry the chicken until cooked to golden brown.', 'Ready to serve.', 'Add in all the ingredients into a bowl and mix well.', 'Ready to be serve with chicken wings. ']",Serves 4- 6,,Prep : 20 minutes,Cook : 15 minutes
20,Pok Chang - My Singapore Food,,"['200g spring onions – chopped', '150g dried shrimp – soaked and lightly pound', '3 eggs – beaten', '100g minced meat – season with soya sauce, pepper', '200g medium prawns – minced', '2 tsp salt', '500g flour', '1400 ml water', '200g dried chili – blend', '15 nos chili padi – blend', '20 shallots – pound till mushy', '30g dried shrimps – soaked and lightly pound', '3 tsp sugar', '½ tsp salt', '½ tsp dark soya sauce', 'Water']","['Prepare a mixing bowl, pour in flour and eggs, mix well. Gradually add water till mixture is smooth, stirring at the same time. ', 'Add minced pork, prawns, dried shrimp, spring onions and salt. Mix well. ', 'Heat up flat frying pan with oil. Spread mixture onto the pan and spread them out. Once mixture is cooked on one side, flip it over to the other side. When both sides are slightly brown it is ready to serve. ', 'Blend both dried and red chili with a little water. ', 'On a heated frying wok, stir fry dried shrimp till fragrance. Remove and drain. ', 'Fry the mushy shallots till slightly brown, add in blended chili. Lower flame. ', 'Add in salt, sugar and dark soya sauce. ', 'Add in dried shrimp and mix well. ', 'Simmer for another 15 minutes. Stir gradually. ']",Serves 6 - 8,,Prep : 30 minutes,Cook : 15 minutes
