,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Pečena zelnjata burkaša,,"['\n', 'Osnovne sestavine:', '\n1 kg kislega zelja', '\n2 žlici zmiksanih ocvirkov – za vegetarijansko verzijo jih preprosto izključite', '\n180 gramov prosene kaše', '\n700-900 ml vode', '\n3-4 večji krompirji', '\n1 žlica masla', '\n1/2 čajne žličke soli', '\n', '\nSestavine za preliv:', '\n450 gramov kisle smetane', '\n3 jajca', '\nščepec belega popra', '\n1/2 čajne žličke soli', '\n']","['\n', 'Krompir skuhamo v lupini in olupimo. Ohladimo.', '\n', 'Kislo zelje spiramo z vročo vodo toliko časa da dobimo željeno kislost.', '\n', 'Proseno kašo skupaj z vodo in soljo dodamo v posodo. Zavremo in na nizkem ognju kuhamo nekih 25-30 minut – do mehkega. Po potrebi dolijemo še malo vode, če postane preveč suho. V vročo proseno kašo dodamo maslo in premešamo.', '\n', 'Ocvirke zmiksamo do finega. Umaknemo in v mešalniku zmešamo vse sestavine za preliv.', '\n', 'Pekač pomažemo z oljčnim oljem. Naložimo polovico kislega zelja. Dodamo malo ovirkov, nato sloj narezanega krompirja, sloj prosene kaše. Ponovno malo ocvirkov in zaključimo s kislim zeljem. Po vrhu polijemo preliv in položimo v segreto pečico na 200 stopinj za 35-40 minut, da se vrh zlato rjavkasto obarva.', '\n', 'Takoj postrežemo.', '\n', '\n', '\n', '\n', '\n', '\n']",večji ovalni pekač - za 6 oseb,,20-25 minut,1 ura kuhanja + 45 minut peke
1,Faširan šnicelj in ohrovt,,"['\n', 'Sestavine za šnicelj:', '\n500 gramov mletega mesa', '\n2x 1 žlica masti – rastlinske ali svinjske', '\n1 večja rumena čebula', '\nnekaj listov peteršilja', '\n1/5 čajne žličke popra', '\n1/5 čajne žličke muškatnega oreščka', '\n2-3 žlice sladke smetane', '\n1/3 čajne žličke soli za meso in 1/4 čajne žličke soli za omako – oz. po okusu', '\n1 jajce', '\n1 polna žlica moke', '\n500 ml juhe ali vode', '\n1 čajna žlička limoninega soka', '\nnekaj rezin limonine lupinice ali naribana limonina lupinica ene limone', '\n', 'Sestavine za ohrovt:', '\n1/2 velike glave ohrovta', '\n1 žlica masti', '\n1 manjša rumena čebula', '\n1 strok česna', '\nnekaj vejic peteršilja', '\n1/3 čajne žličke soli', '\n1 žlica moke', '\n400 ml juhe ali vode', '\nščepec popra – po okusu', '\n']","['\n', 'Najprej pripravimo šniclje. Na masti popražimo polovico drobno narezane čebule. Med praženjem jo posolimo da se bo hitreje spustila. Ko se zlato rjavkasto obarva jo odstavimo in ohladimo.', '\n', 'Med ohlajanjem čebule v vreli soljen krop dodamo na večje kose narezan ohrovt. Kuhamo ga 4 minute, nato pa prelijemo z mrzlo vodo.', '\n', 'V skledo dodamo mleto meso, jajce, sol, poper, muškatni orešček, praženo čebulo, sladko smetano in polovico peteršilja. Premešamo in oblikujemo okrogle zrezke. Preložimo jih na papir za peko in jih pečemo v segreti pečici na 220 stopinj nekih 10 minut.', '\n', 'Med peko pripravimo omako. V ponev dodamo žlico masti in do zlato rjave barve popražimo drugo polovico drobno narezane čebule. Med praženjem jo malo posolimo. Ko je prepražena ji dodamo moko. Pražimo da moka zadiši, takrat pa med rednim mešanjem vlivamo juho. Malo pokuhamo da se omaka zgosti in dodamo pečene faširane zrezke. Dodamo še peteršilj, limonin sok, sol po okusu in na lističe narezano limonino lupinico. Ta sicer omako malce pogreni, zato v primeru da vam to ni všeč lupinico raje na drobno naribajte.', '\n', 'Posodo pokrijemo in na nizkem ognju kuhamo dokler ne pripravimo še ohrovt.', '\n', 'V ponev dodamo mast. Na njej spet zlato rjavo popražimo drobno narezano čebulo. Med praženjem jo malo posolimo. Nato dodamo moko in pražimo da zadiši. Med rednim mešanjem vlijemo malce juhe, nato pa dodamo strt strok česna, peteršilj in kuhan ohrovt. Dodamo sol in poper ter dobro premešamo. Prilijemo preostalo juho, premešamo in kuhamo minutko ali dve.', '\n', 'Postrežemo skupaj s pripravljenimi faširanimi šniclji.', '\n', '\n', '\n', '\n', '\n']",4 osebe,,20 minut,1 ura
2,Klasični čupavci,,"['\n', 'Sestavine za biskvit:', '\n4 jajca', '\n160 gramov sladkorja', '\nvrečka vanilin sladkorja', '\n1 dcl sončničnega olja', '\n1 dcl vode', '\n200 gramov moke', '\n1 polna čajna žlička pecilnega praška (ali vinskega kamna)', '\nščepec soli', '\n', 'Ostale sestavine:', '\n400-500 gramov temne čokolade', '\ngroba kokosova moka', '\n']","['\n', 'Jajca ločimo na beljake in rumenjake. Iz beljakov stepemo sneg in jim med stepanjem dodamo ščep soli. Rumenjake skupaj s sladkorjema stepamo 5 minut, da zmes podvoji prostornino. Moko in pecilni prašek zmešamo. V vrč dodamo olje in vodo.', '\n', 'V treh delih menjajoče dodajamo moko s pecilnim praškom in vodo z oljem.', '\n', 'Mešamo le toliko da se sestavine povežejo, nato pa prelijemo v dobro namaščen in obložen pekač s papirjem za peko.', '\n', 'Položimo v pečico segreto na 180 stopinj za 20-22 minut, da zobotrebec iz biskvita pride ven čist.', '\n', 'Biskvit popolnoma ohladimo. Ohlajenega zrežemo na kocke.', '\n', 'Čokolado stopimo. Kocke biskvita potapljamo v čokolado, nato pa naprej povaljamo po kokosu. Ohladimo da se čokolada strdi,nato pa postrežemo.', '\n', '\n', '\n', '\n', '\n', '\n']",okrog 30 čupavcev,,15-20 minut,20-22 minut
3,Veganske polnjene paprike v paradižnikovi omaki,,"['\n', 'Sestavine za nadevane paprike:', '\n4 rumene oz. babura paprike', '\n1 majhna čebula', '\n1 cukini bučka', '\n2 korenčka', '\n220 gramov srednjezrnatega riža', '\nmajhen šopek svežega peteršilja', '\nsol po okusu', '\npoper po okusu', '\n700-800 ml vode ali jušne osnove', '\n1-2 žlici oljčnega olja', '\n1 strok česna', '\n', 'Sestavine za omako:', '\n500-600 gramov paradižnikovih pelatov', '\n1/2 rumene čebule', '\n1 strok česna', '\n1 žlica paradižnikovega koncentrata', '\n3 čajne žličke sladkorja', '\nvsaj 1/2-1 čajna žlička soli', '\n1 čajne žličke sladke paprike v prahu', '\nnekaj listkov sveže bazilike', '\nnekaj vejic svežega drobnjaka', '\n1-2 žlici oljčnega olja', '\n', 'Opcijsko za zgostitev: 1 dcl vode + žlica moke', '\n']","['\n', 'Najprej pripravimo nadev. V vroči ponvi popečemo drobno narezano čebulo. Ko se malo spusti dodamo naribana korenčka in bučko. Sestavine posolimo in pražimo da se lepo popečejo in omehčajo. Takšnim dodamo riž in ga minuto ali dve pražimo, na hitro dodamo česen in pražimo le nekaj sekund da zadiši. Prilijemo 700 ml vode. Dodamo sol in riž skuhamo do al-dente teksture.', '\nPo potrebi prilijemo še malce vode, če le ta med kuhanjem izhlapi.', '\n', 'Kuhani rižoti primešamo narezan svež peteršilj in jo odstavimo.', '\n', 'Med kuhanjem riževega nadeva pripravimo omako. Čebulo drobno narežemo in jo popražimo na malce olja. Popraženi čebuli dodamo narezan česen, sladko papriko in mezgo. Pražimo minuto nato pa zalijemo s pelati. Prilijemo še 2-3 dcl vode, dodamo sol, sladkor in baziliko ter drobnjak. Premešamo in na nizkem ognju kuhamo dokler paprike niso nadevane.', '\n', 'Paradižnikovo omako spasiramo s paličnim mešalnikom.', '\n', 'Rižoto nadevamo v izdolbene paprike in jih pritrdimo z zobotrebcem. Položimo jih v paradižnikovo omako in jih kuhamo nadaljnih 15-20 minut- odvisno od željene kuhanosti paprike.', '\n', 'V kolikor želimo omako dodatno zgostiti, kuhane paprike poberemo iz omake. V manjši posodi fino zmešamo 1-2 dcl vode in moko. Vsebino med rednim mešanjem zlijemo k paradižnikovi omaki. Omako zavremo in kuhamo nadaljno minuto, da se malce zgosti, nato pa jo dodamo k kuhanim nadevanim paprikam.', '\n', 'Poleg nadevanih paprik postrežemo kruh ali pire krompir ali pa jih jemo kar take.', '\n', '\n', '\n', '\n', '\n', '\n']",3-4 osebe,,20-25 minut,1 ura
4,Brizgani lešnikovi piškoti z belo čokolado in lešnikovim mlekom,,"['\n', 'Sestavine za piškote:', '\n150 gramov masla sobne temperature', '\n200 gramov moke', '\n50 gramov mletih lešnikov', '\n1/2 čajne žličke pecilnega praška', '\n40 gramov sladkorja v prahu', '\n20 gramov vanilijevega sladkorja v prahu', '\n1 jajce', '\n1-2 žlici ruma', '\n', 'Dodatno za okras:', '\n200 gramov bele čokolade', '\nnekaj žlic mletih lešnikov', '\n', 'Sestavine za lešnikovo mleko:', '\n400-500 ml vročega mleka', '\n1-2 čž lešnikovega masla', '\n1-2 žlici medu – po okusu', '\nrum po želji', '\n']","['\n', 'Moko, mlete lešnike in pecilni prašek premešamo. Jajce stepemo in vlijemo rum.', '\n', 'Maslo penasto umešamo. Nato mu vmešamo sladkor. Ko je ta lepo vmešan dodamo stepeno jajce.', '\n', 'Nazadnje po žlicah dodajamo moko. Zmes položimo v hladilnik za 10-15 minut. Nato zmes naložimo v posodo nad robotom in nabrizgamo piškote. Če robota z nastavkom nimamo, zmes naložimo v brizgalno vrečko in jih nabrizgamo na papir za peko.', '\n', 'Pečemo jih 12-15 minut na 170 stopinj.', '\n', 'V kolikor dodatka za brizgane piškote od robota nimate, lahko recept uporabite tudi za ročno mašinco za brizgane piškote, ali pa z rokami/modelčki ustvarjate različne oblike iz testa. 😉', '\n', 'Pečene piškote ohladimo nato pa do polovice pomočimo v stopljeno čokolado in potresemo z mletimi lešniki.', '\n', 'Zraven postrežemo lešnikovo mleko, katerega sestavine le zmiksamo v mešalniku.', '\n', '\n', '\n', '\n', '\n', '\n']",40-50 piškotov,,15 minut,3x 12-15 minut
5,Radecki štrudelj,,"['\n', 'Sestavine za testo:', '\n1 kg moke', '\n½ kg masla', '\n400 ml mleka', '\n1 kocka svežega kvasa', '\n8 rumenjakov', '\n12 gramov soli', '\n100 gramov sladkorja', '\n', 'Sestavine za nadev:', '\n100 gramov olupljenih mandljev', '\n100 gramov orehov', '\n40 gramov pinjol', '\nlupinica ½ bio pomaranče', '\nlupinica ene bio limone', '\n100 gramov rozin', '\n100 gramov dateljnov', '\n100 gramov suhih fig', '\n2/3 čajne žličke cimeta', '\n20 ml medenega vina', '\n20 ml maraskina', '\n30 ml belega vina', '\n100 gramov sladkorja', '\nbeljak enega jajca', '\n', '+ 1 rumenjak + 3 žlice hladne vode za premaz', '\n']","['\n', 'Poskrbimo da so vse sestavine sobne temperature. Mleko segrejemo do toplega.', '\n', 'V polovico toplega mleka vmešamo žličko sladkorja in vanj nadrobimo kvas. Pustimo ga vzhajati 10 minut. V drugo polovico dodamo sladkor in maslo ter počakamo da se sladkor stopi in maslo omehča.', '\n', 'Medtem moki na sredini naredimo luknjico. Vanjo vmešamo vzhajan kvas. Vmešamo mleko z maslom, rumenjake, sol in zgnetemo. Gnetemo vsaj 10-15 minut. Če imamo pri roki kuhinjskega robota mu ta del lahko tudi prepustimo.', '\n', 'Zgneteno testo oblikujemo v hlebček in pomokamo, ter pokrijemo in pustimo vzhajati eno uro.', '\n', 'Vmes pripravimo nadev. Oreščke in suho sadje zrežemo. Dodamo sladkor, lupinice, beljak, vino, maraskino in medeno vino, ter cimet. Zmešamo.', '\n', 'Testo zvaljamo v pravokotnik.', '\n', 'Nadev premažemo čez vse testo, razen čez sprednjo petino testa. Ko je namazano, sprednjo petino testa prepognemo prek nadeva, potem pa še zadnji dve petini prek srednjega dela. Če je naš pekač premajhen robove odrežemo in jih spečemo posebej. Štrudelj preložimo na pekač in pustimo vzhajati 30 minut. Pred peko premažemo z rumenjakom zmešanim z vodo in položimo v segreto pečico na 180 stopinj za 30 minut, da se štrudelj zlato rjavo zapeče.', '\n', 'Pečenega pokrijemo z vlažno krpo in pustimo da se vsaj malo ohladi.', '\n', '\n', '\n', '\n', '\n']",1 večji štrudelj,,40 minut,25-30 minut
6,Tržiška flika,,"['\n', 'Sestavine za kvašeno testo:', '\n500 gramov bele moke', '\n1 jedilna žlica olja', '\n10 gramov soli', '\n30 gramov svežega kvasa', '\n1 čajna žlička sladkorja', '\n300 ml mlačnega mleka', '\n', 'Sestavine za nadev:', '\n4-6 zvrhanih žlic kisle smetane', '\nkumina – po okusu', '\nsol – po okusu', '\n']","['\n', 'Mleko segrejemo in ga osladkamo. vanj nadrobimo kvas in ga pustimo vzhajati 10 minut.', '\n', 'Vzhajan kvas vmešamo v moko. Vmešamo še olje in sol. Gnetemo vsaj 10 do 15 minut, nato pa pokrijemo in pustimo vzhajati eno uro.', '\n', 'Pekač namastimo z oljem in z rokami testo razvlečemo v okroglo fliko debelo za dober prst. Vanjo s prsti naredimo jamice.', '\n', 'Testo premažemo s kislo smetano, po vrhu potresemomalo kumine in soli.', '\n', 'Položimo v segreto pečico na 200 stopinj za nekje 20 -25 minut, da se zlato zapeče.', '\n', 'Pečeno fliko natrgamo ali narežemo na kose, velike približno 3 cm².', '\n', '\n', '\n', '\n', '\n', '\n']",1 večja flika,,15-20 minut,20-25 minut
7,Krompirjev golaž,,"['\n', 'Sestavine:', '\n6-7 srednje velikih krompirjev', '\n1-2 žlici oljčnega olja', '\n1 čebula', '\n2 korenja', '\n2 čajni žlički sladke mlete paprike', '\n1 strok česna', '\n4-5 žlic mletih paradižnikovih pelatov', '\n1 čajna žlička sladkorja', '\n1/2 čajne žličke soli – oziroma po okusu', '\n2 majhna lovorjeva lista ali en večji', '\n200-300 ml zelenjavne osnove ali vode', '\nvejica svežega peteršilja', '\n', 'kruh – opcijsko', '\n']","['\n', 'Krompir olupimo in narežemo na poljubno velike koščke. Zalijemo ga z vodo in jo dobro solimo. Zavremo, nato pa počasi kuhamo 30-35 minut, da se krompir popolnoma skuha.', '\n', 'Čebulo in korenje narežemo na drobno. V posodo dodamo olje in na njem popečemo čebulo in korenje. Malce ju posolimo in pražimo da se obe sestavini malce omehčata.', '\n', 'Takrat dodamo sladko papriko in pražimo minutko. Dodamo drobno narezan česen in pražimo da zadiši. Vmešamo pelate, dodamo lovorjev list, sladkor, sol in zalijemo z 1-2 dcl vode ali jušne osnove. Na nizkem ognju kuhamo nadaljnih 15-20 minut, da se vmes v drugi posodi skuha tudi krompir. Če med kuhanjem omake preveč vode izhlapi, je malce dolijemo.', '\n', 'Kuhan krompir odcedimo, toda vsaj 3-4 dcl vode prihranimo.', '\n', 'Krompir vmešamo k omaki in dolijemo toliko prihranjene vode, da dobimo željeno gostoto. Pokuhamo za minutko, nato pa pustimo stati nekaj minut, da se omaka zgosti. Potresemo s sveže narezanim peteršiljem in postrežemo.', '\n', '\n', '\n', '\n', '\n', '\n']",2-3 osebe,,15 minut,30-35 minut
8,Drobnjakovi štrukaljci v goveji juhi,,"['\n', 'Sestavine za testo:', '\n10 dag moke', '\n1/4 čajne žličke soli', '\n1 jajce', '\n3 žlice vode', '\n', '\nSestavine za nadev:', '\n1 šopek drobnjaka', '\n1 jajce', '\n']","['\n', 'Jajce za testo z vilico fino stepemo. Moko zmešamo s soljo in ji vmešamo jajce. Dodamo še vodo in vse skupaj zgnetemo v testo. Po potrebi dodamo še malo moke.', '\n', 'Testo razvaljamo na tanek pravokotnik. Premažemo ga s stepenim jajcem in potresemo z drobno narezanim drobnjakom.', '\n', 'Do polovice ga zvijemo v tesno rolado in testo odrežemo. Preostali del prav tako zvijemo v rolado. Dobiti moramo dve tanki roladi.', '\n', 'Z robom krožnika režemo centimeter debele koščke. Rob krožnika bo robove štrukaljcev stisnil skupaj da drobnjak med kuhanjem ne bo uhajal ven.', '\n', 'Pripravljene štrukaljce nekaj minut kuhamo v vroči juhi, nato pa takoj postrežemo.', '\n', '\n', '\n', '\n', '\n', '\n']",štrukeljcev pride za 3-4 krožnike juhe,,10-15 minut,nekaj minut
9,Piška v papriki s pire krompirjem,,"['\n', 'Sestavine za piško v papriki:', '\n1 kilogramski piščanec ali 1 kg delov piščančjega mesa', '\n1 rumena čebula', '\n1 žlica masti', '\n600-800 ml vode – toliko da prekrijemo meso', '\n1 zvrhana čajna žlička mlete paprike', '\n1 večja vejica peteršilja', '\n1/2 čajne žličke soli', '\n1 polna žlica moke', '\n2 žlici kisle smetane', '\n1 žlica limoninega soka', '\njuha po potrebi – do željene redkosti omake', '\n20-30 ml belega vina', '\n', 'Sestavine za pire krompir:', '\n7-9 krompirjev', '\nsol – po okusu', '\n50 gramov masla', '\n1 polna žlica rastlinske ali svinjske masti', '\n1 rumena čebula', '\nmuškatni orešček – po okusu', '\n50-100 ml mleka – do željene gostote', '\n']","['\n', 'V ponvi na masti prepražimo na drobno sesekljano čebulo. Med praženjem jo posolimo da se hitreje spusti. Ko zarumeni, jo potresemo z mleto papriko in prilijemo mrzlo vodo. Dodamo na kose narezanega piščanca, solimo in dodamo cele liste peteršilja. na nizkem ognju kuhamo eno uro.', '\n', 'Vmes olupimo krompir in ga razpolovimo. Dodamo ga v posodo in prelijemo z vodo, dodamo polno čajno žličko soli in vsebino zavremo. Nato pa ga na nizkem ognju kuhamo 45 minut.', '\n', 'Po eni uri iz ponve preložimo piščanca v drugo posodo, v vrč odlijemo omako. V ponev, v kateri smo kuhali piščanca, potresemo nekaj moke in jo popražimo, da zadiši. Takrat med rednim mešanjem z metlico prilijemo omako od pečenja, dolijemo nekaj vode ali juhe, dodamo kislo smetano in limonin sok. Če je omaka pregosta, dodamo še malo juhe ali vode. Prilijemo vino in prepasiramo v fino omako. Prelijemo čez piščanca.', '\n', 'Nato zaključimo krompir. V ponev dodamo mast in na njej popražimo na lističe narezano čebulo. Ko postane zlato rjavkasta, jo odcedimo in odcejeno mast prihranimo.', '\n', 'Krompirju odlijemo vodo in mu dodamo maslo. Pretlačimo ga, nato pa mu dodamo mast od čebule, mleko in muškatni orešček. Pretlačimo in po okusu dosolimo. Na vrh dodamo prepraženo čebulo.', '\n', 'Postrežemo.', '\n', '\n', '\n', '\n', '\n', '\n', '\n']",4 osebe,,15-20 minut,1 ura
