,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Sausages with tomato chutney,PT35M,"[' vegetable oil ', '500 g sausages boerewors, lamb, beef or chicken', '1 large onion ', '1 spring curry leaves ', '3 green chilli ', '1 tbsp ginger and garlic paste ', '3 tsp chilli powder ', '1/2 tsp ground turmeric ', '6 Roma tomatoes pureed', '1 tsp sugar ', ' fresh coriander ']","['Fry or braai your sausages and set aside.Heat oil in a pan, and saute onion, curry leaves, and green chilli until the onion is golden.Add the ginger and garlic paste and cook for a further minute.Add the spices and allow to fry on low heat for 2 minutes.Add tomatoes and sugar and cook on medium-low heat until the chutney has thickened, 8-10 minutes.Add the cooked sausages (either cut them in half or leave them as a whole) to the chutney and allow to simmer on low heat for a further 10 minutes.Garnish with fresh coriander and serve with fresh bread or rolls.Enjoy!Reprinted with permission from Landi Govender from The Tocka Blog, follow along on\xa0Instagram\xa0for more recipes.']",4 servings,Cuisine,PT10M,PT25M
1,Pilchard pasta bake,PT45M,"['500 g penne pasta ', '1 large onion ', '2 garlic cloves crushed', '1 tsp curry powder ', '1 tsp dried mixed herbs ', '1 tinned tomatoes ', '400 g pilchards in tomato sauce ', '1 tsp tomato paste ', '1/4 cup frozen peas ', '1 tbsp canola oil ', '1/2 cup parmesan cheese grated', '1/2 cup cheddar cheese grated', ' salt and black pepper ']","['Preheat oven to 180 degrees Celsius.Cook\xa0 the pasta according to package directions until al dente then set aside.Heat canola oil in a pan, fry onions, garlic, mixed herbs, curry powder until translucent, add tinned tomatoes, peas, tomato paste and mix wellAdd deboned pilchards along with the tomato sauce, and cook on medium heat for 5 minutes. Season with salt and black pepper.Mix the pilchard mixture with cooked pasta, ensure to mix well.Transfer into a baking tray.Sprinkle the cheese duo on top, and bake for 20 minutes or till it has formed a nice golden colour.Reprinted with permission from Zanele Mvelase from Zee The Cook, follow along on\xa0Instagram\xa0for more.']",6 servings,Bake,PT15M,PT30M
2,Lamb keema pitas,PT40M,"['3 tbsp ghee ', '1 tbsp ginger and garlic paste ', '1 bay leaf ', '1 tsp cumin seeds ', '1 large onion finely chopped', '2 tbsp ground coriander ', '1 tbsp garam masala ', '1 tbsp kashmiri chilli powder ', '1/4 tsp ground cloves ', '1/2 tsp ground turmeric ', '1 Roma tomatoes pureed', '500 g lamb mince ', ' salt to taste', '6 garlic pita ', ' pickled red onions to garnish', ' fresh coriander to garnish']","['Heat oil in a medium-sized pot over medium heat. Add chopped onion, bay leaf, cumin seeds, and a pinch of salt, and saute until onion is golden brown and spices are fragrant about 8-10 minutes.Add coriander powder, garam masala, Kashmiri chilli powder, ground cloves, turmeric powder, and cook until spices are fragrant about 2 minutes.Mix in tomato purée and stir occasionally until thickened and starting to stick to the bottom of the pot. Add the lamb mince and 1 cup of water.Season with salt. Cover pot and cook until lamb is cooked through and tender, about 20 minutes on medium-low heat (liquid will have evaporated).To assemblePlace garlic pitas on an oven tray and bake for 2-3 minutes. Spoon lamb keema on each pita, serve with pickled onion and fresh coriander.Reprinted with permission from Landi Govender from The Tocka Blog, follow along on\xa0Instagram\xa0for more recipes.']",6 servings,Cuisine,PT10M,PT30M
3,Samoosa tart,PT40M,"['1 onion finely chopped', '1-2 green chilli finely chopped', '3 garlic cloves finely chopped', '2 cup sweetcorn ', '1 tsp dried red chilli flakes ', ' salt and black pepper to taste', '1 1/2 cup cheddar cheese grated', '3 tbsp fresh coriander finely chopped', '1 sheet puff pastry ']","['Add a splash of vegetable oil to a frying pan and fry the onion and garlic until soft and translucent.Add the sweetcorn and chilli flakes and allow to cook until the corn starts to brown.Add salt to taste.Transfer the corn mixture to a large bowl and allow it to cool to room temperature then mix in the cheese.Preheat oven to 180C.Spread samoosa filling over the pastry, leaving a 2 cm border.Bake tart until crust is golden brown, 20-25 minutes. Let cool 10–15 minutes, then cut into squares.Top with fresh coriander. Enjoy with an array of chutneys.Reprinted with permission from Landi Govender from The Tocka Blog, follow along on\xa0Instagram\xa0for more recipes.']",6 servings,Bake,PT10M,PT30M
4,Pan-fried prawns and savoury rice,PT30M,"['1 tsp seafood spice ', '1 tsp Cajun spice ', '400 g prawns ', '1 tbsp oil ', '1 tbsp butter ', '1 tbsp fresh garlic crushed', '1 packet bacon chopped', '1 cup mixed bell peppers chopped', '1 cup mushrooms chopped', '1 tsp paprika ', '1 tsp dried mixed herbs ', '1 tsp ground turmeric ', '1/2 cup baby marrow chopped', 'handful fresh parsley chopped', '2 cup cooked rice ', '2 tbsp soy sauce ', ' salt and black pepper to season']","['Preheat a large pan/wok to medium heat.Season prawns with seafood spice and Cajun spice.Add oil, butter, garlic, prawns to the pan and fry for 3-4 minutes or until golden brown. Set aside.In another pan add oil and fry bacon, mixed peppers, mushrooms. Season with paprika, mixed herbs and turmeric powder, cook for 2 minutes.Add chopped parsley and baby marrows.Add cooked rice, along with the prawns.Pour over the soy sauce, stir and mix everything together. Season with salt and pepper if desired.Enjoy!Reprinted with permission from Zanele Mvelase from Zee The Cook blog, follow along on Instagram\xa0for more.']",4 servings,Cuisine,PT10M,PT20M
5,Lemon meringue cupcakes,PT40M,"['380 g cake flour ', '300 g sugar ', '7,5 ml bicarbonate of soda ', '2,5 ml salt ', '3 eggs ', '300 ml sunflower oil ', ' lemon zest from one large lemon', '375 ml amasi ', '30 ml fresh lemon juice ', '3 eggs ', '3 egg yolks ', '250 ml castor sugar ', ' lemon zest from one lemon', '180 ml fresh lemon juice ', '160 g butter cubed', '2 egg whites ', '125 ml castor sugar ', '1 ml cream of tartar ', '1 pinch salt ', '2,5 ml vanilla extract ']","['For the cupcakesPreheat the oven to 180°C and line 2 cupcake pans with papers.Sieve together the cake flour, sugar, bicarbonate of soda and the salt.In another bowl – mix together the eggs, oil, amasi, lemon juice and the zest.Add the liquid ingredients to the dry ingredients and mix it very well to make the batterSpoon the batter into the prepared cupcake pans and bake for ±20 minutes until cooked.Transfer to a wire rack and cool completely.When the cupcakes are cool, cut out a small cone in the center of each one and fill with 15 ml lemon curd.Pipe or top generously with the meringue and scorch with a blowtorch.Homemade lemon curdBeat together the eggs, yolks, castor sugar, zest and lemon juice in a saucepan.Place the saucepan on the stove on low heat, add half of the butter and whisk all the time until the curd thickens and reach boiling point.Remove from the heat and add the rest of the butter.\xa0 Whisk gently until the butter has melted.Pour the curd into a glass bowl and cover the surface with cling film.\xa0 Allow to come to room temperature then store in the fridge to firm up.MeringueCombine the egg whites, sugar, cream of tartar, salt and vanilla in a bowl and place on a saucepan with simmering water. The bottom of the bowl must NOT touch the water.Use an electric hand mixer and whisk the mixture for 7 minutes on high speed over the simmering water until the sugar has dissolved, the mixture is hot to the touch and you have stiff, glossy peaks of meringue.Spread on cake or spoon into a pipping bag and use immediately.VariationUse a lemon buttercream instead of the meringue to pipe on top of the lemon curd filled cupcakes.This recipe was published with permission by Christine Capendale, follow along on\xa0Instagram for more. Images photographed by Ed O&#8217;Riley.']",12 servings,Bake,PT10M,PT30M
6,Peanut butter protein bars,PT10M,"['200 g dates cooked in hot water', '300 g rolled oats ', '1/3 cup peanut butter ', '1 scoop peanut butter flavoured plant based protein powder ', '2 tbsp coconut oil melted', '1/2 cup aquafaba chickpea water', 'handful dark chocolate chips ', 'pinch salt ', '200 g dates soaked in hot water', '3 tbsp cocoa powder ', '1 tbsp maple syrup ']","['Start by adding the dates needed for the base to a food processor and process until a smooth paste forms.Add all the rest of the ingredients, except for the choc chips, to the food processor and process until smooth.Add the choc chips and mix in using a spatula.Press the mixture into a lined baking dish and place in the fridge to firm up for about 10minutes.Add all the ingredients for the topping to the food processor and process until a smooth paste forms.Spread the topping over the base and place back in the fridge for at least an hour before cutting into squares.These can be stored in the fridge for up to a week.Reprinted with permission from\xa0Real Food Runners, follow along on\xa0Instagram.']",12 servings,Cuisine,PT10M,PT0M
7,Sticky chicken wings and chips,PT60M,"['16 chicken wings cut into drummets and winglets', '1 tsp Knorrox All-In-1 spice mix ', '1 cup sweet chilli sauce ', '1 tsp paprika ', ' salt and black pepper to taste']","['Season the wings with Knorrox spice mixIn a bowl make the marinade by combining sweet chilli sauce, paprika, salt and pepper. Mix well. Pour the marinade over stir the chicken wings, ensure they are coated well (you can marinade for 7-8 hours or overnight).Bake for 45 to 50 minutes or until the wings are cooked through.Serve with chips and enjoy!Reprinted with permission from Zanele Mvelase from Zee The Cook, follow along on Instagram for more.']",4 servings,Bake,PT10M,PT50M
8,Roasted butternut hummus,PT30M,"['1 butternut whole, washed, peeled and diced (peels reserved)', '4 garlic cloves ', ' olive oil for roasting', '1 tsp fresh thyme ', '1/2 tsp ground cumin optional', '1/2 tsp paprika optional', ' salt to season', '1 tin chickpeas liquid reserved', '1 lemon juiced', '2 tbsp tahini ', '2-3 tbsp olive oil ', ' salt and black pepper to season', '1/2 tsp garlic powder ', '1/2 tsp smoked paprika ', ' olive oil ', ' salt to season']","['Roast the butternut and garlic along with a drizzle of olive oil, ground cumin, ground paprika, thyme and salt at 200C for about 20 min or until golden and fully cooked.Blitz the cooled butternut, garlic and chickpeas together with 1-2 tbsp of reserved chickpea liquid, tahini, olive oil and juice from one lemon. Season to taste with salt and black pepper.For the waste-reducing butternut crispsDrizzle reserved butternut peels with olive oil, add seasoning and air fry at 200C for about 5-7 min, until crispy and golden.Serve butternut crisps with hummus topped with toasted pumpkin seeds and array of your favourite things to dip.Recipe by\xa0Bianca Jones. Image photographed by\xa0Rikki Hibbert.']",8 servings,,PT10M,PT20M
9,Banana bundt cakes topped with chocolate caramel,PT30M,"['3 ripe bananas ', '50 g dark brown sugar ', '1 tsp cinnamon ', '1 tsp vanilla extract ', '250 g self-raising flour ', '1.5 tsp baking powder ', '125 g castor sugar ', '85 g butter melted', '2 eggs ', '125 ml milk ', '200 g castor sugar ', '90 g butter ', '230 ml cream ', '50 g chocolate ']","['Preheat oven to 160C.In a foil on a baking sheet, place the bananas, brown sugar, vanilla and cinnamon and loosely close the foil to ensure there are no leaks. Pop it into the oven for 20 minutes.Remove from the oven, mash the bananas and allow to cool.In a separate large bowl whisk the flour, baking powder and castor sugar and set aside.Add to the cooled bananas the butter, milk and eggs and give a little mix.Make a well in the center of the flour and pour in the wet banana mixture, gently folding, careful not to over mix.Spoon the batter into a greased mini Bundt pan or muffin pan in cupcake liners.Bake in the 160C oven for 20 minutes.In the interim make the caramelIn a medium saucepan, melt the sugar, stirring occasionally so it heats evenly and does not burn.Once it is completely melted and turns an amber colour, remove from heat and mix in the butter.Once incorporated, mix in the cream and finally stir in the chocolate (the amount of chocolate can be adjusted to your preference).Remove cakes from the oven and leave to cool in the pan for a few minutes before transferring to a wire rack to cool completely.Top with your homemade choc caramel sauce as desired and enjoy!Reprinted with permission from Sadie’s Bubble of Yum, follow along on\xa0Instagram\xa0for more.']",12 servings,Baking,PT10M,PT20M
