,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Instant Pot Korean Short Ribs,PT70M,"['1.5 kg bone-in beef short ribs ((3.3 pounds))', '250 g carrots ((8.8 ounces), peeled &amp; cut in medium size chunks)', '200 g Korean radish ((7 ounces), (or daikon radish), optional, cut in medium size chunks)', '1/2 cup water', '1 red apple ((or nashi / asian pear), (170 g / 6 ounces), cored &amp; chopped)', '1/2 onion ((60 g / 2 ounces), peeled &amp; chopped)', '6 Tbsp soy sauce (, regular)', '2 Tbsp brown sugar', '2 Tbsp honey', '2 Tbsp rice wine ((mirin))', '1 Tbsp minced garlic', '1 tsp sesame oil', '5 whole black peppercorns']","['Fill a large pot with some water (about 2/3 of the pot) and bring it to boil. While the water is boiling, soak the ribs in cold water. Once the water in the pot is rapidly boiling, transfer the short ribs into the pot and boil them over medium high heat for 6 to 8 minutes.&nbsp;Drain the water away and rinse the ribs in cold running water. Cut off any excess fat (with a pair of scissors) from the ribs. Place the short ribs in the instant pot.', 'Meanwhile, blend the sauce ingredients in a mixer or food processor until smooth.', 'Pour the sauce over the short ribs. Put the lid on and make sure the vent is in the sealed position. Set the pot to pressure cook on high for 35 minutes. After the pressure cook cycle is complete, allow the pressure to naturally release for 15 mins (the vent is still closed). Then do quick release and wait until the quick release cycle is complete. Be careful of any remaining steam. Unlock and remove the lid.Using a slotted spoon, transfer the meat to a large bowl then cover and set aside. Cancel the keep warm mode. (Which would have activated automatically when it finished pressure cooking.)', 'Add the prepared vegetables into the pot. Set the pot to sauté (normal) for 20 minutes and cook the vegetables until soft. Meanwhile, the sauce will turn thick and glazy.&nbsp;Set the pot to off and transfer the vegetables and the sauce to the meat, then toss to coat. (If desired, you can separate the oil from the sauce as explained in the cooking tips above). Garnish with toasted sesame seeds.', 'Serve the ribs with steamed rice and other Korean side dishes. Steamed vegetables such as broccoli go well too.']",['6'],['Main'],PT15M,PT55M
1,Kimchi Fried Rice,PT15M,"['1 cup kimchi ((*see note), cut into thumbnail size pieces)', '150 g bacon ((5.3 ounces), cut into thumbnail size pieces)', '1 pack enoki mushrooms ((200 g / 7 ounces ), root removed, rinsed and drained (optional))', '3 cups steamed short grain rice', '4 x-large eggs (cooked sunny side up or per your preference)', '1/2 tsp minced garlic', '1/4 cup Kimchi juice ((*see note) – this liquid is from the bottom of the kimchi container)', '1/2 Tbsp sesame oil', '1 Tbsp cooking oil', '1 Tbsp toasted sesame seeds (to garnish)', '1/2 stalk green onion (to garnish, thinly sliced (optional))', 'roasted seasoned seaweed (, shredded (optional))']","['On medium high heat preheat a pan/wok and once heated, add the cooking oil and spread it well with a spatula.', 'Add the garlic, stir it fast for about 10 seconds. Then add the bacon and stir it well until half of it is cooked.', 'Add the Kimchi and stir until 80% of it is cooked.', '(Optional) Add the mushrooms and mix them well for a few seconds. Reduce the heat to medium-medium low.', 'Add the rice and the kimchi juice. Mix all of them together well and thoroughly.', 'Add the sesame oil and mix them well. Remove from the heat.', 'Serve the Kimchi fried rice on a plate. Garnish with the sesame seeds, green onion and seaweed strips. (Garnish is all optional). Place the cooked egg on top. Enjoy!']",['4'],['Rice'],PT5M,PT10M
2,The Best Dolsot Bibimbap Recipe,PT55M,"['100 g rib eye fillets ((3.5 ounces), thinly sliced)', '1 Tbsp soy sauce', '1 Tbsp sesame oil', '1 tsp sugar', '1/4 tsp minced garlic', '1/2 cup Korean cucumber side dish', '1/2 cup gosari namul ((Korean fernbrake side dish))', '1/2 cup doraji namul ((sautéed bellflower root))', '1/2 cup carrots (, julienned)', '1/2 cup zucchini (, julienned)', '1/2 cup shiitake mushrooms (thinly sliced)', '4 cups steamed rice', 'Some cooking oil (, I used rice bran oil)', 'sesame oil', 'fine sea salt', '2 Tbsp gochujang ((Korean chili paste))', '1 Tbsp sesame oil', '1 Tbsp sugar', '1 Tbsp water', '1 Tbsp toasted sesame seeds', '1 tsp apple cider vinegar ((or rice vinegar))', '1 tsp minced garlic']","['Prepare and cook ingredients as below.– In a bowl, combine the meat with the marinade. Cover the bowl and leave it in the fridge while you are working on other the ingredients. When ready, Add some cooking oil into a wok and cook the meat on medium high to high heat. It takes about 3 to 5 mins to thoroughly cook it.– Prepare the Korean cucumber side dish, fernbrake side dish and bellflower root side dish per the linked recipes. These can be prepared on a different day to save your bibimbap making time.– Separately sauté carrots, zucchini and mushrooms in a frying pan. Season them lightly with fine sea salt.– Mix the bibimbap sauce ingredients in a small bowl. Set aside.– Pan fry the eggs per your preference. (Sunny side up is a popular choice.)', 'Preheat an oven for 10 minutes at 220 C / 428 F. Once heated, place your stone bowl into the oven. Leave it there for 10 minutes. 10 minutes later, take it out. Drop in some sesame oil (about 1 Tbsp per medium size bowl) and brush it around. Quickly assemble your bibimbap ingredients inside the hot stone bowl. First you will have to lay down the rice. Make sure you flatten it well. Then add the meat, assorted vegetables, and the egg on top of the rice. Transfer the hot stone bowl onto the gas stove and cook it for 5 minutes over low heat. You will hear the rice crackling noise. Remove from the heat.', 'Pour the bibimbap sauce into the hot stone bowl and mix all the ingredients well. Serve.']",['4'],['Main'],PT20M,PT35M
3,How to Make Korean Fish Cakes,PT27M,"['250 g boneless skinless white fish fillet', '150 g skinless squid body ((0.33 pounds), Squid legs can be used too. I used frozen squid.)', '100 g shelled prawns ((0.22 pounds), I used frozen banana prawns.)', '55 g yellow onion ((1.9 ounces), peeled &amp; rinsed)', '30 g carrots ((1.1 ounces), rinsed &amp; peeled)', '25 g red capsicum / bell peppers ((0.9 ounces), rinsed &amp; seeds removed (if necessary))', '20 g chives ((0.7 ounces), rinsed &amp; stalks chopped in index finger length)', '1 extra large egg white', '1 tsp rice wine ((mirim))', '1 tsp white sugar', '1 tsp fine salt', '2 Tbsp potato starch', '2 Tbsp all purpose flour (/ plain flour)', '3 to 4 cups vegetable oil (for deep frying)']","['Individually rinse the fish, squid and prawns in cold water and pat dry them separately with paper towel. Cut the fish and squid into a few chunks. (No need to cut the prawns) Put all of them into a food processor and grind them finely. (It takes between 30 sec to 1 min). Move the ground seafood batch into a large mixing bowl.', 'Separately pat dry all the vegetables with paper towel. Put them into a food processor and grind them. (It takes about 10 sec). Move the ground vegetables batch into the large mixing bowl.', 'Add the rest of the ingredients (egg white, rice wine, sugar, salt, starch and flour) into the bowl and mix them well. Prepare two large flat plates and lay down some waxed paper (e.g. baking paper) on top. Scoop out 1 Tbsp of the fish cake mixture and take it out using another spoon (tea spoon size is good). Place the fish cake ball on to the waxed paper. Repeat this for the rest of the mixture.', 'Put the vegetable oil into a deep sauce pan and bring it to boil on high heat until it bubbles (about 5 mins). Reduce the heat to medium or medium low. Add some&nbsp;fish cake balls (no more than 6 balls at one time, it will depend on the size of your sauce pan) using tongs into a pan and deep fry them until they are cooked (usually for 2 to 3 mins). Outside of the fish ball is ""very lightly"" crispy and inner is very soft.', 'Take the fried fish cake balls out using a strainer. Move them onto some waxed baking paper or paper towel to soak up some oil. Cool down for 5 to 10 mins.', 'Serve &amp; enjoy! (You can serve it with some tomato sauce/ketchup/mustard sauce). Or you can use this as an ingredient for other fish cake dishes (e.g. fish cake stir fry).']",['28'],['Appetizer'],PT12M,PT15M
5,Braised Lotus Root (Yeongeun Jorim),PT30M,"['370 g lotus root (, skin peeled and thinly sliced)', '4 cups water', '1 Tbsp apple cider vinegar or rice vinegar (or rice vinegar)', '5 Tbsp soy sauce', '4 Tbsp rice wine', '6 Tbsp water', '2 Tbsp dark brown sugar', '1 Tbsp corn starch (or potato starch)', '2 tsp toasted sesame seeds', '2 tsp sesame oil']","['Put the water and vinegar in a pot and add the lotus. Boil it for 20 minutes.', 'Drain the water and run cold water on lotus.', 'Put the lotus in a pot and add the sauce. Simmer it on medium heat until the 2/3 of the sauce disappears.', 'Add the thickening sauce in the pot, cook it on strong heat for short time.', 'Serve.']",['4'],['Side dishes'],PT5M,PT25M
6,Cucumber Kimchi (Oi Kimchi),PT30M,"['3 Lebanese cucumbers ((450 g / 1 pound), other cucumber suitable for pickling is ok to use, rinsed)', '1 Tbsp coarse sea salt', '50 g carrots ((1.7 ounces), julienned (optional))', '20 g garlic chives (or chives (0.7 ounces), chopped in same length as the cucumber (optional))', '2 Tbsp gochugaru ((korean chili flakes))', '1 Tbsp minced garlic', '1 Tbsp grated red apple (or asian pear)', '1 Tbsp honey (or sugar)', '1/2 Tbsp saeujeot ((Korean salted shrimp), minced (if you don’t have this add more fish sauce below))', '1/2 tsp Korean fish sauce', '1/2 tsp minced ginger']","['Cut off both ends of the cucumber. Divide the cucumber into 3 pieces then cross cut each piece length ways. You should end up with 4 to 5 cm (1.5 inch) length cucumber pieces. Put the cucumber into a large bowl then scatter the coarse sea salt around on top. Gently mix them so that the cucumber gets pickled evenly. Set it aside for 20 minutes.', 'Gently brush off the salt from the cucumber then transfer the cucumber into a clean bowl. Pour in the kimchi sauce then mix them gently. (If using) Add the carrots and garlic chives then mix with the rest again. Transfer into a glass container and cover.', 'Keep it at room temperature for about 12 to 18 hours then move it to the fridge. Serve once chilled.']","['6', '6 to 8']",['Side dishes'],PT25M,PT5M
8,Korean Cucumber Salad,PT18M,"['1 cucumber', '1/4 onion ((25 g / 0.9 ounces))', '1 Tbsp rock salt (or Korean coarse sea salt)', '1 Tbsp Korean chili flakes ((gochugaru))', '1 tsp white vinegar ((or rice vinegar))', '1 tsp white sugar', '1 tsp minced garlic', '1 tsp toasted sesame seeds']","['Rinse the cucumber thoroughly in cold running water. Discard both ends of the cucumber. Thinly (about 0.5 cm (0.2 inches) thickness) slice the cucumber and put them into a large mixing bowl. Add the salt and lightly mix them together. Leave it for 15 mins.', 'While waiting, thinly slice the onion. Prepare the seasoning sauce by mixing them all together.', 'Fifteen mins later, rinse the cucumber in cold running water (any remaining salt in the mixing bowl should be discarded) and drain the water out using a strainer. Pat dry the cucumber thoroughly with kitchen paper. Put them into a clean and dry mixing bowl.', 'Add the sliced onion and the seasoning sauce. Mix them lightly but thoroughly with your hand (You will want to wear a food prep glove).', 'Put the seasoned cucumber into a sealed glass container and keep it in the fridge for 30 mins to chill then serve. Enjoy!']",['4'],['Side dishes'],PT16M,PT2M
10,Korean Spicy Shin Noodles with Bean Sprouts,PT10M,"['1 pack Korean shin ramyun ((noodles))', '1 green chili', '1/2 stalk spring onion', '1 fistful bean sprouts', '550 ml water']","['Put the water into a pot, add the mung bean sprouts. Put the lid on and boil it.', 'When it starts to boil, add the powder sauce, dried vegetables, and noodles. Boil it for about 2-3 minutes more. (I prefer slightly under cooked noodles.)', 'Add the chili and spring onion 30 seconds before you serve. Serve the noodles in a soup bowl.']",['1'],['Main'],PT5M,PT5M
11,Flying Fish Roe Rice (Al Bap),PT5M,"['2 Tbsp Flying fish roe', '125 g canned tuna (, water drained)', '2/3 Lebanese cucumber (, peeled &amp; diced)', '4 sticks imitation crab (, diced)', '1/3 capsicum (, diced)', '6 leaves perilla (, thinly sliced)', '10 g radish sprouts', '2 cups steamed rice', '2 Tbsp gochujang', '1 Tbsp vinegar (I used apple vinegar)', '1 tsp sugar (I used dark brown sugar)', '1/4 tsp minced garlic', '1 Tbsp Korean plum extract (, or substitutes with asian pear)']","['Place the rice into a serving bowl and put all the other ingredients on top of the rice. Serve the bowl with the sauce.', 'To eat, add desired amount of sauce into a bowl and mix with the remaining ingredients (as you would do with bibimbap). Enjoy the popping feeling of fish roe!']",['2'],['Main'],PT5M,
13,Korean Hot Pot with Dumplings,PT20M,"['8 your choice of dumplings ((mandu), (560 g / 1.2 pounds))', '300 g kimchi ((10.5 ounces ), thinly sliced)', '300 g firm tofu (, sliced (about 1.5cm, 1/2 inch thickness))', '1 pack enoki mushrooms ((200 g / 7 ounces), base stem removed &amp; stems separated)', '1 pack oyster mushrooms (or your choice of other mushrooms (200 g / 7 ounces), separated)', '20 g green onions ((0.7 ounces), thinly sliced)', '40 g onion ((1.4 ounces), thinly sliced)', '4 cups vegetable stock (or Korean soup stock)', '35 g crown daisy leaves ( (edible chrysanthemum), (1.2 ounces), separated from the main stem, (optional) )', '1 red chili (, thinly sliced, (optional) )', '2 Tbsp Korean chili flakes ((gochugaru))', '2 Tbsp rice wine', '1 Tbsp soy sauce', '1 tsp Korean fish sauce', '1 tsp minced garlic', 'A few sprinkles ground black pepper', 'fine sea salt (, if required - I didn’t use it.)']","['&nbsp;Place the prepared ingredients in a large shallow pot. (FYI, I laid down onion and kimchi at the bottom of the pot, then arranged the remaining ingredients on top, in sections.) Boil the pot over medium high heat until rapidly boiling then reduce the heat to medium low to low. Start serving the dish as individual ingredients get ready. You may turn the heat off at any time. Serve with steamed rice.']",['4'],['Main'],PT10M,PT10M
