,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Make Jackfruit Seed Fry Recipe | Crispy & Easy Vegan Dish,PT30M,"['Jackfruit Seeds - 250g', 'Turmeric Powder - ½ teaspoon', 'Red Chili Powder - ½ teaspoon', 'Salt - As you want', 'Cooking Oil - As you want']","['Take the jackfruit seeds and boil them in water for 10 minutes.', 'Now, let the jackfruit seeds to go room temperature. Then, cut them into half and peel off the skin.', 'Add turmeric powder and salt. Mix them well.', 'Heat the oil and fry jackfruit seeds until they start to turn golden. For me, it takes about 5 minutes under high flame.', 'Finally, add some chili powder and mix well till all are combined.', 'This is how to make the best Sri Lankan jackfruit seeds fry recipe at home. Serve and enjoy these deep-fried crispy and spicy jackfruit seeds.']",2 People,Vegetarian/Vegan,PT25M,PT5M
1,Ponnanganni Keerai Varai With Grated Coconut | Alternanthera Sessilis Recipe,PT40M,"['Ponnanganni keerai/Alternanthera sessilis - 125g', 'Grated coconut - 2 tablespoons', 'Large onion - ½', 'Green chili - 1 or 2', 'Red chili - 1 or 2', 'Turmeric powder - ¼ teaspoon', 'Salt - As you need', 'Cooking oil - As you need']","['Chop the onion. Cut the red chili and green chili into medium sized pieces. Get ready with grated coconut, turmeric powder, and salt. (Refer Note 1)', 'Take the bunch of ponnanganni keerai. Remove the leaves from its stem. Chop the leaves finely and rinse it well at least 1 or 2 times. (Refer Note 2)', 'Add turmeric powder and salt into the finely chopped ponnanganni keerai. Mix everything well and keep aside.', 'Heat the oil in a cooking pan. Add onions, green chili, and red chili. Sauté until the onion turns into golden color.', 'Now add finely chopped ponnanganni keerai.', 'Stir, mix and cook uncovered under medium flame for 4 to 6 minutes. You should stir and mix constantly.', 'Add grated coconut. Cook and stir constantly for 1 or 2 minutes under medium flame.', 'Serve and enjoy this Sri Lankan style healthy ponnanganni keerai varai with grated coconut.']",2 People,Vegetarian,PT30M,PT10M
2,How to Make Onion Achcharu in Jaffna? (Best & Simple),PT1H5M,"['Shallots/Small Onion - 500g (After peel)', 'Carrot - 200g', 'Butter Bonchi - 200g', 'Banana Pepper - 150g', 'Dates - 200g', 'Green chili - 100g', 'Garlic cloves - 7 or 8', 'Ginger - Medium size (About the size of 2 garlic cloves)', 'Mustard seeds - 50g', 'Sugar - 50g', 'Dried red chili - 30g', 'Vinegar - 300ml', 'Salt - As you want']","['Peel the shallots and get ready with all other ingredients as above.', 'Firstly, wash all the vegetables. Then cut the carrot, banana pepper, and butter bonchi. Also, cut the tail part of green chilies. Put everything along with the onions on a flat surface and dry them for one or two hours. We usually dry them under the sunlight. If that’s hard dry them under the fan.', 'Grind mustard seeds, dried red chilies, ginger, garlic, 50g of dates, and vinegar to a paste. (You don’t need to grind them to a smooth paste) Then, add sugar and salt to it. Mix them well.', 'So now you have the ground paste, 150g of dates, and dried vegetables.', 'Put everything in a large container and mix them well until all are combined.', 'Once done, leave them in the same container for four to five hours. Then, again give a good mix and put them in an air-tight glass bottle for everyday use.', 'This is how to make onion achcharu in Jaffna style. Serve and enjoy this best onion achcharu with rice/pittu/string hoppers and curries.']",1.5Kg to 1.75Kg of Achcharu,Vegetarian,PT60M,PT5M
3,Simple Agathi Keerai Sodhi Recipe (Healthy | KETO),PT30M,"['Agathi keerai - 75g', 'Onion - 75g', 'Green chili - 3 or 4', 'Turmeric powder - ½ teaspoon', 'Semi thick coconut milk - 500ml', 'Thick tamarind juice - 50ml', 'Water - 300ml', 'Salt - As you want (KETO people use the Himalayan Pink Salt)']","['Take the Agathi keerai and wash them thoroughly. Also, prepare coconut milk, tamarind juice, and take some water. Additionally, get ready with chopped onions, sliced green chilies, turmeric powder, and salt.', 'Take a skillet and place the Agathi keerai in it. On top of that, add onions, green chilies, turmeric powder, salt, tamarind juice, and water.', 'Cook covered under high flame for five minutes.', 'Take off the lid, give a good mix, and again cook covered under high flame for about three minutes.', 'Now add the coconut milk and cook uncovered under high flame for one or two minutes. Stir occasionally to avoid foaming the milk.', 'Taste the Sodhi and adjust salt if needed.', 'This is how to make a simple Agathi keerai Sodhi recipe at home. Serve and enjoy this Sri Lankan style traditional Agathi keerai Sodhi.']",4 People,Vegetarian/Vegan,PT15M,PT15M
4,Make Sri Lankan Pumpkin Curry Recipe | Poosanikai Kootu,PT1H,"['Pumpkin - 1kg', 'Onion - 100g', 'Green chili - 2 or 3', 'Dried red chili - 2 or 3', 'Garlic clove - 3 or 4', 'Turmeric powder - ½ teaspoon', 'Cumin seeds - ½ teaspoon', 'Mustard seeds - ½ teaspoon', 'Black Pepper - ½ teaspoon', 'Thick coconut milk - 150ml', 'Water - 200ml', 'Curry leaves - Few', 'Salt - As you want', 'Cooking oil - As you want']","['Take the pumpkin, rinse it well, and cut it into medium-sized pieces. Also, chop the onions and dry red chilies. Additionally, slice the green chilies and get ready with garlic, curry leaves, mustard seeds, cumin seeds, black pepper, turmeric powder, and salt. Prepare the thick coconut milk and take some water.', 'Grind cumin seeds, black pepper, and garlic together to a paste. You don’t need to grind them to a smooth paste.', 'Now, place the cooking skillet over the stove and put the pumpkin pieces in it. On top of that, add green chilies, 20% of the chopped onion, turmeric powder, salt, and water. Give a good mix.', 'Cook covered under high flame for 10 minutes.', 'Open the lid, give a good stir, and again cook covered under the high flame until all the liquid evaporates and the pumpkin turns tender. For me, it takes about 5 minutes.', 'Now, mash the pumpkin pieces a bit.', 'Add the ground mixture and coconut milk. Stir and mix well under low flame for a minute. Switch off the flame and keep it aside for final preparation.', 'Heat the oil in a deep-fried pan and add mustard seeds. Let them splutter. Then, add the curry leaves and dried red chilies. Sauté those for 30 seconds and then add the remaining 80% of onions. Sauté those until onions start to turn golden.', 'Now, add this fried mix to the pumpkin curry. Mix well until all combined.', 'Taste the curry and adjust salt if needed.', 'This is how to make a Sri Lankan pumpkin curry recipe with coconut milk. Serve and enjoy this delicious pumpkin curry recipe.']",8 People,Vegetarian,PT30M,PT30M
5,Make Potato Curry for Poori/Chapati Sri Lankan Style,PT1H,"['Potatoes - 400g', 'Onion - 150g', 'Split skinned black gram / Urad dal - 1 tablespoon', 'Turmeric powder - ½ teaspoon', 'Mustard seeds - ¼ teaspoon', 'Fennel seeds - ½ teaspoon', 'Green chili - 6 to 8', 'Water - 250ml', 'Lime - 1', 'Curry leaves - Few', 'Cooking oil - 4 to 5 tablespoon', 'Salt - As you need']","[""Boil the potatoes to just before they're fork-tender."", 'Get ready with mustard seeds, turmeric powder, split skinned black gram, fennel seeds, lime, salt, water, and cooking oil.', 'Also, chop the onions, slice the green chilies, and take few curry leaves.', 'Now heat the oil and add mustard seeds. Let them splutter. Then add split skinned black grams and fry them for 30 to 45 seconds. After that, add onion and green chilies. Sauté them until the onions start turns to golden color. Then, add the fennel seeds and curry leaves. Fry them until the onions turn to golden color.', 'Now add turmeric powder, salt, and water. Mix well.', 'Cook covered under high flame for 3 or 4 minutes.', 'Now, add the boiled potatoes, mix, and cook covered under medium flame for 4 or 5 minutes.', 'Using a spoon mash the potatoes a bit.', 'Taste the curry and adjust salt if needed.', 'Finally, switch off the flame and add lime juice. Give one last good mix.', 'This is how to make tasty potato curry for poori or chapati. Serve and enjoy this Sri Lankan style easy potato curry with poori or chapati.']",3 People,Vegetarian,PT35M,PT25M
6,Best Sambar Recipe without Sambar Powder & Coconut Milk,PT1H45M,"['Potato - 100g', 'Pumpkin - 100g', 'Carrot - 100g', 'Eggplant - 100g', 'Tomato - 100g', 'Drumstick - 100g', 'Onion - 100g', 'Dhal - 200g', 'Coriander leaves - As you need', 'Green chili - 2 or 3', 'Dried red chili - 2 or 3', 'Garlic clove - 3 or 4', 'Curry leaves - Few', 'Turmeric powder - ½ teaspoon', 'Mustard seeds - ½ teaspoon', 'Curry powder - 1 tablespoon', 'Thin tamarind juice - 200ml', 'Water - As you want (I used 2000ml)', 'Salt - As you need', 'Cooking oil - As you need']","['Clean and slice the potato, pumpkin, carrot, eggplant, tomato, drumstick, onion, garlic, green chili, dried red chili, and coriander leaves. Besides, rinse the dhal and prepare tamarind juice. Apart from that, get ready with water, curry leaves, turmeric powder, mustard seeds, curry powder, salt, and cooking oil.', 'Heat the oil and add mustard seeds. Let them splutter. Then add onion, green chili, dried red chili, and curry leaves. Sauté them till the onion starts turn to golden.', 'Now, add dhal, garlic, turmeric powder, salt, and water. Give a good mix.', 'Cook covered under the high flame until dhal turns tender. For me, it takes about 20 minutes.', 'Now, add potato, pumpkin, carrot, eggplant, tomato, drumstick, curry powder, and tamarind juice. Give a good mix.', 'Cook covered under the high flame until all the vegetables, especially carrots and potatoes turn tender and soft. For me, it takes about 30 minutes. Taste the curry and adjust salt if needed.', 'Finally, add the coriander leaves and give a good mix.', 'This is how to make the best sambar recipe without sambar powder and coconut milk. Serve and enjoy this simple Sri Lankan mixed vegetable dish.']",6 People,Vegetarian,PT45M,PT60M
7,Deviled Beef Recipe Sri Lanka | Easy & Tasty Beef Fry,PT1H30M,"['Beef - 500g', 'Garlic cloves - 8 to 10', 'Ginger - Small piece (about the size of two garlic cloves)', 'Chili powder - 1 teaspoon', 'Turmeric powder - ¼ teaspoon', 'Sugar - ¼ teaspoon', 'Ordinary vinegar - 3 tablespoons', 'Red chili flakes - 1 tablespoon', 'Onions - 150g to 200g', 'Banana pepper - 30g', 'Tomato sauce - 4 or 5 tablespoons', 'Lime - ½', 'Water - As you need (I used 130ml)', 'Salt - As you need', 'Cooking oil - As you need']","['Grind ginger and garlic to a smooth paste. Also, get ready with vinegar, red chili powder, turmeric powder, sugar, salt, and water.', 'Cut the onions into medium-sized pieces and slice the banana peppers.', 'Get ready with tomato sauce, red chili flakes, and lime.', 'Rince the beef and cut it into large chunks. Add ginger-garlic paste, vinegar, turmeric powder, red chili powder, sugar, salt, and water. Mix them well.', 'Cook covered under the high flame until all the water evaporates. In a halfway through open the lid and give a stir to avoid burning. Once done, let them cool down to room temperature.', 'Now cut each beef chunks into thin slices.', ""Heat the oil in a deep fry pan and fry the beef slices until they turn to brown color. Don't fry them for too long or you will lose the softness of the beef."", 'Now heat the cooking oil in a wok and add fried beef, onions, and banana peppers together. Fry them under medium flame for two minutes. Then, add the red chili flakes. Stir and fry them for another two minutes under low flame.', 'Finally, add the tomato sauce and mix under low flame for about a minute. Then switch off the flame and add lime juice. Taste and adjust salt if needed. Give one last good mix.', 'This is how to make the best deviled beef recipe at home. Serve and enjoy this delicious Sri Lankan style deviled beef.']",4 People,Non-Vegetarian,PT60M,PT30M
8,Simple Bitter Gourd Fry with Curd Sambol Recipe (KETO),PT35M,"['Bitter Gourd - 400g', 'Onion - 150g', 'Green chili - 3 or 4', 'Coriander leaves - As you want', 'Curd - 2 tablespoons', 'Turmeric powder - ¼ teaspoon', 'Salt - As you want (KETO people use the Himalayan Pink Salt)', 'Cooking oil - As you want (KETO people use the Organic Coconut Oil)']","['Rinse the bitter gourd and cut it into thin round pieces. Take off the middle part along with the seeds. Also, chop the onions, coriander leaves, and green chilies. Besides, take turmeric powder, curd, salt, and cooking oil.', 'Add turmeric powder and salt to the bitter gourd. Mix those well until all are combined.', 'Heat the oil and fry the bitter gourd pieces to a golden brown. For me, it takes about 10 minutes under high flame.', 'Now take a large bowl and add onion, green chili, coriander leaves, curd, and salt. Mix them well.', 'Finally, add fried bitter gourd pieces and mix everything till combined.', 'This is how to make a simple bitter gourd fry with curd sambol recipe. Serve and enjoy this Sri Lankan healthy pavakkai or Karawila fried salad.']",4 People,Vegetarian/KETO,PT20M,PT15M
9,Make Tomato Sodhi Recipe | Easy & Quick Vegan Sothi | KETO,PT40M,"['Tomato - 150g', 'Turmeric powder - ½ teaspoon', 'Fenugreek seeds - ¼ teaspoon', 'Onion - 30g', 'Curry leaves - Few', 'Green chili - 3 or 4', 'Lime - ½', 'Thin coconut milk - 350ml', 'Thick coconut milk - 200ml', 'Salt - As you wish']","['Cut the tomato into medium size pieces. Also, slice the green chilies and chop the onions. Besides, get ready with lime, curry leaves, fenugreek seeds, turmeric powder, and salt.', 'Prepare the thin and thick coconut milk.', 'In a cooking pot add tomato, turmeric powder, fenugreek seeds, salt, onion, curry leaves, green chilies, and thin coconut milk. Give a mix and switch on the flame.', 'Cook covered under high flame for about five to six minutes. If the milk foams up reduce the flame and give a good stir.', 'Now add the thick coconut milk and cook uncovered under medium flame for about two minutes. Stir occasionally to avoid foaming.', 'Finally, switch off the flame and add the lime juice. Also, taste and adjust salt if needed.', 'This is the easy and best way to make Tomato Sodhi recipe. Serve and enjoy this Sri Lankan style vegan sothi.']",5 People,Vegan,PT30M,PT10M
