,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Шахлет,PT50M,"['Мясо                                 \xa0—\xa0300\xa0Грамм\xa0(баранина или говядина)', 'Лук репчатый                                \xa0—\xa01\xa0Штука', 'Чеснок                                \xa0—\xa02\xa0Зубчика', 'Жировая пленка                                \xa0—\xa06\xa0Штук\xa0(или сало)', 'Рис круглозёрный                                \xa0—\xa030\xa0Грамм', 'Соль                                \xa0—\xa0По вкусу']","['\n                                            ', '                                                    ', '\n                            ', '\n                            ', 'Мясо нарежьте, лук и чеснок почистите и нарежьте.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Пропустите всё через мясорубку.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Добавьте промытый ошпаренный рис.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Всё перемешайте. Не забудьте посолить и поперчить. На жировую плёнку или тонкие ломтики сала выложите небольшие котлетки из полученного фарша .  ', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Заверните. Если используете сало, обмотайте нитками. ', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Обжарьте или же потушите по-желанию. Подайте к столу! ', '\n                                                ', '\n                                                            ']",Количество порций: 2,Мясо,PT0M,PT50M
1,Лепешки в тандыре,PT120M,"['Мука                                \xa0—\xa0700\xa0Грамм', 'Кефир                                \xa0—\xa01\xa0Стакан', 'Теплая вода                                \xa0—\xa01\xa0Стакан', 'Масло растительное                                \xa0—\xa03\xa0Ст. ложки', 'Соль                                \xa0—\xa01\xa0Ст. ложка', 'Сухие дрожжи                                \xa0—\xa01\xa0Чайная ложка']",[],Количество порций: 5-6,Тесто / Дрожжевое тесто,PT0M,PT120M
2,Лепешки без дрожжей,PT70M,"['Мука                                \xa0—\xa01\xa0Стакан', 'Соль                                \xa0—\xa01\xa0Щепотка', 'Сода                                \xa0—\xa01\xa0Щепотка', 'Кефир                                \xa0—\xa0150\xa0Миллилитров', 'Подсолнечное масло                                \xa0—\xa01\xa0Чайная ложка']","['\n                                            ', '                                                    ', '\n                            ', '\n                            ', '1. Этот простой рецепт лепешки без дрожжей придется по вкусу всем любителям домашней выпечки. Для приготовления такой лепешки необходимо в глубокую миску налить кефир и растворить в нем соду. Оставить на 3-5 минут. ', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', '2. За это время можно просеять муку и добавить в нее соль. Постепенно вводить в кефир муку, постоянно помешивая. Тесто должно быть в меру густым и эластичным. Когда тесто готово, накрыть его полотенцем и оставить минут на 30-35. ', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', '3. Тесто может слегка прилипать к рукам, к этому нужно быть готовыми. Чтобы облегчить работу с ним, руки можно смочить водой или смазать растительным маслом. Для формирования лепешки лучше не использовать скалку, а делать все вручную. На бумагу для запекания, которую предварительно можно смазать маслом, выложить тесто. Аккуратно разминая его руками, формировать лепешку. Необходимо сделать ее максимально ровной. ', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', '4. Готовую лепешку отправить в хорошо разогретую духовку. Выпекать ее следует минут 7-10, а затем перевернуть и выпекать еще около 5-7 минут. ', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', '5. Когда лепешки без дрожжей в домашних условиях готовы, дать им немногих остыть на решетке и можно подавать к столу. Стоит заметить, что они хороши как горячие, так и холодные. ', '\n                                                ', '\n                                                            ']",Количество порций: 1,Тесто / Бездрожжевое тесто,PT0M,PT70M
3,Лепешки на кефире с начинкой,PT60M,"['Кефир                                  \xa0—\xa01\xa0Стакан\xa0(не менее 2,5% жирности)', 'Мука пшеничная                                 \xa0—\xa02\xa0Стакана', 'Сахар                                \xa0—\xa01/2\xa0Чайных ложки', 'Сода                                \xa0—\xa01/2\xa0Чайных ложки', 'Соль                                \xa0—\xa01/2\xa0Чайных ложки', 'Творог                                \xa0—\xa0250\xa0Грамм\xa0(для начинки)', 'Яйцо                                \xa0—\xa01\xa0Штука\xa0(для начинки)', 'Зелень свежая (пучок)                                \xa0—\xa01\xa0Штука\xa0(для начинки)', 'Соль                                \xa0—\xa0По вкусу\xa0(для начинки)', 'Масло подсолнечное                                \xa0—\xa01\xa0По вкусу\xa0(для жарки)']","['\n                                            ', '                                                    ', '\n                            ', '\n                            ', 'Согреваем кефир до комнатной температуры. Если есть время, то просто оставьте его на кухне. В крайнем случае можно осторожно подогреть кефир в сотейнике. В кефир добавляем соду, сахар, соль. Хорошенько перемешиваем вилкой, затем добавляем понемногу муку. Делаем замес. В результате тесто должно быть не липким.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Замешанному тесту придаем шаровидную форму, укладываем его в глубокую тарелку. Сверху тарелку накрываем пищевой пленкой. Оставляем тесто на 30 минут при комнатной температуре. Если в помещении жарко, то лучше убрать тесто в холодильник.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Готовим начинку. Творог уверенно разминаем вилкой, при этом добавляя понемногу соль. Дальше добавляем в творог сырое яйцо, тщательно все перемешиваем. В последнюю очередь в начинку добавляем подготовленную зелень (кинзу, укроп, рубленую петрушку и зеленый лук). Перемешиваем начинку до тех пор, пока масса не станет однородной.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Формируем лепешки. Выкладываем тесто на рабочую поверхность, присыпанную мукой. Скатываем тесто в толстую колбаску, делим ее на несколько одинаковых частей. Каждый полученный кусочек теста раскатываем в тоненькую лепешку. В центр полученных лепешек выкладываем начинку. Пальцами поднимаем края лепешки. Соединяем их сверху, тем самым пряча начинку внутри теста. Раскатываем наше изделие еще раз, чтобы придать ему форму лепешки.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Разогреваем сковородку, наливаем в нее растительное масло. Лепешки обжариваем на среднем огне до появления румяной корочки.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Как видите, нет ничего сложного в том, как приготовить лепешки на кефире. Подавать к столу их лучше горячими, хотя и слегка остывшие лепешки тоже очень вкусны!', '\n                                                ', '\n                                                            ']",Количество порций: 10-12,Молочные продукты / Кефир,PT0M,PT60M
4,Гулунгоб,PT180M,"['Урюк                                \xa0—\xa0700\xa0Грамм', 'Вода кипячёная                                 \xa0—\xa02\xa0Литра']","['\n                                            ', '                                                    ', '\n                            ', '\n                            ', 'Урюк тщательно промойте в проточной воде, чтобы она в итоге стала прозрачной.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Можете залить его водой на 6 минут примерно. Затем обсушите сухофрукты и переложите их в банку. Залейте кипятком.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Через 2-3 часа напиток будет готов. Заливайте урюк новым кипятком, пока он не перестанет давать сок. Приятной дегустации!', '\n                                                ', '\n                                                            ']",Количество порций: 8,Фрукты / Сухофрукты / Урюк,PT0M,PT180M
5,Сусамыр,PT50M,"['Печень                                \xa0—\xa0500\xa0Грамм', 'Лук репчатый                                \xa0—\xa02\xa0Штуки', 'Масло растительное                                \xa0—\xa02\xa0Ст. ложки', 'Сметана                                \xa0—\xa0200\xa0Грамм', 'Мука пшеничная                                \xa0—\xa01,5\xa0Ст. ложки', 'Сыр                                \xa0—\xa080\xa0Грамм', 'Соль                                \xa0—\xa0По вкусу', 'Перец                                \xa0—\xa0По вкусу']","['\n                                            ', '                                                    ', '\n                            ', '\n                            ', 'Лук нарежьте, обжарьте до прозрачности с добавлением масла.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Добавьте нарезанную на небольшие кусочки печень и обжарьте 5-7 минут.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Посолите, поперчите и выложите в порционные горшочки.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Сметану разведите в 2х столовых ложках воды, добавьте муку. Прогрейте на небольшом огне, хорошо перемешайте.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Залейте печень сметанным соусом и посыпьте тёртым сыром.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Запекайте в разогретой до 180 градусов духовке около 15-25 минут до золотистой корочки. При подаче посыпьте зеленым луком.', '\n                                                ', '\n                                                            ']",Количество порций: 4,Мясо / Овощи / Лук / Субпродукты / Печень / Молочные продукты / Сметана,PT0M,PT50M
6,Фатир с луком,PT60M,"['Мука                                \xa0—\xa0500\xa0Грамм', 'Масло растительное                                 \xa0—\xa03-4\xa0Ст. ложек\xa0(2 ст.л. - в тесто, 1-2 ст.л. - смазать лепешки )', 'Лук репчатый                                 \xa0—\xa01-2\xa0Штук', 'Соль                                \xa0—\xa01\xa0Чайная ложка\xa0(1/2 ч.л. - в тесто, 1/2 ч.л. - в начинку )', 'Перец черный                                 \xa0—\xa0По вкусу', 'Вода                                 \xa0—\xa0180\xa0Миллилитров']","['\n                                            ', '                                                    ', '\n                            ', '\n                            ', 'Подготовьте все ингредиенты. ', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'В миске смешайте муку и соль. Добавьте растительное масло и воду. ', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Хорошенько выместите тесто до однородного состояния, затем оставьте его на 30 минут, накрыв полотенцем. ', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Лук нарежьте тонкими полукольцами, посолите и поперчите по вкусу. Руками разомните лук, чтобы он стал мягче. ', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Тесто разделите на четыре части. Раскатайте каждую в тонкую лепешку, смажьте маслом, затем вдоль одного края выложите луковую начинку. ', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Заверните лепешку рулетом, а потом сверните его улиткой. Оставьте лепешки на 10 минут под полотенцем. ', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Аккуратно руками сделайте лепёшки плоскими (толщиной 1-1,5 см.), но не нарушайте слои. Наколите вилкой и смажьте маслом. Оставьте лепешки ещё на 5-10 минут. ', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Разогрейте духовку до 250 градусов, выпекайте фатир примерно 15 минут до золотистого цвета. После сложите лепешки друг на друга, накройте полотенцем и дайте немного постоять. ', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Фатир с луком готов, приятного аппетита! ', '\n                                                ', '\n                                                            ']",Количество порций: 4-8,Овощи / Лук / Мука / Репчатый лук,PT0M,PT60M
7,Бринчоба,PT60M,"['Лук репчатый                                \xa0—\xa02\xa0Штуки', 'Помидор                                \xa0—\xa02\xa0Штуки', 'Морковь                                \xa0—\xa01\xa0Штука', 'Масло подсолнечное                                \xa0—\xa02\xa0Ст. ложки', 'Рис круглозёрный                                \xa0—\xa01/3\xa0Стакана', 'Картофель                                \xa0—\xa03\xa0Штуки', 'Соль                                \xa0—\xa0По вкусу', 'Перец                                \xa0—\xa0По вкусу', 'Зелень                                \xa0—\xa01\xa0Пучок', 'Вода                                \xa0—\xa01\xa0Стакан']","['\n                                            ', '                                                    ', '\n                            ', '\n                            ', 'Лук нарежьте кубиком, морковь — тонкими брусочками, помидоры — кубиком.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Обжарьте овощи с добавлением масла.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Добавьте промытый рис, затем долейте воду.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Добавьте нарезанный кубиком картофель. Не забудьте посолить и поперчить. Накройте крышкой, и готовьте на небольшом огне 30 минут.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Подайте к столу с зеленью! ', '\n                                                ', '\n                                                            ']",Количество порций: 4,Овощи / Крупы / Рис,PT0M,PT60M
8,Оши бурида,PT300M,"['Нут                                \xa0—\xa01\xa0Стакан', 'Вода                                \xa0—\xa02\xa0Литра\xa0(или мясной бульон)', 'Соль                                \xa0—\xa01\xa0Чайная ложка', 'Масло растительное                                \xa0—\xa02\xa0Ст. ложки', 'Лапша                                \xa0—\xa0200\xa0Грамм\xa0(домашняя заготовка)', 'Морковь                                \xa0—\xa01\xa0Штука', 'Лук                                \xa0—\xa01\xa0Штука', 'Чеснок                                \xa0—\xa02-3\xa0Зубчиков\xa0(крупный)', 'Зелень                                \xa0—\xa0По вкусу\xa0(кинза, мята, укроп, фенхель, тимьян, розмарин, базилик, эстрагон, петрушка, щавель)', 'Перец черный молотый                                \xa0—\xa0По вкусу']","['\n                                            ', '                                                    ', '\n                            ', '\n                            ', 'Нут заранее замочите в большом количестве воды минимум на 4 часа, слейте воду. Зелень промойте прохладной водой. Овощи очистите, помойте.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Нут опустите в кипящую воду (или бульон), варите до мягкости на медленном огне.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Лук, морковь, чеснок измельчите и пассеруйте на разогретом масле до золотистого цвета. Добавьте в бульон.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Домашнюю лапшу закиньте в суп и варите в течение 2-3 минут до готовности.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Зелень измельчите и отправьте в суп, посолите и поперчите по вкусу. Проварите 1 минуту, снимите с огня.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Подавать можно с густым йогуртом или сметаной. Приятного аппетита!', '\n                                                ', '\n                                                            ']",Количество порций: 4-5,Овощи / Бобовые / Лук / Морковь / Нут / Лапша,PT0M,PT300M
9,Чои кабуд,PT10M,"['Чай зеленый                                \xa0—\xa02\xa0Чайных ложки', 'Вода горячая                                \xa0—\xa01\xa0Литр']","['\n                                            ', '                                                    ', '\n                            ', '\n                            ', ' Поставьте кипятить воду. Для заваривания зеленого чая используют воду, кипящую «белым ключом». Когда  появляется множество маленьких пузырьков, вызывающих сначала легкое помутнение, затем побеление воды.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Фарфоровый чайник сполосните кипятком, засыпьте зеленый чай, залейте кипящей водой.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Накройте льняной салфеткой, но не укутывайте. Дайте чаю завариться 5 минут.', '\n                                                ', '\n                                                                    ', '                                                    ', '\n                            ', '\n                            ', 'Добавьте сахар по вкусу. Пейте зеленый чай из фарфоровых пиал. Приятного чаепития!', '\n                                                ', '\n                                                            ']",Количество порций: 4-5,,PT0M,PT10M
