,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Lawasdan truboçka börek,PT60M,"['1 sogan.', '1 kartoşka.', '4 list lawaş.', '1 ýumurtga.', '100 gram peýnir.', 'ösümlik ýagy.', 'ukrop petruşka.', 'duz, gara burç.']","['Kartoşka we sogany ownuk dogramaly we biraz ýag bilen skoworodkada gowurmaly. Duz burç islege görä goşmaly. Bişen soň otdan aýyrmaly we peýnir eremez ýaly azajyk sowatmaly.', 'Peýniri, ukroby, petruşkany ownuk dogramaly we üstüne goşup garmaly.', 'Lawaşy 4 bölek edip kesmeli. bir gyrasyna uzyn edip taýynlan garyndymyzy goşmaly. Ýumurtgany bulamaly we galan ýerine çalmaly. Lawaşy bir gyradan towlap inçejik truboçka şekil etmeli. Üstüne hem ýumurtga çalmaly.', '150 gradus gyzdyrylan duhowkada gyzarýança bişirmeli. Edip görýänler üçin işdäňiz açyk bolsyn.']",6,Börekler,PT20M,PT40M
1,Çopan salat,PT10M,"['2 hyýar', '2 pomidor', '1 sogan', '1 bolgar burç', '5 çemçe gaýmak', 'Duz']","['Hyýar we pomidory ownuk kwadrat dogramaly', 'Sogan we bolgar burçy inçejik edip dogramaly', 'Hemmesini garyp duz goşmaly.', 'Gaýmak goşmak islege görä, hökmany däl. Işdäňiz açyk bolsyn.']",2,Salatlar,PT10M,PT0M
2,Sütli çörek multiwarkada,PT210M,"['500 ml süýt', '800 gram un', '3 çemçe suýuk ýag', '1 çemçe şeker', '1 çemçe duz', '1,5 çemçe hamyr maýa', '1,5 çemçe gorçitsa poroşok', '2 çaý çemçe islege göra ysly otlar']","['Uny elemeli geçirmeli we gury hamyr maýany goşmaly', 'Südi 38ºC ýylatmaly. Suýuk ýag, gorçitsa we ysly otlary goşmaly. Duz we şekeri süte eretmeli.', 'Süt bilen unly garyndyny garyp hamyr etmeli. Hamyr eliňize ýelmeşmeli däl.', 'Hamyr gabynyň üstüni mata bilen ýapyp galar ýaly 1 sagat ýyly yýerde goýmaly.', 'Multiwarka gabyna ýag çalmaly. Hamyry multiwarka goýup ""Ýogurt"" programmasynda 40 minut goýmaly. Hamyr has köp galar.', 'Multiwarkada ""Wypeçka"" rejime geçirmeli we 75 minut goýmaly.', 'Çöregiň iki ýüzi hem gyzarar ýaly multiwarkadan çykaryp tersine öwürip ýene 20 minut ""Wypeçka"" programmasynda goýmaly.', 'Taýyn çöregi çykaryp sowaýança üstüni mata saçak bilen ýapmaly.', 'Sütli çörek taýyn, işdäňiz açyk bolsyn.']",8,Çörek,PT120M,PT90M
3,Ak kökeden çerepaşka tort,PT20M,"['250 gram (10-12sany) gaýmakly ak köke', '250 ml gaýmak (smetana)', '1-2 banan (islega gorä)', '100 gram şeker', '50 gram şokolad']","['Ak kökeleri dogramaly we banany dogramaly.', 'Gaýmagy şeker bilen garmaly ereyänçe bulamaly.', 'Bir çuñ jäş gap almaly we içine streç pakedini ýazmaly soňra içine gaýmak, ak köke, banany gezekleşdirip gat-gat edip düzmeli we iň yokarsyna gaŷmagy çalyp yüzüni streç bn ýapmaly.', 'Tortumyzy holodilnikda 6-7 sagat goýmaly.', 'Taýar bolan tortumyzy tarelka goýup islege gora bezemeli. Men şokolady eredip üstüni bezedim, siz dürli miweler bilen hem bezäp bilersiňiz. Işdäňiz açyk bolsun!']",4,Tort reseptleri,PT20M,PT0M
4,Gaýmakly buglanan asma kömelek (вешенки),PT90M,"['1 kg asma kömelek (вешенки)', '140 gram ösümlik ýagy', '200 gram gaýmak', '3-4 sany sogan', 'Sarymsak, ukrop, petruşka, duz, burç']","['Kömelegi suwda gowyja ýuwup orta ululykda bolar ýaly dogramaly.', 'Gazana suýuk ýag goşup gowy gyzandan soň kömelekleri goşmaly. Kömelekler gyzyp başlanda özleri suwuny çykarýar we gazany doldurýar. Duzlamaly we suwy bugaryp butarýança gowurmaly.', 'Kömelekler gowrulýarka sogany ýarym halka şeklinde dogramaly we aýry bir skoworodkada sähel gyzarýaça gowurmlay.', 'Kömelegiň suwy doly bugarýança garaşmaly we gowrulan sogany, gaýmagy gazana goşmamly. Odyny peseldip 30 minut bugda bişirmeli.', 'Taýyn bomanka islege görä ukrop, petruşka, sarymsak dograp goşmaly. Gara we gyzyl burç islege görä goşmaly.', 'Kömelegiň ýanyna kartoşka pýure garnir gowy gelişýär. Işdäňiz açyk bolsyn.']",4,Sebzeli naharlar,PT30M,PT60M
5,Lawaş dolama,PT30M,"['4 sany lawaş', '6 sany kiçi büzmeçe (sosiska)', '1 pomidor', '1 bolgar burç', '100 gram peýnir (cheddar surty has gowy ereýär)', 'petruşka', '1 çaý çemçesi oregano (kekik)', 'Duz, burç', 'Bulamak üçin:', '1 ýumurtga', '1 stakan mekge unyndan edilen hlopýa', 'ösümlik ýagy']","['Peýniri syhahdan (týorkadan) geçirmeli. Içine goýulýan beýleki azyklary dogramaly. Duz burç goşup garmaly.', 'Bir gaba ýumurtgany çakmaly we garmaly. Başga bir gaba hlopýany külke (un) ýaly owradup goýmaly.', 'Lawaşu ortasyndan iki bölege kesmeli. Içine garan azygymyzy goýmaly we lawaşy suratdaky ýaly uzyn dörtburçluk edip eplemeli.', 'Ilki bilen ýumurtga batyrmaly, soňra hlopýa külkesine bulamaly we ýag guýulan gyzgyn skawarotkada iki ýüzi gyzarýança gowurmaly. Işdäňiz açyk bolsyn!']",6,Ertirlik reseptleri,PT10M,PT20M
6,Şokoladly köke,PT25M,"['2 stakan un', 'Ýarym çaý çemçe soda', 'Ýarym çaý çemçe duz', '150 gram mesge', 'Bir ýarym stakan şeker', 'wanilin', '1 ýumurtga', '1 ýumurtganyň sarysy', '300 gram kakaoly gara şokolad']","['Duhowkany 170 dereje gyzdyrmaly. Protwine ýagly kagyz ýazmaly.', 'Un, soda, duzy bir gapda elekden geçirip garyp goýmaly.', 'Uly gapda eredilen mesge bilen şekeri garmaly. Wanil, ýumurtga we ýumurtganyň sarsyny goşum gowy edip garmaly. Unly garyndyny goşup ýene garmaly.', 'Şokolady ownuk böleklere dogramaly we hamyra goşup garmaly.', 'Çemçäni doldurup hamyry protfine goýmaly, bişirilen wagty ýazylyp bidýanligi üçin aralarynda 7-8 santimetr boşluk bolmaly.', 'Gydyrylan duhowkada 15-17 minut gyralary çala gyzarýança bişirmeli. Birnäçe minut protfinde sowadyp başga gaba aýyryň.', 'Kofe ýa-da gyzgyn çaý bilen iýmek diýseň lezzetli. Işdäňiz açyk bolsyn!']",4,Süýji kökeler,PT10M,PT15M
7,Işlekli,PT90M,"['2 nahar çemçe gatyk', '50gr mesge', '1.5 bulgur ýyly suw', '4.5 bulgur un', '1 çay cemçe duz', 'Iç harjy üçin:', '350 gr goýun ýa-da sygyr eti (jylka)', '150gr guýryk ya-da iç ýagy', '1 sany uly sogan', '1 sany orta boy kartoşka', 'Ýarty bulgar burç', '1 sany pamidor', 'Duz', 'Gara burç', 'Ýarty bulgurdan koprak suw']","['Hamyryny taýynlamaly. Bir uly jama mesgani, gatygy, suwy, duzyny salyp gowja eretmeli. Ýuwaşjadan ununy salyp ýumşajyk hamyr ýugurmaly. Hamyryň üstüni ýapyp demini alyança goýmaly.', 'Iç harjyny taýynlamaly. Etini, ýagyny we ähli gök-önümleri uşajyk dograp bir jama salmaly. Üstune duzuny, burçuny islega göra salyp üstune suvuny guýup gowja garmaly.', 'Demini alan hamyrymyzy deň bolmadyk 2 bölege bölmeli.', 'Howur peji gyzdyryp goýmaly. Hamyryň uly bölegni galypdan ulurak daşyna çykyp durar edip ýuka bolmadyk şekilde ýaýmaly. Galyby ýaglap hamyry ýazmaly. Hamyryň üstune iç harjymyzy salmaly. 2-nji kiçi hamyrymyzy galybyň üstüne laýyk edip ýaýmaly we işlekliniň üstüni ýapmaly we aşaky hamyr bn gyralaryny birikdirip gowja bükmeli.', 'Işlekliniň ýuzuni wilka bilen dürtüp çykmaly, isleseňiz gobek hem ýasap bilersiñiz. Howur peje salyp 220°-de 45-50 min gyzarýança bişirmeli. Işdaňiz açyk bolsun!']",4,Börekler,PT40M,PT50M
8,Şokoladly keks,PT60M,"['1.5 bulgur şeker', '1 bulgur (200 ml) süýt', '3 ýumurtga', '0.5 bulgur ösümlik ýagy', '1.5 bulgur un', '1 gabartma tozy', '1 wanelin', '25 gr (1 paket) kakao', 'Sousy ücin:', '2 bulgur süýt', '0.5 bulgur şeker', '50 ml (yarty bulgurdan az) ösumlik ýagy', '25 gr kakao']","['Giň gaba 3 yumurtga bn 1.5 bulgur şekeri salyp kopükleyänçe garmaly.', '1 bulgur süyt bn ýarty bulgur ýagy goşmaly. Soňra kakao, wanilin, gabartma tozuny we 1.5 bulgur ununy yuwaş-yuwaşdan goşup gowy edip garyşdyrmaly.', 'Ýaglanan galyba garyndyny hemme ýerine deň düşer ýaly edip guýup 170°-de 40-45 minut toweregi howur peje salyp bişirmeli.', 'Kekimiz bişyänçe sousyny taýynlamaly. Bir gapda 2 bulgur gyzgyn süyde ýarty bulgur şekeri, kakaony, ösümlik ýagy goşup şekeri ereýänçe gowja edip garmaly. Sousymyz taýýar.', 'Kekimiz bişeninden soň agaç çöpjagazy kekimizin her yerine dürtup cykmaly sousyny gowy çeker ýaly.', 'Gyzgyn kekiň üstüne sousyny hemme ýerine deñ edip aýlap guýmaly.', 'Sowan kekimizi islega göra bezäp saçaga äbermeli. Keksleri islegiňize görä bezap bilersiňiz, men ýürejik şekilli ak şokolad bilen bezedim. Işdäňiz açyk bolsun!']",6,Keks reseptleri,PT15M,PT45M
9,Heýgenek (omlet),PT35M,"['6 ýumurtga', 'yag', 'duz']","['Ýumurtganyň sarysyny agyndan aýyrýas. Ýumurtganyň sarysyny bulaýas, guz burç islege görä sepýäs. Agyny mikserde köpürjikletmeli.', 'Sajymyzy aram otda gyzdyrmaly, ýag guýmaly. Ýumurtganyň sarysynyň ýarysyny gyzan sajymyza guýýas. 3-5 minut garaşýas. Ýumurtganyň agynyň ýarysyny üstüne deňje edip guýmaly. 7-10 minut gapagyny ýapyp bişirmeli.', 'Bişen ýumurtgany tarelka çykarmaly. Galan ýarysyny hem edil şularýaly edip bişirmeli.', 'Ikinji bölegini birinjiniň üstüne seresaplyk bilen agdaryp goýmaly.', 'Taýyn gumurgany kesip iýäýmeli. Işdäňiz açyk bolsyn.']",2,Ertirlik reseptleri,PT10M,PT25M
