,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Рецепт: Львовские цыбульники на RussianFood.com,,"['Лук репчатый (крупный) - 1 шт.', 'Яйца - 2 шт.', 'Мука - 1 ст. л.', 'Сода - 0,5 ч. л.', 'Уксус яблочный или лимонный сок - 0,5 ч. л.', 'Соль - по вкусу', 'Перец черный молотый - по вкусу', 'Масло растительное - для жарки']","['Подготовить продукты для львовских цыбульников.', 'Репчатый лук почистить и мелко нарезать. Посолить немного и оставить на 10-15 минут.', 'Лук обмякнет и станет прозрачным.', 'В миску разбить 2 яйца, добавить щепотку соли и разболтать.', 'Добавить муку, смешанную с содой. Соду предварительно погасить уксусом или лимонным соком.', 'Всыпать нарезанный лук.', 'Хорошо перемешать, посолить и поперчить по вкусу.', 'Разогреть сковороду с растительным маслом. Ложкой выложить луковые оладьи на сковороду.', 'Жарить оладьи на небольшом огне до золотистого цвета. Огонь при жарке цыбульников не должен быть сильным, так как лук должен прожариться и стать мягким и нежным.', 'Цыбульники подавать на стол с зеленью, сметаной или другим соусом.', '\r\nПриятного аппетита!']", 1 час,,,
1,Рецепт: Тыквенные вареники с картошкой на RussianFood.com, 1 час (ваши 1 час),"['Для теста:', 'Мука - 500 г (3 стакана объёмом 250 мл) + для работы с тестом', 'Желтки - 2 шт.', 'Тыква - 250-300 г (в очищенном виде)', 'или тыквенное пюре - 200 г', 'Масло растительное - 2 ст. ложки', 'Соль - 0,5 ч. ложки', '*', 'Для начинки:', 'Картофель - 500 г', 'Масло сливочное - 30 г', 'Лук репчатый - 50 г', 'Масло растительное - 1 ст. ложка', 'Соль - по вкусу', 'Перец чёрный свежемолотый - по вкусу', '*', 'Для варки вареников:', 'Соль - 1 ч. ложка на 1 л воды', '*', 'Для подачи:', 'Сало свиное - 100-150 г', 'Лук репчатый - 50 г', 'Соль - по вкусу']","['Подготовьте продукты по списку. ', '\r\nТыкву выбирайте яркую и сладкую.', 'Тыкву очистите и приготовьте любым удобным для вас способом: запеките, отварите, потушите или пропарьте в микроволновке. Я запекала тыкву в духовке при 180°С в течение 20 минут, до мягкости. Если вы варите или тушите тыкву, то после обязательно нужно тщательно слить всю жидкость.', '\r\nРазомните тыкву в пюре и остудите. ', '\r\n(Или купите готовое тыквенное пюре в отделе детского питания.)', 'Яйца разбейте и отделите желтки от белков.', '\r\nДобавьте к тыквенному пюре желтки (белки не понадобятся), соль и растительное масло. Перемешайте.', 'Теперь частями всыпьте муку, каждый раз перемешивая.', 'Количество муки, конечно, может меняться.', 'Замесите мягкое, но крутое тесто. Накройте тесто полотенцем и оставьте на полчаса при комнатной температуре.', 'Тем временем приготовьте начинку.', '\r\nКартофель отварите для готовности. Чтобы начинка была ароматной и вязкой, советую варить катофель в мундире. Для этого клубни картофеля тщательно вымойте, залейте в кастрюле водой и варите 20-25 минут (если не солить, картошка сварится скорее).', '\r\nКартофель очистите и разомните со сливочным маслом в однородное пюре.', 'Лук (50 г) очистите, нарежьте мелкими кубиками и обжарьте на растительном масле, помешивая, в течение 3-4 минут, до золотистого оттенка.', 'Горошины перца перетрите в ступке. ', '\r\nСоедините картофельное пюре с луковой пассеровкой, приправьте солью и свежемолотым перцем. Перемешайте.', '\r\n(Также сюда же можно добавить шкварки — по желанию.)', 'Рабочую поверхность присыпьте мукой, выложите туда тесто.', '\r\nИз теста скатайте колбаску и разрежьте поперек на кусочки примерно одинакового размера.', 'Кусочки теста раскатайте в лепёшки или растяните (пальцами это сделать легко). ', '\r\nВыложите на тесто начинку.', 'Слепите вареники, соединив края теста.', '\r\nВсего у меня получилось 22 вареника.', 'В кастрюле вскипятите воду, подсолите.', '\r\nОтваривайте вареники в течение 2-3 минут после всплытия. Выловите вареники шумовкой или отбросьте на дуршлаг.', 'Параллельно приготовьте поджарку (по желанию). ', '\r\nСало нарежьте кубиками, выложите на сухую разогретую сковороду и обжарьте до получения хрустящих шкварок, примерно 4 минуты.', 'Оставшийся лук очистите, мелко нарежьте и добавьте к шкваркам. Обжарьте ещё минуту-две. Посолите по вкусу.', 'Выложите ещё горячие вареники на тарелку, добавьте шкварки с луком и при желании подавайте со сметаной и свежей зеленью.', 'Приятного аппетита!']", 4 порции,,,
2,Рецепт: Картофельные драники с чесноком (без яиц и муки) на RussianFood.com, 30 мин (ваши 30 мин),"['Картофель - 800 г', 'Лук репчатый - 150 г', 'Сметана - 1 ст. ложка', 'Соль - 0,5 ч. ложки', 'Перец молотый (смесь перцев) - 1 щепотка', 'Масло растительное - 4 ст. ложки']","['Подготовьте все для драников - картофель, лук, чеснок, сметану, специи и растительное масло для жарки.', 'Картофель очистите от кожуры. Репчатый лук и чеснок очистите от шелухи.', 'Репчатый лук и чеснок натрите на мелкой терке в глубокую миску.', 'Туда же натрите на мелкой тёрке картофель, периодически перемешивая его с луком. Добавьте соль, перемешайте.', 'Картофельно-луковую массу откиньте на дуршлаг или мелкое сито, сливая жидкость в миску. Оставьте на 2-3 минуты, слегка придавливая массу лопаткой. Сильно выжимать не нужно, чтобы драники получились сочными.', 'У меня получилось примерно 120-130 мл жидкости. Аккуратно слейте верхний желтый слой.', 'На дне остается примерно 1 столовая ложка белого крахмала. Он необходим в тесте, поэтому сливать его не нужно. Если картофель не крахмалистый, добавьте чайную ложку картофельного крахмала в натертый картофель.', 'В миску с крахмалом переложите картофельную массу. Добавьте сметану и смесь перцев, перемешайте.', 'Из картофельного теста руками слепите круглый и плоский драник (толщина - около 1-1,5 см).', 'Разогрейте в сковороде растительное масло. Выложите в горячее масло сформированные драники.', 'Обжаривайте на среднем огне примерно по 1-2 минуты с каждой стороны, до золотистой корочки.', 'Обжаренные драники переложите на бумажное полотенце, чтобы оно впитало лишнее масло. Обжарьте следующую порцию.', 'Идеальным соусом к драникам из картофеля является сметана. Подавайте драники к столу, пока они теплые, именно тогда их нежная сочная серединка отлично контрастирует с хрустящей корочкой.', 'Яркое, вкуснейшее, простое и очень вкусное блюдо из картофеля, которое не нуждается ни в мясном, ни в рыбном дополнении!', 'Вкусно и экономно - это картофельные драники с чесноком.']", 4 порции,,,
3,Рецепт: Пампушки с чесноком к борщу на RussianFood.com,,"['Для теста:', '0,5 кг муки,', '1 ст. воды,', '30 гр. дрожжей,', '1 ст.л. растительного масла,', '1 ст.л. сахара,', '0,5 ч.л. соли.', '1 яйцо.', 'Для соуса:', '3-5 больших зубчиков чеснока,', 'соль,', '1 ст.л. растительного масла,', '2 ст.л. холодной кипяченой воды']","['Пампушки с чесноком к борщу готовы!', 'Приятного аппетита!']", 1 час 20 мин,,,
4,Рецепт: Домашний смалец на RussianFood.com, 3 часа (ваши 30 мин),"['Сало свиное — 2,5 кг']","['Подготовьте основной ингредиент. ', '\r\nПокупайте свежее свиное сало.', 'Сало хорошо вымойте под проточной холодной водой и обсушите бумажными полотенцами. Удалите шкурку, но не выбрасывайте — её можно использовать для приготовления сальтисона или рулета.', 'Нарежьте сало небольшими кусочками. Чем мельче нарезано сало, тем быстрее вытопится жир. (У меня кусочки получились среднего размера.)', '\r\nНекоторые кулинары измельчают сало на мясорубке. На моём опыте такого не было, поэтому и о результате ничего не могу сказать.', 'Для топки сала выбирайте толстостенную кастрюлю/казанок подходящего размера. Я буду использовать казан на 6 л. Он большой, но в нём надежно и удачно готовится множество блюд в нашей семье.', '\r\nПереместите сало в приготовленную посуду.', 'Отправьте казан на самый сильный огонь. Первые 15 минут обжариваем сало без крышки, периодически помешивая. На кусочках сала должна образоваться тонкая слегка румяная корочка.', 'Через 15 минут сало слегка подрумянится, и вытопится довольно много жира. Сделайте средний огонь и продолжайте топить сало, периодически помешивая.', 'Когда кусочки сала начнут плавать в жире и почти полностью покроются им, сделайте самый маленький огонь и продолжайте вытапливать жир из сала ещё 1,5-2 часа, периодически перемешивая.', 'Смалец готов, если шкварки приобретут румяный оттенок. На данном этапе отключите огонь.', 'Шкварки выложите шумовкой на дуршлаг, дайте жиру стечь. Потом шкварки можно хранить в морозильнике и использовать для приготовления первых и вторых блюд.', 'Горячий жир оставьте на 10-15 минут, чтобы все ненужные примеси осели на дно.', 'Заранее подготовьте банки. Их нужно хорошо вымыть и обсушить. В чистые банки разлейте остывший жир. Из 2,5 кг сала у меня получилось 2 л чистого смальца.', 'Остывшие банки с жиром закройте крышками и отправьте в холодильник на хранение. Жир может храниться несколько месяцев, а в морозилке — ещё дольше.', 'Домашний смалец готов. ', '\r\nМногие любят бутерброды со смальцем и специями.', 'Приятного аппетита!']", 20 порций,,,
5,Рецепт: Сало по-домашнему на RussianFood.com,,"['Сало свиное свежее - 1 кг', 'Соль - 3 ч.л.', 'Перец красный молотый - 1 ч.л.', 'Карри - 3 ч.л.', 'Чеснок - 1 гол.', 'Зерна горчицы - 3 ч.л.']",[],,,,
6,Рецепт: Украинская печеня в горшочке на RussianFood.com,,"['Мякоть свинины - 400г', 'Печень - 300г печени (говяжьей, свиной, телячьей)', 'Картофель - 800г', 'Фасоль - 1 стакан сухой фасоли', 'Морковь - 2 больших моркови', 'Чеснок - 3 зубчика', 'Лук - 4 луковицы', 'Сливочное масло - 150г (можно взять растительное масло)', 'Сало или подчеревок - 100г', 'Молоко - 2 ст. ложки молока', 'Яйцо - 1 яйцо', 'Мука - 100г муки для галушек + 2 ст. ложки для печени', 'Соль', 'Молотый черный перец', 'Лавровый лист', 'Несколько перцев горошком', 'Зелень - 2 ст. ложки рубленой зелени']","['Как приготовить жаркое в горшочках:', '\r\n', '\r\nПредварительно замоченную фасоль отварить отдельно до полуготовности. Воду слить.', 'Мясо и печень порезать кубиками (2 – 2,5см). Посолить и поперчить. Печень обвалять в муке. Обжарить мясо и печень  по отдельности на масле и выложить на отдельные тарелки.', 'Морковь порезать кружочками, а лук – полукольцами.', 'Обжарить лук с морковью на масле, посолить и поперчить.', 'Картофель нарезать средними кубиками.', 'А теперь будем складывать все ингредиенты в маленькие горшочки или в один большой глиняный горшок. Если нет горшков, можно приготовить в толстостенной гусятнице. На дно горшка кладем лавровый лист и перцы горошком. Потом выкладываем свинину.', 'На свинину – картофель. Картофель солим и перчим. Сверху – половину лука с морковкой.', 'Потом – фасоль, печень и снова лук с морковкой. Сверху у нас еще должно оставаться немного места. Если есть мясной бульон, то заливаем немного присоленным бульоном или горячей водой так, чтобы она доходила до края уложенных продуктов. Накрываем крышкой и ставим в холодную (горшок глиняный, должен нагреваться постепенно) духовку. Нагреваем духовку до 200 градусов и тушим  с этого момента 45-50 минут.', 'Подчеревину мелко порежем. Зелень смешаем с чесноком, пропущенным через пресс.', 'Пока жаркое тушится, приготовим последний ингредиент – маленькие галушки.Из теплого молока, яйца, соли и муки замесим мягкое тесто.  Из теста сделаем жгуты.', 'Порежем жгуты на галушки. Отварим галушки в подсоленном кипятке (до всплытия) и выберем их шумовкой.', 'Обжарим подчеревину или сало на сковороде до шкварок и выложим галушки.', 'В горшочек сверху выкладываем галушки, накроем и поставим жаркое в горшочках еще на 5 минут в духовку.', 'Готовую печеню посыпаем зеленью с чесноком и подаем жаркое в горшочках с разносолами или свежими овощами.', 'Готовое жаркое в горшочках. Приятного аппетита!']",,,,
7,Рецепт: Кёрезет на RussianFood.com,,"['Творог домашний, мягкий, желательно пожирнее – 450 г', 'Масло сливочное размягченное – 150 г', 'Сметана – 3 ст. ложки', 'Паприка – 1 ст. ложка (рекомендуется, но добавляйте по вкусу)', 'Смесь перцев молотая – неполная чайная ложка (3/4 ч. ложки)', 'Тмин молотой – 1/2 чайной ложки (добавляйте по желанию)', 'Чеснок – 3 зубка', 'Горчица – 1 ст. ложка с верхом', 'Лук синий (можно и белый) небольшой – 1 шт.', 'Соль – по вкусу']","['Продукты для приготовления закуски из творога кёрезет.', 'Как приготовить закуску из творога кёрезет:', '\r\n', '\r\nТворог размять, смешать с маслом и сметаной и немного взбить. Это можно сделать в блендере.  Затем добавить продавленный лук и чеснок, пряности и соль. Я еще добавила немного мелко порезанной зелени. Все хорошо перемешать. Удобно толкушкой  для картофеля.', 'Некоторые закуски можно готовить сразу.', 'Но вкуснее будет, если поместить кёрезет на 2 часа в холодильник.', '\r\nКёрезет уместен и на завтрак (в этом случае его подают с болгарским перцем и помидорами) и на ужин (намазанный на ломти черного, серого или белого хлеба и в сопровождении бокала холодного белого токайского вина или пива).', '\r\nМожно также подать молодую редиску и зеленый лук. Кёрезетом хорошо начинять свежий сладкий перец, очищенный от косточек. Перед подачей перцы сильно охлаждают и нарезают кольцами при помощи горячего ножа. Также кёрезетом фаршируют отваренные вкрутую яйца, картофель и вообще что угодно – он на удивление хорошо соединяется практически с любыми продуктами.', 'Вот только несколько закусок с кёрезотом.', '\r\nПерец у меня очень крупный и я использую только половину. Мою, очищаю от семян. Огурец разрезаю пополам, потом на кусочки 6 см длиной. Небольшие огурчики можно не резать на части. Из огурца выбрать середину (не выбрасывать!)', 'Начинить половинку перца и огурцы кёрезетом. Охладить в холодильнике.', '\r\nЛомтики батона намазать кёрезетом, сверху положить тонкие кружочки редиса и посыпать мелко рорезанным зеленым луком.', 'Измельчить вынутую серединку огурцов и смешать с кёрезетом. Намазать закуской из творога  хлеб и посыпать мелко порезанным укропом.', 'Закуска из творога кёрезет готова. Приятного аппетита!']",,,,
8,Рецепт: Оладьи из репчатого лука на RussianFood.com, 40 мин (ваши 20 мин),"['Лук репчатый - 400 г', 'Яйцо - 1 шт.', 'Мука -1,5-2 ст. ложки', 'Соль - 1 ч. ложка', 'Сахар - 0,5 ч. ложки', 'Сода - 0,5 ч. ложки', 'Сок лимона - по вкусу', 'Перец черный молотый - по вкусу', 'Масло растительное - для жарки', '*', 'Для соуса:', 'Сметана 25% - 2 ст. ложки', 'Укроп свежий - 3-4 веточки', 'Перец черный молотый - по вкусу']","['Ингредиенты для приготовления оладий из репчатого лука.', 'Лук очистить и нарезать мелкими кубиками.', 'Сложить нарезанный лук в миску, добавить соль, сахар и перец. Перемешать и оставить на 15-20 минут.', 'Затем добавить яйцо.', 'Добавить соду, гашенную лимонным соком. Перемешать.', 'Частями всыпать муку. ', '\r\n(Если тесто будет жидковатым из-за сочности лука, можно добавить еще немного муки, но не слишком.)', 'Все хорошо перемешать.', 'В сковороде разогреть масло и обжарить оладьи из репчатого лука с обеих сторон до золотистого цвета.', 'Обжаренные оладьи выложить на бумажное полотенце, чтобы удалить излишки масла.', 'Ингредиенты для приготовления соуса.', 'Укроп помыть, обсушить, мелко нарезать. Смешать сметану с укропом и перцем. Можно добавить соль, по желанию.', 'Вкусные и нежные оладьи из репчатого лука готовы. Приятного аппетита.']", 2 порции,,,
9,Рецепт: Бендерики с курицей на RussianFood.com, 40 мин (ваши 40 мин),"['Для теста:', 'Молоко - 250-300 г', 'Мука - 110 г', 'Яйца - 2 шт.', 'Масло растительное - 1 ст. л.', 'Сахар - 1 ч. л.', 'Соль - 0,5 ч. л.', '*', 'Для начинки:', 'Филе куриное - 300 г', 'Лук репчатый - 1 шт.', 'Петрушка - 1 пучок', 'Чеснок - 1 зубчик', 'Соль - по вкусу', 'Перец черный молотый - по вкусу', '*', 'Масло растительное - для жарки', 'Яйца - 2 шт.', 'Молоко или вода (по желанию) - 50 мл']","['Подготовьте ингредиенты для бендериков.', 'Как приготовить бендерики с курицей:', '\r\n', '\r\nДля блинного теста в миске смешайте просеянную муку, соль и сахар, добавьте яйца и тщательно размешайте венчиком. (Если тесто сложно перемешивать, влейте небольшое количество молока.)', 'Не прекращая перемешивать тесто, влейте все молоко.', 'Должно получиться в меру густое, гладкое, без единого комочка тесто для блинов. ', '\r\nОтложите его в сторону для отдыха минимум на 10-15 минут.', 'Займитесь начинкой. В чаше комбайна соедините крупно нарезанное куриное филе без кожи, очищенную и также крупно нарезанную луковицу, зубчик чеснока, петрушку, а также соль и перец.', 'Измельчите в максимально однородный фарш.', 'В отдохнувшее тесто для блинов влейте 1 ст. л. растительного масла, размешайте и пожарьте тонкие блинчики. До румяности блины не зажаривайте.', 'Готовый блин выложите на рабочую доску и нанесите на него тонкий слой куриного фарша. Разрежьте блинчик по центру на две части.', 'Каждую часть сложите в виде треугольника. ', '\r\nТаким же образом сформируйте бендерики с курицей, используя все блины и начинку.', 'Когда все блины с начинкой будут сформированы, в глубокой емкости слегка взбейте 2 яйца с солью и перцем. По желанию можно влить немного молока или воды (около 50 мл).', 'В яичную смесь окуните каждый блинчик и обжарьте бендерики с курицей в небольшом количестве масла с двух сторон до готовности фарша (около 5 минут с каждой стороны).', 'Бендерики с курицей готовы.', 'Приятного аппетита!']", 10 порций,,,
