,name,total_time,ingredients,instructions,servings,category,prep_time,cook_time
0,Meat broth with vegetables,1:10,"['500 g of mutton or beef ', '500 g of potatoes', '400 g of carrots', '6 onions', '5 tomatoes', '1 chilli pepper', '1 teaspoon of ground black pepper', 'Bay leaf', '1/2 bunch fresh coriander', 'Salt to taste']","['Put cleaned and cut meat in pot with water. Bring to a boil and remove foam or scum from broth. Add whole peeled onions carrots, quartered tomatoes and spices. Cook on low heat for 20 minutes. Then add whole peeled potatoes and cook until potatoes are tender. In the final 3-4 minutes of cooking, add fresh coriander. Serve in kosas with freshly ground black pepper.']",,,,
1,Manpar - Dumpling,1:30,"['500 g of flour', '500 g of mutton', '100 g of mutton fat', '7 eggs', '200 g of onions', '100 g of green radishes', '2 bay leaves', '2 tablespoons of tomato paste', '3 cloves of garlic', '1 bunch of fresh coriander']","['Make stiff dough out of flour, egg, salt, and water, like lagman recipe. Roll into a ball and cover with a damp towel for 2 hours. Roll dough into thin logs, flatten and tear off small pieces of dough. Boil in salted water for 10 minutes, drain, and rinse with cold water. In a large pot fry chopped meat, onions, and garlic, add green radish cut into thin strips, tomato paste, salt, pepper, bay leaves, and then water. Cook on medium heat until radish is tender. Put dumplings in a serving bowl, add soup, garnished with a fried egg.', '\xa0']",,,,
2,Noodles and Dumplings,1:10,"['500 g of mutton or beef', '500 g of flour', '4 eggs', '100 g vegetable oil', '4 onions', '3 tomatoes', '1 table-spoon of butter', 'Salt and spices']","['Mince the meat in a meat-grinder and combine well with onions, water, salt and spices. Divide filling in two. Make stiff dough out of flour, salt, egg, and water, divide into two portions as well. With half the dough make noodles. Roll out the other half of dough and cut into 4x4 cm squares. Make dumplings with half of the filling. Make small meatballs with the remaining meat mixture. Saute onions, tomatoes and cubed potatoes. Add water, salt, spices and bring to a boil. Reduce heat, add noodle, dumplings and meatballs and cook until meatballs are done.', '\xa0', ', , ,', ', , ,', ',\xa0']",,,,
3,Apricot Drink,0;30,"['1 kg of apricots', '2 l of water']","['Boil apricots for 15 minutes. Cool, filter, and serve']",,,,
4,Fruit Tea,0;15,"['10 g of tea', '20 g of sugar', '50 g of apple or cherry juice', '10 g of lemon', '150 g of water']","['Make regular tea and filter. Add sugar and cool to 8-10°C, stir in juice, add lemon and serve on ice.']",,,,
5,Dumplings With Greens,1:20,"['500 g of flour', '1 kg of greens (sorrel, shepherd’s purse, dandelion leaves, lucerne, peppermint, spinach, fresh coriander, green onions)', ' 500 g of onions', '1 bundle of green onions', '150 g of mutton fat', '1 egg', 'Salt and crushed red pepper']","['Finely chop greens and combine well with small pieces of mutton fat. Add salt, crushed red pepper, and cook in oil. Make stiff dough out of flour, salt, egg, and water, let stand for 30-40 minutes. Roll out dough like for chuchvara recipe above. Place a touch of filling in the center, fold dough corner to corner, pinch edges comletely enclosing greens. Boil in salted water.', '\xa0', '\xa0']",,,,
6,Lagman - Central Asia Noodles,"For lunch, For dinner, For holidays, For a picnic","['1 kg of flour', '400 g of mutton or beef', '1 egg', '3 potatoes', '1 green radish', '1 carrot', '100 g of cabbage', '4 onions', '4 bell peppers', '4 tomatoes', '1 head of garlic', 'Salt and cumin']","['Make dough as manti, cut into noodles of 1 mm thick layers and boil in salted water. Drain, and rinse with cold water. In a very hot oil, fry sliced onions and add smal diced meat before the onion Sautes and continue frying them. Then add garlic and tomatoes and go on frying. Then put diced carrots, green radish, bell peppers, cabbage, garlic, celery, janduk and add water a little bit over the surface of the stuff. Boil on low heat for 1 hour. Add salt and spices to taste.\xa0Place and remove quickly ready ladman in boiling water, put in a soup bowl, add hot soup sauce and garnish with chopped greens. Wine vinegar is also offered to taste.']",,,,
7,Spiral Beignets,1:20,"['1 kg of flour', ' 10 eggs', ' 1-2 cups of water', '1 teaspoon of salt', '1 kg of vegetable oil', 'Of confectioner’s sugar']","['Make dough with water or milk, sugar, salt, eggs and sifted flour. Roll out dough in a large round layer about 1 mm thick. Cut into strips about 5-6 cm wide and 45-50 cm long. Fry in hot oil, rotating the strip around a stick to form loose coils. Dust with confectioner’s sugar.', '\xa0']",,,,
8,Lochira With Margarine,1:40,"['1.5 kg of flour', '200 g of margarine', '700 g of milk', '1 tablespoon of oil', '20 g of salt']","['Dissolve salt in milk, add softened margarine and sifted flour and let stand for 30-40 minutes. Roll out dough into balls and let stand another 20-25 minutes. Flatten into round bread about 3-5 mm thick. Make deep indentations on the top with a chekish to reduce thickness of the edges and bake in a tandoor.', '\xa0', '\xa0']",,,,
9,Tea with kaimak,0;15,"['100 g of water', '100 g of milk', '1 teaspoon of butter', '1 teaspoon of kaimak', 'Black tea ', 'Salt', 'Black pepper']","['Add tea to boiling water and reduce heat. Then add boiled milk, salt. Pour into soup bowls and add butter and kaimak, sprinkle with pepper.']",,,,
